resource_id,resource_type,name,location_or_region,provider,region,criticality,owner_team,modernization_note,environment,monthly_cost_usd,notes,source_file,source_row,value_source,asset_id,asset_name,hosting_model,platform,region_or_datacenter,annual_cost_usd,resilience_tier
SHA-INF-106,aws_account,SkyHarbor platform resource 7,SLC,,,high,SHA-IT-007,,dr,1950000,Resource supports vouchers workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,18,tenant_file,,,,,,,
SHA-INF-107,linux_cluster,SkyHarbor platform resource 8,AWS us-east-1,,,high,SHA-IT-008,,production,2200000,Resource supports travel_docs workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,19,tenant_file,,,,,,,
SHA-INF-108,api_gateway,SkyHarbor platform resource 9,ATL,,,high,SHA-IT-009,,production,2450000,Resource supports corporate_sales workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,20,tenant_file,,,,,,,
SHA-INF-109,data_center,SkyHarbor platform resource 10,DTW,,,high,SHA-IT-010,,production,2700000,Resource supports interline workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,21,tenant_file,,,,,,,
SHA-INF-110,airport_edge,SkyHarbor platform resource 11,MSP,,,critical,SHA-IT-011,,production,2950000,Resource supports alliance workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,22,tenant_file,,,,,,,
SHA-INF-111,backup_dr,SkyHarbor platform resource 12,JFK,,,high,SHA-IT-012,,production,450000,Resource supports regional_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,23,tenant_file,,,,,,,
SHA-INF-112,aws_account,SkyHarbor platform resource 13,LAX,,,high,SHA-IT-013,,dr,700000,Resource supports catering workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,24,tenant_file,,,,,,,
SHA-INF-113,linux_cluster,SkyHarbor platform resource 14,SEA,,,high,SHA-IT-014,,production,950000,Resource supports fuel workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,25,tenant_file,,,,,,,
SHA-INF-114,api_gateway,SkyHarbor platform resource 15,SLC,,,high,SHA-IT-015,,production,1200000,Resource supports safety workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,26,tenant_file,,,,,,,
SHA-INF-115,data_center,SkyHarbor platform resource 16,AWS us-east-1,,,critical,SHA-IT-016,,production,1450000,Resource supports training workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,27,tenant_file,,,,,,,
SHA-INF-116,airport_edge,SkyHarbor platform resource 17,ATL,,,high,SHA-IT-017,,production,1700000,Resource supports identity workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,28,tenant_file,,,,,,,
SHA-INF-117,backup_dr,SkyHarbor platform resource 18,DTW,,,high,SHA-IT-018,,production,1950000,Resource supports payments_fraud workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,29,tenant_file,,,,,,,
SHA-INF-118,aws_account,SkyHarbor platform resource 19,MSP,,,high,SHA-IT-001,,dr,2200000,Resource supports retail_media workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,30,tenant_file,,,,,,,
SHA-INF-119,linux_cluster,SkyHarbor platform resource 20,JFK,,,high,SHA-IT-002,,production,2450000,Resource supports wifi_connectivity workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,31,tenant_file,,,,,,,
SHA-INF-120,api_gateway,SkyHarbor platform resource 21,LAX,,,critical,SHA-IT-003,,production,2700000,Resource supports airport_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,32,tenant_file,,,,,,,
SHA-INF-121,data_center,SkyHarbor platform resource 22,SEA,,,high,SHA-IT-004,,production,2950000,Resource supports cargo workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,33,tenant_file,,,,,,,
SHA-INF-122,airport_edge,SkyHarbor platform resource 23,SLC,,,high,SHA-IT-005,,production,450000,Resource supports premium_lounge workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,34,tenant_file,,,,,,,
SHA-INF-123,backup_dr,SkyHarbor platform resource 24,AWS us-east-1,,,high,SHA-IT-006,,production,700000,Resource supports deicing workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,35,tenant_file,,,,,,,
SHA-INF-124,aws_account,SkyHarbor platform resource 25,ATL,,,high,SHA-IT-007,,dr,950000,Resource supports gate_planning workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,36,tenant_file,,,,,,,
SHA-INF-125,linux_cluster,SkyHarbor platform resource 26,DTW,,,critical,SHA-IT-008,,production,1200000,Resource supports refunds workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,37,tenant_file,,,,,,,
SHA-INF-126,api_gateway,SkyHarbor platform resource 27,MSP,,,high,SHA-IT-009,,production,1450000,Resource supports vouchers workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,38,tenant_file,,,,,,,
SHA-INF-127,data_center,SkyHarbor platform resource 28,JFK,,,high,SHA-IT-010,,production,1700000,Resource supports travel_docs workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,39,tenant_file,,,,,,,
SHA-INF-128,airport_edge,SkyHarbor platform resource 29,LAX,,,high,SHA-IT-011,,production,1950000,Resource supports corporate_sales workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,40,tenant_file,,,,,,,
SHA-INF-129,backup_dr,SkyHarbor platform resource 30,SEA,,,high,SHA-IT-012,,production,2200000,Resource supports interline workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,41,tenant_file,,,,,,,
SHA-INF-130,aws_account,SkyHarbor platform resource 31,SLC,,,critical,SHA-IT-013,,dr,2450000,Resource supports alliance workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,42,tenant_file,,,,,,,
SHA-INF-131,linux_cluster,SkyHarbor platform resource 32,AWS us-east-1,,,high,SHA-IT-014,,production,2700000,Resource supports regional_ops workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,43,tenant_file,,,,,,,
SHA-INF-132,api_gateway,SkyHarbor platform resource 33,ATL,,,high,SHA-IT-015,,production,2950000,Resource supports catering workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,44,tenant_file,,,,,,,
SHA-INF-133,data_center,SkyHarbor platform resource 34,DTW,,,high,SHA-IT-016,,production,450000,Resource supports fuel workloads,family-2-technology-estate/F07_infrastructure-cloud.csv,45,tenant_file,,,,,,,
