mapping_id,application_id,capability_id,support_type,process_area,user_count,module
APX-SFM-055,APX-APP-055,APX-CAP-013,primary,Returns and reverse logistics,12230,forecasting
APX-SFM-056,APX-APP-056,APX-CAP-014,secondary,Customer service and contact center,12450,erp_finance
APX-SFM-057,APX-APP-057,APX-CAP-001,secondary,Store selling and clienteling,12670,itsm
APX-SFM-058,APX-APP-058,APX-CAP-002,primary,POS checkout and payments,12890,data_platform
APX-SFM-059,APX-APP-059,APX-CAP-003,secondary,Omnichannel order management,13110,analytics
APX-SFM-060,APX-APP-060,APX-CAP-004,secondary,Inventory availability and ATP,13330,workforce
APX-SFM-061,APX-APP-061,APX-CAP-005,primary,Demand forecasting and replenishment,13550,merchandising
APX-SFM-062,APX-APP-062,APX-CAP-006,secondary,Merchandise planning and allocation,13770,warehouse
APX-SFM-063,APX-APP-063,APX-CAP-007,secondary,Pricing and markdown optimization,13990,order_management
APX-SFM-064,APX-APP-064,APX-CAP-008,primary,Loyalty personalization,14210,pos
APX-SFM-065,APX-APP-065,APX-CAP-009,secondary,Retail media activation,14430,ecommerce
APX-SFM-066,APX-APP-066,APX-CAP-010,secondary,Supply chain visibility,14650,personalization
APX-SFM-067,APX-APP-067,APX-CAP-011,primary,Labor scheduling,14870,forecasting
APX-SFM-068,APX-APP-068,APX-CAP-012,secondary,Shrink and fraud prevention,15090,erp_finance
APX-SFM-069,APX-APP-069,APX-CAP-013,secondary,Returns and reverse logistics,15310,itsm
APX-SFM-070,APX-APP-070,APX-CAP-014,primary,Customer service and contact center,15530,data_platform
APX-SFM-071,APX-APP-071,APX-CAP-001,secondary,Store selling and clienteling,15750,analytics
APX-SFM-072,APX-APP-072,APX-CAP-002,secondary,POS checkout and payments,15970,workforce
APX-SFM-073,APX-APP-073,APX-CAP-003,primary,Omnichannel order management,16190,merchandising
APX-SFM-074,APX-APP-074,APX-CAP-004,secondary,Inventory availability and ATP,16410,warehouse
APX-SFM-075,APX-APP-075,APX-CAP-005,secondary,Demand forecasting and replenishment,16630,order_management
APX-SFM-076,APX-APP-076,APX-CAP-006,primary,Merchandise planning and allocation,16850,pos
APX-SFM-077,APX-APP-077,APX-CAP-007,secondary,Pricing and markdown optimization,17070,ecommerce
APX-SFM-078,APX-APP-078,APX-CAP-008,secondary,Loyalty personalization,17290,personalization
APX-SFM-079,APX-APP-079,APX-CAP-009,primary,Retail media activation,17510,forecasting
APX-SFM-080,APX-APP-080,APX-CAP-010,secondary,Supply chain visibility,17730,erp_finance
APX-SFM-081,APX-APP-081,APX-CAP-011,secondary,Labor scheduling,17950,itsm
APX-SFM-082,APX-APP-082,APX-CAP-012,primary,Shrink and fraud prevention,18170,data_platform
APX-SFM-083,APX-APP-083,APX-CAP-013,secondary,Returns and reverse logistics,18390,analytics
APX-SFM-084,APX-APP-084,APX-CAP-014,secondary,Customer service and contact center,18610,workforce
APX-SFM-085,APX-APP-085,APX-CAP-001,primary,Store selling and clienteling,18830,merchandising
APX-SFM-086,APX-APP-086,APX-CAP-002,secondary,POS checkout and payments,19050,warehouse
APX-SFM-087,APX-APP-087,APX-CAP-003,secondary,Omnichannel order management,19270,order_management
APX-SFM-088,APX-APP-088,APX-CAP-004,primary,Inventory availability and ATP,19490,pos
APX-SFM-089,APX-APP-089,APX-CAP-005,secondary,Demand forecasting and replenishment,19710,ecommerce
APX-SFM-090,APX-APP-090,APX-CAP-006,secondary,Merchandise planning and allocation,19930,personalization
APX-SFM-091,APX-APP-091,APX-CAP-007,primary,Pricing and markdown optimization,20150,forecasting
APX-SFM-092,APX-APP-092,APX-CAP-008,secondary,Loyalty personalization,20370,erp_finance
