tenant_key,project_id,project_name,domain_key,domain_name,project_classification,is_ai_related,sponsor_role,technology_owner_role,finance_partner_role,approved_budget_usd,actual_spend_ytd_usd,forecast_spend_usd,promised_annual_value_usd,committee_decision,lifecycle_stage,start_date,target_go_live_date,realization_start_month,value_tracking_required,source_system,source_record_id,extract_date,as_of_date,refresh_cadence,quality_state
meridian-health,PRJ-MER-011,Clinical documentation ambient pilot,clinical_epic,Clinical / Epic,ai_use_case,true,CMIO,CMIO,IT Finance Business Partner,7200000,1296000,7200000,35432528,fund,business_case,2026-05-01,2027-02-28,2027-06,true,PMO / IT portfolio tracker,PRJ-MER-011,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-012,Copilot secure productivity rollout,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,VP Corporate IT,CTO delegate,IT Finance Business Partner,4800000,1248000,4968000,25791024,shape,business_case,2026-06-01,2027-03-28,2027-07,true,PMO / IT portfolio tracker,PRJ-MER-012,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-013,Prior authorization automation,apps,Enterprise Applications,ai_use_case,true,VP Claims Operations,CTO delegate,IT Finance Business Partner,7900000,2686000,7347000,46018096,fund,business_case,2026-01-01,2027-04-28,2027-08,true,PMO / IT portfolio tracker,PRJ-MER-013,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-014,Provider data quality remediation,apps,Enterprise Applications,ordinary_it_project,false,VP Provider Operations,CTO delegate,IT Finance Business Partner,11300000,4746000,10904500,0,continue,business_case,2026-02-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-014,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-015,Security operations automation,security,Cybersecurity & Risk,ai_assisted_automation,true,CISO,CISO,IT Finance Business Partner,5700000,2850000,5700000,22898572,challenge,business_case,2026-03-01,2027-06-28,2027-01,true,PMO / IT portfolio tracker,PRJ-MER-015,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-016,ServiceNow knowledge article generation 1,apps,Enterprise Applications,ai_enabled_tool_rollout,true,VP Enterprise Platforms,VP Enterprise Applications,IT Finance Business Partner,2253514,270422,2028163,10071492,challenge,intake,2026-01-01,2027-01-28,2027-06,true,PMO / IT portfolio tracker,PRJ-MER-016,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-017,claims intake document AI 1,data_ai,Data & AI,ai_assisted_automation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3830974,727885,3543651,18852930,fund,business_case,2026-02-01,2027-02-28,2027-07,true,PMO / IT portfolio tracker,PRJ-MER-017,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-018,population health analytics workspace 1,data_ai,Data & AI,analytics_bi,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2478865,644505,2354922,0,continue,funded,2026-03-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-018,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-019,clinical documentation queue summarization 1,clinical_epic,Clinical / Epic,ai_use_case,true,CMIO,Chief Medical Information Officer,IT Finance Business Partner,4056325,1338587,3954917,21795161,fund,build,2026-04-01,2027-04-28,2027-09,true,PMO / IT portfolio tracker,PRJ-MER-019,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-020,model monitoring and prompt-risk controls 1,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2704217,1081687,2704217,0,continue,pilot,2026-05-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-020,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-021,member identity resolution data product 1,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4281677,2012388,3853509,0,continue,scale,2026-06-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-021,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-022,member mobile next-best-action pilot 1,digital,Digital & Member Experience,ai_use_case,true,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,2929568,1581967,2709850,13092940,challenge,intake,2026-07-01,2027-07-28,2027-02,true,PMO / IT portfolio tracker,PRJ-MER-022,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-023,Microsoft 365 Copilot productivity wave 1,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4507028,540843,4281677,22179916,fund,business_case,2026-08-01,2027-08-28,2027-03,true,PMO / IT portfolio tracker,PRJ-MER-023,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-024,finance planning analytics workspace 1,corporate_it,Corporate IT,analytics_bi,false,VP Controller,VP Corporate IT,IT Finance Business Partner,3154920,599435,3076047,0,defer,funded,2026-09-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-024,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-025,SOC alert summarization assistant 1,security,Cybersecurity & Risk,ai_assisted_automation,true,CISO,CISO,IT Finance Business Partner,4732380,1230419,4732380,25427692,fund,build,2026-01-01,2027-10-28,2027-05,true,PMO / IT portfolio tracker,PRJ-MER-025,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-026,AI service management controls foundation 1,apps,Enterprise Applications,platform_foundation,true,VP Enterprise Platforms,VP Enterprise Applications,IT Finance Business Partner,3380271,1115489,3042244,0,continue,pilot,2026-02-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-026,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-027,AI feature store governance uplift 1,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4957731,1983092,4585901,0,continue,scale,2026-03-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-027,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-028,prior authorization clinical policy assistant 1,apps,Enterprise Applications,ai_use_case,true,VP Claims Operations,VP Enterprise Applications,IT Finance Business Partner,3605622,1694642,3425341,16114386,challenge,intake,2026-04-01,2027-03-28,2027-08,true,PMO / IT portfolio tracker,PRJ-MER-028,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-029,contact center agent assist rollout 1,digital,Digital & Member Experience,ai_enabled_tool_rollout,true,SVP Member Services,Chief Digital Officer,IT Finance Business Partner,2253514,1216898,2197176,11089958,fund,business_case,2026-05-01,2027-04-28,2027-09,true,PMO / IT portfolio tracker,PRJ-MER-029,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-030,quality measure performance analytics 1,data_ai,Data & AI,analytics_bi,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3830974,459717,3830974,0,continue,funded,2026-06-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-030,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-031,ambulatory access waitlist optimization 1,clinical_epic,Clinical / Epic,ai_assisted_automation,true,"President, Medical Group",Chief Medical Information Officer,IT Finance Business Partner,2478865,470984,2230979,13319264,fund,build,2026-07-01,2027-06-28,2027-01,true,PMO / IT portfolio tracker,PRJ-MER-031,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-032,enterprise AI evaluation harness 1,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4056325,1054645,3752101,0,defer,pilot,2026-08-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-032,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-033,provider data matching remediation 1,data_ai,Data & AI,data_readiness,true,VP Provider Operations,Chief Data and AI Officer,IT Finance Business Partner,2704217,892392,2569006,0,continue,scale,2026-09-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-033,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-034,digital front door personalization wave 1,digital,Digital & Member Experience,ai_use_case,true,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4281677,1712671,4174635,19135838,challenge,intake,2026-01-01,2027-09-28,2027-04,true,PMO / IT portfolio tracker,PRJ-MER-034,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-035,engineering Copilot controlled rollout 1,architecture,Enterprise Architecture,ai_enabled_tool_rollout,true,Chief Architect,Chief Architect,IT Finance Business Partner,2929568,1376897,2929568,14416944,fund,business_case,2026-02-01,2027-10-28,2027-05,true,PMO / IT portfolio tracker,PRJ-MER-035,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-036,HR workforce analytics modernization 1,corporate_it,Corporate IT,analytics_bi,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4507028,2433795,4056325,0,continue,funded,2026-03-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-036,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-037,claims appeal response assistant 1,apps,Enterprise Applications,ai_assisted_automation,true,VP Claims Operations,VP Enterprise Applications,IT Finance Business Partner,3154920,378590,2918301,16951795,fund,build,2026-04-01,2027-02-28,2027-07,true,PMO / IT portfolio tracker,PRJ-MER-037,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-038,regulated AI sandbox foundation 1,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4732380,899152,4495761,0,continue,pilot,2026-05-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-038,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-039,business glossary and value lineage cleanup 1,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3380271,878870,3295764,0,continue,scale,2026-06-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-039,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-040,clinical inbox summarization pilot 1,clinical_epic,Clinical / Epic,ai_use_case,true,CMIO,Chief Medical Information Officer,IT Finance Business Partner,4957731,1636051,4957731,22157284,challenge,intake,2026-07-01,2027-05-28,2027-10,true,PMO / IT portfolio tracker,PRJ-MER-040,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-041,Workday finance close assistant expansion 1,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,VP Controller,VP Corporate IT,IT Finance Business Partner,3605622,1442249,3245060,17743931,fund,business_case,2026-08-01,2027-06-28,2027-01,true,PMO / IT portfolio tracker,PRJ-MER-041,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-042,enterprise KPI semantic model 1,data_ai,Data & AI,analytics_bi,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2253514,1059152,2084500,0,continue,funded,2026-09-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-042,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-043,security incident narrative assistant 1,security,Cybersecurity & Risk,ai_assisted_automation,true,CISO,CISO,IT Finance Business Partner,3830974,2068726,3639425,20584321,fund,build,2026-01-01,2027-08-28,2027-03,true,PMO / IT portfolio tracker,PRJ-MER-043,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-044,AI model registry foundation 1,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2478865,297464,2416893,0,continue,pilot,2026-02-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-044,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-045,contract and policy corpus normalization 1,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4056325,770702,4056325,0,continue,scale,2026-03-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-045,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-046,member service intent detection pilot 1,digital,Digital & Member Experience,ai_use_case,true,SVP Member Services,Chief Digital Officer,IT Finance Business Partner,2704217,703096,2433795,12085792,challenge,intake,2026-04-01,2027-01-28,2027-06,true,PMO / IT portfolio tracker,PRJ-MER-046,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-047,ServiceNow virtual agent expansion 1,apps,Enterprise Applications,ai_enabled_tool_rollout,true,VP Enterprise Platforms,VP Enterprise Applications,IT Finance Business Partner,4281677,1412953,3960551,21070922,fund,business_case,2026-05-01,2027-02-28,2027-07,true,PMO / IT portfolio tracker,PRJ-MER-047,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-048,monthly close dashboard refresh 1,corporate_it,Corporate IT,analytics_bi,false,VP Controller,VP Corporate IT,IT Finance Business Partner,2929568,1171827,2783090,0,defer,funded,2026-06-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-048,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-049,clinical referral triage assistant 1,clinical_epic,Clinical / Epic,ai_assisted_automation,true,CMIO,Chief Medical Information Officer,IT Finance Business Partner,4507028,2118303,4394352,24216847,fund,build,2026-07-01,2027-04-28,2027-09,true,PMO / IT portfolio tracker,PRJ-MER-049,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-050,enterprise AI access management foundation 1,data_ai,Data & AI,platform_foundation,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3154920,1703657,3154920,0,continue,pilot,2026-08-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-050,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-051,measurement baseline data product 1,data_ai,Data & AI,data_readiness,true,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4732380,567886,4259142,0,continue,scale,2026-09-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-051,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-052,provider service request classification 1,apps,Enterprise Applications,ai_use_case,true,VP Provider Operations,VP Enterprise Applications,IT Finance Business Partner,3380271,642251,3126751,15107238,challenge,intake,2026-01-01,2027-07-28,2027-02,true,PMO / IT portfolio tracker,PRJ-MER-052,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-053,Corporate IT denials workflow redesign wave 2,corporate_it,Corporate IT,infrastructure,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4957731,1289010,4709844,0,continue,business_case,2026-02-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-053,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-054,Clinical / Epic HR case management upgrade wave 2,clinical_epic,Clinical / Epic,security,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,3605622,1189855,3515481,0,continue,funded,2026-03-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-054,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-055,Infrastructure & Cloud finance planning integration wave 2,infrastructure,Infrastructure & Cloud,mandatory_compliance,false,CTO,CTO,IT Finance Business Partner,2253514,901406,2253514,0,continue,build,2026-04-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-055,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-056,Enterprise Applications care management workflow upgrade wave 3,apps,Enterprise Applications,ordinary_it_project,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,3830974,1800558,3447877,0,defer,pilot,2026-05-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-056,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-057,Data & AI claims intake modernization wave 3,data_ai,Data & AI,clinical_epic,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,2478865,1338587,2292950,0,continue,scale,2026-06-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-057,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-058,Digital & Member Experience population health data mart wave 3,digital,Digital & Member Experience,infrastructure,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4056325,486759,3853509,0,continue,intake,2026-07-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-058,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-059,Cybersecurity & Risk interoperability interface refresh wave 3,security,Cybersecurity & Risk,security,false,CISO,CISO,IT Finance Business Partner,2704217,513801,2636612,0,continue,business_case,2026-08-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-059,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-060,Enterprise Architecture clinical device integration wave 3,architecture,Enterprise Architecture,mandatory_compliance,false,Chief Architect,Chief Architect,IT Finance Business Partner,4281677,1113236,4281677,0,continue,funded,2026-09-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-060,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-061,Corporate IT member mobile servicing wave 3,corporate_it,Corporate IT,ordinary_it_project,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,2929568,966757,2636611,0,continue,build,2026-01-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-061,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-062,Clinical / Epic provider portal remediation wave 3,clinical_epic,Clinical / Epic,clinical_epic,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,4507028,1802811,4169001,0,continue,pilot,2026-02-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-062,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-063,Infrastructure & Cloud pharmacy benefit rules cleanup wave 3,infrastructure,Infrastructure & Cloud,infrastructure,false,CTO,CTO,IT Finance Business Partner,3154920,1482812,2997174,0,continue,scale,2026-03-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-063,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-064,Enterprise Applications quality measure reporting upgrade wave 3,apps,Enterprise Applications,security,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,4732380,2555485,4614071,0,defer,intake,2026-04-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-064,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-065,Data & AI enterprise observability rollout wave 3,data_ai,Data & AI,mandatory_compliance,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,3380271,405633,3380271,0,continue,business_case,2026-05-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-065,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-066,Digital & Member Experience data warehouse cost optimization wave 3,digital,Digital & Member Experience,ordinary_it_project,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,4957731,941969,4461958,0,continue,funded,2026-06-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-066,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-067,Cybersecurity & Risk contact center routing cleanup wave 3,security,Cybersecurity & Risk,clinical_epic,false,CISO,CISO,IT Finance Business Partner,3605622,937462,3335200,0,continue,build,2026-07-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-067,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-068,Enterprise Architecture scheduling template optimization wave 3,architecture,Enterprise Architecture,infrastructure,false,Chief Architect,Chief Architect,IT Finance Business Partner,2253514,743660,2140838,0,continue,pilot,2026-08-01,2027-03-28,,false,PMO / IT portfolio tracker,PRJ-MER-068,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-069,Corporate IT desktop virtualization refresh wave 3,corporate_it,Corporate IT,security,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,3830974,1532390,3735200,0,continue,scale,2026-09-01,2027-04-28,,false,PMO / IT portfolio tracker,PRJ-MER-069,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-070,Clinical / Epic backup and recovery modernization wave 3,clinical_epic,Clinical / Epic,mandatory_compliance,false,Chief Medical Information Officer,Chief Medical Information Officer,IT Finance Business Partner,2478865,1165067,2478865,0,continue,intake,2026-01-01,2027-05-28,,false,PMO / IT portfolio tracker,PRJ-MER-070,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-071,Infrastructure & Cloud API gateway hardening wave 3,infrastructure,Infrastructure & Cloud,ordinary_it_project,false,CTO,CTO,IT Finance Business Partner,4056325,2190416,3650693,0,continue,business_case,2026-02-01,2027-06-28,,false,PMO / IT portfolio tracker,PRJ-MER-071,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-072,Enterprise Applications Epic reporting workbench cleanup wave 3,apps,Enterprise Applications,clinical_epic,false,VP Enterprise Applications,VP Enterprise Applications,IT Finance Business Partner,2704217,324506,2501401,0,defer,funded,2026-03-01,2027-07-28,,false,PMO / IT portfolio tracker,PRJ-MER-072,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-073,Data & AI denials workflow redesign wave 3,data_ai,Data & AI,infrastructure,false,Chief Data and AI Officer,Chief Data and AI Officer,IT Finance Business Partner,4281677,813519,4067593,0,continue,build,2026-04-01,2027-08-28,,false,PMO / IT portfolio tracker,PRJ-MER-073,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-074,Digital & Member Experience HR case management upgrade wave 3,digital,Digital & Member Experience,security,false,Chief Digital Officer,Chief Digital Officer,IT Finance Business Partner,2929568,761688,2856329,0,continue,pilot,2026-05-01,2027-09-28,,false,PMO / IT portfolio tracker,PRJ-MER-074,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-075,Cybersecurity & Risk finance planning integration wave 3,security,Cybersecurity & Risk,mandatory_compliance,false,CISO,CISO,IT Finance Business Partner,4507028,1487319,4507028,0,continue,scale,2026-06-01,2027-10-28,,false,PMO / IT portfolio tracker,PRJ-MER-075,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-076,Enterprise Architecture care management workflow upgrade wave 4,architecture,Enterprise Architecture,ordinary_it_project,false,Chief Architect,Chief Architect,IT Finance Business Partner,3154920,1261968,2839428,0,continue,intake,2026-07-01,2027-01-28,,false,PMO / IT portfolio tracker,PRJ-MER-076,2026-08-24,2026-08-24,monthly,synthetic_review_ready
meridian-health,PRJ-MER-077,Corporate IT claims intake modernization wave 4,corporate_it,Corporate IT,clinical_epic,false,VP Corporate IT,VP Corporate IT,IT Finance Business Partner,4732380,2224219,4377452,0,continue,business_case,2026-08-01,2027-02-28,,false,PMO / IT portfolio tracker,PRJ-MER-077,2026-08-24,2026-08-24,monthly,synthetic_review_ready
