canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,billing_account_id,subscription_id,service_family,region,cost_center,commitment_id,amortized_cost_usd,actual_cost_usd,forecast_cost_usd,commitment_drawdown_pct,overage_state,tag_quality_state,review_state,row_hash
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-5,source_system_extracts/cloud_billing_export.csv,12,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,283128,301200,319272,0.19,within_commitment,accepted,accepted,104d92a0a04410389afdb7ab236fcbbca273854d01431b2f3fe59545cbfbb67e
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-08-6,source_system_extracts/cloud_billing_export.csv,13,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-08-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,324488,345200,365912,0.19,within_commitment,accepted,accepted,4b4593a4a582062309495efd07fdf86935fdf89c33b031861431b51eb8bc12de
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-1,source_system_extracts/cloud_billing_export.csv,14,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,122576,130400,138224,0.25,within_commitment,accepted,accepted,0a6ff8393d93931501a725f302e415e94690af4bf125b72afab74c7a29cba090
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-2,source_system_extracts/cloud_billing_export.csv,15,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,163936,174400,184864,0.26,within_commitment,accepted,accepted,a4415510b8234047ad2fdc36e15db850727a943a4cbb0ac7586ddf1fa1d256be
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-3,source_system_extracts/cloud_billing_export.csv,16,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,205296,218400,231504,0.26,within_commitment,accepted,accepted,2067d1a67945f0fbb047eab53810355a63861927b5be8f7beb1b884d7cee6150
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-4,source_system_extracts/cloud_billing_export.csv,17,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,246656,262400,278144,0.27,within_commitment,accepted,accepted,2f97153b863bfa30d7a0caf2ac98d676d9521a451554d881ddbe56b68a932232
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-5,source_system_extracts/cloud_billing_export.csv,18,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,288016,306400,324784,0.27,within_commitment,accepted,accepted,528d4622fbd65a54ab1d08e5ff88ce78138c57409171d247517da3134557a2e4
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-09-6,source_system_extracts/cloud_billing_export.csv,19,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-09-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,329376,350400,371424,0.28,within_commitment,accepted,accepted,66c75bb64f7e679b653fce069c8f3275dcf52bfa6e81a6461efdee2079a91307
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-1,source_system_extracts/cloud_billing_export.csv,20,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,127464,135600,143736,0.33,within_commitment,accepted,accepted,46bacba56389bad7315d6847404438b6d0ccc11a5ada2325a9371e136c6bac83
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-2,source_system_extracts/cloud_billing_export.csv,21,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,168824,179600,190376,0.34,within_commitment,accepted,accepted,185501cb9aed5bc17244c95f67f321da3e5831494010505f59609e24bd2dfffb
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-3,source_system_extracts/cloud_billing_export.csv,22,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,210184,223600,237016,0.34,within_commitment,accepted,accepted,9878961f5c8e9c12a162f61c780ddf2e587d88ded2096184a9bc80f32f5f86ee
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-4,source_system_extracts/cloud_billing_export.csv,23,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,251544,267600,283656,0.35,within_commitment,accepted,accepted,87f89fecd3dcce8fc1d843be01cf4fff38f37216f4e3aba9a307669a971fca67
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-5,source_system_extracts/cloud_billing_export.csv,24,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,292904,311600,330296,0.35,within_commitment,accepted,accepted,3e13ece23ad0df90820593b63600a2d6713db24721c4b7f65fc7c39d36c5573a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-10-6,source_system_extracts/cloud_billing_export.csv,25,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-10-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,334264,355600,376936,0.36,within_commitment,accepted,accepted,58c215209ea663770760d268290dfc9e8433c0037af8c1916f2f2571b9e1b2c8
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-1,source_system_extracts/cloud_billing_export.csv,26,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,132352,140800,149248,0.42,within_commitment,accepted,accepted,9b5e159b2e36d6be1a20a1d2184f453e1f661e9f6eefcada24acb7ef18a08df6
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-2,source_system_extracts/cloud_billing_export.csv,27,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,173712,184800,195888,0.42,within_commitment,accepted,accepted,ef91e95fb33dbe15b3be334364e7daf76fe3e02db61c5978dd7528e39ea10d04
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-3,source_system_extracts/cloud_billing_export.csv,28,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,215072,228800,242528,0.43,within_commitment,accepted,accepted,c68692f36c4d849b3451e7b7f8745af9ede24164775946db92216a069ef7950e
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-4,source_system_extracts/cloud_billing_export.csv,29,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,256432,272800,289168,0.43,within_commitment,accepted,accepted,795bab52a69ce7796d152a4c97d10eff68ce53f024743d016edf090384e771a5
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-5,source_system_extracts/cloud_billing_export.csv,30,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,297792,316800,335808,0.44,within_commitment,accepted,accepted,80c853807b978794838aec351ab70aa43855b053cea615e1151e95d092c0ae2a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-11-6,source_system_extracts/cloud_billing_export.csv,31,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-11-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,339152,360800,382448,0.44,within_commitment,accepted,accepted,5d34e8859167c12f1c1afbcac20647de274e3332f3d0b2b24609ea6cdd54182a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-1,source_system_extracts/cloud_billing_export.csv,32,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,137240,146000,154760,0.5,within_commitment,accepted,accepted,3799c218ee45c6330f578642b5183cbf583c24eec634a44da85216bf193899f4
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-2,source_system_extracts/cloud_billing_export.csv,33,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,178600,190000,201400,0.51,within_commitment,accepted,accepted,18f34c5a75b9ba260d441d44fbf07d6b4b549833bb6017a01b7023ccd57b84d9
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-3,source_system_extracts/cloud_billing_export.csv,34,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,219960,234000,248040,0.51,within_commitment,accepted,accepted,a512c088e8a13b8e06006f9ca88c7e28cfa9d4196fdc20be71804551745da302
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-4,source_system_extracts/cloud_billing_export.csv,35,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,261320,278000,294680,0.52,within_commitment,accepted,accepted,80e494dc4afef175fcf13869246986ed655d7be7e86ca94c0b629693e09ac42a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-5,source_system_extracts/cloud_billing_export.csv,36,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,302680,322000,341320,0.52,within_commitment,incomplete_tags,accepted,46a0a0b21b90ce623052640d0f8107da6ddbed911b6416c4182cb5f7d74c3f92
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2026-12-6,source_system_extracts/cloud_billing_export.csv,37,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2026-12-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,344040,366000,387960,0.53,within_commitment,accepted,accepted,8b759eea990c5524f8892cd77136670269f17c413cc780319f614e136075ee87
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-1,source_system_extracts/cloud_billing_export.csv,38,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,142128,151200,160272,0.58,within_commitment,accepted,accepted,70145f98715bafde9402530eb13dcfc1d7bde3a5a72b2450f4756a856d1c42c4
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-2,source_system_extracts/cloud_billing_export.csv,39,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,183488,195200,206912,0.59,within_commitment,accepted,accepted,75b5da8ad81c1535f56525a9dd2623c408d8c3d83cb8cb9e9c60b7da6c3d479a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-3,source_system_extracts/cloud_billing_export.csv,40,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,224848,239200,253552,0.59,within_commitment,accepted,accepted,1f80bcafdafef2df7887107c0faa3bb155b35ff902fdfb5b83f27eff9139ddd5
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-4,source_system_extracts/cloud_billing_export.csv,41,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,266208,283200,300192,0.6,within_commitment,accepted,accepted,bbddde52fbd1dba676c352a092f7abd61913b4f78de9db9eaa8f129ecdc17c19
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-5,source_system_extracts/cloud_billing_export.csv,42,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,307568,327200,346832,0.6,within_commitment,accepted,accepted,ac7949ae94b23b071cc69c1dbefc3c697c149c168b296b220e06c3d058facfee
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-01-6,source_system_extracts/cloud_billing_export.csv,43,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-01-6,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1005,Support,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,348928,371200,393472,0.61,within_commitment,accepted,accepted,c274b1389a17901d3c8e4998ae0f1c9da25c50f9b981e6b62b18898f311dc14a
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-02-1,source_system_extracts/cloud_billing_export.csv,44,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-02-1,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1000,Compute,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,147016,156400,165784,0.67,within_commitment,accepted,accepted,2bd0a6c3bd2e242a7dacf676d33467fac3af2864343ead4a124a58ca9302eda8
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-02-2,source_system_extracts/cloud_billing_export.csv,45,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-02-2,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1001,Storage,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,188376,200400,212424,0.67,within_commitment,accepted,accepted,b55c22d78ff691ff3f4ca500485b01a14557105260216694920d54b4a189ceb4
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-02-3,source_system_extracts/cloud_billing_export.csv,46,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-02-3,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1002,Data and AI,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,229736,244400,259064,0.68,within_commitment,accepted,accepted,443ed9bab4be4d52801911873e07137e6dda988561189ee1dc7899e257c0e033
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-02-4,source_system_extracts/cloud_billing_export.csv,47,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-02-4,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1003,Networking,westus3,CLOUD-CORE,AZ-COMMIT-EA-2026,271096,288400,305704,0.68,within_commitment,accepted,accepted,07873d3d615c1ad8668f53dc3558ca260e1840c1a5e342869fa91d8109918409
CloudBillingLine,CloudBillingLine:CLOUD-CTR-061-2027-02-5,source_system_extracts/cloud_billing_export.csv,48,skyharbor_global,Northgate Cloud Cost Management,"Actual, amortized, forecast and commitment export",CLOUD-CTR-061-2027-02-5,extract-cloud-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,AZ-BILL-SHG-001,SUB-SHG-1004,Security,eastus,CLOUD-CORE,AZ-COMMIT-EA-2026,312456,332400,352344,0.69,within_commitment,accepted,accepted,a9bb378549fa847dac0af77e4de90313f2909b0ab285e32633b0df5ef96e7d91
