canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,event_id,milestone,party,milestone_date,offer_amount_usd,concession_summary,benchmark_evidence_ref,approved_strategy_ref,owner_role,review_state,row_hash
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-bafo_1-supplier,source_system_extracts/renewal_negotiation_history.csv,12,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-bafo_1-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,bafo_1,supplier,2027-03-10,43065000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-6,,Supplier account lead,accepted,0adff3b18881bacc890f326fdc4a6b4e281fb68fb344b44293b80c99b99b6dbe
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-bafo_1-buyer,source_system_extracts/renewal_negotiation_history.csv,13,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-bafo_1-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,bafo_1,buyer,2027-03-18,39150000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-6,,VP Strategic Sourcing,accepted,392b10b5a473e9e553cd8f9b701436e1cfe813f781905850f11fc8e24d5bb2fa
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-bafo_2-supplier,source_system_extracts/renewal_negotiation_history.csv,14,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-bafo_2-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,bafo_2,supplier,2027-04-10,42456000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-7,,Supplier account lead,accepted,d175f143becc7728552e81e8b9db77d9bff112404f804944ab8e2ee8ddf61088
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-bafo_2-buyer,source_system_extracts/renewal_negotiation_history.csv,15,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-bafo_2-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,bafo_2,buyer,2027-04-18,38889000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-7,,VP Strategic Sourcing,accepted,cab3ade45875123ca80a55f9463f01dedb624fd17577533312551866787fddf5
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-decision-supplier,source_system_extracts/renewal_negotiation_history.csv,16,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-090-decision-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,decision,supplier,2027-04-10,41847000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-8,,Supplier account lead,accepted,339f48c668e290021f366281d9041de68652ef2290875d6fddf51ed011a997fc
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-090-decision-buyer,source_system_extracts/renewal_negotiation_history.csv,17,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-090-decision-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,EVT-REN-CTR-090,decision,buyer,2027-04-18,38628000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-090-8,,VP Strategic Sourcing,accepted,e639d4ab3c278c2115cf46fd3aaa4d111b49b9b19af41e85a21e1ecea232d5fb
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-strategy_lock-supplier,source_system_extracts/renewal_negotiation_history.csv,18,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-strategy_lock-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,strategy_lock,supplier,2027-01-10,37948000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-1,,Supplier account lead,in_review,cc0c098b5ac57a1ebcfac2a299673c8c12dc02e58738cb47cb72a1b1ab7ed789
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-strategy_lock-buyer,source_system_extracts/renewal_negotiation_history.csv,19,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-strategy_lock-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,strategy_lock,buyer,2027-01-18,33294000,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-1,STRAT-CTR-061-001,Technology Category Lead,in_review,1874058a8a7f27837e7b2090c2f4269c20b283f6d689419de938ec4c6da4f17c
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-rfi-supplier,source_system_extracts/renewal_negotiation_history.csv,20,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-rfi-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,rfi,supplier,2027-01-10,37446800,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-2,,Supplier account lead,in_review,4aade7e1cf6fad10ae513b33d1a630971d803e04705c79d5f62c5916ab9763de
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-rfi-buyer,source_system_extracts/renewal_negotiation_history.csv,21,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-rfi-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,rfi,buyer,2027-01-18,33079200,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-2,,Technology Category Lead,in_review,a1970761936e0afba7465f05497c9c3214c9b31c6a68f714afa92debf69f431b
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-initial_quote-supplier,source_system_extracts/renewal_negotiation_history.csv,22,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-initial_quote-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,initial_quote,supplier,2027-02-10,36945600,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-3,,Supplier account lead,in_review,5fe9a7508044b721a8f49f890d43da4275aa4266364b76383e49229925135dd1
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-initial_quote-buyer,source_system_extracts/renewal_negotiation_history.csv,23,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-initial_quote-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,initial_quote,buyer,2027-02-18,32864400,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-3,,Technology Category Lead,in_review,36a3b7c9ef1070f5a2cbfdedbc14b1c7045235b2d7dfb1b4183197d01daa55cd
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-redline-supplier,source_system_extracts/renewal_negotiation_history.csv,24,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-redline-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,redline,supplier,2027-02-10,36444400,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-4,,Supplier account lead,in_review,ebd010bcf4165688ad6137af1c22181317c259c9e63e93327b027d75ac030d7f
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-redline-buyer,source_system_extracts/renewal_negotiation_history.csv,25,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-redline-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,redline,buyer,2027-02-18,32649600,"Discount, service credits, transition controls, and reporting obligations improved.",BENCH-CTR-061-4,,Technology Category Lead,in_review,e11353e6b955e5ec1ca9708ac05c5db89b4eacf2939ec94653f9f07c8a99dc3f
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-commercial_counter-supplier,source_system_extracts/renewal_negotiation_history.csv,26,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-commercial_counter-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,commercial_counter,supplier,2027-03-10,35943200,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-5,,Supplier account lead,blocked_by_baseline_conflict,61856d416cbcd385ff1e4aa4ffcd865de82782bf8041b9bc055cc8077172a54b
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-commercial_counter-buyer,source_system_extracts/renewal_negotiation_history.csv,27,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-commercial_counter-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,commercial_counter,buyer,2027-03-18,32434800,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-5,,Technology Category Lead,blocked_by_baseline_conflict,4bfc69e9ef4acbd5496355040e23f84783faac1aa9fcdfaef4e25cdd1a652aae
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-bafo_1-supplier,source_system_extracts/renewal_negotiation_history.csv,28,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-bafo_1-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,bafo_1,supplier,2027-03-10,35442000,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-6,,Supplier account lead,blocked_by_baseline_conflict,67cfc6985f0b994c5c2a0ea9882509763f73c1ba928850123f76bc118a0eafc7
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-bafo_1-buyer,source_system_extracts/renewal_negotiation_history.csv,29,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-bafo_1-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,bafo_1,buyer,2027-03-18,32220000,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-6,,Technology Category Lead,blocked_by_baseline_conflict,2f8146a5e0fbf21e2d990d79c282785b46a7224262400c5807b9e441ea59cf2a
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-bafo_2-supplier,source_system_extracts/renewal_negotiation_history.csv,30,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-bafo_2-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,bafo_2,supplier,2027-04-10,34940800,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-7,,Supplier account lead,blocked_by_baseline_conflict,e09a9516a40d6c150f93a093c88d725e6e15ee2ebed645dea669aef431d794e3
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-bafo_2-buyer,source_system_extracts/renewal_negotiation_history.csv,31,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-bafo_2-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,bafo_2,buyer,2027-04-18,32005200,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-7,,Technology Category Lead,blocked_by_baseline_conflict,21aa14cdcb8ccbcd4573e9fd99327531c3e34102d6a6350da6295cc815595a01
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-decision-supplier,source_system_extracts/renewal_negotiation_history.csv,32,skyharbor_global,SAP Ariba Strategic Sourcing,Negotiation event and offer history export,NEG-CTR-061-decision-supplier,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,decision,supplier,2027-04-10,34439600,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-8,,Supplier account lead,blocked_by_baseline_conflict,1a3028fa7262a68300883ce7fdf262579d2eb1eb873fc123ed6030491349135c
RenewalNegotiationEvent,RenewalNegotiationEvent:NEG-CTR-061-decision-buyer,source_system_extracts/renewal_negotiation_history.csv,33,skyharbor_global,AbarVa Source workflow,Negotiation event and offer history export,NEG-CTR-061-decision-buyer,extract-renewal-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,EVT-REN-CTR-061,decision,buyer,2027-04-18,31790400,Negotiation remains diagnosis-only because commercial baseline conflict is unresolved.,BENCH-CTR-061-8,,Technology Category Lead,blocked_by_baseline_conflict,3be16adc4d3255a163e1cd9fb29e511c88bff83187de3897988f60dc6eebd73b
