canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,case_event_id,case_id,contract_id,opportunity_id,case_stage,event_timestamp,owner_role,state,notes
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,12,skyharbor_global,CASE-OP-CTR-090-AVOID-001-evidence_requested,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,evidence_requested,2027-02-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,13,skyharbor_global,CASE-OP-CTR-090-AVOID-001-diagnosed,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,diagnosed,2027-02-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,14,skyharbor_global,CASE-OP-CTR-090-AVOID-001-reviewed,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,15,skyharbor_global,CASE-OP-CTR-090-AVOID-001-approved,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,16,skyharbor_global,CASE-OP-CTR-090-AVOID-001-negotiating,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-AVOID-001,source_system_extracts/case_lifecycle_events.csv,17,skyharbor_global,CASE-OP-CTR-090-AVOID-001-finance_tracking,CASE-CTR-090-001,CTR-090,OP-CTR-090-AVOID-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-AVOID-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,18,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-identified,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,identified,2027-01-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,19,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-triaged,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,triaged,2027-01-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,20,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-evidence_requested,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,evidence_requested,2027-02-20T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,21,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-diagnosed,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,diagnosed,2027-02-27T12:00:00Z,VP Strategic Sourcing,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,22,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-reviewed,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,23,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-approved,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,24,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-negotiating,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-090-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,25,skyharbor_global,CASE-OP-CTR-090-NEGOTIATE-001-finance_tracking,CASE-CTR-090-001,CTR-090,OP-CTR-090-NEGOTIATE-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,active,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Reconciled case lifecycle event for OP-CTR-090-NEGOTIATE-001.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,26,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-identified,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,identified,2027-01-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,27,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-triaged,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,triaged,2027-01-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,28,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-evidence_requested,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,evidence_requested,2027-02-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,29,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-diagnosed,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,diagnosed,2027-02-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,30,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-reviewed,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,31,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-approved,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,32,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-negotiating,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-RECOVERY-001,source_system_extracts/case_lifecycle_events.csv,33,skyharbor_global,CASE-OP-CTR-061-RECOVERY-001-finance_tracking,CASE-CTR-061-001,CTR-061,OP-CTR-061-RECOVERY-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,34,skyharbor_global,CASE-OP-CTR-061-AVOID-001-identified,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,identified,2027-01-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,35,skyharbor_global,CASE-OP-CTR-061-AVOID-001-triaged,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,triaged,2027-01-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,36,skyharbor_global,CASE-OP-CTR-061-AVOID-001-evidence_requested,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,evidence_requested,2027-02-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,37,skyharbor_global,CASE-OP-CTR-061-AVOID-001-diagnosed,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,diagnosed,2027-02-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,38,skyharbor_global,CASE-OP-CTR-061-AVOID-001-reviewed,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,39,skyharbor_global,CASE-OP-CTR-061-AVOID-001-approved,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,40,skyharbor_global,CASE-OP-CTR-061-AVOID-001-negotiating,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-AVOID-001,source_system_extracts/case_lifecycle_events.csv,41,skyharbor_global,CASE-OP-CTR-061-AVOID-001-finance_tracking,CASE-CTR-061-001,CTR-061,OP-CTR-061-AVOID-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,42,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-identified,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,identified,2027-01-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,43,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-triaged,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,triaged,2027-01-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,44,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-evidence_requested,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,evidence_requested,2027-02-20T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,45,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-diagnosed,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,diagnosed,2027-02-27T12:00:00Z,Technology Category Lead,complete,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,46,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-reviewed,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,reviewed,2027-03-20T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,47,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-approved,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,approved,2027-03-27T12:00:00Z,Legal and Finance reviewers,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,48,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-negotiating,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,negotiating,2027-04-20T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
CaseLifecycleEvent,CaseLifecycleEvent:OP-CTR-061-NEGOTIATE-001,source_system_extracts/case_lifecycle_events.csv,49,skyharbor_global,CASE-OP-CTR-061-NEGOTIATE-001-finance_tracking,CASE-CTR-061-001,CTR-061,OP-CTR-061-NEGOTIATE-001,finance_tracking,2027-04-27T12:00:00Z,Negotiation lead,blocked_by_fact_conflict,SYNTHETIC DEMO DATA - NOT CLIENT DATA - FOR ABARVA SOURCE DEEP-EVIDENCE REVIEW ONLY. Lifecycle is intentionally blocked after diagnosis for conflict-control proof.
