canonical_object_type,canonical_object_id,source_file,source_row,tenant_key,contract_id,contract_archetype,evidence_class,applicability_state,required_for_stage,reason,current_availability,freshness_state,review_state,owner_role,next_request
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:15,source_system_extracts/contract_evidence_applicability.csv,15,skyharbor_global,CTR-090,enterprise_saas,evidence_linkage,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:16,source_system_extracts/contract_evidence_applicability.csv,16,skyharbor_global,CTR-090,enterprise_saas,fact_assertion,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:17,source_system_extracts/contract_evidence_applicability.csv,17,skyharbor_global,CTR-090,enterprise_saas,fact_conflict,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:18,source_system_extracts/contract_evidence_applicability.csv,18,skyharbor_global,CTR-090,enterprise_saas,review_decision,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:19,source_system_extracts/contract_evidence_applicability.csv,19,skyharbor_global,CTR-090,enterprise_saas,opportunity_case,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:20,source_system_extracts/contract_evidence_applicability.csv,20,skyharbor_global,CTR-090,enterprise_saas,opportunity_calculation,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:21,source_system_extracts/contract_evidence_applicability.csv,21,skyharbor_global,CTR-090,enterprise_saas,case_lifecycle,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:22,source_system_extracts/contract_evidence_applicability.csv,22,skyharbor_global,CTR-090,enterprise_saas,approval,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:23,source_system_extracts/contract_evidence_applicability.csv,23,skyharbor_global,CTR-090,enterprise_saas,commercial_learning,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:24,source_system_extracts/contract_evidence_applicability.csv,24,skyharbor_global,CTR-090,enterprise_saas,new_event_control,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:25,source_system_extracts/contract_evidence_applicability.csv,25,skyharbor_global,CTR-061,cloud_and_saas,contract_register,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:26,source_system_extracts/contract_evidence_applicability.csv,26,skyharbor_global,CTR-061,cloud_and_saas,supplier_master,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:27,source_system_extracts/contract_evidence_applicability.csv,27,skyharbor_global,CTR-061,cloud_and_saas,document_inventory,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:28,source_system_extracts/contract_evidence_applicability.csv,28,skyharbor_global,CTR-061,cloud_and_saas,clause_extraction,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:29,source_system_extracts/contract_evidence_applicability.csv,29,skyharbor_global,CTR-061,cloud_and_saas,pricing_schedule,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:30,source_system_extracts/contract_evidence_applicability.csv,30,skyharbor_global,CTR-061,cloud_and_saas,ap_invoice_line,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:31,source_system_extracts/contract_evidence_applicability.csv,31,skyharbor_global,CTR-061,cloud_and_saas,po_line,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:32,source_system_extracts/contract_evidence_applicability.csv,32,skyharbor_global,CTR-061,cloud_and_saas,sla_event,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:33,source_system_extracts/contract_evidence_applicability.csv,33,skyharbor_global,CTR-061,cloud_and_saas,usage_entitlement,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:34,source_system_extracts/contract_evidence_applicability.csv,34,skyharbor_global,CTR-061,cloud_and_saas,cloud_billing,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:35,source_system_extracts/contract_evidence_applicability.csv,35,skyharbor_global,CTR-061,cloud_and_saas,vms_rate_card,conditional,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:36,source_system_extracts/contract_evidence_applicability.csv,36,skyharbor_global,CTR-061,cloud_and_saas,renewal_negotiation,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:37,source_system_extracts/contract_evidence_applicability.csv,37,skyharbor_global,CTR-061,cloud_and_saas,finance_realization,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:38,source_system_extracts/contract_evidence_applicability.csv,38,skyharbor_global,CTR-061,cloud_and_saas,evidence_linkage,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:39,source_system_extracts/contract_evidence_applicability.csv,39,skyharbor_global,CTR-061,cloud_and_saas,fact_assertion,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:40,source_system_extracts/contract_evidence_applicability.csv,40,skyharbor_global,CTR-061,cloud_and_saas,fact_conflict,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:41,source_system_extracts/contract_evidence_applicability.csv,41,skyharbor_global,CTR-061,cloud_and_saas,review_decision,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:42,source_system_extracts/contract_evidence_applicability.csv,42,skyharbor_global,CTR-061,cloud_and_saas,opportunity_case,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:43,source_system_extracts/contract_evidence_applicability.csv,43,skyharbor_global,CTR-061,cloud_and_saas,opportunity_calculation,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:44,source_system_extracts/contract_evidence_applicability.csv,44,skyharbor_global,CTR-061,cloud_and_saas,case_lifecycle,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:45,source_system_extracts/contract_evidence_applicability.csv,45,skyharbor_global,CTR-061,cloud_and_saas,approval,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:46,source_system_extracts/contract_evidence_applicability.csv,46,skyharbor_global,CTR-061,cloud_and_saas,commercial_learning,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
EvidenceApplicability,EvidenceApplicability:contract_evidence_applicability.csv:47,source_system_extracts/contract_evidence_applicability.csv,47,skyharbor_global,CTR-061,cloud_and_saas,new_event_control,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
