tenant_key,entity_id,entity_name,entity_scope,application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,system_scope,evidence_id,source_file,source_row,value_source,source_basis
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-011-azure-openai-landing-zon,Azure OpenAI Landing Zone,ai_platform,VP Innovation,VP Enterprise Applications,Microsoft Azure,SaaS / cloud,production,high,1600000,461,15,genai_platform,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-011-azure-openai-landing-zon,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,12,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-012-okta-workforce-identity,Okta Workforce Identity,identity,CISO,CISO,Okta,SaaS / cloud,production,critical,1300000,498,16,identity_access,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-012-okta-workforce-identity,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,13,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-013-crowdstrike-falcon,CrowdStrike Falcon,cybersecurity,CISO,CISO,CrowdStrike,SaaS / cloud,production,critical,1700000,535,17,endpoint_security,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-013-crowdstrike-falcon,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,14,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-014-splunk-enterprise-securi,Splunk Enterprise Security,cybersecurity,CISO,CISO,Splunk,hybrid,production,critical,2100000,572,18,security_monitoring,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-014-splunk-enterprise-securi,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,15,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-015-coupa-enterprise-procure,Coupa Enterprise Procurement,procurement,CFO,VP Enterprise Applications,Coupa,hybrid,production,high,1400000,609,19,source_to_pay,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-015-coupa-enterprise-procure,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,16,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-016-icertis-contract-intelli,Icertis Contract Intelligence,clm,General Counsel,VP Enterprise Applications,Icertis,hybrid,production,high,900000,646,20,contract_lifecycle,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-016-icertis-contract-intelli,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,17,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-017-legal-tracker,Legal Tracker,legal_ops,General Counsel,VP Enterprise Applications,Thomson Reuters,hybrid,production,medium,420000,350,21,matter_management,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-017-legal-tracker,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,18,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-018-power-bi-executive-repor,Power BI Executive Reporting,analytics,Corporate CIO,VP Enterprise Applications,Microsoft,hybrid,production,high,760000,737,3,executive_reporting,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-018-power-bi-executive-repor,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,19,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-019-master-data-management-h,Master Data Management Hub,mdm,Chief Data Officer,Chief Data Officer,Informatica,hybrid,production,high,1250000,424,4,master_data,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-019-master-data-management-h,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,20,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-020-enterprise-api-gateway,Enterprise API Gateway,api,Corporate CIO,VP Enterprise Architecture,Azure API Management,hybrid,production,high,620000,461,5,api_management,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-020-enterprise-api-gateway,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,21,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-021-privileged-access-manage,Privileged Access Manager,cybersecurity,CISO,CISO,CyberArk,hybrid,production,critical,820000,498,6,privileged_access,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-021-privileged-access-manage,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,22,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-022-data-quality-observabili,Data Quality Observability,data_quality,Chief Data Officer,Chief Data Officer,Monte Carlo,hybrid,production,high,540000,535,7,data_quality,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-022-data-quality-observabili,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,23,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-023-rpa-orchestration,RPA Orchestration,automation,Corporate CIO,VP Enterprise Applications,UiPath,hybrid,production,high,920000,572,8,shared_services_automation,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-023-rpa-orchestration,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,24,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,holdco,SYS-HOLDCO-024-corporate-data-catalog,Corporate Data Catalog,data_governance,Chief Data Officer,Chief Data Officer,Microsoft Purview,hybrid,production,high,680000,609,9,lineage_catalog,standardize_and_optimize,corporate_shared_service,SYS-HOLDCO-024-corporate-data-catalog,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,25,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-001-erp-and-order-management,Northline ERP and Order Management,erp,CFO / CIO,Northline IT Operations Manager,Infor M3,hybrid cloud / SaaS,production,critical,4116667,2846,10,order_to_cash_and_finance,standardize_integration_and_master_data,opco_local_application,SYS-OPCO-NLS-001-erp-and-order-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,26,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-002-warehouse-management,Northline Warehouse Management,wms,VP Supply Chain,Northline IT Operations Manager,Manhattan Active WM,hybrid cloud / SaaS,production,critical,3141667,2550,11,warehouse_execution,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-002-warehouse-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,27,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-003-transportation-managemen,Northline Transportation Management,tms,VP Supply Chain,Northline IT Operations Manager,Blue Yonder TMS,hybrid cloud / SaaS,production,critical,2275000,887,12,transportation_planning,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-003-transportation-managemen,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,28,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-004-yard-management,Northline Yard Management,yms,OpCo CIO,Northline IT Operations Manager,PINC Yard Management,SaaS / cloud,production,high,823333,924,13,yard_visibility,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-004-yard-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,29,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-005-fleet-telematics,Northline Fleet Telematics,fleet,OpCo CIO,Northline IT Operations Manager,Samsara,SaaS / cloud,production,high,996667,961,14,driver_safety_and_vehicle_telemetry,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-005-fleet-telematics,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,30,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-006-route-optimization,Northline Route Optimization,routing,OpCo CIO,Northline IT Operations Manager,Descartes Route Planner,SaaS / cloud,production,high,953333,998,15,route_optimization,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-006-route-optimization,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,31,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-007-carrier-visibility,Northline Carrier Visibility,visibility,OpCo CIO,Northline IT Operations Manager,project44,SaaS / cloud,production,high,693333,1885,16,shipment_visibility,certify_for_ai_and_executive_reporting,opco_local_application,SYS-OPCO-NLS-007-carrier-visibility,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,32,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-008-freight-audit-and-pay,Northline Freight Audit and Pay,freight_audit,OpCo CIO,Northline IT Operations Manager,Cass Information Systems,SaaS / cloud,production,medium,563333,1072,17,freight_settlement,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-008-freight-audit-and-pay,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,33,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-009-cold-chain-monitoring,Northline Cold Chain Monitoring,iot,OpCo CIO,Northline IT Operations Manager,Sensitech,plant/branch edge + hybrid,production,critical,747500,1109,18,temperature_monitoring,stabilize_edge_integration_and_lineage,opco_local_application,SYS-OPCO-NLS-009-cold-chain-monitoring,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,34,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-010-edi-gateway,Northline EDI Gateway,edi,OpCo CIO,Northline IT Operations Manager,TrueCommerce,SaaS / cloud,production,critical,628333,1146,19,customer_supplier_edi,standardize_integration_and_master_data,opco_local_application,SYS-OPCO-NLS-010-edi-gateway,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,35,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-011-dock-appointment-schedul,Northline Dock Appointment Scheduling,scheduling,OpCo CIO,Northline IT Operations Manager,Opendock,SaaS / cloud,production,medium,303333,850,20,appointment_scheduling,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-011-dock-appointment-schedul,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,36,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-012-inventory-optimization,Northline Inventory Optimization,planning,OpCo CIO,Northline IT Operations Manager,ToolsGroup SO99+,SaaS / cloud,production,high,910000,2587,21,inventory_optimization,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-012-inventory-optimization,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,37,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-013-labor-management,Northline Labor Management,labor,HR Director,Northline IT Operations Manager,Blue Yonder Labor Management,SaaS / cloud,production,high,660833,924,3,warehouse_labor,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-013-labor-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,38,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-014-customer-delivery-portal,Northline Customer Delivery Portal,portal,Chief Commercial Officer,Northline IT Operations Manager,Salesforce Experience Cloud,SaaS / cloud,production,high,801667,1811,4,customer_delivery,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-014-customer-delivery-portal,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,39,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-015-quality-and-recall-trace,Northline Quality and Recall Traceability,qms,OpCo CIO,Northline IT Operations Manager,TraceGains,SaaS / cloud,production,critical,585000,998,5,food_traceability,certify_for_ai_and_executive_reporting,opco_local_application,SYS-OPCO-NLS-015-quality-and-recall-trace,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,40,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-016-driver-mobile-proof-of-d,Northline Driver Mobile Proof of Delivery,mobile,OpCo CIO,Northline IT Operations Manager,Zebra Reflexis,SaaS / cloud,production,high,465833,1885,6,proof_of_delivery,certify_for_ai_and_executive_reporting,opco_local_application,SYS-OPCO-NLS-016-driver-mobile-proof-of-d,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,41,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-017-supply-chain-control-tow,Northline Supply Chain Control Tower,analytics,OpCo CIO,Northline IT Operations Manager,Power BI + Azure Data Explorer,SaaS / cloud,production,high,769167,1922,7,operations_analytics,certify_for_ai_and_executive_reporting,opco_local_application,SYS-OPCO-NLS-017-supply-chain-control-tow,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,42,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-018-dc-automation-controls,Northline DC Automation Controls,ot,OpCo CIO,Northline IT Operations Manager,Honeywell Intelligrated,plant/branch edge + hybrid,production,critical,1040000,1109,8,material_handling_controls,stabilize_edge_integration_and_lineage,opco_local_application,SYS-OPCO-NLS-018-dc-automation-controls,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,43,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-019-customer-claims-and-osan,Northline Customer Claims and OS&D Tracker,claims,Chief Commercial Officer,Northline IT Operations Manager,Salesforce Service Cloud,SaaS / cloud,production,medium,346667,1146,9,delivery_claims,rationalize_or_modernize,opco_local_application,SYS-OPCO-NLS-019-customer-claims-and-osan,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,44,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,SYS-OPCO-NLS-020-supplier-appointment-and,Northline Supplier Appointment and ASN Portal,supplier_portal,OpCo CIO,Northline IT Operations Manager,Körber Dock Scheduling,SaaS / cloud,production,high,390000,1700,10,supplier_asn_appointments,maintain_with_controls,opco_local_application,SYS-OPCO-NLS-020-supplier-appointment-and,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,45,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-001-client-crm-and-pipeline,Brightmark Client CRM and Pipeline,crm,Chief Commercial Officer,Brightmark IT Operations Manager,Salesforce Sales Cloud,SaaS / cloud,production,high,764400,877,11,client_pipeline,rationalize_or_modernize,opco_local_application,SYS-OPCO-BMS-001-client-crm-and-pipeline,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,46,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-002-campaign-management,Brightmark Campaign Management,marketing_ops,OpCo CIO,Brightmark IT Operations Manager,Adobe Campaign,SaaS / cloud,production,critical,1319500,494,12,campaign_execution,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-002-campaign-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,47,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-003-marketing-resource-manag,Brightmark Marketing Resource Management,mrm,OpCo CIO,Brightmark IT Operations Manager,Aprimo,SaaS / cloud,production,high,882700,531,13,marketing_resource_management,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-003-marketing-resource-manag,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,48,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-004-digital-asset-management,Brightmark Digital Asset Management,dam,OpCo CIO,Brightmark IT Operations Manager,Bynder,SaaS / cloud,production,medium,473200,568,14,digital_asset_governance,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-004-digital-asset-management,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,49,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-005-loyalty-operations-platf,Brightmark Loyalty Operations Platform,loyalty,OpCo CIO,Brightmark IT Operations Manager,Kobie Alchemy,SaaS / cloud,production,critical,1001000,605,15,loyalty_operations,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-005-loyalty-operations-platf,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,50,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-006-promotion-fulfillment,Brightmark Promotion Fulfillment,fulfillment,OpCo CIO,Brightmark IT Operations Manager,Epsilon PeopleCloud,SaaS / cloud,production,critical,855400,642,16,promotion_fulfillment,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-006-promotion-fulfillment,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,51,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-007-consent-and-preference-c,Brightmark Consent and Preference Center,privacy,OpCo CIO,Brightmark IT Operations Manager,OneTrust Consent,SaaS / cloud,production,critical,418600,679,17,consent_management,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-007-consent-and-preference-c,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,52,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-008-client-project-accountin,Brightmark Client Project Accounting,finance,OpCo CIO,Brightmark IT Operations Manager,NetSuite Projects,SaaS / cloud,production,high,618800,716,18,project_accounting,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-008-client-project-accountin,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,53,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-009-creative-workflow-proofi,Brightmark Creative Workflow Proofing,workflow,OpCo CIO,Brightmark IT Operations Manager,Workfront,SaaS / cloud,production,high,564200,420,19,creative_workflow,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-009-creative-workflow-proofi,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,54,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-010-print-production-estimat,Brightmark Print Production Estimating,production,OpCo CIO,Brightmark IT Operations Manager,EFI Pace,SaaS / cloud,production,medium,354900,457,20,print_estimating,rationalize_or_modernize,opco_local_application,SYS-OPCO-BMS-010-print-production-estimat,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,55,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,SYS-OPCO-BMS-011-fulfillment-warehouse-li,Brightmark Fulfillment Warehouse Lite,wms,VP Supply Chain,Brightmark IT Operations Manager,ShipBob WMS,hybrid cloud / SaaS,production,medium,436800,1334,21,fulfillment_inventory,maintain_with_controls,opco_local_application,SYS-OPCO-BMS-011-fulfillment-warehouse-li,datasets/lakeshore-industries-synthetic-v7-holdco/V7_05_applications_systems.csv,56,synthetic_pilot_reconciled,v7_holdco_entity_scoped_system
