tenant_key,portfolio_company,fiscal_year,budget_area,business_function,accounting_treatment,spend_posture,spend_type,amount_type,total_it_budget_usd,actual_spend_ytd_usd,forecast_spend_usd,opex_amount_usd,capex_amount_usd,run_amount_usd,change_amount_usd,vendor_amount_usd,labor_amount_usd,confidence,freshness,source_template,is_synthetic
lakeshore-holdings,Crestpoint Marketing Services,FY2026,infrastructure_cloud,IT,mixed,mixed_run_change,cloud_consumption,annual_budget,5320000.0,2554000.0,5214000.0,4788000.0,532000.0,4256000.0,1064000.0,3298000.0,2022000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,data_center_network,IT,mixed,mixed_run_change,data_center,annual_budget,3040000.0,1459000.0,2979000.0,1976000.0,1064000.0,2432000.0,608000.0,1885000.0,1155000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,ERP_finance_systems,finance,mixed,mixed_run_change,ERP_platform,annual_budget,6080000.0,2918000.0,5958000.0,3952000.0,2128000.0,3344000.0,2736000.0,3770000.0,2310000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,data_analytics,IT,mixed,mixed_run_change,data_platform,annual_budget,4180000.0,2006000.0,4096000.0,2717000.0,1463000.0,2299000.0,1881000.0,2592000.0,1588000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,workplace_collaboration,HR,mixed,mixed_run_change,collaboration_tools,annual_budget,3040000.0,1459000.0,2979000.0,2979000.0,61000.0,2432000.0,608000.0,1885000.0,1155000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,security_risk_compliance,risk_compliance,mixed,mixed_run_change,security_tools,annual_budget,3040000.0,1459000.0,2979000.0,2979000.0,61000.0,2432000.0,608000.0,1885000.0,1155000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,application_development,IT,mixed,mixed_run_change,internal_labor,annual_budget,4560000.0,2189000.0,4469000.0,4104000.0,456000.0,2508000.0,2052000.0,1140000.0,3420000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,business_applications,operations,mixed,mixed_run_change,SaaS,annual_budget,3800000.0,1824000.0,3724000.0,3724000.0,76000.0,3040000.0,760000.0,2356000.0,1444000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,operations_service_management,IT,mixed,mixed_run_change,managed_services,annual_budget,2280000.0,1094000.0,2234000.0,2234000.0,46000.0,1824000.0,456000.0,1414000.0,866000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,AI_automation,enterprise_shared_services,mixed,mixed_run_change,AI_tooling,annual_budget,1520000.0,730000.0,1490000.0,1490000.0,30000.0,836000.0,684000.0,942000.0,578000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Crestpoint Marketing Services,FY2026,telecom_end_user,IT,mixed,mixed_run_change,end_user_compute,annual_budget,1140000.0,547000.0,1117000.0,1117000.0,23000.0,912000.0,228000.0,707000.0,433000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,infrastructure_cloud,IT,mixed,mixed_run_change,cloud_consumption,annual_budget,5040000.0,2419000.0,4939000.0,4536000.0,504000.0,4032000.0,1008000.0,3125000.0,1915000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,data_center_network,IT,mixed,mixed_run_change,data_center,annual_budget,2880000.0,1382000.0,2822000.0,1872000.0,1008000.0,2304000.0,576000.0,1786000.0,1094000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,ERP_finance_systems,finance,mixed,mixed_run_change,ERP_platform,annual_budget,5760000.0,2765000.0,5645000.0,3744000.0,2016000.0,3168000.0,2592000.0,3571000.0,2189000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,data_analytics,IT,mixed,mixed_run_change,data_platform,annual_budget,3960000.0,1901000.0,3881000.0,2574000.0,1386000.0,2178000.0,1782000.0,2455000.0,1505000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,workplace_collaboration,HR,mixed,mixed_run_change,collaboration_tools,annual_budget,2880000.0,1382000.0,2822000.0,2822000.0,58000.0,2304000.0,576000.0,1786000.0,1094000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,security_risk_compliance,risk_compliance,mixed,mixed_run_change,security_tools,annual_budget,2880000.0,1382000.0,2822000.0,2822000.0,58000.0,2304000.0,576000.0,1786000.0,1094000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,application_development,IT,mixed,mixed_run_change,internal_labor,annual_budget,4320000.0,2074000.0,4234000.0,3888000.0,432000.0,2376000.0,1944000.0,1080000.0,3240000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,business_applications,operations,mixed,mixed_run_change,SaaS,annual_budget,3600000.0,1728000.0,3528000.0,3528000.0,72000.0,2880000.0,720000.0,2232000.0,1368000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,operations_service_management,IT,mixed,mixed_run_change,managed_services,annual_budget,2160000.0,1037000.0,2117000.0,2117000.0,43000.0,1728000.0,432000.0,1339000.0,821000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,AI_automation,enterprise_shared_services,mixed,mixed_run_change,AI_tooling,annual_budget,1440000.0,691000.0,1411000.0,1411000.0,29000.0,792000.0,648000.0,893000.0,547000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Riverton Consumer Products,FY2026,telecom_end_user,IT,mixed,mixed_run_change,end_user_compute,annual_budget,1080000.0,518000.0,1058000.0,1058000.0,22000.0,864000.0,216000.0,670000.0,410000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,infrastructure_cloud,IT,mixed,mixed_run_change,cloud_consumption,annual_budget,1330000.0,638000.0,1303000.0,1197000.0,133000.0,1064000.0,266000.0,825000.0,505000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,data_center_network,IT,mixed,mixed_run_change,data_center,annual_budget,760000.0,365000.0,745000.0,494000.0,266000.0,608000.0,152000.0,471000.0,289000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,ERP_finance_systems,finance,mixed,mixed_run_change,ERP_platform,annual_budget,1520000.0,730000.0,1490000.0,988000.0,532000.0,836000.0,684000.0,942000.0,578000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,data_analytics,IT,mixed,mixed_run_change,data_platform,annual_budget,1045000.0,502000.0,1024000.0,679000.0,366000.0,575000.0,470000.0,648000.0,397000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,workplace_collaboration,HR,mixed,mixed_run_change,collaboration_tools,annual_budget,760000.0,365000.0,745000.0,745000.0,15000.0,608000.0,152000.0,471000.0,289000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,security_risk_compliance,risk_compliance,mixed,mixed_run_change,security_tools,annual_budget,760000.0,365000.0,745000.0,745000.0,15000.0,608000.0,152000.0,471000.0,289000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,application_development,IT,mixed,mixed_run_change,internal_labor,annual_budget,1140000.0,547000.0,1117000.0,1026000.0,114000.0,627000.0,513000.0,285000.0,855000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,business_applications,operations,mixed,mixed_run_change,SaaS,annual_budget,950000.0,456000.0,931000.0,931000.0,19000.0,760000.0,190000.0,589000.0,361000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,operations_service_management,IT,mixed,mixed_run_change,managed_services,annual_budget,570000.0,274000.0,559000.0,559000.0,11000.0,456000.0,114000.0,353000.0,217000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,AI_automation,enterprise_shared_services,mixed,mixed_run_change,AI_tooling,annual_budget,380000.0,182000.0,372000.0,372000.0,8000.0,209000.0,171000.0,236000.0,144000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Arborfield Workplace Services,FY2026,telecom_end_user,IT,mixed,mixed_run_change,end_user_compute,annual_budget,285000.0,137000.0,279000.0,279000.0,6000.0,228000.0,57000.0,177000.0,108000.0,medium,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,infrastructure_cloud,IT,mixed,mixed_run_change,cloud_consumption,annual_budget,1680000.0,806000.0,1646000.0,1512000.0,168000.0,1344000.0,336000.0,1042000.0,638000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,data_center_network,IT,mixed,mixed_run_change,data_center,annual_budget,960000.0,461000.0,941000.0,624000.0,336000.0,768000.0,192000.0,595000.0,365000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,ERP_finance_systems,finance,mixed,mixed_run_change,ERP_platform,annual_budget,1920000.0,922000.0,1882000.0,1248000.0,672000.0,1056000.0,864000.0,1190000.0,730000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,data_analytics,IT,mixed,mixed_run_change,data_platform,annual_budget,1320000.0,634000.0,1294000.0,858000.0,462000.0,726000.0,594000.0,818000.0,502000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,workplace_collaboration,HR,mixed,mixed_run_change,collaboration_tools,annual_budget,960000.0,461000.0,941000.0,941000.0,19000.0,768000.0,192000.0,595000.0,365000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,security_risk_compliance,risk_compliance,mixed,mixed_run_change,security_tools,annual_budget,960000.0,461000.0,941000.0,941000.0,19000.0,768000.0,192000.0,595000.0,365000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,application_development,IT,mixed,mixed_run_change,internal_labor,annual_budget,1440000.0,691000.0,1411000.0,1296000.0,144000.0,792000.0,648000.0,360000.0,1080000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,business_applications,operations,mixed,mixed_run_change,SaaS,annual_budget,1200000.0,576000.0,1176000.0,1176000.0,24000.0,960000.0,240000.0,744000.0,456000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,operations_service_management,IT,mixed,mixed_run_change,managed_services,annual_budget,720000.0,346000.0,706000.0,706000.0,14000.0,576000.0,144000.0,446000.0,274000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,AI_automation,enterprise_shared_services,mixed,mixed_run_change,AI_tooling,annual_budget,480000.0,230000.0,470000.0,470000.0,10000.0,264000.0,216000.0,298000.0,182000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
lakeshore-holdings,Lakeshore Shared Services,FY2026,telecom_end_user,IT,mixed,mixed_run_change,end_user_compute,annual_budget,360000.0,173000.0,353000.0,353000.0,7000.0,288000.0,72000.0,223000.0,137000.0,low,FY2026 synthetic reference,F12_it-budget-financials,True
