problem_id,opened_at,closed_at,ci_id,business_service,priority,root_cause_category,known_error,status,owner,linked_incident_count,workaround_available,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PRB0001814,2026-03-15,2026-04-15,CI-DATA-027,Member Portal,P3,Ownership gap,true,Resolved,EHR Platform Engineering,3,true,ServiceNow,PRB1814,Problem Management,2026-05-01,0.82,true,
PRB0001815,2026-01-16,,CI-DATA-030,Clinical Trial Matching,P3,Capacity management,false,Open,Revenue Cycle Technology,4,true,ServiceNow,PRB1815,Problem Management,2026-05-01,0.82,true,
PRB0001816,2026-02-17,2026-04-17,CI-DATA-033,Secure Research Workspace,P2,Configuration drift,true,Resolved,Research Technology Office,5,false,ServiceNow,PRB1816,Problem Management,2026-05-01,0.82,true,
PRB0001817,2026-03-18,2026-04-18,CI-DATA-036,Patient Messaging,P3,Vendor defect,false,Resolved,IT Sourcing,6,true,ServiceNow,PRB1817,Problem Management,2026-05-01,0.82,true,
PRB0001818,2026-01-19,2026-04-19,CI-DATA-039,Document Management,P3,Monitoring gap,true,Known Error,Integration Operations,7,true,ServiceNow,PRB1818,Problem Management,2026-05-01,0.82,true,
PRB0001819,2026-02-20,2026-04-20,CI-DATA-042,Laboratory Information System,P3,Ownership gap,false,Resolved,Cloud Platform Services,8,true,ServiceNow,PRB1819,Problem Management,2026-05-01,0.82,true,
PRB0001820,2026-03-21,,CI-DATA-045,Referral Management,P2,Capacity management,true,Open,Cybersecurity Governance,9,false,ServiceNow,PRB1820,Problem Management,2026-05-01,0.82,true,
PRB0001821,2026-01-22,2026-04-02,CI-DATA-048,Provider Directory,P3,Configuration drift,false,Known Error,Clinical Informatics,10,true,ServiceNow,PRB1821,Problem Management,2026-05-01,0.82,true,
PRB0001822,2026-02-23,2026-04-03,CI-DATA-051,Bioinformatics Pipeline,P1,Vendor defect,true,Resolved,Contact Center Technology,11,true,ServiceNow,PRB1822,Problem Management,2026-05-01,0.82,true,
PRB0001823,2026-03-24,2026-04-04,CI-DATA-054,Nurse Triage Platform,P3,Monitoring gap,false,Resolved,Payer Platform Operations,12,true,ServiceNow,PRB1823,Problem Management,2026-05-01,0.82,true,
PRB0001824,2026-01-25,2026-04-05,CI-DATA-057,Enterprise API Gateway,P2,Ownership gap,true,Known Error,EHR Platform Engineering,13,false,ServiceNow,PRB1824,Problem Management,2026-05-01,0.82,true,
PRB0001825,2026-02-01,,CI-DATA-060,Contract Lifecycle Management,P3,Capacity management,false,Open,Revenue Cycle Technology,14,true,ServiceNow,PRB1825,Problem Management,2026-05-01,0.82,true,
PRB0001826,2026-03-02,2026-04-07,CI-DATA-063,Pharmacy Dispensing,P3,Configuration drift,true,Resolved,Research Technology Office,15,true,ServiceNow,PRB1826,Problem Management,2026-05-01,0.82,true,
PRB0001827,2026-01-03,2026-04-08,CI-DATA-066,Claims Gateway,P3,Vendor defect,false,Known Error,IT Sourcing,16,true,ServiceNow,PRB1827,Problem Management,2026-05-01,0.82,true,
PRB0001828,2026-02-04,2026-04-09,CI-INT-MIRTH,Clinical Integration,P2,Monitoring gap,true,Resolved,Contact Center Technology,3,false,ServiceNow,PRB1828,Problem Management,2026-05-01,0.82,true,
PRB0001829,2026-03-05,2026-04-10,CI-APP-SERVICENOW,IT Service Management,P3,Ownership gap,false,Resolved,Payer Platform Operations,4,true,ServiceNow,PRB1829,Problem Management,2026-05-01,0.82,true,
PRB0001830,2026-01-06,,CI-DATA-RESEARCH-LAKE,Research Analytics,P3,Capacity management,true,Open,EHR Platform Engineering,5,true,ServiceNow,PRB1830,Problem Management,2026-05-01,0.82,true,
PRB0001831,2026-02-07,2026-04-12,CI-SEC-OKTA,Identity and Access,P3,Configuration drift,false,Resolved,Revenue Cycle Technology,6,true,ServiceNow,PRB1831,Problem Management,2026-05-01,0.82,true,
PRB0001832,2026-03-08,2026-04-13,CI-CLOUD-AZURE-PROD,Cloud Hosting,P2,Vendor defect,true,Resolved,Research Technology Office,7,false,ServiceNow,PRB1832,Problem Management,2026-05-01,0.82,true,
PRB0001833,2026-01-09,2026-04-14,CI-SVC-002,Laboratory Information System,P1,Monitoring gap,false,Known Error,Cloud Platform Services,8,true,ServiceNow,PRB1833,Problem Management,2026-05-01,0.82,true,
PRB0001834,2026-02-10,2026-04-15,CI-SVC-005,Referral Management,P3,Ownership gap,true,Resolved,Cybersecurity Governance,9,true,ServiceNow,PRB1834,Problem Management,2026-05-01,0.82,true,
PRB0001835,2026-03-11,,CI-SVC-008,Provider Directory,P3,Capacity management,false,Open,Clinical Informatics,10,true,ServiceNow,PRB1835,Problem Management,2026-05-01,0.82,true,
