facility_id,business_unit_id,facility_name,facility_type,region,service_line,bed_count,annual_encounters,revenue_owner,it_site_owner,critical_services,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FAC-MH-014,BU-AMBULATORY,East Market Imaging Center,Clinic,Mid-Atlantic,Ambulatory,,158750,Service Line Finance,Revenue Cycle Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-14,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-015,BU-AMBULATORY,Downtown Surgery Center,Clinic,North,Research,,167500,Shared Services Finance,Contact Center Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-15,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-016,BU-AMBULATORY,Meridian Data Center A,Data Center,Central,Revenue Cycle,,176250,Regional CFO,Cloud Platform Services,Epic|Identity|Network|ServiceNow,Facilities master,FAC-16,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-017,BU-AMBULATORY,Meridian Data Center B,Data Center,Southeast,Contact Center,,185000,Service Line Finance,Research Technology Office,Epic|Identity|Network|ServiceNow,Facilities master,FAC-17,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-018,BU-SHARED,Population Health Operations,Shared Services,Mid-Atlantic,Population Health,,193750,Shared Services Finance,Payer Platform Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-18,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-019,BU-SHARED,Payer Services Center,Shared Services,North,Acute Care,,202500,Regional CFO,Cybersecurity Governance,Epic|Identity|Network|ServiceNow,Facilities master,FAC-19,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-020,BU-SHARED,Clinical Command Center,Shared Services,Central,Ambulatory,,211250,Service Line Finance,IT Sourcing,Epic|Identity|Network|ServiceNow,Facilities master,FAC-20,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-021,BU-SHARED,Home Health Operations,Shared Services,Southeast,Research,,220000,Shared Services Finance,EHR Platform Engineering,Epic|Identity|Network|ServiceNow,Facilities master,FAC-21,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-022,BU-SHARED,Specialty Pharmacy Hub,Shared Services,Mid-Atlantic,Revenue Cycle,,228750,Regional CFO,Clinical Informatics,Epic|Identity|Network|ServiceNow,Facilities master,FAC-22,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-023,BU-SHARED,Behavioral Health Center,Research Center,North,Contact Center,,237500,Service Line Finance,Integration Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-23,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-024,BU-SPECIALTY,Orthopedics Institute,Research Center,Central,Population Health,,246250,Shared Services Finance,Revenue Cycle Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-24,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-025,BU-SPECIALTY,Heart and Vascular Institute,Research Center,Southeast,Acute Care,,255000,Regional CFO,Contact Center Technology,Epic|Identity|Network|ServiceNow,Facilities master,FAC-25,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-026,BU-SPECIALTY,Oncology Institute,Research Center,Mid-Atlantic,Ambulatory,,263750,Service Line Finance,Cloud Platform Services,Epic|Identity|Network|ServiceNow,Facilities master,FAC-26,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-027,BU-SPECIALTY,Women and Children Service Line,Research Center,North,Research,,272500,Shared Services Finance,Research Technology Office,Epic|Identity|Network|ServiceNow,Facilities master,FAC-27,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-028,BU-SPECIALTY,Telehealth Operations,Research Center,Central,Revenue Cycle,,281250,Regional CFO,Payer Platform Operations,Epic|Identity|Network|ServiceNow,Facilities master,FAC-28,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-029,BU-SPECIALTY,Revenue Cycle Shared Services,Research Center,Southeast,Contact Center,,290000,Service Line Finance,Cybersecurity Governance,Epic|Identity|Network|ServiceNow,Facilities master,FAC-29,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-030,BU-SPECIALTY,Supply Chain Operations,Research Center,Mid-Atlantic,Population Health,,298750,Shared Services Finance,IT Sourcing,Epic|Identity|Network|ServiceNow,Facilities master,FAC-30,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-031,BU-SPECIALTY,Research Bioinformatics Office,Research Center,North,Acute Care,,307500,Regional CFO,EHR Platform Engineering,Epic|Identity|Network|ServiceNow,Facilities master,FAC-31,Facilities Operations,2026-05-01,0.84,true,
FAC-MH-032,BU-SPECIALTY,Enterprise PMO,Research Center,Central,Ambulatory,,316250,Service Line Finance,Clinical Informatics,Epic|Identity|Network|ServiceNow,Facilities master,FAC-32,Facilities Operations,2026-05-01,0.84,true,
