sla_id,business_service,ci_id,sla_name,metric_name,target_value,unit,measurement_source,owner,breach_count_90d,trending_status,penalty_or_impact,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SLA-MH-0036,Revenue Cycle,CI-LEGACY-VM-021,Revenue Cycle availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0036,Service Management,2026-06-04,0.83,true,
SLA-MH-0037,Patient Access,CI-LEGACY-VM-022,Patient Access availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0037,Service Management,2026-06-04,0.83,true,
SLA-MH-0038,Claims,CI-LEGACY-VM-023,Claims availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0038,Service Management,2026-06-04,0.83,true,
SLA-MH-0039,Care Management,CI-LEGACY-VM-024,Care Management availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0039,Service Management,2026-06-04,0.83,true,
SLA-MH-0040,Cloud Hosting,CI-LEGACY-VM-025,Cloud Hosting availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0040,Service Management,2026-06-04,0.83,true,
SLA-MH-0041,Enterprise Analytics,CI-LEGACY-VM-026,Enterprise Analytics availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0041,Service Management,2026-06-04,0.83,true,
SLA-MH-0042,Clinical Documentation,CI-LEGACY-VM-027,Clinical Documentation availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,6,Improving,Clinical continuity risk,SLA repository,SLA-MH-0042,Service Management,2026-06-04,0.83,true,
SLA-MH-0043,Revenue Cycle,CI-LEGACY-VM-028,Revenue Cycle availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0043,Service Management,2026-06-04,0.83,true,
SLA-MH-0044,Patient Access,CI-LEGACY-VM-029,Patient Access availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0044,Service Management,2026-06-04,0.83,true,
SLA-MH-0045,Claims,CI-LEGACY-VM-030,Claims availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0045,Service Management,2026-06-04,0.83,true,
SLA-MH-0046,Care Management,CI-LEGACY-VM-031,Care Management availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0046,Service Management,2026-06-04,0.83,true,
SLA-MH-0047,Cloud Hosting,CI-LEGACY-VM-032,Cloud Hosting availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0047,Service Management,2026-06-04,0.83,true,
SLA-MH-0048,Enterprise Analytics,CI-LEGACY-VM-033,Enterprise Analytics availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0048,Service Management,2026-06-04,0.83,true,
SLA-MH-0049,Clinical Documentation,CI-LEGACY-VM-034,Clinical Documentation availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Clinical continuity risk,SLA repository,SLA-MH-0049,Service Management,2026-06-04,0.83,true,
SLA-MH-0050,Revenue Cycle,CI-LEGACY-VM-035,Revenue Cycle availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0050,Service Management,2026-06-04,0.83,true,
SLA-MH-0051,Patient Access,CI-LEGACY-VM-036,Patient Access availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0051,Service Management,2026-06-04,0.83,true,
SLA-MH-0052,Claims,CI-LEGACY-VM-037,Claims availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0052,Service Management,2026-06-04,0.83,true,
SLA-MH-0053,Care Management,CI-LEGACY-VM-038,Care Management availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0053,Service Management,2026-06-04,0.83,true,
SLA-MH-0054,Cloud Hosting,CI-LEGACY-VM-039,Cloud Hosting availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0054,Service Management,2026-06-04,0.83,true,
SLA-MH-0055,Enterprise Analytics,CI-LEGACY-VM-040,Enterprise Analytics availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0055,Service Management,2026-06-04,0.83,true,
SLA-MH-0056,Clinical Documentation,CI-LEGACY-VM-041,Clinical Documentation availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,2,Worsening,Clinical continuity risk,SLA repository,SLA-MH-0056,Service Management,2026-06-04,0.83,true,
SLA-MH-0057,Revenue Cycle,CI-LEGACY-VM-042,Revenue Cycle availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0057,Service Management,2026-06-04,0.83,true,
SLA-MH-0058,Patient Access,CI-LEGACY-VM-043,Patient Access availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0058,Service Management,2026-06-04,0.83,true,
SLA-MH-0059,Claims,CI-LEGACY-VM-044,Claims availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0059,Service Management,2026-06-04,0.83,true,
SLA-MH-0060,Care Management,CI-LEGACY-VM-045,Care Management availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0060,Service Management,2026-06-04,0.83,true,
SLA-MH-0061,Cloud Hosting,CI-LEGACY-VM-046,Cloud Hosting availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0061,Service Management,2026-06-04,0.83,true,
SLA-MH-0062,Enterprise Analytics,CI-LEGACY-VM-047,Enterprise Analytics availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0062,Service Management,2026-06-04,0.83,true,
SLA-MH-0063,Clinical Documentation,CI-LEGACY-VM-048,Clinical Documentation availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,0,Improving,Clinical continuity risk,SLA repository,SLA-MH-0063,Service Management,2026-06-04,0.83,true,
SLA-MH-0064,Revenue Cycle,CI-LEGACY-VM-049,Revenue Cycle availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0064,Service Management,2026-06-04,0.83,true,
SLA-MH-0065,Patient Access,CI-LEGACY-VM-050,Patient Access availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0065,Service Management,2026-06-04,0.83,true,
SLA-MH-0066,Claims,CI-LEGACY-VM-051,Claims availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0066,Service Management,2026-06-04,0.83,true,
SLA-MH-0067,Care Management,CI-LEGACY-VM-052,Care Management availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0067,Service Management,2026-06-04,0.83,true,
SLA-MH-0068,Cloud Hosting,CI-LEGACY-VM-053,Cloud Hosting availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0068,Service Management,2026-06-04,0.83,true,
SLA-MH-0069,Enterprise Analytics,CI-LEGACY-VM-054,Enterprise Analytics availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0069,Service Management,2026-06-04,0.83,true,
SLA-MH-0070,Clinical Documentation,CI-LEGACY-VM-055,Clinical Documentation availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Clinical continuity risk,SLA repository,SLA-MH-0070,Service Management,2026-06-04,0.83,true,
SLA-MH-0071,Revenue Cycle,CI-LEGACY-VM-056,Revenue Cycle availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0071,Service Management,2026-06-04,0.83,true,
SLA-MH-0072,Patient Access,CI-LEGACY-VM-057,Patient Access availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0072,Service Management,2026-06-04,0.83,true,
SLA-MH-0073,Claims,CI-LEGACY-VM-058,Claims availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0073,Service Management,2026-06-04,0.83,true,
SLA-MH-0074,Care Management,CI-LEGACY-VM-059,Care Management availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0074,Service Management,2026-06-04,0.83,true,
SLA-MH-0075,Cloud Hosting,CI-LEGACY-VM-060,Cloud Hosting availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0075,Service Management,2026-06-04,0.83,true,
SLA-MH-0076,Enterprise Analytics,CI-LEGACY-VM-061,Enterprise Analytics availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0076,Service Management,2026-06-04,0.83,true,
SLA-MH-0077,Clinical Documentation,CI-LEGACY-VM-062,Clinical Documentation availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,5,Worsening,Clinical continuity risk,SLA repository,SLA-MH-0077,Service Management,2026-06-04,0.83,true,
SLA-MH-0078,Revenue Cycle,CI-LEGACY-VM-063,Revenue Cycle availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0078,Service Management,2026-06-04,0.83,true,
SLA-MH-0079,Patient Access,CI-LEGACY-VM-064,Patient Access availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0079,Service Management,2026-06-04,0.83,true,
SLA-MH-0080,Claims,CI-LEGACY-VM-065,Claims availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0080,Service Management,2026-06-04,0.83,true,
SLA-MH-0081,Care Management,CI-LEGACY-VM-066,Care Management availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0081,Service Management,2026-06-04,0.83,true,
SLA-MH-0082,Cloud Hosting,CI-LEGACY-VM-067,Cloud Hosting availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0082,Service Management,2026-06-04,0.83,true,
SLA-MH-0083,Enterprise Analytics,CI-LEGACY-VM-068,Enterprise Analytics availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0083,Service Management,2026-06-04,0.83,true,
SLA-MH-0084,Clinical Documentation,CI-LEGACY-VM-069,Clinical Documentation availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,3,Improving,Clinical continuity risk,SLA repository,SLA-MH-0084,Service Management,2026-06-04,0.83,true,
SLA-MH-0085,Revenue Cycle,CI-LEGACY-VM-070,Revenue Cycle availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0085,Service Management,2026-06-04,0.83,true,
SLA-MH-0086,Patient Access,CI-LEGACY-VM-071,Patient Access availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0086,Service Management,2026-06-04,0.83,true,
SLA-MH-0087,Claims,CI-LEGACY-VM-072,Claims availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0087,Service Management,2026-06-04,0.83,true,
SLA-MH-0088,Care Management,CI-LEGACY-VM-073,Care Management availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0088,Service Management,2026-06-04,0.83,true,
SLA-MH-0089,Cloud Hosting,CI-LEGACY-VM-074,Cloud Hosting availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0089,Service Management,2026-06-04,0.83,true,
SLA-MH-0090,Enterprise Analytics,CI-LEGACY-VM-075,Enterprise Analytics availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0090,Service Management,2026-06-04,0.83,true,
SLA-MH-0091,Clinical Documentation,CI-LEGACY-VM-076,Clinical Documentation availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Clinical continuity risk,SLA repository,SLA-MH-0091,Service Management,2026-06-04,0.83,true,
SLA-MH-0092,Revenue Cycle,CI-LEGACY-VM-077,Revenue Cycle availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0092,Service Management,2026-06-04,0.83,true,
SLA-MH-0093,Patient Access,CI-LEGACY-VM-078,Patient Access availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0093,Service Management,2026-06-04,0.83,true,
SLA-MH-0094,Claims,CI-LEGACY-VM-079,Claims availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0094,Service Management,2026-06-04,0.83,true,
SLA-MH-0095,Care Management,CI-LEGACY-VM-080,Care Management availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0095,Service Management,2026-06-04,0.83,true,
SLA-MH-0096,Cloud Hosting,CI-LEGACY-VM-081,Cloud Hosting availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,6,Improving,Operational escalation,SLA repository,SLA-MH-0096,Service Management,2026-06-04,0.83,true,
SLA-MH-0097,Enterprise Analytics,CI-LEGACY-VM-082,Enterprise Analytics availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0097,Service Management,2026-06-04,0.83,true,
SLA-MH-0098,Clinical Documentation,CI-LEGACY-VM-083,Clinical Documentation availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,8,Worsening,Clinical continuity risk,SLA repository,SLA-MH-0098,Service Management,2026-06-04,0.83,true,
SLA-MH-0099,Revenue Cycle,CI-LEGACY-VM-084,Revenue Cycle availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0099,Service Management,2026-06-04,0.83,true,
SLA-MH-0100,Patient Access,CI-LEGACY-VM-085,Patient Access availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0100,Service Management,2026-06-04,0.83,true,
SLA-MH-0101,Claims,CI-LEGACY-VM-086,Claims availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0101,Service Management,2026-06-04,0.83,true,
SLA-MH-0102,Care Management,CI-LEGACY-VM-087,Care Management availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Platform Reliability,3,Improving,Operational escalation,SLA repository,SLA-MH-0102,Service Management,2026-06-04,0.83,true,
SLA-MH-0103,Cloud Hosting,CI-LEGACY-VM-088,Cloud Hosting availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Epic Platform Operations,4,Flat,Operational escalation,SLA repository,SLA-MH-0103,Service Management,2026-06-04,0.83,true,
SLA-MH-0104,Enterprise Analytics,CI-LEGACY-VM-089,Enterprise Analytics availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Integration Operations,5,Worsening,Operational escalation,SLA repository,SLA-MH-0104,Service Management,2026-06-04,0.83,true,
SLA-MH-0105,Clinical Documentation,CI-LEGACY-VM-090,Clinical Documentation availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Platform Reliability,6,Improving,Clinical continuity risk,SLA repository,SLA-MH-0105,Service Management,2026-06-04,0.83,true,
SLA-MH-0106,Revenue Cycle,CI-LEGACY-VM-091,Revenue Cycle availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Epic Platform Operations,7,Flat,Operational escalation,SLA repository,SLA-MH-0106,Service Management,2026-06-04,0.83,true,
SLA-MH-0107,Patient Access,CI-LEGACY-VM-092,Patient Access availability SLA,API latency,250,milliseconds,ServiceNow and observability platform,Integration Operations,8,Worsening,Operational escalation,SLA repository,SLA-MH-0107,Service Management,2026-06-04,0.83,true,
SLA-MH-0108,Claims,CI-LEGACY-VM-093,Claims availability SLA,Availability,99.9,percent,ServiceNow and observability platform,Platform Reliability,0,Improving,Operational escalation,SLA repository,SLA-MH-0108,Service Management,2026-06-04,0.83,true,
SLA-MH-0109,Care Management,CI-LEGACY-VM-094,Care Management availability SLA,P1 response,30,minutes,ServiceNow and observability platform,Epic Platform Operations,1,Flat,Operational escalation,SLA repository,SLA-MH-0109,Service Management,2026-06-04,0.83,true,
SLA-MH-0110,Cloud Hosting,CI-LEGACY-VM-095,Cloud Hosting availability SLA,Batch completion,4,hours,ServiceNow and observability platform,Integration Operations,2,Worsening,Operational escalation,SLA repository,SLA-MH-0110,Service Management,2026-06-04,0.83,true,
