vendor_id,vendor_name,contract_id,contract_name,category,contract_owner,relationship_owner,start_date,end_date,annual_spend_usd,termination_notice_days,baa_required,security_review_status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
VEN-CROWDSTRIKE,CrowdStrike,CON-CROWDSTRIKE-2027,Endpoint Security,Security,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,5100000,120,false,Due,Contract repository,CON-CROWDSTRIKE-2027,Strategic Sourcing,2026-06-04,0.89,true,
VEN-MH-013,Meridian Security Vendor 013,CON-MH-013-2027,Security Services Agreement 013,Security,Strategic Sourcing,Cloud Migration Factory,2026-01-14,2027-07-14,2499000,90,true,Due,Contract repository,CON-MH-013-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-014,Meridian Integration Vendor 014,CON-MH-014-2027,Integration Services Agreement 014,Integration,Strategic Sourcing,Data Governance,2026-01-15,2027-07-17,2672000,120,true,Conditional,Contract repository,CON-MH-014-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-015,Meridian Health Plan Operations Vendor 015,CON-MH-015-2027,Health Plan Operations Services Agreement 015,Health Plan Operations,Strategic Sourcing,Revenue Cycle Technology,2026-01-16,2027-07-20,2845000,180,false,Current,Contract repository,CON-MH-015-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-016,Meridian Revenue Cycle Vendor 016,CON-MH-016-2027,Revenue Cycle Services Agreement 016,Revenue Cycle,Strategic Sourcing,Epic Platform Operations,2026-01-17,2027-07-23,3018000,60,true,Due,Contract repository,CON-MH-016-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-017,Meridian Contact Center Vendor 017,CON-MH-017-2027,Contact Center Services Agreement 017,Contact Center,Strategic Sourcing,Cloud Migration Factory,2026-01-18,2027-07-26,3191000,90,true,Conditional,Contract repository,CON-MH-017-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-018,Meridian Device Management Vendor 018,CON-MH-018-2027,Device Management Services Agreement 018,Device Management,Strategic Sourcing,Data Governance,2026-01-19,2027-07-29,3364000,120,false,Current,Contract repository,CON-MH-018-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-019,Meridian Professional Services Vendor 019,CON-MH-019-2027,Professional Services Services Agreement 019,Professional Services,Strategic Sourcing,Revenue Cycle Technology,2026-01-20,2027-08-01,3537000,180,true,Due,Contract repository,CON-MH-019-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-020,Meridian Clinical Systems Vendor 020,CON-MH-020-2027,Clinical Systems Services Agreement 020,Clinical Systems,Strategic Sourcing,Epic Platform Operations,2026-01-21,2027-08-04,3710000,60,true,Conditional,Contract repository,CON-MH-020-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-021,Meridian Cloud Infrastructure Vendor 021,CON-MH-021-2027,Cloud Infrastructure Services Agreement 021,Cloud Infrastructure,Strategic Sourcing,Cloud Migration Factory,2026-01-22,2027-08-07,3883000,90,false,Current,Contract repository,CON-MH-021-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-022,Meridian Data Platform Vendor 022,CON-MH-022-2027,Data Platform Services Agreement 022,Data Platform,Strategic Sourcing,Data Governance,2026-01-23,2027-08-10,4056000,120,true,Due,Contract repository,CON-MH-022-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-023,Meridian Security Vendor 023,CON-MH-023-2027,Security Services Agreement 023,Security,Strategic Sourcing,Revenue Cycle Technology,2026-01-24,2027-08-13,4229000,180,true,Conditional,Contract repository,CON-MH-023-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-024,Meridian Integration Vendor 024,CON-MH-024-2027,Integration Services Agreement 024,Integration,Strategic Sourcing,Epic Platform Operations,2026-01-25,2027-08-16,4402000,60,false,Current,Contract repository,CON-MH-024-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-025,Meridian Health Plan Operations Vendor 025,CON-MH-025-2027,Health Plan Operations Services Agreement 025,Health Plan Operations,Strategic Sourcing,Cloud Migration Factory,2026-01-26,2027-08-19,4575000,90,true,Due,Contract repository,CON-MH-025-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-026,Meridian Revenue Cycle Vendor 026,CON-MH-026-2027,Revenue Cycle Services Agreement 026,Revenue Cycle,Strategic Sourcing,Data Governance,2026-01-27,2027-08-22,4748000,120,true,Conditional,Contract repository,CON-MH-026-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-027,Meridian Contact Center Vendor 027,CON-MH-027-2027,Contact Center Services Agreement 027,Contact Center,Strategic Sourcing,Revenue Cycle Technology,2026-01-28,2027-08-25,4921000,180,false,Current,Contract repository,CON-MH-027-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-028,Meridian Device Management Vendor 028,CON-MH-028-2027,Device Management Services Agreement 028,Device Management,Strategic Sourcing,Epic Platform Operations,2026-01-29,2027-08-28,294000,60,true,Due,Contract repository,CON-MH-028-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-029,Meridian Professional Services Vendor 029,CON-MH-029-2027,Professional Services Services Agreement 029,Professional Services,Strategic Sourcing,Cloud Migration Factory,2026-01-30,2027-08-31,467000,90,true,Conditional,Contract repository,CON-MH-029-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-030,Meridian Clinical Systems Vendor 030,CON-MH-030-2027,Clinical Systems Services Agreement 030,Clinical Systems,Strategic Sourcing,Data Governance,2026-01-31,2027-09-03,640000,120,false,Current,Contract repository,CON-MH-030-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-031,Meridian Cloud Infrastructure Vendor 031,CON-MH-031-2027,Cloud Infrastructure Services Agreement 031,Cloud Infrastructure,Strategic Sourcing,Revenue Cycle Technology,2026-02-01,2027-09-06,813000,180,true,Due,Contract repository,CON-MH-031-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-032,Meridian Data Platform Vendor 032,CON-MH-032-2027,Data Platform Services Agreement 032,Data Platform,Strategic Sourcing,Epic Platform Operations,2026-02-02,2027-09-09,986000,60,true,Conditional,Contract repository,CON-MH-032-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-033,Meridian Security Vendor 033,CON-MH-033-2027,Security Services Agreement 033,Security,Strategic Sourcing,Cloud Migration Factory,2026-02-03,2027-09-12,1159000,90,false,Current,Contract repository,CON-MH-033-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-034,Meridian Integration Vendor 034,CON-MH-034-2027,Integration Services Agreement 034,Integration,Strategic Sourcing,Data Governance,2026-02-04,2027-09-15,1332000,120,true,Due,Contract repository,CON-MH-034-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-035,Meridian Health Plan Operations Vendor 035,CON-MH-035-2027,Health Plan Operations Services Agreement 035,Health Plan Operations,Strategic Sourcing,Revenue Cycle Technology,2026-02-05,2027-09-18,1505000,180,true,Conditional,Contract repository,CON-MH-035-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-036,Meridian Revenue Cycle Vendor 036,CON-MH-036-2027,Revenue Cycle Services Agreement 036,Revenue Cycle,Strategic Sourcing,Epic Platform Operations,2026-02-06,2027-09-21,1678000,60,false,Current,Contract repository,CON-MH-036-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-037,Meridian Contact Center Vendor 037,CON-MH-037-2027,Contact Center Services Agreement 037,Contact Center,Strategic Sourcing,Cloud Migration Factory,2026-02-07,2027-09-24,1851000,90,true,Due,Contract repository,CON-MH-037-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-038,Meridian Device Management Vendor 038,CON-MH-038-2027,Device Management Services Agreement 038,Device Management,Strategic Sourcing,Data Governance,2026-02-08,2027-09-27,2024000,120,true,Conditional,Contract repository,CON-MH-038-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-039,Meridian Professional Services Vendor 039,CON-MH-039-2027,Professional Services Services Agreement 039,Professional Services,Strategic Sourcing,Revenue Cycle Technology,2026-02-09,2027-09-30,2197000,180,false,Current,Contract repository,CON-MH-039-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-040,Meridian Clinical Systems Vendor 040,CON-MH-040-2027,Clinical Systems Services Agreement 040,Clinical Systems,Strategic Sourcing,Epic Platform Operations,2026-02-10,2027-10-03,2370000,60,true,Due,Contract repository,CON-MH-040-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-041,Meridian Cloud Infrastructure Vendor 041,CON-MH-041-2027,Cloud Infrastructure Services Agreement 041,Cloud Infrastructure,Strategic Sourcing,Cloud Migration Factory,2026-02-11,2027-10-06,2543000,90,true,Conditional,Contract repository,CON-MH-041-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-042,Meridian Data Platform Vendor 042,CON-MH-042-2027,Data Platform Services Agreement 042,Data Platform,Strategic Sourcing,Data Governance,2026-02-12,2027-10-09,2716000,120,false,Current,Contract repository,CON-MH-042-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-043,Meridian Security Vendor 043,CON-MH-043-2027,Security Services Agreement 043,Security,Strategic Sourcing,Revenue Cycle Technology,2026-02-13,2027-10-12,2889000,180,true,Due,Contract repository,CON-MH-043-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-044,Meridian Integration Vendor 044,CON-MH-044-2027,Integration Services Agreement 044,Integration,Strategic Sourcing,Epic Platform Operations,2026-02-14,2027-10-15,3062000,60,true,Conditional,Contract repository,CON-MH-044-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-045,Meridian Health Plan Operations Vendor 045,CON-MH-045-2027,Health Plan Operations Services Agreement 045,Health Plan Operations,Strategic Sourcing,Cloud Migration Factory,2026-02-15,2027-10-18,3235000,90,false,Current,Contract repository,CON-MH-045-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-046,Meridian Revenue Cycle Vendor 046,CON-MH-046-2027,Revenue Cycle Services Agreement 046,Revenue Cycle,Strategic Sourcing,Data Governance,2026-02-16,2027-10-21,3408000,120,true,Due,Contract repository,CON-MH-046-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-047,Meridian Contact Center Vendor 047,CON-MH-047-2027,Contact Center Services Agreement 047,Contact Center,Strategic Sourcing,Revenue Cycle Technology,2026-02-17,2027-10-24,3581000,180,true,Conditional,Contract repository,CON-MH-047-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-048,Meridian Device Management Vendor 048,CON-MH-048-2027,Device Management Services Agreement 048,Device Management,Strategic Sourcing,Epic Platform Operations,2026-02-18,2027-10-27,3754000,60,false,Current,Contract repository,CON-MH-048-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-049,Meridian Professional Services Vendor 049,CON-MH-049-2027,Professional Services Services Agreement 049,Professional Services,Strategic Sourcing,Cloud Migration Factory,2026-02-19,2027-10-30,3927000,90,true,Due,Contract repository,CON-MH-049-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-050,Meridian Clinical Systems Vendor 050,CON-MH-050-2027,Clinical Systems Services Agreement 050,Clinical Systems,Strategic Sourcing,Data Governance,2026-02-20,2027-11-02,4100000,120,true,Conditional,Contract repository,CON-MH-050-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-051,Meridian Cloud Infrastructure Vendor 051,CON-MH-051-2027,Cloud Infrastructure Services Agreement 051,Cloud Infrastructure,Strategic Sourcing,Revenue Cycle Technology,2026-02-21,2027-11-05,4273000,180,false,Current,Contract repository,CON-MH-051-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-052,Meridian Data Platform Vendor 052,CON-MH-052-2027,Data Platform Services Agreement 052,Data Platform,Strategic Sourcing,Epic Platform Operations,2026-02-22,2027-11-08,4446000,60,true,Due,Contract repository,CON-MH-052-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-053,Meridian Security Vendor 053,CON-MH-053-2027,Security Services Agreement 053,Security,Strategic Sourcing,Cloud Migration Factory,2026-02-23,2027-11-11,4619000,90,true,Conditional,Contract repository,CON-MH-053-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-054,Meridian Integration Vendor 054,CON-MH-054-2027,Integration Services Agreement 054,Integration,Strategic Sourcing,Data Governance,2026-02-24,2027-11-14,4792000,120,false,Current,Contract repository,CON-MH-054-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-055,Meridian Health Plan Operations Vendor 055,CON-MH-055-2027,Health Plan Operations Services Agreement 055,Health Plan Operations,Strategic Sourcing,Revenue Cycle Technology,2026-02-25,2027-11-17,4965000,180,true,Due,Contract repository,CON-MH-055-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-056,Meridian Revenue Cycle Vendor 056,CON-MH-056-2027,Revenue Cycle Services Agreement 056,Revenue Cycle,Strategic Sourcing,Epic Platform Operations,2026-02-26,2027-11-20,338000,60,true,Conditional,Contract repository,CON-MH-056-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-057,Meridian Contact Center Vendor 057,CON-MH-057-2027,Contact Center Services Agreement 057,Contact Center,Strategic Sourcing,Cloud Migration Factory,2026-02-27,2027-11-23,511000,90,false,Current,Contract repository,CON-MH-057-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-058,Meridian Device Management Vendor 058,CON-MH-058-2027,Device Management Services Agreement 058,Device Management,Strategic Sourcing,Data Governance,2026-02-28,2027-11-26,684000,120,true,Due,Contract repository,CON-MH-058-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-059,Meridian Professional Services Vendor 059,CON-MH-059-2027,Professional Services Services Agreement 059,Professional Services,Strategic Sourcing,Revenue Cycle Technology,2026-03-01,2027-11-29,857000,180,true,Conditional,Contract repository,CON-MH-059-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-060,Meridian Clinical Systems Vendor 060,CON-MH-060-2027,Clinical Systems Services Agreement 060,Clinical Systems,Strategic Sourcing,Epic Platform Operations,2026-03-02,2027-12-02,1030000,60,false,Current,Contract repository,CON-MH-060-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-061,Meridian Cloud Infrastructure Vendor 061,CON-MH-061-2027,Cloud Infrastructure Services Agreement 061,Cloud Infrastructure,Strategic Sourcing,Cloud Migration Factory,2026-03-03,2027-12-05,1203000,90,true,Due,Contract repository,CON-MH-061-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-062,Meridian Data Platform Vendor 062,CON-MH-062-2027,Data Platform Services Agreement 062,Data Platform,Strategic Sourcing,Data Governance,2026-03-04,2027-12-08,1376000,120,true,Conditional,Contract repository,CON-MH-062-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-063,Meridian Security Vendor 063,CON-MH-063-2027,Security Services Agreement 063,Security,Strategic Sourcing,Revenue Cycle Technology,2026-03-05,2027-12-11,1549000,180,false,Current,Contract repository,CON-MH-063-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-064,Meridian Integration Vendor 064,CON-MH-064-2027,Integration Services Agreement 064,Integration,Strategic Sourcing,Epic Platform Operations,2026-03-06,2027-12-14,1722000,60,true,Due,Contract repository,CON-MH-064-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-065,Meridian Health Plan Operations Vendor 065,CON-MH-065-2027,Health Plan Operations Services Agreement 065,Health Plan Operations,Strategic Sourcing,Cloud Migration Factory,2026-03-07,2027-12-17,1895000,90,true,Conditional,Contract repository,CON-MH-065-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-066,Meridian Revenue Cycle Vendor 066,CON-MH-066-2027,Revenue Cycle Services Agreement 066,Revenue Cycle,Strategic Sourcing,Data Governance,2026-03-08,2027-12-20,2068000,120,false,Current,Contract repository,CON-MH-066-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-067,Meridian Contact Center Vendor 067,CON-MH-067-2027,Contact Center Services Agreement 067,Contact Center,Strategic Sourcing,Revenue Cycle Technology,2026-03-09,2027-12-23,2241000,180,true,Due,Contract repository,CON-MH-067-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-068,Meridian Device Management Vendor 068,CON-MH-068-2027,Device Management Services Agreement 068,Device Management,Strategic Sourcing,Epic Platform Operations,2026-03-10,2027-12-26,2414000,60,true,Conditional,Contract repository,CON-MH-068-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-069,Meridian Professional Services Vendor 069,CON-MH-069-2027,Professional Services Services Agreement 069,Professional Services,Strategic Sourcing,Cloud Migration Factory,2026-03-11,2027-12-29,2587000,90,false,Current,Contract repository,CON-MH-069-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-070,Meridian Clinical Systems Vendor 070,CON-MH-070-2027,Clinical Systems Services Agreement 070,Clinical Systems,Strategic Sourcing,Data Governance,2026-03-12,2028-01-01,2760000,120,true,Due,Contract repository,CON-MH-070-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-071,Meridian Cloud Infrastructure Vendor 071,CON-MH-071-2027,Cloud Infrastructure Services Agreement 071,Cloud Infrastructure,Strategic Sourcing,Revenue Cycle Technology,2026-03-13,2028-01-04,2933000,180,true,Conditional,Contract repository,CON-MH-071-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-072,Meridian Data Platform Vendor 072,CON-MH-072-2027,Data Platform Services Agreement 072,Data Platform,Strategic Sourcing,Epic Platform Operations,2026-03-14,2028-01-07,3106000,60,false,Current,Contract repository,CON-MH-072-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-073,Meridian Security Vendor 073,CON-MH-073-2027,Security Services Agreement 073,Security,Strategic Sourcing,Cloud Migration Factory,2026-03-15,2028-01-10,3279000,90,true,Due,Contract repository,CON-MH-073-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-074,Meridian Integration Vendor 074,CON-MH-074-2027,Integration Services Agreement 074,Integration,Strategic Sourcing,Data Governance,2026-03-16,2028-01-13,3452000,120,true,Conditional,Contract repository,CON-MH-074-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-075,Meridian Health Plan Operations Vendor 075,CON-MH-075-2027,Health Plan Operations Services Agreement 075,Health Plan Operations,Strategic Sourcing,Revenue Cycle Technology,2026-03-17,2028-01-16,3625000,180,false,Current,Contract repository,CON-MH-075-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-076,Meridian Revenue Cycle Vendor 076,CON-MH-076-2027,Revenue Cycle Services Agreement 076,Revenue Cycle,Strategic Sourcing,Epic Platform Operations,2026-03-18,2028-01-19,3798000,60,true,Due,Contract repository,CON-MH-076-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-077,Meridian Contact Center Vendor 077,CON-MH-077-2027,Contact Center Services Agreement 077,Contact Center,Strategic Sourcing,Cloud Migration Factory,2026-03-19,2028-01-22,3971000,90,true,Conditional,Contract repository,CON-MH-077-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-078,Meridian Device Management Vendor 078,CON-MH-078-2027,Device Management Services Agreement 078,Device Management,Strategic Sourcing,Data Governance,2026-03-20,2028-01-25,4144000,120,false,Current,Contract repository,CON-MH-078-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-079,Meridian Professional Services Vendor 079,CON-MH-079-2027,Professional Services Services Agreement 079,Professional Services,Strategic Sourcing,Revenue Cycle Technology,2026-03-21,2028-01-28,4317000,180,true,Due,Contract repository,CON-MH-079-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-080,Meridian Clinical Systems Vendor 080,CON-MH-080-2027,Clinical Systems Services Agreement 080,Clinical Systems,Strategic Sourcing,Epic Platform Operations,2026-03-22,2028-01-31,4490000,60,true,Conditional,Contract repository,CON-MH-080-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-081,Meridian Cloud Infrastructure Vendor 081,CON-MH-081-2027,Cloud Infrastructure Services Agreement 081,Cloud Infrastructure,Strategic Sourcing,Cloud Migration Factory,2026-03-23,2028-02-03,4663000,90,false,Current,Contract repository,CON-MH-081-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-082,Meridian Data Platform Vendor 082,CON-MH-082-2027,Data Platform Services Agreement 082,Data Platform,Strategic Sourcing,Data Governance,2026-03-24,2028-02-06,4836000,120,true,Due,Contract repository,CON-MH-082-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-083,Meridian Security Vendor 083,CON-MH-083-2027,Security Services Agreement 083,Security,Strategic Sourcing,Revenue Cycle Technology,2026-03-25,2028-02-09,5009000,180,true,Conditional,Contract repository,CON-MH-083-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-084,Meridian Integration Vendor 084,CON-MH-084-2027,Integration Services Agreement 084,Integration,Strategic Sourcing,Epic Platform Operations,2026-03-26,2028-02-12,382000,60,false,Current,Contract repository,CON-MH-084-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-085,Meridian Health Plan Operations Vendor 085,CON-MH-085-2027,Health Plan Operations Services Agreement 085,Health Plan Operations,Strategic Sourcing,Cloud Migration Factory,2026-03-27,2028-02-15,555000,90,true,Due,Contract repository,CON-MH-085-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-086,Meridian Revenue Cycle Vendor 086,CON-MH-086-2027,Revenue Cycle Services Agreement 086,Revenue Cycle,Strategic Sourcing,Data Governance,2026-03-28,2028-02-18,728000,120,true,Conditional,Contract repository,CON-MH-086-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-087,Meridian Contact Center Vendor 087,CON-MH-087-2027,Contact Center Services Agreement 087,Contact Center,Strategic Sourcing,Revenue Cycle Technology,2026-03-29,2028-02-21,901000,180,false,Current,Contract repository,CON-MH-087-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-088,Meridian Device Management Vendor 088,CON-MH-088-2027,Device Management Services Agreement 088,Device Management,Strategic Sourcing,Epic Platform Operations,2026-03-30,2028-02-24,1074000,60,true,Due,Contract repository,CON-MH-088-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-089,Meridian Professional Services Vendor 089,CON-MH-089-2027,Professional Services Services Agreement 089,Professional Services,Strategic Sourcing,Cloud Migration Factory,2026-03-31,2028-02-27,1247000,90,true,Conditional,Contract repository,CON-MH-089-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-090,Meridian Clinical Systems Vendor 090,CON-MH-090-2027,Clinical Systems Services Agreement 090,Clinical Systems,Strategic Sourcing,Data Governance,2026-04-01,2028-03-01,1420000,120,false,Current,Contract repository,CON-MH-090-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-091,Meridian Cloud Infrastructure Vendor 091,CON-MH-091-2027,Cloud Infrastructure Services Agreement 091,Cloud Infrastructure,Strategic Sourcing,Revenue Cycle Technology,2026-04-02,2028-03-04,1593000,180,true,Due,Contract repository,CON-MH-091-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-092,Meridian Data Platform Vendor 092,CON-MH-092-2027,Data Platform Services Agreement 092,Data Platform,Strategic Sourcing,Epic Platform Operations,2026-04-03,2028-03-07,1766000,60,true,Conditional,Contract repository,CON-MH-092-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-093,Meridian Security Vendor 093,CON-MH-093-2027,Security Services Agreement 093,Security,Strategic Sourcing,Cloud Migration Factory,2026-04-04,2028-03-10,1939000,90,false,Current,Contract repository,CON-MH-093-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-094,Meridian Integration Vendor 094,CON-MH-094-2027,Integration Services Agreement 094,Integration,Strategic Sourcing,Data Governance,2026-04-05,2028-03-13,2112000,120,true,Due,Contract repository,CON-MH-094-2027,Strategic Sourcing,2026-06-04,0.82,true,
VEN-MH-095,Meridian Health Plan Operations Vendor 095,CON-MH-095-2027,Health Plan Operations Services Agreement 095,Health Plan Operations,Strategic Sourcing,Revenue Cycle Technology,2026-04-06,2028-03-16,2285000,180,true,Conditional,Contract repository,CON-MH-095-2027,Strategic Sourcing,2026-06-04,0.82,true,
