renewal_id,contract_id,vendor_id,renewal_date,notice_date,renewal_type,estimated_value_usd,sourcing_required,decision_owner,renewal_risk,status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REN-MH-034,CON-MH-034-2027,VEN-MH-034,2026-12-17,2026-10-18,Negotiated renewal,1332000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-034,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-035,CON-MH-035-2027,VEN-MH-035,2026-12-22,2026-10-23,Competitive sourcing,1505000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-035,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-036,CON-MH-036-2027,VEN-MH-036,2026-12-27,2026-10-28,Auto-renew,1678000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-036,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-037,CON-MH-037-2027,VEN-MH-037,2027-01-01,2026-11-02,Negotiated renewal,1851000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-037,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-038,CON-MH-038-2027,VEN-MH-038,2027-01-06,2026-11-07,Competitive sourcing,2024000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-038,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-039,CON-MH-039-2027,VEN-MH-039,2027-01-11,2026-11-12,Auto-renew,2197000,false,Strategic Sourcing,High,Open,Contract repository,REN-MH-039,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-040,CON-MH-040-2027,VEN-MH-040,2027-01-16,2026-11-17,Negotiated renewal,2370000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-040,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-041,CON-MH-041-2027,VEN-MH-041,2027-01-21,2026-11-22,Competitive sourcing,2543000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-041,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-042,CON-MH-042-2027,VEN-MH-042,2027-01-26,2026-11-27,Auto-renew,2716000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-042,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-043,CON-MH-043-2027,VEN-MH-043,2027-01-31,2026-12-02,Negotiated renewal,2889000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-043,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-044,CON-MH-044-2027,VEN-MH-044,2027-02-05,2026-12-07,Competitive sourcing,3062000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-044,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-045,CON-MH-045-2027,VEN-MH-045,2027-02-10,2026-12-12,Auto-renew,3235000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-045,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-046,CON-MH-046-2027,VEN-MH-046,2027-02-15,2026-12-17,Negotiated renewal,3408000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-046,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-047,CON-MH-047-2027,VEN-MH-047,2027-02-20,2026-12-22,Competitive sourcing,3581000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-047,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-048,CON-MH-048-2027,VEN-MH-048,2027-02-25,2026-12-27,Auto-renew,3754000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-048,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-049,CON-MH-049-2027,VEN-MH-049,2027-03-02,2027-01-01,Negotiated renewal,3927000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-049,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-050,CON-MH-050-2027,VEN-MH-050,2027-03-07,2027-01-06,Competitive sourcing,4100000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-050,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-051,CON-MH-051-2027,VEN-MH-051,2027-03-12,2027-01-11,Auto-renew,4273000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-051,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-052,CON-MH-052-2027,VEN-MH-052,2027-03-17,2027-01-16,Negotiated renewal,4446000,true,Strategic Sourcing,High,Planning,Contract repository,REN-MH-052,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-053,CON-MH-053-2027,VEN-MH-053,2027-03-22,2027-01-21,Competitive sourcing,4619000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-053,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-054,CON-MH-054-2027,VEN-MH-054,2027-03-27,2027-01-26,Auto-renew,4792000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-054,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-055,CON-MH-055-2027,VEN-MH-055,2027-04-01,2027-01-31,Negotiated renewal,4965000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-055,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-056,CON-MH-056-2027,VEN-MH-056,2027-04-06,2027-02-05,Competitive sourcing,338000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-056,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-057,CON-MH-057-2027,VEN-MH-057,2027-04-11,2027-02-10,Auto-renew,511000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-057,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-058,CON-MH-058-2027,VEN-MH-058,2027-04-16,2027-02-15,Negotiated renewal,684000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-058,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-059,CON-MH-059-2027,VEN-MH-059,2027-04-21,2027-02-20,Competitive sourcing,857000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-059,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-060,CON-MH-060-2027,VEN-MH-060,2027-04-26,2027-02-25,Auto-renew,1030000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-060,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-061,CON-MH-061-2027,VEN-MH-061,2027-05-01,2027-03-02,Negotiated renewal,1203000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-061,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-062,CON-MH-062-2027,VEN-MH-062,2027-05-06,2027-03-07,Competitive sourcing,1376000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-062,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-063,CON-MH-063-2027,VEN-MH-063,2027-05-11,2027-03-12,Auto-renew,1549000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-063,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-064,CON-MH-064-2027,VEN-MH-064,2027-05-16,2027-03-17,Negotiated renewal,1722000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-064,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-065,CON-MH-065-2027,VEN-MH-065,2027-05-21,2027-03-22,Competitive sourcing,1895000,false,Strategic Sourcing,High,In sourcing,Contract repository,REN-MH-065,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-066,CON-MH-066-2027,VEN-MH-066,2027-05-26,2027-03-27,Auto-renew,2068000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-066,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-067,CON-MH-067-2027,VEN-MH-067,2027-05-31,2027-04-01,Negotiated renewal,2241000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-067,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-068,CON-MH-068-2027,VEN-MH-068,2027-06-05,2027-04-06,Competitive sourcing,2414000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-068,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-069,CON-MH-069-2027,VEN-MH-069,2027-06-10,2027-04-11,Auto-renew,2587000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-069,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-070,CON-MH-070-2027,VEN-MH-070,2027-06-15,2027-04-16,Negotiated renewal,2760000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-070,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-071,CON-MH-071-2027,VEN-MH-071,2027-06-20,2027-04-21,Competitive sourcing,2933000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-071,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-072,CON-MH-072-2027,VEN-MH-072,2027-06-25,2027-04-26,Auto-renew,3106000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-072,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-073,CON-MH-073-2027,VEN-MH-073,2027-06-30,2027-05-01,Negotiated renewal,3279000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-073,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-074,CON-MH-074-2027,VEN-MH-074,2027-07-05,2027-05-06,Competitive sourcing,3452000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-074,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-075,CON-MH-075-2027,VEN-MH-075,2027-07-10,2027-05-11,Auto-renew,3625000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-075,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-076,CON-MH-076-2027,VEN-MH-076,2027-07-15,2027-05-16,Negotiated renewal,3798000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-076,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-077,CON-MH-077-2027,VEN-MH-077,2027-07-20,2027-05-21,Competitive sourcing,3971000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-077,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-078,CON-MH-078-2027,VEN-MH-078,2027-07-25,2027-05-26,Auto-renew,4144000,false,Strategic Sourcing,High,Open,Contract repository,REN-MH-078,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-079,CON-MH-079-2027,VEN-MH-079,2027-07-30,2027-05-31,Negotiated renewal,4317000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-079,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-080,CON-MH-080-2027,VEN-MH-080,2027-08-04,2027-06-05,Competitive sourcing,4490000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-080,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-081,CON-MH-081-2027,VEN-MH-081,2027-08-09,2027-06-10,Auto-renew,4663000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-081,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-082,CON-MH-082-2027,VEN-MH-082,2027-08-14,2027-06-15,Negotiated renewal,4836000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-082,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-083,CON-MH-083-2027,VEN-MH-083,2027-08-19,2027-06-20,Competitive sourcing,5009000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-083,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-084,CON-MH-084-2027,VEN-MH-084,2027-08-24,2027-06-25,Auto-renew,382000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-084,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-085,CON-MH-085-2027,VEN-MH-085,2027-08-29,2027-06-30,Negotiated renewal,555000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-085,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-086,CON-MH-086-2027,VEN-MH-086,2027-09-03,2027-07-05,Competitive sourcing,728000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-086,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-087,CON-MH-087-2027,VEN-MH-087,2027-09-08,2027-07-10,Auto-renew,901000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-087,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-088,CON-MH-088-2027,VEN-MH-088,2027-09-13,2027-07-15,Negotiated renewal,1074000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-088,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-089,CON-MH-089-2027,VEN-MH-089,2027-09-18,2027-07-20,Competitive sourcing,1247000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-089,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-090,CON-MH-090-2027,VEN-MH-090,2027-09-23,2027-07-25,Auto-renew,1420000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-090,Strategic Sourcing,2026-06-04,0.84,true,
