facility_id,business_unit_id,facility_name,facility_type,region,service_line,bed_count,annual_encounters,revenue_owner,it_site_owner,critical_services,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FAC-HOSP-016,BU-ACUTE,Meridian Central Valley Hospital 16,Hospital,Central Valley,Behavioral Health,192,91600,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-016,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-017,BU-ACUTE,Meridian Bay Area Hospital 17,Hospital,Bay Area,Oncology,209,94700,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-017,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-018,BU-ACUTE,Meridian Northern California Hospital 18,Hospital,Northern California,Cardiology,226,97800,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-018,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-019,BU-ACUTE,Meridian Sierra Foothills Hospital 19,Hospital,Sierra Foothills,Primary Care,243,100900,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-019,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-020,BU-ACUTE,Meridian Sacramento Metro Hospital 20,Hospital,Sacramento Metro,Post-Acute,260,104000,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-020,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-021,BU-ACUTE,Meridian Central Valley Hospital 21,Hospital,Central Valley,Acute Care,277,107100,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-021,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-022,BU-ACUTE,Meridian Bay Area Hospital 22,Hospital,Bay Area,Ambulatory,294,110200,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-022,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-023,BU-ACUTE,Meridian Northern California Hospital 23,Hospital,Northern California,Behavioral Health,311,113300,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-023,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-024,BU-ACUTE,Meridian Sierra Foothills Hospital 24,Hospital,Sierra Foothills,Oncology,328,116400,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-024,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-025,BU-ACUTE,Meridian Sacramento Metro Hospital 25,Hospital,Sacramento Metro,Cardiology,345,119500,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-025,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-026,BU-ACUTE,Meridian Central Valley Hospital 26,Hospital,Central Valley,Primary Care,362,122600,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-026,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-027,BU-ACUTE,Meridian Bay Area Hospital 27,Hospital,Bay Area,Post-Acute,379,125700,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-027,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-028,BU-ACUTE,Meridian Northern California Hospital 28,Hospital,Northern California,Acute Care,396,128800,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-028,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-029,BU-ACUTE,Meridian Sierra Foothills Hospital 29,Hospital,Sierra Foothills,Ambulatory,413,131900,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-029,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-030,BU-ACUTE,Meridian Sacramento Metro Hospital 30,Hospital,Sacramento Metro,Behavioral Health,430,135000,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-030,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-031,BU-ACUTE,Meridian Central Valley Hospital 31,Hospital,Central Valley,Oncology,187,138100,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-031,Facilities Operations,2026-06-04,0.88,true,
FAC-CLINIC-001,BU-AMB,Meridian Central Valley Clinic 001,Clinic,Central Valley,Behavioral Health,0,9120,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-001,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-002,BU-AMB,Meridian Bay Area Clinic 002,Clinic,Bay Area,Oncology,0,9240,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-002,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-003,BU-AMB,Meridian Northern California Clinic 003,Clinic,Northern California,Cardiology,0,9360,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-003,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-004,BU-AMB,Meridian Sierra Foothills Clinic 004,Clinic,Sierra Foothills,Primary Care,0,9480,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-004,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-005,BU-AMB,Meridian Sacramento Metro Clinic 005,Clinic,Sacramento Metro,Post-Acute,0,9600,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-005,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-006,BU-AMB,Meridian Central Valley Clinic 006,Clinic,Central Valley,Acute Care,0,9720,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-006,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-007,BU-AMB,Meridian Bay Area Clinic 007,Clinic,Bay Area,Ambulatory,0,9840,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-007,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-008,BU-AMB,Meridian Northern California Clinic 008,Clinic,Northern California,Behavioral Health,0,9960,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-008,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-009,BU-AMB,Meridian Sierra Foothills Clinic 009,Clinic,Sierra Foothills,Oncology,0,10080,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-009,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-010,BU-AMB,Meridian Sacramento Metro Clinic 010,Clinic,Sacramento Metro,Cardiology,0,10200,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-010,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-011,BU-AMB,Meridian Central Valley Clinic 011,Clinic,Central Valley,Primary Care,0,10320,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-011,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-012,BU-AMB,Meridian Bay Area Clinic 012,Clinic,Bay Area,Post-Acute,0,10440,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-012,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-013,BU-AMB,Meridian Northern California Clinic 013,Clinic,Northern California,Acute Care,0,10560,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-013,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-014,BU-AMB,Meridian Sierra Foothills Clinic 014,Clinic,Sierra Foothills,Ambulatory,0,10680,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-014,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-015,BU-AMB,Meridian Sacramento Metro Clinic 015,Clinic,Sacramento Metro,Behavioral Health,0,10800,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-015,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-016,BU-AMB,Meridian Central Valley Clinic 016,Clinic,Central Valley,Oncology,0,10920,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-016,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-017,BU-AMB,Meridian Bay Area Clinic 017,Clinic,Bay Area,Cardiology,0,11040,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-017,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-018,BU-AMB,Meridian Northern California Clinic 018,Clinic,Northern California,Primary Care,0,11160,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-018,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-019,BU-AMB,Meridian Sierra Foothills Clinic 019,Clinic,Sierra Foothills,Post-Acute,0,11280,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-019,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-020,BU-AMB,Meridian Sacramento Metro Clinic 020,Clinic,Sacramento Metro,Acute Care,0,11400,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-020,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-021,BU-AMB,Meridian Central Valley Clinic 021,Clinic,Central Valley,Ambulatory,0,11520,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-021,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-022,BU-AMB,Meridian Bay Area Clinic 022,Clinic,Bay Area,Behavioral Health,0,11640,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-022,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-023,BU-AMB,Meridian Northern California Clinic 023,Clinic,Northern California,Oncology,0,11760,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-023,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-024,BU-AMB,Meridian Sierra Foothills Clinic 024,Clinic,Sierra Foothills,Cardiology,0,11880,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-024,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-025,BU-AMB,Meridian Sacramento Metro Clinic 025,Clinic,Sacramento Metro,Primary Care,0,12000,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-025,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-026,BU-AMB,Meridian Central Valley Clinic 026,Clinic,Central Valley,Post-Acute,0,12120,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-026,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-027,BU-AMB,Meridian Bay Area Clinic 027,Clinic,Bay Area,Acute Care,0,12240,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-027,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-028,BU-AMB,Meridian Northern California Clinic 028,Clinic,Northern California,Ambulatory,0,12360,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-028,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-029,BU-AMB,Meridian Sierra Foothills Clinic 029,Clinic,Sierra Foothills,Behavioral Health,0,12480,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-029,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-030,BU-AMB,Meridian Sacramento Metro Clinic 030,Clinic,Sacramento Metro,Oncology,0,12600,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-030,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-031,BU-AMB,Meridian Central Valley Clinic 031,Clinic,Central Valley,Cardiology,0,12720,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-031,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-032,BU-AMB,Meridian Bay Area Clinic 032,Clinic,Bay Area,Primary Care,0,12840,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-032,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-033,BU-AMB,Meridian Northern California Clinic 033,Clinic,Northern California,Post-Acute,0,12960,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-033,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-034,BU-AMB,Meridian Sierra Foothills Clinic 034,Clinic,Sierra Foothills,Acute Care,0,13080,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-034,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-035,BU-AMB,Meridian Sacramento Metro Clinic 035,Clinic,Sacramento Metro,Ambulatory,0,13200,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-035,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-036,BU-AMB,Meridian Central Valley Clinic 036,Clinic,Central Valley,Behavioral Health,0,13320,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-036,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-037,BU-AMB,Meridian Bay Area Clinic 037,Clinic,Bay Area,Oncology,0,13440,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-037,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-038,BU-AMB,Meridian Northern California Clinic 038,Clinic,Northern California,Cardiology,0,13560,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-038,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-039,BU-AMB,Meridian Sierra Foothills Clinic 039,Clinic,Sierra Foothills,Primary Care,0,13680,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-039,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-040,BU-AMB,Meridian Sacramento Metro Clinic 040,Clinic,Sacramento Metro,Post-Acute,0,13800,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-040,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-041,BU-AMB,Meridian Central Valley Clinic 041,Clinic,Central Valley,Acute Care,0,13920,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-041,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-042,BU-AMB,Meridian Bay Area Clinic 042,Clinic,Bay Area,Ambulatory,0,14040,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-042,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-043,BU-AMB,Meridian Northern California Clinic 043,Clinic,Northern California,Behavioral Health,0,14160,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-043,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-044,BU-AMB,Meridian Sierra Foothills Clinic 044,Clinic,Sierra Foothills,Oncology,0,14280,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-044,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-045,BU-AMB,Meridian Sacramento Metro Clinic 045,Clinic,Sacramento Metro,Cardiology,0,14400,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-045,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-046,BU-AMB,Meridian Central Valley Clinic 046,Clinic,Central Valley,Primary Care,0,14520,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-046,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-047,BU-AMB,Meridian Bay Area Clinic 047,Clinic,Bay Area,Post-Acute,0,14640,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-047,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-048,BU-AMB,Meridian Northern California Clinic 048,Clinic,Northern California,Acute Care,0,14760,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-048,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-049,BU-AMB,Meridian Sierra Foothills Clinic 049,Clinic,Sierra Foothills,Ambulatory,0,14880,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-049,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-050,BU-AMB,Meridian Sacramento Metro Clinic 050,Clinic,Sacramento Metro,Behavioral Health,0,15000,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-050,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-051,BU-AMB,Meridian Central Valley Clinic 051,Clinic,Central Valley,Oncology,0,15120,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-051,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-052,BU-AMB,Meridian Bay Area Clinic 052,Clinic,Bay Area,Cardiology,0,15240,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-052,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-053,BU-AMB,Meridian Northern California Clinic 053,Clinic,Northern California,Primary Care,0,15360,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-053,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-054,BU-AMB,Meridian Sierra Foothills Clinic 054,Clinic,Sierra Foothills,Post-Acute,0,15480,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-054,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-055,BU-AMB,Meridian Sacramento Metro Clinic 055,Clinic,Sacramento Metro,Acute Care,0,15600,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-055,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-056,BU-AMB,Meridian Central Valley Clinic 056,Clinic,Central Valley,Ambulatory,0,15720,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-056,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-057,BU-AMB,Meridian Bay Area Clinic 057,Clinic,Bay Area,Behavioral Health,0,15840,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-057,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-058,BU-AMB,Meridian Northern California Clinic 058,Clinic,Northern California,Oncology,0,15960,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-058,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-059,BU-AMB,Meridian Sierra Foothills Clinic 059,Clinic,Sierra Foothills,Cardiology,0,16080,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-059,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-060,BU-AMB,Meridian Sacramento Metro Clinic 060,Clinic,Sacramento Metro,Primary Care,0,16200,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-060,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-061,BU-AMB,Meridian Central Valley Clinic 061,Clinic,Central Valley,Post-Acute,0,16320,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-061,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-062,BU-AMB,Meridian Bay Area Clinic 062,Clinic,Bay Area,Acute Care,0,16440,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-062,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-063,BU-AMB,Meridian Northern California Clinic 063,Clinic,Northern California,Ambulatory,0,16560,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-063,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-064,BU-AMB,Meridian Sierra Foothills Clinic 064,Clinic,Sierra Foothills,Behavioral Health,0,16680,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-064,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-065,BU-AMB,Meridian Sacramento Metro Clinic 065,Clinic,Sacramento Metro,Oncology,0,16800,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-065,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-066,BU-AMB,Meridian Central Valley Clinic 066,Clinic,Central Valley,Cardiology,0,16920,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-066,Facilities Operations,2026-06-04,0.84,true,
FAC-CLINIC-067,BU-AMB,Meridian Bay Area Clinic 067,Clinic,Bay Area,Primary Care,0,17040,Ambulatory Finance,Ambulatory Technology Operations,Epic|MyChart|Network|Identity,Facilities master,FAC-CLINIC-067,Facilities Operations,2026-06-04,0.84,true,
