spend_id,period_start,period_end,business_unit_id,cost_center,vendor_id,contract_id,category,actual_spend_usd,run_rate_usd,capex_opex,budget_owner,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SPEND-MH-0020,2026-09-01,2026-09-28,BU-ACUTE,CC-1020,VEN-MH-021,CON-MH-021-2027,Cloud Infrastructure,345583,3883000,Capex,CFO,ERP spend export,SPEND-MH-0020,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0021,2026-10-01,2026-10-28,BU-AMB,CC-1021,VEN-MH-022,CON-MH-022-2027,Data Platform,361100,4056000,Opex,CDAO,ERP spend export,SPEND-MH-0021,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0022,2026-11-01,2026-11-28,BU-PLAN,CC-1022,VEN-MH-023,CON-MH-023-2027,Security,376616,4229000,Opex,CTO,ERP spend export,SPEND-MH-0022,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0023,2026-12-01,2026-12-28,BU-IT,CC-1023,VEN-MH-024,CON-MH-024-2027,Integration,392133,4402000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0023,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0024,2026-01-01,2026-01-28,BU-SHARED,CC-1024,VEN-MH-025,CON-MH-025-2027,Health Plan Operations,407650,4575000,Capex,Health Plan,ERP spend export,SPEND-MH-0024,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0025,2026-02-01,2026-02-28,BU-ACUTE,CC-1025,VEN-MH-026,CON-MH-026-2027,Revenue Cycle,423166,4748000,Opex,CFO,ERP spend export,SPEND-MH-0025,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0026,2026-03-01,2026-03-28,BU-AMB,CC-1026,VEN-MH-027,CON-MH-027-2027,Contact Center,438683,4921000,Opex,CDAO,ERP spend export,SPEND-MH-0026,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0027,2026-04-01,2026-04-28,BU-PLAN,CC-1027,VEN-MH-028,CON-MH-028-2027,Device Management,54200,294000,Opex,CTO,ERP spend export,SPEND-MH-0027,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0028,2026-05-01,2026-05-28,BU-IT,CC-1028,VEN-MH-029,CON-MH-029-2027,Professional Services,69716,467000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0028,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0029,2026-06-01,2026-06-28,BU-SHARED,CC-1029,VEN-MH-030,CON-MH-030-2027,Clinical Systems,85233,640000,Opex,Health Plan,ERP spend export,SPEND-MH-0029,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0030,2026-07-01,2026-07-28,BU-ACUTE,CC-1030,VEN-MH-031,CON-MH-031-2027,Cloud Infrastructure,100750,813000,Opex,CFO,ERP spend export,SPEND-MH-0030,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0031,2026-08-01,2026-08-28,BU-AMB,CC-1031,VEN-MH-032,CON-MH-032-2027,Data Platform,116266,986000,Opex,CDAO,ERP spend export,SPEND-MH-0031,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0032,2026-09-01,2026-09-28,BU-PLAN,CC-1032,VEN-MH-033,CON-MH-033-2027,Security,131783,1159000,Capex,CTO,ERP spend export,SPEND-MH-0032,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0033,2026-10-01,2026-10-28,BU-IT,CC-1033,VEN-MH-034,CON-MH-034-2027,Integration,147300,1332000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0033,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0034,2026-11-01,2026-11-28,BU-SHARED,CC-1034,VEN-MH-035,CON-MH-035-2027,Health Plan Operations,162816,1505000,Opex,Health Plan,ERP spend export,SPEND-MH-0034,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0035,2026-12-01,2026-12-28,BU-ACUTE,CC-1035,VEN-MH-036,CON-MH-036-2027,Revenue Cycle,178333,1678000,Opex,CFO,ERP spend export,SPEND-MH-0035,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0036,2026-01-01,2026-01-28,BU-AMB,CC-1036,VEN-MH-037,CON-MH-037-2027,Contact Center,193850,1851000,Capex,CDAO,ERP spend export,SPEND-MH-0036,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0037,2026-02-01,2026-02-28,BU-PLAN,CC-1037,VEN-MH-038,CON-MH-038-2027,Device Management,209366,2024000,Opex,CTO,ERP spend export,SPEND-MH-0037,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0038,2026-03-01,2026-03-28,BU-IT,CC-1038,VEN-MH-039,CON-MH-039-2027,Professional Services,224883,2197000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0038,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0039,2026-04-01,2026-04-28,BU-SHARED,CC-1039,VEN-MH-040,CON-MH-040-2027,Clinical Systems,240400,2370000,Opex,Health Plan,ERP spend export,SPEND-MH-0039,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0040,2026-05-01,2026-05-28,BU-ACUTE,CC-1040,VEN-MH-041,CON-MH-041-2027,Cloud Infrastructure,255916,2543000,Capex,CFO,ERP spend export,SPEND-MH-0040,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0041,2026-06-01,2026-06-28,BU-AMB,CC-1041,VEN-MH-042,CON-MH-042-2027,Data Platform,271433,2716000,Opex,CDAO,ERP spend export,SPEND-MH-0041,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0042,2026-07-01,2026-07-28,BU-PLAN,CC-1042,VEN-MH-043,CON-MH-043-2027,Security,286950,2889000,Opex,CTO,ERP spend export,SPEND-MH-0042,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0043,2026-08-01,2026-08-28,BU-IT,CC-1043,VEN-MH-044,CON-MH-044-2027,Integration,302466,3062000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0043,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0044,2026-09-01,2026-09-28,BU-SHARED,CC-1044,VEN-MH-045,CON-MH-045-2027,Health Plan Operations,317983,3235000,Capex,Health Plan,ERP spend export,SPEND-MH-0044,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0045,2026-10-01,2026-10-28,BU-ACUTE,CC-1045,VEN-MH-046,CON-MH-046-2027,Revenue Cycle,333500,3408000,Opex,CFO,ERP spend export,SPEND-MH-0045,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0046,2026-11-01,2026-11-28,BU-AMB,CC-1046,VEN-MH-047,CON-MH-047-2027,Contact Center,299016,3581000,Opex,CDAO,ERP spend export,SPEND-MH-0046,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0047,2026-12-01,2026-12-28,BU-PLAN,CC-1047,VEN-MH-048,CON-MH-048-2027,Device Management,314533,3754000,Opex,CTO,ERP spend export,SPEND-MH-0047,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0048,2026-01-01,2026-01-28,BU-IT,CC-1048,VEN-MH-049,CON-MH-049-2027,Professional Services,330050,3927000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0048,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0049,2026-02-01,2026-02-28,BU-SHARED,CC-1049,VEN-MH-050,CON-MH-050-2027,Clinical Systems,345566,4100000,Opex,Health Plan,ERP spend export,SPEND-MH-0049,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0050,2026-03-01,2026-03-28,BU-ACUTE,CC-1050,VEN-MH-051,CON-MH-051-2027,Cloud Infrastructure,361083,4273000,Opex,CFO,ERP spend export,SPEND-MH-0050,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0051,2026-04-01,2026-04-28,BU-AMB,CC-1051,VEN-MH-052,CON-MH-052-2027,Data Platform,376600,4446000,Opex,CDAO,ERP spend export,SPEND-MH-0051,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0052,2026-05-01,2026-05-28,BU-PLAN,CC-1052,VEN-MH-053,CON-MH-053-2027,Security,392116,4619000,Capex,CTO,ERP spend export,SPEND-MH-0052,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0053,2026-06-01,2026-06-28,BU-IT,CC-1053,VEN-MH-054,CON-MH-054-2027,Integration,407633,4792000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0053,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0054,2026-07-01,2026-07-28,BU-SHARED,CC-1054,VEN-MH-055,CON-MH-055-2027,Health Plan Operations,423150,4965000,Opex,Health Plan,ERP spend export,SPEND-MH-0054,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0055,2026-08-01,2026-08-28,BU-ACUTE,CC-1055,VEN-MH-056,CON-MH-056-2027,Revenue Cycle,38666,338000,Opex,CFO,ERP spend export,SPEND-MH-0055,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0056,2026-09-01,2026-09-28,BU-AMB,CC-1056,VEN-MH-057,CON-MH-057-2027,Contact Center,54183,511000,Capex,CDAO,ERP spend export,SPEND-MH-0056,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0057,2026-10-01,2026-10-28,BU-PLAN,CC-1057,VEN-MH-058,CON-MH-058-2027,Device Management,69700,684000,Opex,CTO,ERP spend export,SPEND-MH-0057,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0058,2026-11-01,2026-11-28,BU-IT,CC-1058,VEN-MH-059,CON-MH-059-2027,Professional Services,85216,857000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0058,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0059,2026-12-01,2026-12-28,BU-SHARED,CC-1059,VEN-MH-060,CON-MH-060-2027,Clinical Systems,100733,1030000,Opex,Health Plan,ERP spend export,SPEND-MH-0059,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0060,2026-01-01,2026-01-28,BU-ACUTE,CC-1060,VEN-MH-061,CON-MH-061-2027,Cloud Infrastructure,116250,1203000,Capex,CFO,ERP spend export,SPEND-MH-0060,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0061,2026-02-01,2026-02-28,BU-AMB,CC-1061,VEN-MH-062,CON-MH-062-2027,Data Platform,131766,1376000,Opex,CDAO,ERP spend export,SPEND-MH-0061,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0062,2026-03-01,2026-03-28,BU-PLAN,CC-1062,VEN-MH-063,CON-MH-063-2027,Security,147283,1549000,Opex,CTO,ERP spend export,SPEND-MH-0062,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0063,2026-04-01,2026-04-28,BU-IT,CC-1063,VEN-MH-064,CON-MH-064-2027,Integration,162800,1722000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0063,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0064,2026-05-01,2026-05-28,BU-SHARED,CC-1064,VEN-MH-065,CON-MH-065-2027,Health Plan Operations,178316,1895000,Capex,Health Plan,ERP spend export,SPEND-MH-0064,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0065,2026-06-01,2026-06-28,BU-ACUTE,CC-1065,VEN-MH-066,CON-MH-066-2027,Revenue Cycle,193833,2068000,Opex,CFO,ERP spend export,SPEND-MH-0065,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0066,2026-07-01,2026-07-28,BU-AMB,CC-1066,VEN-MH-067,CON-MH-067-2027,Contact Center,209350,2241000,Opex,CDAO,ERP spend export,SPEND-MH-0066,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0067,2026-08-01,2026-08-28,BU-PLAN,CC-1067,VEN-MH-068,CON-MH-068-2027,Device Management,224866,2414000,Opex,CTO,ERP spend export,SPEND-MH-0067,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0068,2026-09-01,2026-09-28,BU-IT,CC-1068,VEN-MH-069,CON-MH-069-2027,Professional Services,240383,2587000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0068,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0069,2026-10-01,2026-10-28,BU-SHARED,CC-1069,VEN-MH-070,CON-MH-070-2027,Clinical Systems,255900,2760000,Opex,Health Plan,ERP spend export,SPEND-MH-0069,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0070,2026-11-01,2026-11-28,BU-ACUTE,CC-1070,VEN-MH-071,CON-MH-071-2027,Cloud Infrastructure,271416,2933000,Opex,CFO,ERP spend export,SPEND-MH-0070,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0071,2026-12-01,2026-12-28,BU-AMB,CC-1071,VEN-MH-072,CON-MH-072-2027,Data Platform,286933,3106000,Opex,CDAO,ERP spend export,SPEND-MH-0071,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0072,2026-01-01,2026-01-28,BU-PLAN,CC-1072,VEN-MH-073,CON-MH-073-2027,Security,302450,3279000,Capex,CTO,ERP spend export,SPEND-MH-0072,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0073,2026-02-01,2026-02-28,BU-IT,CC-1073,VEN-MH-074,CON-MH-074-2027,Integration,317966,3452000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0073,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0074,2026-03-01,2026-03-28,BU-SHARED,CC-1074,VEN-MH-075,CON-MH-075-2027,Health Plan Operations,333483,3625000,Opex,Health Plan,ERP spend export,SPEND-MH-0074,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0075,2026-04-01,2026-04-28,BU-ACUTE,CC-1075,VEN-MH-076,CON-MH-076-2027,Revenue Cycle,349000,3798000,Opex,CFO,ERP spend export,SPEND-MH-0075,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0076,2026-05-01,2026-05-28,BU-AMB,CC-1076,VEN-MH-077,CON-MH-077-2027,Contact Center,364516,3971000,Capex,CDAO,ERP spend export,SPEND-MH-0076,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0077,2026-06-01,2026-06-28,BU-PLAN,CC-1077,VEN-MH-078,CON-MH-078-2027,Device Management,380033,4144000,Opex,CTO,ERP spend export,SPEND-MH-0077,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0078,2026-07-01,2026-07-28,BU-IT,CC-1078,VEN-MH-079,CON-MH-079-2027,Professional Services,395550,4317000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0078,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0079,2026-08-01,2026-08-28,BU-SHARED,CC-1079,VEN-MH-080,CON-MH-080-2027,Clinical Systems,411066,4490000,Opex,Health Plan,ERP spend export,SPEND-MH-0079,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0080,2026-09-01,2026-09-28,BU-ACUTE,CC-1080,VEN-MH-081,CON-MH-081-2027,Cloud Infrastructure,426583,4663000,Capex,CFO,ERP spend export,SPEND-MH-0080,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0081,2026-10-01,2026-10-28,BU-AMB,CC-1081,VEN-MH-082,CON-MH-082-2027,Data Platform,442100,4836000,Opex,CDAO,ERP spend export,SPEND-MH-0081,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0082,2026-11-01,2026-11-28,BU-PLAN,CC-1082,VEN-MH-083,CON-MH-083-2027,Security,457616,5009000,Opex,CTO,ERP spend export,SPEND-MH-0082,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0083,2026-12-01,2026-12-28,BU-IT,CC-1083,VEN-MH-084,CON-MH-084-2027,Integration,73133,382000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0083,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0084,2026-01-01,2026-01-28,BU-SHARED,CC-1084,VEN-MH-085,CON-MH-085-2027,Health Plan Operations,88650,555000,Capex,Health Plan,ERP spend export,SPEND-MH-0084,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0085,2026-02-01,2026-02-28,BU-ACUTE,CC-1085,VEN-MH-086,CON-MH-086-2027,Revenue Cycle,104166,728000,Opex,CFO,ERP spend export,SPEND-MH-0085,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0086,2026-03-01,2026-03-28,BU-AMB,CC-1086,VEN-MH-087,CON-MH-087-2027,Contact Center,119683,901000,Opex,CDAO,ERP spend export,SPEND-MH-0086,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0087,2026-04-01,2026-04-28,BU-PLAN,CC-1087,VEN-MH-088,CON-MH-088-2027,Device Management,135200,1074000,Opex,CTO,ERP spend export,SPEND-MH-0087,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0088,2026-05-01,2026-05-28,BU-IT,CC-1088,VEN-MH-089,CON-MH-089-2027,Professional Services,150716,1247000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0088,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0089,2026-06-01,2026-06-28,BU-SHARED,CC-1089,VEN-MH-090,CON-MH-090-2027,Clinical Systems,166233,1420000,Opex,Health Plan,ERP spend export,SPEND-MH-0089,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0090,2026-07-01,2026-07-28,BU-ACUTE,CC-1000,VEN-MH-091,CON-MH-091-2027,Cloud Infrastructure,181750,1593000,Opex,CFO,ERP spend export,SPEND-MH-0090,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0091,2026-08-01,2026-08-28,BU-AMB,CC-1001,VEN-MH-092,CON-MH-092-2027,Data Platform,147266,1766000,Opex,CDAO,ERP spend export,SPEND-MH-0091,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0092,2026-09-01,2026-09-28,BU-PLAN,CC-1002,VEN-MH-093,CON-MH-093-2027,Security,162783,1939000,Capex,CTO,ERP spend export,SPEND-MH-0092,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0093,2026-10-01,2026-10-28,BU-IT,CC-1003,VEN-MH-094,CON-MH-094-2027,Integration,178300,2112000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0093,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0094,2026-11-01,2026-11-28,BU-SHARED,CC-1004,VEN-MH-095,CON-MH-095-2027,Health Plan Operations,193816,2285000,Opex,Health Plan,ERP spend export,SPEND-MH-0094,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0095,2026-12-01,2026-12-28,BU-ACUTE,CC-1005,VEN-MH-096,CON-MH-096-2027,Revenue Cycle,209333,2458000,Opex,CFO,ERP spend export,SPEND-MH-0095,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0096,2026-01-01,2026-01-28,BU-AMB,CC-1006,VEN-MH-097,CON-MH-097-2027,Contact Center,224850,2631000,Capex,CDAO,ERP spend export,SPEND-MH-0096,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0097,2026-02-01,2026-02-28,BU-PLAN,CC-1007,VEN-MH-098,CON-MH-098-2027,Device Management,240366,2804000,Opex,CTO,ERP spend export,SPEND-MH-0097,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0098,2026-03-01,2026-03-28,BU-IT,CC-1008,VEN-MH-099,CON-MH-099-2027,Professional Services,255883,2977000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0098,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0099,2026-04-01,2026-04-28,BU-SHARED,CC-1009,VEN-MH-100,CON-MH-100-2027,Clinical Systems,271400,3150000,Opex,Health Plan,ERP spend export,SPEND-MH-0099,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0100,2026-05-01,2026-05-28,BU-ACUTE,CC-1010,VEN-MH-101,CON-MH-101-2027,Cloud Infrastructure,286916,3323000,Capex,CFO,ERP spend export,SPEND-MH-0100,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0101,2026-06-01,2026-06-28,BU-AMB,CC-1011,VEN-MH-102,CON-MH-102-2027,Data Platform,302433,3496000,Opex,CDAO,ERP spend export,SPEND-MH-0101,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0102,2026-07-01,2026-07-28,BU-PLAN,CC-1012,VEN-MH-103,CON-MH-103-2027,Security,317950,3669000,Opex,CTO,ERP spend export,SPEND-MH-0102,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0103,2026-08-01,2026-08-28,BU-IT,CC-1013,VEN-MH-104,CON-MH-104-2027,Integration,333466,3842000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0103,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0104,2026-09-01,2026-09-28,BU-SHARED,CC-1014,VEN-MH-105,CON-MH-105-2027,Health Plan Operations,348983,4015000,Capex,Health Plan,ERP spend export,SPEND-MH-0104,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0105,2026-10-01,2026-10-28,BU-ACUTE,CC-1015,VEN-MH-106,CON-MH-106-2027,Revenue Cycle,364500,4188000,Opex,CFO,ERP spend export,SPEND-MH-0105,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0106,2026-11-01,2026-11-28,BU-AMB,CC-1016,VEN-MH-107,CON-MH-107-2027,Contact Center,380016,4361000,Opex,CDAO,ERP spend export,SPEND-MH-0106,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0107,2026-12-01,2026-12-28,BU-PLAN,CC-1017,VEN-MH-108,CON-MH-108-2027,Device Management,395533,4534000,Opex,CTO,ERP spend export,SPEND-MH-0107,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0108,2026-01-01,2026-01-28,BU-IT,CC-1018,VEN-MH-109,CON-MH-109-2027,Professional Services,411050,4707000,Capex,Revenue Cycle,ERP spend export,SPEND-MH-0108,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0109,2026-02-01,2026-02-28,BU-SHARED,CC-1019,VEN-MH-110,CON-MH-110-2027,Clinical Systems,426566,4880000,Opex,Health Plan,ERP spend export,SPEND-MH-0109,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0110,2026-03-01,2026-03-28,BU-ACUTE,CC-1020,VEN-EPIC,CON-EPIC-CORE-2027,Clinical Systems,2404333,28600000,Opex,CFO,ERP spend export,SPEND-MH-0110,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0111,2026-04-01,2026-04-28,BU-AMB,CC-1021,VEN-AMS-EPIC,CON-AMS-EPIC-2026,AMS - Epic,1555433,18400000,Opex,CDAO,ERP spend export,SPEND-MH-0111,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0112,2026-05-01,2026-05-28,BU-PLAN,CC-1022,VEN-AMS-DATA,CON-AMS-DATA-2026,AMS - Data Analytics,1073200,12600000,Capex,CTO,ERP spend export,SPEND-MH-0112,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0113,2026-06-01,2026-06-28,BU-IT,CC-1023,VEN-AWS,CON-AWS-EA-2027,Cloud Infrastructure,4040966,48200000,Opex,Revenue Cycle,ERP spend export,SPEND-MH-0113,IT Finance,2026-06-04,0.86,true,
SPEND-MH-0114,2026-07-01,2026-07-28,BU-SHARED,CC-1024,VEN-ORACLE,CON-ORACLE-ERP-2028,ERP and Finance,1217066,14300000,Opex,Health Plan,ERP spend export,SPEND-MH-0114,IT Finance,2026-06-04,0.86,true,
