tenant_key,map_id,vendor_id,vendor_name,contract_or_scope,annual_value_usd,renewal_date,supported_system_id,supported_system_name,owner_role,source_basis,confidence,caveat
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-40,CON-00040,SAP,Professional Services,10760000,2030-08-14,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-41,CON-00041,ServiceNow,Support & Maintenance,23010000,2025-10-27,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-42,CON-00042,Databricks,Support & Maintenance,32110000,2026-10-24,APP-00021,Loyalty-Databricks-Platform-0021,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-43,CON-00043,ServiceNow,Enterprise Agreement,80350000,2027-02-20,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-44,CON-00044,Fortinet,Enterprise Agreement,7610000,2026-03-21,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-45,CON-00045,NetApp,Capacity Reservation,136780000,2027-04-24,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-46,CON-00046,Amadeus,Consumption Commit,114070000,2024-11-26,APP-00018,Loyalty-Amadeus-Service-0018,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-47,CON-00047,Sabre,Enterprise Agreement,29260000,2026-03-26,APP-00008,Inventory-Sabre-Suite-0008,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-48,CON-00048,ServiceNow,SaaS Subscription,30770000,2029-09-01,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-49,CON-00049,TCS,Managed Service,2360000,2026-11-24,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-50,CON-00050,Workday,Consumption Commit,87780000,2028-09-05,APP-00025,Compute-Workday-Suite-0025,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-51,CON-00051,Fortinet,Perpetual License,98200000,2025-01-30,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-52,CON-00052,NetApp,Support & Maintenance,104060000,2027-05-15,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-53,CON-00053,MuleSoft,Consumption Commit,113750000,2028-08-02,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-54,CON-00054,Infosys,Consumption Commit,39330000,2029-05-06,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-55,CON-00055,Workday,SaaS Subscription,137480000,2026-03-18,APP-00025,Compute-Workday-Suite-0025,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-56,CON-00056,Oracle,Managed Service,23210000,2025-10-31,APP-00010,Real-Oracle-Service-0010,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-57,CON-00057,Amadeus,Managed Service,138080000,2027-10-08,APP-00018,Loyalty-Amadeus-Service-0018,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-58,CON-00058,Sabre,SaaS Subscription,47140000,2025-04-27,APP-00008,Inventory-Sabre-Suite-0008,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-59,CON-00059,NetApp,Managed Service,63320000,2026-11-17,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-60,CON-00060,Cisco,Consumption Commit,118290000,2028-09-20,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-61,CON-00061,ServiceNow,Consumption Commit,86300000,2025-07-24,APP-00006,Airworthiness-ServiceNow-Hub-0006,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-62,CON-00062,IBM,Professional Services,134009999,2028-03-23,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-63,CON-00063,NetApp,Consumption Commit,112960000,2030-01-16,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-64,CON-00064,Palo Alto,Perpetual License,23660000,2024-12-22,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-65,CON-00065,Palo Alto,SaaS Subscription,58950000,2025-12-19,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-66,CON-00066,Fortinet,Managed Service,127340000,2023-11-22,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-67,CON-00067,TCS,Managed Service,120170000,2025-12-25,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-68,CON-00068,SAP,Capacity Reservation,98580000,2026-11-12,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-69,CON-00069,Microsoft,Perpetual License,84830000,2029-01-01,APP-00034,Flight-Microsoft-Platform-0034,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-70,CON-00070,Snowflake,Professional Services,3820000,2026-12-05,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-71,CON-00071,Accenture,Support & Maintenance,104030000,2026-12-27,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-72,CON-00072,TCS,Professional Services,83510000,2026-10-30,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-73,CON-00073,Workday,Managed Service,32920000,2026-02-11,APP-00025,Compute-Workday-Suite-0025,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-74,CON-00074,AWS,Capacity Reservation,19530000,2025-12-22,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-75,CON-00075,TCS,Enterprise Agreement,30010000,2025-08-28,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-76,CON-00076,Snowflake,SaaS Subscription,105020000,2028-12-06,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-77,CON-00077,IBM,SaaS Subscription,52620000,2029-03-17,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-78,CON-00078,IBM,Perpetual License,79170000,2029-03-27,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-79,CON-00079,AWS,Professional Services,27950000,2025-09-19,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-80,CON-00080,MuleSoft,Enterprise Agreement,4810000,2028-07-17,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-81,CON-00081,MuleSoft,Professional Services,70400000,2026-12-03,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-82,CON-00082,TCS,Perpetual License,78050000,2026-09-13,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-83,CON-00083,Oracle,Professional Services,68300000,2028-04-18,APP-00010,Real-Oracle-Service-0010,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-84,CON-00084,Salesforce,Capacity Reservation,11220000,2027-04-25,APP-00035,Parts-Salesforce-Manager-0035,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-85,CON-00085,NetApp,Perpetual License,76370000,2026-08-27,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-86,CON-00086,Informatica,Consumption Commit,74310000,2029-01-03,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-87,CON-00087,Salesforce,SaaS Subscription,135210000,2028-08-17,APP-00035,Parts-Salesforce-Manager-0035,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-88,CON-00088,TCS,Managed Service,18050000,2024-12-12,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-89,CON-00089,MuleSoft,Capacity Reservation,2020000,2028-06-04,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-90,CON-00090,Accenture,Enterprise Agreement,114050000,2026-12-24,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-91,CON-00091,Cisco,SaaS Subscription,61490000,2023-11-19,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-92,CON-00092,TCS,Managed Service,43440000,2029-11-30,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-93,CON-00093,Informatica,Professional Services,48060000,2023-04-26,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-94,CON-00094,Infosys,Support & Maintenance,87920000,2028-07-06,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-95,CON-00095,Snowflake,Capacity Reservation,44330000,2025-06-04,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-96,CON-00096,TCS,Capacity Reservation,91900000,2026-09-01,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-97,CON-00097,VMware,Capacity Reservation,123930000,2028-01-07,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-98,CON-00098,Fortinet,Managed Service,1180000,2025-04-10,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-99,CON-00099,IBM,Enterprise Agreement,72640000,2025-11-25,APP-00061,Crew-IBM-Hub-0061,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-100,CON-00100,TCS,Managed Service,77470000,2028-01-14,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-101,CON-00101,NetApp,Support & Maintenance,41240000,2025-07-12,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-102,CON-00102,Cisco,Professional Services,101970000,2026-06-15,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-103,CON-00103,TCS,Perpetual License,66239999,2028-05-18,APP-00004,Crew-TCS-Hub-0004,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-104,CON-00104,Informatica,Perpetual License,28320000,2027-04-02,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-105,CON-00105,SAP,Enterprise Agreement,53600000,2023-10-18,APP-00044,HR-SAP-Manager-0044,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-106,CON-00106,Infosys,Support & Maintenance,106130000,2026-11-10,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-107,CON-00107,Sabre,Managed Service,7440000,2027-09-18,APP-00008,Inventory-Sabre-Suite-0008,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-108,CON-00108,Snowflake,Support & Maintenance,10840000,2023-10-01,APP-00002,Disruption-Snowflake-Manager-0002,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-109,CON-00109,Red Hat,Managed Service,25430000,2023-09-12,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-110,CON-00110,Salesforce,Enterprise Agreement,40670000,2030-02-12,APP-00035,Parts-Salesforce-Manager-0035,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-111,CON-00111,Cisco,Enterprise Agreement,118090000,2027-01-21,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-112,CON-00112,Accenture,Managed Service,52580000,2025-09-01,APP-00042,Storage-Accenture-Suite-0042,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-113,CON-00113,Infosys,Managed Service,125340000,2026-10-31,APP-00096,Tax-Infosys-Hub-0096,,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-114,CON-00114,VMware,Perpetual License,58560000,2027-11-23,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-115,CON-00115,VMware,Support & Maintenance,50890000,2027-02-26,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-116,CON-00116,Cisco,Consumption Commit,107410000,2029-01-04,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
skyharbor-air,skyharbor-air-VENDOR-SYSTEM-117,CON-00117,VMware,Managed Service,76130000,2028-11-03,,,,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.
