change_id,implemented_at,team_id,affected_app_id,risk,outcome,notes
MR-CHG-032,2026-02-04,TEAM-MR-SERVICE,MR-APP-COUPA-PROCUREMENT-PILOT-2,medium,incident_linked,90-day change sample.
MR-CHG-033,2026-02-05,TEAM-MR-EPIC-CLINICAL,MR-APP-SMARTSHEET-PMO-2,high,successful,90-day change sample.
MR-CHG-034,2026-02-06,TEAM-MR-EPIC-RC,MR-APP-ADP-TAX-SERVICES,low,successful,90-day change sample.
MR-CHG-035,2026-02-07,TEAM-MR-EPIC-ANC,MR-APP-EMPLOYEE-WELLNESS-PORTAL,medium,rollback,90-day change sample.
MR-CHG-036,2026-02-08,TEAM-MR-EPIC-OR-ED,MR-APP-GET-WELL-NETWORK,high,incident_linked,90-day change sample.
MR-CHG-037,2026-02-09,TEAM-MR-INTEGRATION,MR-APP-PATIENT-PORTAL-ANALYTICS,low,successful,90-day change sample.
MR-CHG-038,2026-02-10,TEAM-MR-INFRA,MR-APP-EPIC-RESEARCH-MODULE,medium,successful,90-day change sample.
MR-CHG-039,2026-02-11,TEAM-MR-SECURITY,MR-APP-KAFKA-MSK-BRIDGE,high,rollback,90-day change sample.
MR-CHG-040,2026-02-12,TEAM-MR-DATA-AI,MR-APP-PALO-ALTO-FIREWALL-MANAGER,low,incident_linked,90-day change sample.
MR-CHG-041,2026-02-13,TEAM-MR-DIGITAL,MR-APP-CISCO-UCS-MANAGER-2,medium,successful,90-day change sample.
MR-CHG-042,2026-02-14,TEAM-MR-POPHEALTH,MR-APP-LEGACY-FAX-ROUTING,high,successful,90-day change sample.
MR-CHG-043,2026-02-15,TEAM-MR-RESEARCH,MR-APP-LEGACY-INTERFACE-MAPPER,low,rollback,90-day change sample.
MR-CHG-044,2026-02-16,TEAM-MR-CORP-IT,MR-APP-ACCESS-DB-INVENTORY-2,medium,incident_linked,90-day change sample.
MR-CHG-045,2026-02-17,TEAM-MR-WORKFORCE,MR-APP-STRYKER-MAKO-PLANNING,high,successful,90-day change sample.
MR-CHG-046,2026-02-18,TEAM-MR-IMAGING,MR-APP-HIPPOCRATIC-OUTREACH-SANDBOX,low,successful,90-day change sample.
MR-CHG-047,2026-02-19,TEAM-MR-PMO,MR-APP-STRYKER-MAKO-PLANNING-2,medium,rollback,90-day change sample.
MR-CHG-048,2026-02-20,TEAM-MR-SERVICE,MR-APP-EPIC-HYPERDRIVE,high,incident_linked,90-day change sample.
MR-CHG-049,2026-02-21,TEAM-MR-EPIC-CLINICAL,MR-APP-MYCHART,low,successful,90-day change sample.
MR-CHG-050,2026-02-22,TEAM-MR-EPIC-RC,MR-APP-CUPID,medium,successful,90-day change sample.
MR-CHG-051,2026-02-23,TEAM-MR-EPIC-ANC,MR-APP-OPTIME,high,rollback,90-day change sample.
MR-CHG-052,2026-02-24,TEAM-MR-EPIC-OR-ED,MR-APP-COGITO,low,incident_linked,90-day change sample.
MR-CHG-053,2026-02-25,TEAM-MR-INTEGRATION,MR-APP-HEALTHY-PLANET,medium,successful,90-day change sample.
MR-CHG-054,2026-02-26,TEAM-MR-INFRA,MR-APP-GE-MUSE,high,successful,90-day change sample.
MR-CHG-055,2026-02-27,TEAM-MR-SECURITY,MR-APP-ALLSCRIPTS-MERCY,low,rollback,90-day change sample.
MR-CHG-056,2026-02-28,TEAM-MR-DATA-AI,MR-APP-WORKDAY-FIN,medium,incident_linked,90-day change sample.
MR-CHG-057,2026-02-01,TEAM-MR-DIGITAL,MR-APP-M365-E5,high,successful,90-day change sample.
MR-CHG-058,2026-02-02,TEAM-MR-POPHEALTH,MR-APP-OPTUM-360,low,successful,90-day change sample.
MR-CHG-059,2026-02-03,TEAM-MR-RESEARCH,MR-APP-LUMA,medium,rollback,90-day change sample.
MR-CHG-060,2026-02-04,TEAM-MR-CORP-IT,MR-APP-UKG-KRONOS,high,incident_linked,90-day change sample.
MR-CHG-061,2026-02-05,TEAM-MR-WORKFORCE,MR-APP-ONCORE,low,successful,90-day change sample.
MR-CHG-062,2026-02-06,TEAM-MR-IMAGING,MR-APP-CITRIX,medium,successful,90-day change sample.
MR-CHG-063,2026-02-07,TEAM-MR-PMO,MR-APP-AZURE,high,rollback,90-day change sample.
MR-CHG-064,2026-02-08,TEAM-MR-SERVICE,MR-APP-CROWDSTRIKE,low,incident_linked,90-day change sample.
MR-CHG-065,2026-02-09,TEAM-MR-EPIC-CLINICAL,MR-APP-EPIC-ROVER,medium,successful,90-day change sample.
MR-CHG-066,2026-02-10,TEAM-MR-EPIC-RC,MR-APP-EPIC-SECURE-CHAT,high,successful,90-day change sample.
MR-CHG-067,2026-02-11,TEAM-MR-EPIC-ANC,MR-APP-CLINICAL-DECISION-SUPPORT-LIBRARY,low,rollback,90-day change sample.
MR-CHG-068,2026-02-12,TEAM-MR-EPIC-OR-ED,MR-APP-PHILIPS-INTELLISPACE-CV,medium,incident_linked,90-day change sample.
MR-CHG-069,2026-02-13,TEAM-MR-INTEGRATION,MR-APP-NUANCE-POWERSCRIBE,high,successful,90-day change sample.
MR-CHG-070,2026-02-14,TEAM-MR-INFRA,MR-APP-PHILIPS-INTELLISPACE-CV-2,low,successful,90-day change sample.
MR-CHG-071,2026-02-15,TEAM-MR-SECURITY,MR-APP-WAYSTAR-DENIALS,medium,rollback,90-day change sample.
MR-CHG-072,2026-02-16,TEAM-MR-DATA-AI,MR-APP-REVSPRING-STATEMENTS,high,incident_linked,90-day change sample.
MR-CHG-073,2026-02-17,TEAM-MR-DIGITAL,MR-APP-WAYSTAR-DENIALS-2,low,successful,90-day change sample.
MR-CHG-074,2026-02-18,TEAM-MR-POPHEALTH,MR-APP-ARCADIA-LEGACY-ANALYTICS,medium,successful,90-day change sample.
MR-CHG-075,2026-02-19,TEAM-MR-RESEARCH,MR-APP-NAVIHEALTH-INTEGRATION,high,rollback,90-day change sample.
MR-CHG-076,2026-02-20,TEAM-MR-CORP-IT,MR-APP-CONCUR-EXPENSE,low,incident_linked,90-day change sample.
MR-CHG-077,2026-02-21,TEAM-MR-WORKFORCE,MR-APP-POWER-BI-ENTERPRISE,medium,successful,90-day change sample.
MR-CHG-078,2026-02-22,TEAM-MR-IMAGING,MR-APP-CONCUR-EXPENSE-2,high,successful,90-day change sample.
MR-CHG-079,2026-02-23,TEAM-MR-PMO,MR-APP-POWER-BI-ENTERPRISE-2,low,rollback,90-day change sample.
MR-CHG-080,2026-02-24,TEAM-MR-SERVICE,MR-APP-CONCUR-EXPENSE-3,medium,incident_linked,90-day change sample.
MR-CHG-081,2026-02-25,TEAM-MR-EPIC-CLINICAL,MR-APP-NURSE-FLOAT-POOL-PLANNER,high,successful,90-day change sample.
MR-CHG-082,2026-02-26,TEAM-MR-EPIC-RC,MR-APP-PROVIDER-ONBOARDING-TRACKER,low,successful,90-day change sample.
MR-CHG-083,2026-02-27,TEAM-MR-EPIC-ANC,MR-APP-RELATECARE-CONTACT-CENTER,medium,rollback,90-day change sample.
MR-CHG-084,2026-02-28,TEAM-MR-EPIC-OR-ED,MR-APP-IRB-MANAGER,high,incident_linked,90-day change sample.
MR-CHG-085,2026-02-01,TEAM-MR-INTEGRATION,MR-APP-CISCO-UCS-MANAGER,low,successful,90-day change sample.
MR-CHG-086,2026-02-02,TEAM-MR-INFRA,MR-APP-SOLARWINDS-NETWORK-MONITOR,medium,successful,90-day change sample.
MR-CHG-087,2026-02-03,TEAM-MR-SECURITY,MR-APP-AZURE-AI-SEARCH,high,rollback,90-day change sample.
MR-CHG-088,2026-02-04,TEAM-MR-DATA-AI,MR-APP-ACCESS-DB-INVENTORY,low,incident_linked,90-day change sample.
MR-CHG-089,2026-02-05,TEAM-MR-DIGITAL,MR-APP-COLDFUSION-PHYSICIAN-DIRECTORY,medium,successful,90-day change sample.
MR-CHG-090,2026-02-06,TEAM-MR-POPHEALTH,MR-APP-RADIOLOGY-CD-BURNER,high,successful,90-day change sample.
MR-CHG-091,2026-02-07,TEAM-MR-RESEARCH,MR-APP-VISICU-EICU,low,rollback,90-day change sample.
MR-CHG-092,2026-02-08,TEAM-MR-CORP-IT,MR-APP-AIDOC-STROKE-TRIAGE,medium,incident_linked,90-day change sample.
MR-CHG-093,2026-02-09,TEAM-MR-WORKFORCE,MR-APP-VISICU-EICU-2,high,successful,90-day change sample.
MR-CHG-094,2026-02-10,TEAM-MR-IMAGING,MR-APP-AIDOC-STROKE-TRIAGE-2,low,successful,90-day change sample.
MR-CHG-095,2026-02-11,TEAM-MR-PMO,MR-APP-EPIC-BEDROCK,medium,rollback,90-day change sample.
MR-CHG-096,2026-02-12,TEAM-MR-SERVICE,MR-APP-BEAKER,high,incident_linked,90-day change sample.
MR-CHG-097,2026-02-13,TEAM-MR-EPIC-CLINICAL,MR-APP-STORK,low,successful,90-day change sample.
MR-CHG-098,2026-02-14,TEAM-MR-EPIC-RC,MR-APP-ANESTHESIA,medium,successful,90-day change sample.
MR-CHG-099,2026-02-15,TEAM-MR-EPIC-ANC,MR-APP-RESOLUTE-HB,high,rollback,90-day change sample.
MR-CHG-100,2026-02-16,TEAM-MR-EPIC-OR-ED,MR-APP-SECTRA-PACS,low,incident_linked,90-day change sample.
MR-CHG-101,2026-02-17,TEAM-MR-INTEGRATION,MR-APP-SUNQUEST-MERCY,medium,successful,90-day change sample.
MR-CHG-102,2026-02-18,TEAM-MR-INFRA,MR-APP-PARAGON,high,successful,90-day change sample.
MR-CHG-103,2026-02-19,TEAM-MR-SECURITY,MR-APP-WORKDAY-HCM,low,rollback,90-day change sample.
MR-CHG-104,2026-02-20,TEAM-MR-DATA-AI,MR-APP-SERVICENOW,medium,incident_linked,90-day change sample.
MR-CHG-105,2026-02-21,TEAM-MR-DIGITAL,MR-APP-CHANGE-CHC,high,successful,90-day change sample.
MR-CHG-106,2026-02-22,TEAM-MR-POPHEALTH,MR-APP-PRESS-GANEY,low,successful,90-day change sample.
MR-CHG-107,2026-02-23,TEAM-MR-RESEARCH,MR-APP-SYMPLR,medium,rollback,90-day change sample.
MR-CHG-108,2026-02-24,TEAM-MR-CORP-IT,MR-APP-REDCAP,high,incident_linked,90-day change sample.
MR-CHG-109,2026-02-25,TEAM-MR-WORKFORCE,MR-APP-VMWARE,low,successful,90-day change sample.
MR-CHG-110,2026-02-26,TEAM-MR-IMAGING,MR-APP-CONFLUENT,medium,successful,90-day change sample.
MR-CHG-111,2026-02-27,TEAM-MR-PMO,MR-APP-ZSCALER,high,rollback,90-day change sample.
MR-CHG-112,2026-02-28,TEAM-MR-SERVICE,MR-APP-EPIC-HAIKU,low,incident_linked,90-day change sample.
MR-CHG-113,2026-02-01,TEAM-MR-EPIC-CLINICAL,MR-APP-EPIC-BED-PLANNING,medium,successful,90-day change sample.
MR-CHG-114,2026-02-02,TEAM-MR-EPIC-RC,MR-APP-NURSING-CARE-PLAN-TOOLKIT,high,successful,90-day change sample.
MR-CHG-115,2026-02-03,TEAM-MR-EPIC-ANC,MR-APP-CASSLING-DR-CONSOLE,low,rollback,90-day change sample.
MR-CHG-116,2026-02-04,TEAM-MR-EPIC-OR-ED,MR-APP-MMODAL-FLUENCY-DIRECT,medium,incident_linked,90-day change sample.
MR-CHG-117,2026-02-05,TEAM-MR-INTEGRATION,MR-APP-CASSLING-DR-CONSOLE-2,high,successful,90-day change sample.
MR-CHG-118,2026-02-06,TEAM-MR-INFRA,MR-APP-EXPERIAN-HEALTH-ELIGIBILITY,low,successful,90-day change sample.
MR-CHG-119,2026-02-07,TEAM-MR-SECURITY,MR-APP-CEDAR-PAY,medium,rollback,90-day change sample.
MR-CHG-120,2026-02-08,TEAM-MR-DATA-AI,MR-APP-EXPERIAN-HEALTH-ELIGIBILITY-2,high,incident_linked,90-day change sample.
MR-CHG-121,2026-02-09,TEAM-MR-DIGITAL,MR-APP-STELLAR-HEALTH,low,successful,90-day change sample.
MR-CHG-122,2026-02-10,TEAM-MR-POPHEALTH,MR-APP-ACO-ATTRIBUTION-HUB,medium,successful,90-day change sample.
MR-CHG-123,2026-02-11,TEAM-MR-RESEARCH,MR-APP-DOCUSIGN-CLM,high,rollback,90-day change sample.
MR-CHG-124,2026-02-12,TEAM-MR-CORP-IT,MR-APP-SHAREPOINT-GOVERNANCE-HUB,low,incident_linked,90-day change sample.
MR-CHG-125,2026-02-13,TEAM-MR-WORKFORCE,MR-APP-DOCUSIGN-CLM-2,medium,successful,90-day change sample.
MR-CHG-126,2026-02-14,TEAM-MR-IMAGING,MR-APP-SHAREPOINT-GOVERNANCE-HUB-2,high,successful,90-day change sample.
MR-CHG-127,2026-02-15,TEAM-MR-PMO,MR-APP-DOCUSIGN-CLM-3,low,rollback,90-day change sample.
MR-CHG-128,2026-02-16,TEAM-MR-SERVICE,MR-APP-TRAVEL-NURSE-AGENCY-PORTAL,medium,incident_linked,90-day change sample.
MR-CHG-129,2026-02-17,TEAM-MR-EPIC-CLINICAL,MR-APP-TWILIO-NOTIFY,high,successful,90-day change sample.
MR-CHG-130,2026-02-18,TEAM-MR-EPIC-RC,MR-APP-WAYFINDING-KIOSK-MANAGER,low,successful,90-day change sample.
MR-CHG-131,2026-02-19,TEAM-MR-EPIC-ANC,MR-APP-COHORT-BUILDER,medium,rollback,90-day change sample.
MR-CHG-132,2026-02-20,TEAM-MR-EPIC-OR-ED,MR-APP-CRIBL-STREAM,high,incident_linked,90-day change sample.
MR-CHG-133,2026-02-21,TEAM-MR-INTEGRATION,MR-APP-RUBRIK-BACKUP,low,successful,90-day change sample.
MR-CHG-134,2026-02-22,TEAM-MR-INFRA,MR-APP-SERVICE-MESH-GATEWAY,medium,successful,90-day change sample.
MR-CHG-135,2026-02-23,TEAM-MR-SECURITY,MR-APP-HOMEGROWN-BED-BOARD,high,rollback,90-day change sample.
MR-CHG-136,2026-02-24,TEAM-MR-DATA-AI,MR-APP-LEGACY-CLAIMS-ARCHIVE,low,incident_linked,90-day change sample.
MR-CHG-137,2026-02-25,TEAM-MR-DIGITAL,MR-APP-OLD-BADGE-PROVISIONING,medium,successful,90-day change sample.
MR-CHG-138,2026-02-26,TEAM-MR-POPHEALTH,MR-APP-SPOK-SMARTPHONE-ALERTS,high,successful,90-day change sample.
MR-CHG-139,2026-02-27,TEAM-MR-RESEARCH,MR-APP-RAD-AI-IMPRESSIONS,low,rollback,90-day change sample.
MR-CHG-140,2026-02-28,TEAM-MR-CORP-IT,MR-APP-SPOK-SMARTPHONE-ALERTS-2,medium,incident_linked,90-day change sample.
MR-CHG-141,2026-02-01,TEAM-MR-WORKFORCE,MR-APP-EPIC-HYPERSPACE,high,successful,90-day change sample.
MR-CHG-142,2026-02-02,TEAM-MR-IMAGING,MR-APP-EPIC-COSMOS,low,successful,90-day change sample.
MR-CHG-143,2026-02-03,TEAM-MR-PMO,MR-APP-WILLOW,medium,rollback,90-day change sample.
MR-CHG-144,2026-02-04,TEAM-MR-SERVICE,MR-APP-ASAP,high,incident_linked,90-day change sample.
MR-CHG-145,2026-02-05,TEAM-MR-EPIC-CLINICAL,MR-APP-RADIANT,low,successful,90-day change sample.
MR-CHG-146,2026-02-06,TEAM-MR-EPIC-RC,MR-APP-RESOLUTE-PB,medium,successful,90-day change sample.
MR-CHG-147,2026-02-07,TEAM-MR-EPIC-ANC,MR-APP-VISAGE-7,high,rollback,90-day change sample.
MR-CHG-148,2026-02-08,TEAM-MR-EPIC-OR-ED,MR-APP-SUNQUEST-SUTTER,low,incident_linked,90-day change sample.
MR-CHG-149,2026-02-09,TEAM-MR-INTEGRATION,MR-APP-LAWSON-HCM,medium,successful,90-day change sample.
MR-CHG-150,2026-02-10,TEAM-MR-INFRA,MR-APP-WORKDAY-SCM,high,successful,90-day change sample.
MR-CHG-151,2026-02-11,TEAM-MR-SECURITY,MR-APP-INNOVACCER,low,rollback,90-day change sample.
MR-CHG-152,2026-02-12,TEAM-MR-DATA-AI,MR-APP-PHREESIA,medium,incident_linked,90-day change sample.
MR-CHG-153,2026-02-13,TEAM-MR-DIGITAL,MR-APP-QGENDA,high,successful,90-day change sample.
MR-CHG-154,2026-02-14,TEAM-MR-POPHEALTH,MR-APP-HEALTHSTREAM,low,successful,90-day change sample.
MR-CHG-155,2026-02-15,TEAM-MR-RESEARCH,MR-APP-TEMPUS,medium,rollback,90-day change sample.
MR-CHG-156,2026-02-16,TEAM-MR-CORP-IT,MR-APP-PURE,high,incident_linked,90-day change sample.
MR-CHG-157,2026-02-17,TEAM-MR-WORKFORCE,MR-APP-SPLUNK,low,successful,90-day change sample.
MR-CHG-158,2026-02-18,TEAM-MR-IMAGING,MR-APP-OKTA,medium,successful,90-day change sample.
MR-CHG-159,2026-02-19,TEAM-MR-PMO,MR-APP-EPIC-CANTO,high,rollback,90-day change sample.
MR-CHG-160,2026-02-20,TEAM-MR-SERVICE,MR-APP-EPIC-TRANSFER-CENTER,low,incident_linked,90-day change sample.
MR-CHG-161,2026-02-21,TEAM-MR-EPIC-CLINICAL,MR-APP-EPIC-ROVER-2,medium,successful,90-day change sample.
MR-CHG-162,2026-02-22,TEAM-MR-EPIC-RC,MR-APP-ROCHE-COBAS-IT,high,successful,90-day change sample.
MR-CHG-163,2026-02-23,TEAM-MR-EPIC-ANC,MR-APP-SECTRA-EDUCATION-PORTAL,low,rollback,90-day change sample.
MR-CHG-164,2026-02-24,TEAM-MR-EPIC-OR-ED,MR-APP-ROCHE-COBAS-IT-2,medium,incident_linked,90-day change sample.
MR-CHG-165,2026-02-25,TEAM-MR-INTEGRATION,MR-APP-FINTHRIVE-CONTRACT-MANAGER,high,successful,90-day change sample.
MR-CHG-166,2026-02-26,TEAM-MR-INFRA,MR-APP-CODING-AUDIT-WORKBENCH,low,successful,90-day change sample.
MR-CHG-167,2026-02-27,TEAM-MR-SECURITY,MR-APP-FINTHRIVE-CONTRACT-MANAGER-2,medium,rollback,90-day change sample.
MR-CHG-168,2026-02-28,TEAM-MR-DATA-AI,MR-APP-SIGNIFY-INTEGRATION,high,incident_linked,90-day change sample.
MR-CHG-169,2026-02-01,TEAM-MR-DIGITAL,MR-APP-ARCADIA-LEGACY-ANALYTICS-2,low,successful,90-day change sample.
MR-CHG-170,2026-02-02,TEAM-MR-POPHEALTH,MR-APP-COUPA-PROCUREMENT-PILOT,medium,successful,90-day change sample.
MR-CHG-171,2026-02-03,TEAM-MR-RESEARCH,MR-APP-SMARTSHEET-PMO,high,rollback,90-day change sample.
MR-CHG-172,2026-02-04,TEAM-MR-CORP-IT,MR-APP-COUPA-PROCUREMENT-PILOT-2,low,incident_linked,90-day change sample.
MR-CHG-173,2026-02-05,TEAM-MR-WORKFORCE,MR-APP-SMARTSHEET-PMO-2,medium,successful,90-day change sample.
MR-CHG-174,2026-02-06,TEAM-MR-IMAGING,MR-APP-ADP-TAX-SERVICES,high,successful,90-day change sample.
MR-CHG-175,2026-02-07,TEAM-MR-PMO,MR-APP-EMPLOYEE-WELLNESS-PORTAL,low,rollback,90-day change sample.
MR-CHG-176,2026-02-08,TEAM-MR-SERVICE,MR-APP-GET-WELL-NETWORK,medium,incident_linked,90-day change sample.
MR-CHG-177,2026-02-09,TEAM-MR-EPIC-CLINICAL,MR-APP-PATIENT-PORTAL-ANALYTICS,high,successful,90-day change sample.
MR-CHG-178,2026-02-10,TEAM-MR-EPIC-RC,MR-APP-EPIC-RESEARCH-MODULE,low,successful,90-day change sample.
MR-CHG-179,2026-02-11,TEAM-MR-EPIC-ANC,MR-APP-KAFKA-MSK-BRIDGE,medium,rollback,90-day change sample.
MR-CHG-180,2026-02-12,TEAM-MR-EPIC-OR-ED,MR-APP-PALO-ALTO-FIREWALL-MANAGER,high,incident_linked,90-day change sample.
