function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:apex:merchandising-apparel,Merchandising — Apparel & Accessories,Business — Merch,person:apex:theresa-aponte,Theresa Aponte,1820,1485,285,50,,,,0,"Apparel category buying, planning, allocation, vendor management","Apparel merch typically 600-1,000 buyers + planners + allocators at this scale.",Largest single merchandising vertical by revenue.
function:apex:merchandising-home-lifestyle,Merchandising — Home & Lifestyle,Business — Merch,person:apex:bradley-wickersham,Bradley Wickersham,980,825,145,10,,,,0,"Home/seasonal/decor/furniture buying, planning, vendor mgmt",Home category merch ~500-800 at this scale.,Seasonal cycle planning is signature complexity.
function:apex:merchandising-grocery-consumables,Merchandising — Grocery & Consumables,Business — Merch,person:apex:marcus-aldridge,Marcus Aldridge,1280,1180,92,8,,,,0,"Grocery/CPG/fresh buying, private label, fresh program operations","Grocery category merch typically 1,000-1,500 at this scale.",Private-label penetration target + fresh program scaling.
function:apex:merchandising-beauty-wellness,Merchandising — Beauty/Health/Wellness,Business — Merch,person:apex:yuki-tanaka-riveras,Yuki Tanaka-Riveras,720,615,98,7,,,,0,"Beauty/health/wellness buying, planning, vendor mgmt",Beauty/wellness merch ~500-800 at this scale.,Beauty growth + wellness adjacency expansion focus.
function:apex:planning-allocation,Planning & Allocation,Business — Merch,person:apex:dorian-petrov,Dorian Petrov,485,285,195,5,,,,0,"Cross-category planning, allocation, demand forecasting, size/regional fit",Retail planning/allocation typically 380-600 at this scale; offshore-heavy.,Demand forecasting AI under governance; allocation accuracy is a key lever.
function:apex:pricing-promotions,Pricing & Promotions,Business — Merch,person:apex:eliana-karimov,Eliana Karimov,185,142,38,5,22500000,0,22500000,2,"Pricing analytics, promotion planning, competitor price intelligence",Pricing+promo team typically 150-220 at this scale.,Price-pack architecture + promo ROI.
function:apex:stores-west,Store Operations — West,Business — Stores,person:apex:brendan-walsh,Brendan Walsh,78500,78500,0,14000,,,,0,~720 stores across western United States,Retail store associates: ~85-100 per store including PT.,Largest single workforce category.
function:apex:stores-east,Store Operations — East,Business — Stores,person:apex:tasha-williams-choudhury,Tasha Williams-Choudhury,72500,72500,0,13000,,,,0,~680 stores across eastern United States,Same density as West region.,East region store P&L ownership.
function:apex:stores-central,Store Operations — Central,Business — Stores,person:apex:kenny-brink,Kenny Brink,68500,68500,0,12500,,,,0,~576 stores across central United States,Includes rural-format stores.,Central region store P&L ownership; rural-format optimization.
function:apex:supply-chain-distribution,Distribution & Fulfillment,Business — Supply Chain,person:apex:esperanza-vargas,Esperanza Vargas,14500,14500,0,2200,,,,0,12 DCs across United States; fulfillment + e-commerce + store replenishment,"Retail DC labor typically 1,200-1,800 per DC at automation level.",Robotics under AI governance; automation ROI focus.
function:apex:supply-chain-transport,Transportation & Logistics,Business — Supply Chain,person:apex:dieter-hauptmann,Dieter Hauptmann,480,425,35,20,,,,0,"Carrier mgmt, last-mile, freight optimization",Retail transport teams typically 350-600 at this scale.,Last-mile cost reduction + carrier diversification.
function:apex:inventory-planning,Inventory Planning & Replenishment,Business — Supply Chain,person:apex:chinedu-adekoya,Chinedu Adekoya,420,280,132,8,,,,0,"Demand planning, replenishment, vendor scorecards",Inventory planning team typically 350-500 at this scale.,Sell-through 62% target 70%; out-of-stock reduction.
function:apex:global-sourcing,Global Sourcing,Business — Supply Chain,person:apex:marisol-akinyemi,Marisol Akinyemi,385,195,188,2,,,,0,"Asia + nearshore sourcing offices, supplier mgmt, tariff strategy",Retail global sourcing 280-450 at this scale; offshore-heavy by definition.,Nearshoring vs Asia tradeoffs; tariff impact strategy.
function:apex:brand-marketing,Brand & Marketing,Business — Marketing,person:apex:yolanda-mendez-pearce,Yolanda Mendez-Pearce,485,425,48,12,280000000,0,280000000,6,"Brand creative, campaigns, agency management, paid media",Retail marketing typically 0.18-0.28% of EE.,Brand health + campaign ROI; private-brand storytelling.
function:apex:customer-loyalty,Customer Loyalty & CRM,Business — Marketing,person:apex:ramon-velasquez-park,Ramon Velasquez-Park,145,122,18,5,58500000,4200000,54300000,4,"Loyalty program operations, CRM, next-best-offer ops",Retail CRM/loyalty teams typically 100-180 at this scale.,Loyalty LTV uplift; next-best-offer AI under governance.
function:apex:ecommerce-business,E-commerce Business Operations,Business — Digital,person:apex:hadassah-gold-bjornsson,Hadassah Gold-Bjornsson,580,425,145,10,,,,0,"E-commerce P&L, marketplace strategy, site merchandising, digital category mgmt",Retail e-com biz ops 480-720 at this scale.,GMV growth + conversion + marketplace strategy.
function:apex:finance-treasury,"Finance, Treasury & FP&A",Business — Corporate,person:apex:margaret-chen,Margaret Chen (CFO),1850,1245,580,25,245000000,0,245000000,8,"Oracle ERP, Workday Adaptive, FP&A platform, treasury workstation, internal audit tools","Retail finance typically 0.7-0.9% of EE (1,750-2,250 for 250k EE).","Includes Chen CFO, Carrera Treasurer, FP&A, Audit, IR."
function:apex:hr-people,HR / People & Culture,Business — Corporate,person:apex:thomas-brennan,Thomas Brennan (CHRO),1450,1180,245,25,185000000,0,185000000,5,"Workday HCM, payroll, recruiting, talent management, benefits admin, store associate ops","Retail HR typically 0.55-0.75% of EE (1,375-1,875 for 250k EE).",Frontline workforce focus; store associate retention is signature challenge.
function:apex:legal-compliance-privacy,"Legal, Compliance & Privacy",Business — Corporate,person:apex:rebecca-singh,Rebecca Singh (GC),185,168,12,5,38500000,0,38500000,4,"Litigation tools, contract lifecycle, employment legal, privacy compliance",Retail legal+compliance typically 0.06-0.10% of EE (150-250 for 250k EE).,"Includes commercial/vendor (Marin), privacy (Ostrowski), litigation/employment (Moseti-Anderson)."
function:apex:strategy-corp-dev,Strategy & Corporate Development,Business — Corporate,person:apex:magnus-castellanos,Magnus Castellanos (CSO),58,52,4,2,22500000,0,22500000,0,Strategy + M&A pipeline + competitive intelligence,Retail strategy typically 40-80 at this scale.,Activist-investor narrative + AI portfolio strategy.
