reg_id,regulator,obligation,affected_apps,evidence_required
FCF-REG-021,Federal Reserve,Vendor due-diligence refresh and AI data-use attestation,FCF-APP-ERP-FINANCE-141|FCF-APP-WEALTH-041,"contract clause, security review, data-flow boundary, and exit readiness evidence"
FCF-REG-022,CFPB,Customer-impact incident postmortem and remediation proof,FCF-APP-COMMERCIAL-LENDING-148|FCF-APP-COMMERCIAL-LENDING-052,"timeline, impact assessment, root cause, corrective action, and control validation"
FCF-REG-023,FinCEN,Data-quality control attestation for executive/regulatory report,FCF-APP-CONTACT-CENTER-155|FCF-APP-DIGITAL-BANKING-063,"lineage extract, reconciliation sample, data steward signoff, and issue register"
FCF-REG-024,Internal Audit,Operational resilience dependency review,FCF-APP-FINANCIAL-CRIMES-162|FCF-APP-PAYMENTS-074,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance"
FCF-REG-025,OCC,Quarterly access recertification for regulated platform,FCF-APP-CORE-BANKING-169|FCF-APP-CORE-BANKING-085,"owner attestation, exception list, sampled evidence, and remediation owner"
FCF-REG-026,FFIEC,Evidence retention for critical change window,FCF-APP-CYBERSECURITY-176|FCF-APP-MODEL-RISK-096,"change ticket, rollback evidence, testing signoff, and production validation"
FCF-REG-027,Federal Reserve,Vendor due-diligence refresh and AI data-use attestation,FCF-APP-FEDWIRE-ACH|FCF-APP-CONTACT-CENTER-107,"contract clause, security review, data-flow boundary, and exit readiness evidence"
FCF-REG-028,CFPB,Customer-impact incident postmortem and remediation proof,FCF-APP-SAP-ECC|FCF-APP-BRANCH-ATM-118,"timeline, impact assessment, root cause, corrective action, and control validation"
FCF-REG-029,FinCEN,Data-quality control attestation for executive/regulatory report,FCF-APP-PEGA-CASE|FCF-APP-ERP-FINANCE-129,"lineage extract, reconciliation sample, data steward signoff, and issue register"
FCF-REG-030,Internal Audit,Operational resilience dependency review,FCF-APP-MODEL-RISK-024|FCF-APP-CYBERSECURITY-140,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance"
FCF-REG-031,OCC,Quarterly access recertification for regulated platform,FCF-APP-DATA-PLATFORM-031|FCF-APP-DATA-PLATFORM-151,"owner attestation, exception list, sampled evidence, and remediation owner"
FCF-REG-032,FFIEC,Evidence retention for critical change window,FCF-APP-PAYMENTS-038|FCF-APP-FINANCIAL-CRIMES-162,"change ticket, rollback evidence, testing signoff, and production validation"
FCF-REG-033,Federal Reserve,Vendor due-diligence refresh and AI data-use attestation,FCF-APP-ERP-FINANCE-045|FCF-APP-WEALTH-173,"contract clause, security review, data-flow boundary, and exit readiness evidence"
FCF-REG-034,CFPB,Customer-impact incident postmortem and remediation proof,FCF-APP-COMMERCIAL-LENDING-052|FCF-APP-FEDNOW-RTP,"timeline, impact assessment, root cause, corrective action, and control validation"
FCF-REG-035,FinCEN,Data-quality control attestation for executive/regulatory report,FCF-APP-CONTACT-CENTER-059|FCF-APP-MOBILE-BANKING,"lineage extract, reconciliation sample, data steward signoff, and issue register"
FCF-REG-036,Internal Audit,Operational resilience dependency review,FCF-APP-FINANCIAL-CRIMES-066|FCF-APP-PAYMENTS-026,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance"
FCF-REG-037,OCC,Quarterly access recertification for regulated platform,FCF-APP-CORE-BANKING-073|FCF-APP-CORE-BANKING-037,"owner attestation, exception list, sampled evidence, and remediation owner"
FCF-REG-038,FFIEC,Evidence retention for critical change window,FCF-APP-CYBERSECURITY-080|FCF-APP-MODEL-RISK-048,"change ticket, rollback evidence, testing signoff, and production validation"
FCF-REG-039,Federal Reserve,Vendor due-diligence refresh and AI data-use attestation,FCF-APP-DIGITAL-BANKING-087|FCF-APP-CONTACT-CENTER-059,"contract clause, security review, data-flow boundary, and exit readiness evidence"
FCF-REG-040,CFPB,Customer-impact incident postmortem and remediation proof,FCF-APP-BRANCH-ATM-094|FCF-APP-BRANCH-ATM-070,"timeline, impact assessment, root cause, corrective action, and control validation"
