vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id,source_file,source_row,value_source
MER-VEN-023,Oracle,corporate_finance_operations,Chief Compliance Officer,24850000,2026-11-07,medium,per user / per provider,normal,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,24,tenant_file
MER-VEN-024,BlackLine,corporate_finance_operations,Chief Customer Experience Officer,25925000,2026-12-08,medium,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,25,tenant_file
MER-VEN-025,Coupa,corporate_finance_operations,Chief Medical Officer,27000000,2026-07-09,medium,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,26,tenant_file
MER-VEN-026,Kyriba,corporate_finance_operations,Chief Health Plan Officer,28075000,2026-08-10,medium,per user / per provider,renewal before evidence gate,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,27,tenant_file
MER-VEN-027,NICE,corporate_finance_operations,Chief Digital & Information Officer,29150000,2026-09-11,medium,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,28,tenant_file
MER-VEN-028,Verint,corporate_finance_operations,CFO,30225000,2026-10-12,medium,enterprise subscription,normal,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,29,tenant_file
MER-VEN-029,Availity,corporate_finance_operations,Chief Operating Officer,31300000,2026-11-13,medium,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,30,tenant_file
MER-VEN-030,MHK,corporate_finance_operations,Chief Nursing Officer,32375000,2026-12-14,medium,usage plus platform,normal,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,31,tenant_file
MER-VEN-031,InterQual,corporate_finance_operations,Chief Compliance Officer,33450000,2026-07-15,medium,enterprise subscription,renewal before evidence gate,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,32,tenant_file
MER-VEN-032,Innovaccer,corporate_finance_operations,Chief Customer Experience Officer,34525000,2026-08-16,medium,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,33,tenant_file
MER-VEN-033,Health Catalyst,corporate_finance_operations,Chief Medical Officer,35600000,2026-09-17,medium,usage plus platform,overlapping capability,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,34,tenant_file
MER-VEN-034,BigID,corporate_finance_operations,Chief Health Plan Officer,36675000,2026-10-18,medium,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,35,tenant_file
MERIDIANHEALTH-VND-0035,Epic / expansion 1,clinical_ai_or_ehr,Chief Medical Officer,1200000,2026-07-05,high,enterprise subscription,renewal before evidence gate,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,36,tenant_file
MERIDIANHEALTH-VND-0036,Databricks / expansion 2,clinical_ai_or_ehr,Chief Health Plan Officer,2275000,2026-08-06,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,37,tenant_file
MERIDIANHEALTH-VND-0037,AWS / expansion 3,clinical_ai_or_ehr,Chief Digital & Information Officer,3350000,2026-09-07,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,38,tenant_file
MERIDIANHEALTH-VND-0038,Microsoft/Nuance / expansion 4,clinical_ai_or_ehr,CFO,4425000,2026-10-08,high,enterprise subscription,normal,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,39,tenant_file
MERIDIANHEALTH-VND-0039,Abridge / expansion 5,clinical_ai_or_ehr,Chief Operating Officer,5500000,2026-11-09,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,40,tenant_file
MERIDIANHEALTH-VND-0040,Suki / expansion 6,clinical_ai_or_ehr,Chief Nursing Officer,6575000,2026-12-10,high,usage plus platform,renewal before evidence gate,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,41,tenant_file
MERIDIANHEALTH-VND-0041,Genesys / expansion 7,payer_platform_or_integration,Chief Compliance Officer,7650000,2026-07-11,high,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,42,tenant_file
MERIDIANHEALTH-VND-0042,Salesforce / expansion 8,payer_platform_or_integration,Chief Customer Experience Officer,8725000,2026-08-12,high,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,43,tenant_file
MERIDIANHEALTH-VND-0043,Change Healthcare / expansion 9,payer_platform_or_integration,Chief Medical Officer,9800000,2026-09-13,high,usage plus platform,overlapping capability,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,44,tenant_file
MERIDIANHEALTH-VND-0044,Optum / expansion 10,payer_platform_or_integration,Chief Health Plan Officer,10875000,2026-10-14,high,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,45,tenant_file
MERIDIANHEALTH-VND-0045,HealthEdge / expansion 11,payer_platform_or_integration,Chief Digital & Information Officer,11950000,2026-11-15,high,per user / per provider,renewal before evidence gate,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,46,tenant_file
MERIDIANHEALTH-VND-0046,TriZetto / expansion 12,payer_platform_or_integration,CFO,13025000,2026-12-16,high,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,47,tenant_file
MERIDIANHEALTH-VND-0047,MuleSoft / expansion 13,payer_platform_or_integration,Chief Operating Officer,14100000,2026-07-17,high,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,48,tenant_file
MERIDIANHEALTH-VND-0048,Informatica / expansion 14,data_and_analytics,Chief Nursing Officer,15175000,2026-08-18,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,49,tenant_file
MERIDIANHEALTH-VND-0049,Tableau / expansion 15,data_and_analytics,Chief Compliance Officer,16250000,2026-09-19,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,50,tenant_file
MERIDIANHEALTH-VND-0050,SAS / expansion 16,data_and_analytics,Chief Customer Experience Officer,17325000,2026-10-20,high,enterprise subscription,renewal before evidence gate,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,51,tenant_file
MERIDIANHEALTH-VND-0051,Collibra / expansion 17,data_and_analytics,Chief Medical Officer,18400000,2026-11-21,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,52,tenant_file
MERIDIANHEALTH-VND-0052,ServiceNow / expansion 18,data_and_analytics,Chief Health Plan Officer,19475000,2026-12-22,high,usage plus platform,normal,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,53,tenant_file
MERIDIANHEALTH-VND-0053,Okta / expansion 19,security,Chief Digital & Information Officer,20550000,2026-07-23,medium,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,54,tenant_file
MERIDIANHEALTH-VND-0054,CrowdStrike / expansion 20,security,CFO,21625000,2026-08-24,medium,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,55,tenant_file
MERIDIANHEALTH-VND-0055,Zscaler / expansion 21,security,Chief Operating Officer,22700000,2026-09-05,medium,usage plus platform,renewal before evidence gate,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,56,tenant_file
MERIDIANHEALTH-VND-0056,Workday / expansion 22,security,Chief Nursing Officer,23775000,2026-10-06,medium,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,57,tenant_file
MERIDIANHEALTH-VND-0057,Oracle / expansion 23,corporate_finance_operations,Chief Compliance Officer,24850000,2026-11-07,medium,per user / per provider,normal,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,58,tenant_file
MERIDIANHEALTH-VND-0058,BlackLine / expansion 24,corporate_finance_operations,Chief Customer Experience Officer,25925000,2026-12-08,medium,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,59,tenant_file
MERIDIANHEALTH-VND-0059,Coupa / expansion 25,corporate_finance_operations,Chief Medical Officer,27000000,2026-07-09,medium,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,60,tenant_file
MERIDIANHEALTH-VND-0060,Kyriba / expansion 26,corporate_finance_operations,Chief Health Plan Officer,28075000,2026-08-10,medium,per user / per provider,renewal before evidence gate,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,61,tenant_file
MERIDIANHEALTH-VND-0061,NICE / expansion 27,corporate_finance_operations,Chief Digital & Information Officer,29150000,2026-09-11,medium,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,62,tenant_file
MERIDIANHEALTH-VND-0062,Verint / expansion 28,corporate_finance_operations,CFO,30225000,2026-10-12,medium,enterprise subscription,normal,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,63,tenant_file
MERIDIANHEALTH-VND-0063,Availity / expansion 29,corporate_finance_operations,Chief Operating Officer,31300000,2026-11-13,medium,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,64,tenant_file
MERIDIANHEALTH-VND-0064,MHK / expansion 30,corporate_finance_operations,Chief Nursing Officer,32375000,2026-12-14,medium,usage plus platform,normal,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,65,tenant_file
MERIDIANHEALTH-VND-0065,InterQual / expansion 31,corporate_finance_operations,Chief Compliance Officer,33450000,2026-07-15,medium,enterprise subscription,renewal before evidence gate,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,66,tenant_file
MERIDIANHEALTH-VND-0066,Innovaccer / expansion 32,corporate_finance_operations,Chief Customer Experience Officer,34525000,2026-08-16,medium,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,67,tenant_file
MERIDIANHEALTH-VND-0067,Health Catalyst / expansion 33,corporate_finance_operations,Chief Medical Officer,35600000,2026-09-17,medium,usage plus platform,overlapping capability,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,68,tenant_file
MERIDIANHEALTH-VND-0068,BigID / expansion 34,corporate_finance_operations,Chief Health Plan Officer,36675000,2026-10-18,medium,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,69,tenant_file
MERIDIANHEALTH-VND-0069,Epic / expansion 35,clinical_ai_or_ehr,Chief Medical Officer,1200000,2026-07-05,high,enterprise subscription,renewal before evidence gate,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,70,tenant_file
MERIDIANHEALTH-VND-0070,Databricks / expansion 36,clinical_ai_or_ehr,Chief Health Plan Officer,2275000,2026-08-06,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,71,tenant_file
MERIDIANHEALTH-VND-0071,AWS / expansion 37,clinical_ai_or_ehr,Chief Digital & Information Officer,3350000,2026-09-07,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,72,tenant_file
MERIDIANHEALTH-VND-0072,Microsoft/Nuance / expansion 38,clinical_ai_or_ehr,CFO,4425000,2026-10-08,high,enterprise subscription,normal,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,73,tenant_file
MERIDIANHEALTH-VND-0073,Abridge / expansion 39,clinical_ai_or_ehr,Chief Operating Officer,5500000,2026-11-09,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,74,tenant_file
MERIDIANHEALTH-VND-0074,Suki / expansion 40,clinical_ai_or_ehr,Chief Nursing Officer,6575000,2026-12-10,high,usage plus platform,renewal before evidence gate,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,75,tenant_file
MERIDIANHEALTH-VND-0075,Genesys / expansion 41,payer_platform_or_integration,Chief Compliance Officer,7650000,2026-07-11,high,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,76,tenant_file
MERIDIANHEALTH-VND-0076,Salesforce / expansion 42,payer_platform_or_integration,Chief Customer Experience Officer,8725000,2026-08-12,high,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,77,tenant_file
MERIDIANHEALTH-VND-0077,Change Healthcare / expansion 43,payer_platform_or_integration,Chief Medical Officer,9800000,2026-09-13,high,usage plus platform,overlapping capability,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,78,tenant_file
MERIDIANHEALTH-VND-0078,Optum / expansion 44,payer_platform_or_integration,Chief Health Plan Officer,10875000,2026-10-14,high,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,79,tenant_file
MERIDIANHEALTH-VND-0079,HealthEdge / expansion 45,payer_platform_or_integration,Chief Digital & Information Officer,11950000,2026-11-15,high,per user / per provider,renewal before evidence gate,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,80,tenant_file
MERIDIANHEALTH-VND-0080,TriZetto / expansion 46,payer_platform_or_integration,CFO,13025000,2026-12-16,high,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,81,tenant_file
MERIDIANHEALTH-VND-0081,MuleSoft / expansion 47,payer_platform_or_integration,Chief Operating Officer,14100000,2026-07-17,high,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,82,tenant_file
MERIDIANHEALTH-VND-0082,Informatica / expansion 48,data_and_analytics,Chief Nursing Officer,15175000,2026-08-18,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,83,tenant_file
MERIDIANHEALTH-VND-0083,Tableau / expansion 49,data_and_analytics,Chief Compliance Officer,16250000,2026-09-19,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,84,tenant_file
MERIDIANHEALTH-VND-0084,SAS / expansion 50,data_and_analytics,Chief Customer Experience Officer,17325000,2026-10-20,high,enterprise subscription,renewal before evidence gate,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,85,tenant_file
MERIDIANHEALTH-VND-0085,Collibra / expansion 51,data_and_analytics,Chief Medical Officer,18400000,2026-11-21,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,86,tenant_file
MERIDIANHEALTH-VND-0086,ServiceNow / expansion 52,data_and_analytics,Chief Health Plan Officer,19475000,2026-12-22,high,usage plus platform,normal,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,87,tenant_file
MERIDIANHEALTH-VND-0087,Okta / expansion 53,security,Chief Digital & Information Officer,20550000,2026-07-23,medium,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,88,tenant_file
MERIDIANHEALTH-VND-0088,CrowdStrike / expansion 54,security,CFO,21625000,2026-08-24,medium,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,89,tenant_file
MERIDIANHEALTH-VND-0089,Zscaler / expansion 55,security,Chief Operating Officer,22700000,2026-09-05,medium,usage plus platform,renewal before evidence gate,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,90,tenant_file
MERIDIANHEALTH-VND-0090,Workday / expansion 56,security,Chief Nursing Officer,23775000,2026-10-06,medium,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,91,tenant_file
MERIDIANHEALTH-VND-0091,Oracle / expansion 57,corporate_finance_operations,Chief Compliance Officer,24850000,2026-11-07,medium,per user / per provider,normal,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,92,tenant_file
MERIDIANHEALTH-VND-0092,BlackLine / expansion 58,corporate_finance_operations,Chief Customer Experience Officer,25925000,2026-12-08,medium,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,93,tenant_file
MERIDIANHEALTH-VND-0093,Coupa / expansion 59,corporate_finance_operations,Chief Medical Officer,27000000,2026-07-09,medium,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,94,tenant_file
MERIDIANHEALTH-VND-0094,Kyriba / expansion 60,corporate_finance_operations,Chief Health Plan Officer,28075000,2026-08-10,medium,per user / per provider,renewal before evidence gate,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,95,tenant_file
MERIDIANHEALTH-VND-0095,NICE / expansion 61,corporate_finance_operations,Chief Digital & Information Officer,29150000,2026-09-11,medium,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,96,tenant_file
