function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:firstcapital:wealth-management-ops,Wealth Management Operations,Business — LOB,person:firstcapital:verity-nakamura-reid,Verity Nakamura-Reid,1720,1545,165,10,124000000,5500000,118500000,10,"Advisor desktop ops, trust accounting, brokerage clearing operations, private bank ops","Bank wealth ops typically 0.4-0.6 FTE per $250M AUM (1,680 for $420B AUM).","Includes private bank, trust, investment mgmt, brokerage, wealth onboarding."
function:firstcapital:treasury-markets-ops,Treasury & Capital Markets Operations,Business — LOB,person:firstcapital:otis-brennan-mwale,Otis Brennan-Mwale,580,545,32,3,85000000,4500000,80500000,8,"Bank treasury ops, ALM, trading floor support, market-making ops",Bank treasury+markets typically 1-2% of total bank FTE.,FedNow liquidity tooling + ALM modernization.
function:firstcapital:compliance-bsa-aml,"Compliance, BSA/AML & Financial Crime",Business — Risk,person:firstcapital:saoirse-quintero,Saoirse Quintero,1180,1085,85,10,245000000,0,245000000,8,"NICE Actimize, Verafin pilot, LexisNexis KYC, sanctions screening, fair lending tooling","Bank compliance largest at this scale; 2.5-3.5% of EE post-OCC findings (1,150-1,610 for 46k EE).",Largest contributor to 34% compliance share of IT budget (per existing fixtures).
function:firstcapital:risk-credit,Credit Risk Management,Business — Risk,person:firstcapital:quentin-olabode-reyes,Quentin Olabode-Reyes,385,358,22,5,85000000,0,85000000,4,"SAS Risk Engine, Moodys RiskFrontier, credit modeling platforms",Bank credit risk 0.7-1.0% of EE (322-460 for 46k EE).,Stress testing + portfolio analytics + concentration.
function:firstcapital:risk-market-liquidity,Market & Liquidity Risk,Business — Risk,person:firstcapital:marisol-skouras-wendt,Marisol Skouras-Wendt,145,138,5,2,45000000,0,45000000,3,"Calypso market risk, LCR/NSFR tooling, hedge effectiveness platforms",Bank market+liquidity risk typically 120-180 at this scale.,Balance-sheet + trading + ALM risk.
function:firstcapital:risk-operational,Operational Risk,Business — Risk,person:firstcapital:hayden-carrera-park,Hayden Carrera-Park,180,172,5,3,38500000,0,38500000,2,"Operational risk framework, third-party risk, scenario analysis",Bank operational risk typically 150-220 at this scale.,Third-party risk concentration focus post-OCC.
function:firstcapital:audit-internal,Internal Audit,Business — Risk,person:firstcapital:reginald-atherton,Reginald Atherton (CAE),280,265,12,3,58500000,0,58500000,3,"MetricStream GRC, audit workpapers, regulatory remediation tracking",Bank internal audit typically 0.5-0.7% of EE.,Reports to Audit Committee; AI program audit + reg remediation.
function:firstcapital:finance-treasury,"Finance, Treasury & FP&A",Business — Corporate,person:firstcapital:jules-bernhardt,Jules Bernhardt (Treasurer),720,685,28,7,128000000,0,128000000,6,"Oracle ERP, Workday Adaptive, treasury workstation, CCAR platforms, IR tools",Bank finance typically 1.4-1.8% of EE (644-828 for 46k EE).,"Includes Torres CFO, Bernhardt Treasurer, FP&A, IR, Tax."
function:firstcapital:hr-people,HR / People & Culture,Business — Corporate,person:firstcapital:rosalind-castellanos,Rosalind Castellanos (CHRO),385,365,15,5,58500000,0,58500000,3,"Workday HCM, payroll, recruiting, talent management, benefits admin",Bank HR typically 0.7-0.9% of EE (322-414 for 46k EE).,Tech labor market + advisor recruiting focus.
function:firstcapital:legal-securities,Legal (Banking + Securities + Wealth),Business — Corporate,person:firstcapital:camille-beauregard,Camille Beauregard (GC),245,232,8,5,78500000,0,78500000,3,"Litigation tools, contract lifecycle, regulatory legal platforms",Bank legal typically 0.4-0.6% of EE (184-276 for 46k EE).,"Includes Banking Legal (Nwoko-Park), Securities/Wealth Legal (Aboagye-Williams), Litigation (Bjornsdottir)."
function:firstcapital:strategy-corp-dev,Strategy & Corporate Development,Business — Corporate,person:firstcapital:theodore-kobayashi,Theodore Kobayashi (CSO),58,52,4,2,22500000,0,22500000,0,Strategy + M&A pipeline + competitive intelligence,Bank strategy typically 40-80 at this scale.,Regional-bank consolidation strategy + AI program alignment.
function:firstcapital:communications-investor-relations,Communications & Investor Relations,Business — Corporate,person:firstcapital:yvonne-marchetti-park,Yvonne Marchetti-Park (CCO),38,35,2,1,12500000,0,12500000,0,"IR platforms, regulatory exam comms, AI public posture mgmt",Bank communications typically 30-60 at this scale.,OCC findings narrative + investor relations.
function:firstcapital:procurement-vendor-mgmt,Procurement & Vendor Mgmt (TPRM),Business — Corporate,person:firstcapital:nadia-rahman,Nadia Rahman (CPO),145,138,5,2,32500000,0,32500000,3,"Coupa, vendor risk tooling, contract lifecycle, fintech vendor reviews",Bank procurement typically 0.25-0.35% of EE (115-161 for 46k EE).,Includes IT Sourcing (Brooks); fintech vendor risk is signature complexity.
