app_name,vendor,product,capability,deployment_model,architecture,hosting_ref,lifecycle,compliance_scope,annual_tco_usd,users,criticality_tier,business_owner,it_owner,banner,region,source
Salesforce CRM,Salesforce,Sales & Service Cloud,CRM & Customer Service,saas,microservices,vendor-hosted-sfdc,sustain,GDPR,illustrative,illustrative,Tier 2,Jennifer Park (CMO),Priya Iyer (VP Digital),Apex Core,Global,canonical vendor: vendors.ts (Salesforce CRM+Commerce+Einstein)
Adobe Experience Cloud,Adobe,AEM + Campaign + Analytics,Marketing & Content,saas,microservices,vendor-hosted-adbe,sustain,GDPR,illustrative,illustrative,Tier 2,Jennifer Park (CMO),Priya Iyer (VP Digital),Apex Digital,Global,illustrative
Twilio Segment CDP,Twilio Segment,Segment CDP,Customer Data Platform,saas,microservices,vendor-hosted-twlo,sustain,GDPR,illustrative,illustrative,Tier 1,Lynne Stratham (CDO),James Wright (VP Data Eng),Apex Digital,Global,canonical: technology_inventory.ts (Segment CDP fragmented)
Punchh Loyalty,PAX Technology (Punchh),Punchh Loyalty,Loyalty & Rewards,saas,microservices,vendor-hosted-punchh,sustain,GDPR,illustrative,illustrative,Tier 2,Jennifer Park (CMO),Priya Iyer (VP Digital),Apex Core,NA,canonical: technology_inventory.ts (Punchh disconnected)
NCR POS,NCR,Counterpoint / store POS,Point of Sale,on_prem,client_server,store-edge,sustain,PCI,illustrative,28000,Tier 0,David Okonjo (COO),Brandon Hayes (Acting VP Store Tech),Apex Core,NA,canonical: technology_inventory.ts (NCR Counterpoint 9.0)
Toshiba POS,Toshiba Global Commerce,TCx Elevate,Point of Sale (intl banners),on_prem,client_server,store-edge,sustain,PCI,illustrative,9000,Tier 0,David Okonjo (COO),Brandon Hayes (Acting VP Store Tech),Apex International,EMEA,illustrative
Oracle Retail RMS,Oracle,Retail Merchandising System,Merchandising (legacy),on_prem,client_server,dc-columbus,retire,SOX,illustrative,illustrative,Tier 2,Angela Foster (CMerchO),Linda Mwangi (VP EA),Apex Core,NA,canonical: technology.ts (Oracle RMS legacy)
Legacy Pricing Mainframe,IBM,z/OS COBOL pricing engine,Pricing & Promotions (legacy),on_prem,mainframe,dc-columbus,legacy_eol,PCI,illustrative,,Tier 1,Angela Foster (CMerchO),Linda Mwangi (VP EA),Apex Core,NA,illustrative
Databricks Lakehouse,Databricks,Databricks Platform,ML & Feature Store,public_cloud,microservices,azure-prod-data,invest,none,illustrative,illustrative,Tier 2,Lynne Stratham (CDO),James Wright (VP Data Eng),Apex Core,Global,canonical: technology_inventory.ts (Databricks underutilized)
Snowflake,Snowflake,Cloud Data Warehouse,Cloud Data Warehouse,public_cloud,microservices,aws-prod-data,invest,SOX,illustrative,illustrative,Tier 2,Lynne Stratham (CDO),James Wright (VP Data Eng),Apex Core,Global,canonical: technology_inventory.ts (Snowflake 40% migrated)
Tableau,Salesforce (Tableau),Tableau Server,Business Intelligence,private_cloud,client_server,gcp-prod-bi,sustain,none,illustrative,illustrative,Tier 2,Lynne Stratham (CDO),James Wright (VP Data Eng),Apex Core,Global,canonical: technology.ts (Tableau BI)
ServiceNow ITSM,ServiceNow,ITSM + CMDB,IT Service Management,saas,microservices,vendor-hosted-snow,invest,none,illustrative,illustrative,Tier 2,Carlos Rivera (CIO),Daniel Okeke (Dir IT PMO),Apex Core,Global,illustrative
Coupa Procurement,Coupa,Coupa BSM,Procure-to-Pay,saas,microservices,vendor-hosted-coupa,sustain,SOX,illustrative,illustrative,Tier 2,Margaret Chen (CFO),Nathan Kohl (VP IT Proc),Apex Core,Global,illustrative
Kyriba Treasury,Kyriba,Kyriba TMS,Treasury Management,saas,microservices,vendor-hosted-kyriba,sustain,SOX,illustrative,illustrative,Tier 2,Margaret Chen (CFO),Diana Lopez (VP App Svcs),Apex Core,Global,illustrative
Store Labor Scheduling,Internal,Custom scheduling app,Workforce Scheduling,public_cloud,microservices,azure-prod-stores,sustain,none,illustrative,illustrative,Tier 2,Thomas Brennan (CHRO),Brandon Hayes (Acting VP Store Tech),Apex Core,NA,illustrative
Shadow SaaS (unmanaged),Various,847 store-level SaaS subscriptions,Unmanaged / Shadow IT,saas,cots_packaged,unknown,tolerate,none,illustrative,illustrative,Tier 3,Store Operations,Nathan Kohl (VP IT Proc),Apex Core,NA,"canonical: vendors.ts ($38M shadow IT, 847 subs, 23 dupes)"
