templateId,phase,label,clientPurpose,fileFormat,recommendedSessionType,recommendedAudience,supportedBuildingBlocks,requiredSections,parsedOutputTypes,nextPhaseInputsCreated,sampleQuestions,lakeshore_legal_example
"p3_controls_guardrails_checklist","P3","Controls and Guardrails Checklist","Confirm the control boundaries and guardrails the design must enforce.","XLSX","sme_review","Legal / compliance reviewer; Information Security","Controls / governance / risk model; Human-in-the-loop agent","Approval boundaries; Audit and privacy requirements","control_requirement","controlRequirements","What must be approved? | What must be logged? | What cannot be automated?","Attorney approval required; full audit trail; privilege fence; no autonomous legal decisions."
"p3_solution_approach_decision_summary","P3","Solution Approach Decision Summary","The client-reviewed decision: chosen approach, rationale, and what is deferred.","DOCX","decision_review","Business sponsor; Legal Operations Lead; Finance / value owner","AI-assisted decision support; Human-in-the-loop agent; Controls / governance / risk model; Workflow automation","Selected solution approach; Rejected / deferred options; Human + AI split and controls","selected_approach; solution_option; tradeoff; human_ai_split; control_requirement","selectedSolutionApproach; deferredOptions; controlRequirements; workstreamCandidates","Which solution approach should we use, and why?","Selected Option B (CLM-embedded assisted triage & obligation extraction). Deferred: autonomous review, orchestration layer."
"p4_roadmap_workstream","P4","Roadmap Workstream Template","Convert the approved approach into sequenced workstreams.","XLSX","working_session","Business sponsor; IT / CLM owner; Legal Operations Lead","Process redesign; Data readiness / remediation; Workflow automation; Human-in-the-loop agent; Controls / governance / risk model; Value tracking / operating cadence","Workstreams by lane; Dependencies and sequence","workstream; risk","workstreams; dependencies","What are the workstreams and their order?","Intake redesign · metadata remediation · CLM routing config · AI-assisted triage · controls · Tower metrics."
"p4_cost_effort_assumptions","P4","Cost and Effort Assumptions Template","Capture cost/effort assumptions per workstream for the business case.","XLSX","working_session","Finance / value owner; IT / CLM owner","System / platform implementation; Value tracking / operating cadence","Effort by workstream; Delivery model options","workstream; value_assumption","fundingAssumptions","What is the phase-one cost range and delivery model?","Boutique-led hybrid $0.95–1.45M vs Big 4 $1.8–2.8M vs offshore-heavy $0.62–0.98M (control/adoption risk)."
"p4_value_assumptions_review","P4","Value Assumptions Review Template","Validate value assumptions with finance and separate directional from hard value.","DOCX","sme_review","Finance / value owner; Business sponsor","Value tracking / operating cadence; Controls / governance / risk model","Value levers and proof level; Directional vs hard value","value_assumption","fundingAssumptions","Which value is directional and which is hard? | What must finance attest?","8–12% cycle-time improvement (operational); hard dollar savings require finance evidence."
"p4_risk_readiness_register","P4","Risk and Readiness Register","Record risks and readiness gaps that gate the plan.","XLSX","working_session","IT / CLM owner; Legal / compliance reviewer","Controls / governance / risk model; Data readiness / remediation","Risks and mitigations; Readiness gaps","risk; control_requirement","risks; launchReadinessItems","What must be true before we start? | What could go wrong?","Integration/privilege controls; requestor adoption; finance proof for hard savings."
"p4_tower_metrics_definition","P4","Tower Metrics Definition Template","Define the metrics Tower will track, with baselines and targets.","XLSX","working_session","Finance / value owner; Business sponsor","Value tracking / operating cadence","Metric definitions and baselines","tower_metric; baseline_metric","towerMetrics","What metric proves value? | What is baseline and target?","Cycle time, intake completeness, aged queue, obligation capture, status inquiries."
"p4_finance_sponsor_review_summary","P4","Finance / Sponsor Review Summary","The client-reviewed plan approval: what will be funded and how value is measured.","DOCX","final_review","Business sponsor; Finance / value owner","Value tracking / operating cadence; Controls / governance / risk model","Approved roadmap and funding; Approved measurement plan","workstream; value_assumption; tower_metric","fundingAssumptions; towerMetrics; launchReadinessItems","What will we fund, when, and how will value be measured?","Approved 12-week boutique-led hybrid; Tower measures cycle time and obligation capture."
"p5_raci_ownership","P5","RACI and Ownership Template","Assign an accountable owner to every workstream and lane.","XLSX","working_session","Business sponsor; IT / CLM owner; Legal Operations Lead","Process redesign; Data readiness / remediation; Workflow automation; Controls / governance / risk model; Value tracking / operating cadence","Owner per workstream; Approvers and reviewers","owner_assignment; control_requirement","metricOwners","Who owns what? | Who approves?","Legal Ops → process; Data owner → remediation; IT → CLM; Legal → control approval; Tower owner → measurement."
"p5_launch_readiness_checklist","P5","Launch Readiness Checklist","Confirm the move is ready to start.","XLSX","sme_review","IT / CLM owner; Legal / compliance reviewer","System / platform implementation; Controls / governance / risk model","Readiness items and status","launch_readiness_item","adoptionTracking","Are we ready to start? | What is still open?","Obligation-owner matrix, controls, requestor training, and value metrics ready before mobilization."
"p5_training_change_plan","P5","Training and Change Plan Template","Plan the training and change management for adoption.","DOCX","working_session","Business process owner; Business sponsor","Process redesign; Human-in-the-loop agent","Training plan by role; Change and adoption approach","launch_readiness_item","adoptionTracking","Who needs training? | How will we drive adoption?","Requestor guidance on complete intake; reviewer training on the confirmation step."
"p5_approval_conditions","P5","Approval Conditions Template","Capture the conditions and approvals required to proceed.","DOCX","decision_review","Legal / compliance reviewer; Business sponsor","Controls / governance / risk model","Approval path and conditions","control_requirement; launch_readiness_item","escalationThresholds","What approvals are needed to start?","Sponsor endorsement + Legal control sign-off; conditions on privilege handling."
"p5_execution_handoff_review_summary","P5","Execution Handoff Review Summary","The client-reviewed mobilization plan handed to delivery and Tower.","DOCX","final_review","Business sponsor; IT / CLM owner","Process redesign; Controls / governance / risk model; Value tracking / operating cadence","Confirmed owners and approvals; Confirmed measurement handoff","owner_assignment; measurement_contract_term","measurementContract; metricOwners; reviewCadence; adoptionTracking","Who owns what, and are we ready to start?","Owners confirmed; Tower measurement contract accepted; ready to mobilize."
"tower_measurement_contract","TOWER","Measurement Contract Template","The agreed contract of what Tower measures and how value is proven.","DOCX","working_session","Finance / value owner; Business sponsor","Value tracking / operating cadence; Controls / governance / risk model","Metric, baseline, target, formula","measurement_contract_term; tower_metric","measurementContract","How will we know this worked?","Cycle time and obligation capture with baselines, targets, owners, and cadence."
"tower_metric_owner_matrix","TOWER","Metric Owner Matrix","Assign an accountable owner to each Tower metric.","XLSX","working_session","Business sponsor; Finance / value owner","Value tracking / operating cadence","Metric to owner","owner_assignment; tower_metric","metricOwners","Who owns each metric?","Legal Ops owns cycle time; Data owner owns intake completeness; Finance owns hard-value attestation."
"tower_outcome_review_cadence","TOWER","Outcome Review Cadence Template","Set the operating cadence for reviewing outcomes.","DOCX","working_session","Business sponsor; Finance / value owner","Value tracking / operating cadence","Cadence and participants","measurement_contract_term","reviewCadence","How often do we review, and with whom?","Monthly value review with Legal Ops, Finance, and the sponsor."
"tower_escalation_threshold","TOWER","Escalation Threshold Template","Define the thresholds that trigger escalation when value does not show up.","XLSX","working_session","Business sponsor; Finance / value owner","Value tracking / operating cadence; Controls / governance / risk model","Thresholds and escalation path","measurement_contract_term; control_requirement","escalationThresholds","What if value does not show up?","Escalate if cycle time does not improve within two review cycles."
"tower_value_realization_review","TOWER","Value Realization Review Template","Track realized value against the projection over time.","DOCX","final_review","Finance / value owner; Business sponsor","Value tracking / operating cadence","Realized vs projected value","tower_metric; measurement_contract_term","adoptionTracking","What value did we actually realize?","Realized cycle-time reduction and obligation capture vs the P4 projection."
