event_id,event_type,product_family_id,severity,opened_at,capa_id,audit_reference
NST-QMS-031,Complaint trend,NST-PF-032,low,2026-08-03,CAPA-0031,AUD-0031
NST-QMS-032,FDA 483 observation,NST-PF-033,medium,2026-09-03,CAPA-0032,AUD-0032
NST-QMS-033,EU MDR remediation,NST-PF-034,low,2026-10-03,CAPA-0033,AUD-0033
NST-QMS-034,Design history gap,NST-PF-035,low,2026-11-03,CAPA-0034,AUD-0034
NST-QMS-035,CAPA,NST-PF-036,low,2026-12-03,CAPA-0035,AUD-0035
NST-QMS-036,Complaint trend,NST-PF-037,high,2026-01-03,CAPA-0036,AUD-0036
NST-QMS-037,FDA 483 observation,NST-PF-038,low,2026-02-03,CAPA-0037,AUD-0037
NST-QMS-038,EU MDR remediation,NST-PF-039,low,2026-03-03,CAPA-0038,AUD-0038
NST-QMS-039,Design history gap,NST-PF-040,low,2026-04-03,CAPA-0039,AUD-0039
NST-QMS-040,CAPA,NST-PF-041,medium,2026-05-03,CAPA-0040,AUD-0040
NST-QMS-041,Complaint trend,NST-PF-042,low,2026-06-03,CAPA-0041,AUD-0041
NST-QMS-042,FDA 483 observation,NST-PF-043,low,2026-07-03,CAPA-0042,AUD-0042
NST-QMS-043,EU MDR remediation,NST-PF-044,low,2026-08-03,CAPA-0043,AUD-0043
NST-QMS-044,Design history gap,NST-PF-045,medium,2026-09-03,CAPA-0044,AUD-0044
NST-QMS-045,CAPA,NST-PF-046,high,2026-10-03,CAPA-0045,AUD-0045
NST-QMS-046,Complaint trend,NST-PF-047,low,2026-11-03,CAPA-0046,AUD-0046
NST-QMS-047,FDA 483 observation,NST-PF-048,low,2026-12-03,CAPA-0047,AUD-0047
NST-QMS-048,EU MDR remediation,NST-PF-049,medium,2026-01-03,CAPA-0048,AUD-0048
NST-QMS-049,Design history gap,NST-PF-050,low,2026-02-03,CAPA-0049,AUD-0049
NST-QMS-050,CAPA,NST-PF-051,low,2026-03-03,CAPA-0050,AUD-0050
NST-QMS-051,Complaint trend,NST-PF-052,low,2026-04-03,CAPA-0051,AUD-0051
NST-QMS-052,FDA 483 observation,NST-PF-053,medium,2026-05-03,CAPA-0052,AUD-0052
NST-QMS-053,EU MDR remediation,NST-PF-054,low,2026-06-03,CAPA-0053,AUD-0053
NST-QMS-054,Design history gap,NST-PF-055,high,2026-07-03,CAPA-0054,AUD-0054
NST-QMS-055,CAPA,NST-PF-056,low,2026-08-03,CAPA-0055,AUD-0055
NST-QMS-056,Complaint trend,NST-PF-057,medium,2026-09-03,CAPA-0056,AUD-0056
NST-QMS-057,FDA 483 observation,NST-PF-058,low,2026-10-03,CAPA-0057,AUD-0057
NST-QMS-058,EU MDR remediation,NST-PF-059,low,2026-11-03,CAPA-0058,AUD-0058
NST-QMS-059,Design history gap,NST-PF-060,low,2026-12-03,CAPA-0059,AUD-0059
NST-QMS-060,CAPA,NST-PF-061,medium,2026-01-03,CAPA-0060,AUD-0060
NST-QMS-061,Complaint trend,NST-PF-062,low,2026-02-03,CAPA-0061,AUD-0061
NST-QMS-062,FDA 483 observation,NST-PF-063,low,2026-03-03,CAPA-0062,AUD-0062
NST-QMS-063,EU MDR remediation,NST-PF-064,high,2026-04-03,CAPA-0063,AUD-0063
NST-QMS-064,Design history gap,NST-PF-065,medium,2026-05-03,CAPA-0064,AUD-0064
NST-QMS-065,CAPA,NST-PF-066,low,2026-06-03,CAPA-0065,AUD-0065
NST-QMS-066,Complaint trend,NST-PF-067,low,2026-07-03,CAPA-0066,AUD-0066
NST-QMS-067,FDA 483 observation,NST-PF-068,low,2026-08-03,CAPA-0067,AUD-0067
NST-QMS-068,EU MDR remediation,NST-PF-069,medium,2026-09-03,CAPA-0068,AUD-0068
NST-QMS-069,Design history gap,NST-PF-070,low,2026-10-03,CAPA-0069,AUD-0069
NST-QMS-070,CAPA,NST-PF-071,low,2026-11-03,CAPA-0070,AUD-0070
NST-QMS-071,Complaint trend,NST-PF-072,low,2026-12-03,CAPA-0071,AUD-0071
NST-QMS-072,FDA 483 observation,NST-PF-073,high,2026-01-03,CAPA-0072,AUD-0072
NST-QMS-073,EU MDR remediation,NST-PF-074,low,2026-02-03,CAPA-0073,AUD-0073
NST-QMS-074,Design history gap,NST-PF-075,low,2026-03-03,CAPA-0074,AUD-0074
NST-QMS-075,CAPA,NST-PF-076,low,2026-04-03,CAPA-0075,AUD-0075
NST-QMS-076,Complaint trend,NST-PF-077,medium,2026-05-03,CAPA-0076,AUD-0076
NST-QMS-077,FDA 483 observation,NST-PF-078,low,2026-06-03,CAPA-0077,AUD-0077
NST-QMS-078,EU MDR remediation,NST-PF-079,low,2026-07-03,CAPA-0078,AUD-0078
NST-QMS-079,Design history gap,NST-PF-080,low,2026-08-03,CAPA-0079,AUD-0079
NST-QMS-080,CAPA,NST-PF-081,medium,2026-09-03,CAPA-0080,AUD-0080
NST-QMS-081,Complaint trend,NST-PF-082,high,2026-10-03,CAPA-0081,AUD-0081
NST-QMS-082,FDA 483 observation,NST-PF-083,low,2026-11-03,CAPA-0082,AUD-0082
NST-QMS-083,EU MDR remediation,NST-PF-084,low,2026-12-03,CAPA-0083,AUD-0083
NST-QMS-084,Design history gap,NST-PF-085,medium,2026-01-03,CAPA-0084,AUD-0084
NST-QMS-085,CAPA,NST-PF-086,low,2026-02-03,CAPA-0085,AUD-0085
NST-QMS-086,Complaint trend,NST-PF-087,low,2026-03-03,CAPA-0086,AUD-0086
NST-QMS-087,FDA 483 observation,NST-PF-088,low,2026-04-03,CAPA-0087,AUD-0087
NST-QMS-088,EU MDR remediation,NST-PF-089,medium,2026-05-03,CAPA-0088,AUD-0088
NST-QMS-089,Design history gap,NST-PF-090,low,2026-06-03,CAPA-0089,AUD-0089
NST-QMS-090,CAPA,NST-PF-091,high,2026-07-03,CAPA-0090,AUD-0090
NST-QMS-091,Complaint trend,NST-PF-092,low,2026-08-03,CAPA-0091,AUD-0091
NST-QMS-092,FDA 483 observation,NST-PF-093,medium,2026-09-03,CAPA-0092,AUD-0092
NST-QMS-093,EU MDR remediation,NST-PF-094,low,2026-10-03,CAPA-0093,AUD-0093
NST-QMS-094,Design history gap,NST-PF-095,low,2026-11-03,CAPA-0094,AUD-0094
NST-QMS-095,CAPA,NST-PF-096,low,2026-12-03,CAPA-0095,AUD-0095
NST-QMS-096,Complaint trend,NST-PF-097,medium,2026-01-03,CAPA-0096,AUD-0096
NST-QMS-097,FDA 483 observation,NST-PF-098,low,2026-02-03,CAPA-0097,AUD-0097
NST-QMS-098,EU MDR remediation,NST-PF-099,low,2026-03-03,CAPA-0098,AUD-0098
NST-QMS-099,Design history gap,NST-PF-100,high,2026-04-03,CAPA-0099,AUD-0099
NST-QMS-100,CAPA,NST-PF-101,medium,2026-05-03,CAPA-0100,AUD-0100
NST-QMS-101,Complaint trend,NST-PF-102,low,2026-06-03,CAPA-0101,AUD-0101
NST-QMS-102,FDA 483 observation,NST-PF-103,low,2026-07-03,CAPA-0102,AUD-0102
NST-QMS-103,EU MDR remediation,NST-PF-104,low,2026-08-03,CAPA-0103,AUD-0103
NST-QMS-104,Design history gap,NST-PF-105,medium,2026-09-03,CAPA-0104,AUD-0104
NST-QMS-105,CAPA,NST-PF-106,low,2026-10-03,CAPA-0105,AUD-0105
NST-QMS-106,Complaint trend,NST-PF-107,low,2026-11-03,CAPA-0106,AUD-0106
NST-QMS-107,FDA 483 observation,NST-PF-108,low,2026-12-03,CAPA-0107,AUD-0107
NST-QMS-108,EU MDR remediation,NST-PF-109,high,2026-01-03,CAPA-0108,AUD-0108
NST-QMS-109,Design history gap,NST-PF-110,low,2026-02-03,CAPA-0109,AUD-0109
NST-QMS-110,CAPA,NST-PF-111,low,2026-03-03,CAPA-0110,AUD-0110
NST-QMS-111,Complaint trend,NST-PF-112,low,2026-04-03,CAPA-0111,AUD-0111
NST-QMS-112,FDA 483 observation,NST-PF-113,medium,2026-05-03,CAPA-0112,AUD-0112
NST-QMS-113,EU MDR remediation,NST-PF-114,low,2026-06-03,CAPA-0113,AUD-0113
NST-QMS-114,Design history gap,NST-PF-115,low,2026-07-03,CAPA-0114,AUD-0114
NST-QMS-115,CAPA,NST-PF-116,low,2026-08-03,CAPA-0115,AUD-0115
NST-QMS-116,Complaint trend,NST-PF-117,medium,2026-09-03,CAPA-0116,AUD-0116
NST-QMS-117,FDA 483 observation,NST-PF-118,high,2026-10-03,CAPA-0117,AUD-0117
NST-QMS-118,EU MDR remediation,NST-PF-119,low,2026-11-03,CAPA-0118,AUD-0118
NST-QMS-119,Design history gap,NST-PF-120,low,2026-12-03,CAPA-0119,AUD-0119
NST-QMS-120,CAPA,NST-PF-121,medium,2026-01-03,CAPA-0120,AUD-0120
