tenant_key,contract_id,contract_archetype,evidence_class,applicability_state,required_for_stage,reason,current_availability,freshness_state,review_state,owner_role,next_request
skyharbor_global,CTR-090,enterprise_saas,approval,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,commercial_learning,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,new_event_control,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,contract_register,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,supplier_master,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,document_inventory,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,clause_extraction,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,pricing_schedule,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,ap_invoice_line,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,po_line,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,sla_event,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,usage_entitlement,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,cloud_billing,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,vms_rate_card,conditional,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,renewal_negotiation,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,finance_realization,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,evidence_linkage,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,fact_assertion,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,fact_conflict,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,review_decision,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,opportunity_case,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,opportunity_calculation,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,case_lifecycle,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,approval,required,action_ready,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,commercial_learning,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-061,cloud_and_saas,new_event_control,required,value_proven,Required to prove Northgate Cloud Platform Agreement at production depth.,received,current,accepted,Technology Category Lead,Continue monthly/on-change refresh and review deltas.
