risk_id,initiative_id,risk_type,severity,control_status,owner_role,mitigation,evidence_id
SHA-RISK-010-2,SHA-INIT-010,privacy_consent,medium,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-010-3,SHA-INIT-010,safety_operational,low,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-010-4,SHA-INIT-010,vendor_contract,high,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-010-5,SHA-INIT-010,data_quality,medium,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-011-1,SHA-INIT-100,model_governance,medium,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-011-2,SHA-INIT-100,privacy_consent,low,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-011-3,SHA-INIT-100,safety_operational,high,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-011-4,SHA-INIT-100,vendor_contract,medium,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-011-5,SHA-INIT-100,data_quality,low,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-012-1,SHA-INIT-101,model_governance,low,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-012-2,SHA-INIT-101,privacy_consent,high,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-012-3,SHA-INIT-101,safety_operational,medium,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-012-4,SHA-INIT-101,vendor_contract,low,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-012-5,SHA-INIT-101,data_quality,high,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-013-1,SHA-INIT-102,model_governance,high,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-013-2,SHA-INIT-102,privacy_consent,medium,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-013-3,SHA-INIT-102,safety_operational,low,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-013-4,SHA-INIT-102,vendor_contract,high,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-013-5,SHA-INIT-102,data_quality,medium,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-014-1,SHA-INIT-103,model_governance,medium,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-014-2,SHA-INIT-103,privacy_consent,low,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-014-3,SHA-INIT-103,safety_operational,high,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-014-4,SHA-INIT-103,vendor_contract,medium,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-014-5,SHA-INIT-103,data_quality,low,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-015-1,SHA-INIT-104,model_governance,low,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-015-2,SHA-INIT-104,privacy_consent,high,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-015-3,SHA-INIT-104,safety_operational,medium,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-015-4,SHA-INIT-104,vendor_contract,low,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-015-5,SHA-INIT-104,data_quality,high,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-016-1,SHA-INIT-105,model_governance,high,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-016-2,SHA-INIT-105,privacy_consent,medium,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-016-3,SHA-INIT-105,safety_operational,low,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-016-4,SHA-INIT-105,vendor_contract,high,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-016-5,SHA-INIT-105,data_quality,medium,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-017-1,SHA-INIT-106,model_governance,medium,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-017-2,SHA-INIT-106,privacy_consent,low,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-017-3,SHA-INIT-106,safety_operational,high,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-017-4,SHA-INIT-106,vendor_contract,medium,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-017-5,SHA-INIT-106,data_quality,low,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-018-1,SHA-INIT-107,model_governance,low,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-018-2,SHA-INIT-107,privacy_consent,high,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-018-3,SHA-INIT-107,safety_operational,medium,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-018-4,SHA-INIT-107,vendor_contract,low,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-018-5,SHA-INIT-107,data_quality,high,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-019-1,SHA-INIT-108,model_governance,high,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-019-2,SHA-INIT-108,privacy_consent,medium,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-019-3,SHA-INIT-108,safety_operational,low,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-019-4,SHA-INIT-108,vendor_contract,high,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-019-5,SHA-INIT-108,data_quality,medium,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-020-1,SHA-INIT-109,model_governance,medium,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-020-2,SHA-INIT-109,privacy_consent,low,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-020-3,SHA-INIT-109,safety_operational,high,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-020-4,SHA-INIT-109,vendor_contract,medium,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-020-5,SHA-INIT-109,data_quality,low,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-021-1,SHA-INIT-110,model_governance,low,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-021-2,SHA-INIT-110,privacy_consent,high,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-021-3,SHA-INIT-110,safety_operational,medium,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-021-4,SHA-INIT-110,vendor_contract,low,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-021-5,SHA-INIT-110,data_quality,high,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-022-1,SHA-INIT-111,model_governance,high,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-022-2,SHA-INIT-111,privacy_consent,medium,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-022-3,SHA-INIT-111,safety_operational,low,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-022-4,SHA-INIT-111,vendor_contract,high,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-022-5,SHA-INIT-111,data_quality,medium,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-023-1,SHA-INIT-112,model_governance,medium,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-023-2,SHA-INIT-112,privacy_consent,low,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-023-3,SHA-INIT-112,safety_operational,high,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-023-4,SHA-INIT-112,vendor_contract,medium,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-023-5,SHA-INIT-112,data_quality,low,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-024-1,SHA-INIT-113,model_governance,low,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-024-2,SHA-INIT-113,privacy_consent,high,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-024-3,SHA-INIT-113,safety_operational,medium,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-024-4,SHA-INIT-113,vendor_contract,low,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-024-5,SHA-INIT-113,data_quality,high,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-025-1,SHA-INIT-114,model_governance,high,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-025-2,SHA-INIT-114,privacy_consent,medium,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-025-3,SHA-INIT-114,safety_operational,low,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-025-4,SHA-INIT-114,vendor_contract,high,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-025-5,SHA-INIT-114,data_quality,medium,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-026-1,SHA-INIT-115,model_governance,medium,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-026-2,SHA-INIT-115,privacy_consent,low,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-026-3,SHA-INIT-115,safety_operational,high,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-026-4,SHA-INIT-115,vendor_contract,medium,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-026-5,SHA-INIT-115,data_quality,low,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-027-1,SHA-INIT-116,model_governance,low,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-027-2,SHA-INIT-116,privacy_consent,high,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-027-3,SHA-INIT-116,safety_operational,medium,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-027-4,SHA-INIT-116,vendor_contract,low,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-027-5,SHA-INIT-116,data_quality,high,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-028-1,SHA-INIT-117,model_governance,high,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-028-2,SHA-INIT-117,privacy_consent,medium,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-028-3,SHA-INIT-117,safety_operational,low,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-028-4,SHA-INIT-117,vendor_contract,high,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-028-5,SHA-INIT-117,data_quality,medium,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-029-1,SHA-INIT-118,model_governance,medium,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-029-2,SHA-INIT-118,privacy_consent,low,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-029-3,SHA-INIT-118,safety_operational,high,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-029-4,SHA-INIT-118,vendor_contract,medium,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-029-5,SHA-INIT-118,data_quality,low,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-030-1,SHA-INIT-119,model_governance,low,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-030-2,SHA-INIT-119,privacy_consent,high,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-030-3,SHA-INIT-119,safety_operational,medium,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-030-4,SHA-INIT-119,vendor_contract,low,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-030-5,SHA-INIT-119,data_quality,high,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0002
