initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,status,gate_criteria,approver_role,blocker,evidence_id
SHA-INIT-103,SHA-INIT-103-M5,Airport turn management modernization value realization,delivery,2026-06-28,,not_started,benefit attested,Chief People Officer,,EVID-SHA-0002
SHA-INIT-104,SHA-INIT-104-M1,Baggage tracking and recovery modernization case,business_case,2026-03-28,2026-03-21,complete,sponsor case approved,Chief Legal Officer,,EVID-SHA-0007
SHA-INIT-104,SHA-INIT-104-M2,Baggage tracking and recovery modernization pilot,delivery,2026-04-28,2026-04-21,complete,pilot telemetry captured,Chief Legal Officer,,EVID-SHA-0008
SHA-INIT-104,SHA-INIT-104-M3,Baggage tracking and recovery modernization control gate,gate,2026-05-28,,in_progress,risk/control evidence approved,Chief Legal Officer,Key dependency: security review,EVID-SHA-0001
SHA-INIT-104,SHA-INIT-104-M4,Baggage tracking and recovery modernization scale gate,gate,2026-06-28,,not_started,scale economics approved,Chief Legal Officer,,EVID-SHA-0002
SHA-INIT-104,SHA-INIT-104-M5,Baggage tracking and recovery modernization value realization,delivery,2026-07-28,,not_started,benefit attested,Chief Legal Officer,,EVID-SHA-0003
SHA-INIT-105,SHA-INIT-105-M1,MRO predictive maintenance modernization case,business_case,2026-04-28,,complete,sponsor case approved,Chief Safety Officer,,EVID-SHA-0008
SHA-INIT-105,SHA-INIT-105-M2,MRO predictive maintenance modernization pilot,delivery,2026-05-28,,complete,pilot telemetry captured,Chief Safety Officer,,EVID-SHA-0001
SHA-INIT-105,SHA-INIT-105-M3,MRO predictive maintenance modernization control gate,gate,2026-06-28,,in_progress,risk/control evidence approved,Chief Safety Officer,Key dependency: business adoption,EVID-SHA-0002
SHA-INIT-105,SHA-INIT-105-M4,MRO predictive maintenance modernization scale gate,gate,2026-07-28,,not_started,scale economics approved,Chief Safety Officer,,EVID-SHA-0003
SHA-INIT-105,SHA-INIT-105-M5,MRO predictive maintenance modernization value realization,delivery,2026-08-28,,not_started,benefit attested,Chief Safety Officer,,EVID-SHA-0004
SHA-INIT-106,SHA-INIT-106-M1,Revenue management and pricing modernization case,business_case,2026-05-28,2026-05-21,complete,sponsor case approved,EVP Chief Digital & Technology Officer,,EVID-SHA-0001
SHA-INIT-106,SHA-INIT-106-M2,Revenue management and pricing modernization pilot,delivery,2026-06-28,2026-06-21,complete,pilot telemetry captured,EVP Chief Digital & Technology Officer,,EVID-SHA-0002
SHA-INIT-106,SHA-INIT-106-M3,Revenue management and pricing modernization control gate,gate,2026-07-28,,blocked,risk/control evidence approved,EVP Chief Digital & Technology Officer,Key dependency: mainframe interface,EVID-SHA-0003
SHA-INIT-106,SHA-INIT-106-M4,Revenue management and pricing modernization scale gate,gate,2026-08-28,,not_started,scale economics approved,EVP Chief Digital & Technology Officer,,EVID-SHA-0004
SHA-INIT-106,SHA-INIT-106-M5,Revenue management and pricing modernization value realization,delivery,2026-09-28,,not_started,benefit attested,EVP Chief Digital & Technology Officer,,EVID-SHA-0005
SHA-INIT-107,SHA-INIT-107-M1,NDC offer/order retailing modernization case,business_case,2026-06-28,2026-06-21,complete,sponsor case approved,Chief Data and AI Officer,,EVID-SHA-0002
SHA-INIT-107,SHA-INIT-107-M2,NDC offer/order retailing modernization pilot,delivery,2026-07-28,2026-07-21,complete,pilot telemetry captured,Chief Data and AI Officer,,EVID-SHA-0003
SHA-INIT-107,SHA-INIT-107-M3,NDC offer/order retailing modernization control gate,gate,2026-08-28,,in_progress,risk/control evidence approved,Chief Data and AI Officer,Key dependency: data quality,EVID-SHA-0004
SHA-INIT-107,SHA-INIT-107-M4,NDC offer/order retailing modernization scale gate,gate,2026-09-28,,not_started,scale economics approved,Chief Data and AI Officer,,EVID-SHA-0005
SHA-INIT-107,SHA-INIT-107-M5,NDC offer/order retailing modernization value realization,delivery,2026-10-28,,not_started,benefit attested,Chief Data and AI Officer,,EVID-SHA-0006
SHA-INIT-108,SHA-INIT-108-M1,Loyalty personalization modernization case,business_case,2026-07-28,,complete,sponsor case approved,CISO,,EVID-SHA-0003
SHA-INIT-108,SHA-INIT-108-M2,Loyalty personalization modernization pilot,delivery,2026-08-28,,complete,pilot telemetry captured,CISO,,EVID-SHA-0004
SHA-INIT-108,SHA-INIT-108-M3,Loyalty personalization modernization control gate,gate,2026-09-28,,in_progress,risk/control evidence approved,CISO,Key dependency: source evidence,EVID-SHA-0005
SHA-INIT-108,SHA-INIT-108-M4,Loyalty personalization modernization scale gate,gate,2026-10-28,,not_started,scale economics approved,CISO,,EVID-SHA-0006
SHA-INIT-108,SHA-INIT-108-M5,Loyalty personalization modernization value realization,delivery,2026-11-28,,not_started,benefit attested,CISO,,EVID-SHA-0007
SHA-INIT-109,SHA-INIT-109-M1,Digital concierge and journey orchestration modernization case,business_case,2026-08-28,2026-08-21,complete,sponsor case approved,Chief Strategy Officer,,EVID-SHA-0004
SHA-INIT-109,SHA-INIT-109-M2,Digital concierge and journey orchestration modernization pilot,delivery,2026-09-28,2026-09-21,complete,pilot telemetry captured,Chief Strategy Officer,,EVID-SHA-0005
SHA-INIT-109,SHA-INIT-109-M3,Digital concierge and journey orchestration modernization control gate,gate,2026-10-28,,in_progress,risk/control evidence approved,Chief Strategy Officer,Key dependency: vendor renewal,EVID-SHA-0006
SHA-INIT-109,SHA-INIT-109-M4,Digital concierge and journey orchestration modernization scale gate,gate,2026-11-28,,not_started,scale economics approved,Chief Strategy Officer,,EVID-SHA-0007
SHA-INIT-109,SHA-INIT-109-M5,Digital concierge and journey orchestration modernization value realization,delivery,2026-12-28,,not_started,benefit attested,Chief Strategy Officer,,EVID-SHA-0008
SHA-INIT-110,SHA-INIT-110-M1,Contact center service recovery modernization case,business_case,2026-09-28,2026-09-21,complete,sponsor case approved,EVP Operations,,EVID-SHA-0005
SHA-INIT-110,SHA-INIT-110-M2,Contact center service recovery modernization pilot,delivery,2026-10-28,2026-10-21,complete,pilot telemetry captured,EVP Operations,,EVID-SHA-0006
SHA-INIT-110,SHA-INIT-110-M3,Contact center service recovery modernization control gate,gate,2026-11-28,,blocked,risk/control evidence approved,EVP Operations,Key dependency: security review,EVID-SHA-0007
SHA-INIT-110,SHA-INIT-110-M4,Contact center service recovery modernization scale gate,gate,2026-12-28,,not_started,scale economics approved,EVP Operations,,EVID-SHA-0008
SHA-INIT-110,SHA-INIT-110-M5,Contact center service recovery modernization value realization,delivery,2026-01-28,,not_started,benefit attested,EVP Operations,,EVID-SHA-0001
SHA-INIT-111,SHA-INIT-111-M1,Cargo capacity optimization modernization case,business_case,2026-10-28,,complete,sponsor case approved,SVP Flight Operations,,EVID-SHA-0006
SHA-INIT-111,SHA-INIT-111-M2,Cargo capacity optimization modernization pilot,delivery,2026-11-28,,complete,pilot telemetry captured,SVP Flight Operations,,EVID-SHA-0007
SHA-INIT-111,SHA-INIT-111-M3,Cargo capacity optimization modernization control gate,gate,2026-12-28,,in_progress,risk/control evidence approved,SVP Flight Operations,Key dependency: business adoption,EVID-SHA-0008
SHA-INIT-111,SHA-INIT-111-M4,Cargo capacity optimization modernization scale gate,gate,2026-01-28,,not_started,scale economics approved,SVP Flight Operations,,EVID-SHA-0001
SHA-INIT-111,SHA-INIT-111-M5,Cargo capacity optimization modernization value realization,delivery,2026-02-28,,not_started,benefit attested,SVP Flight Operations,,EVID-SHA-0002
SHA-INIT-112,SHA-INIT-112-M1,Fuel optimization and sustainability modernization case,business_case,2026-11-28,2026-11-21,complete,sponsor case approved,SVP Crew Resources,,EVID-SHA-0007
SHA-INIT-112,SHA-INIT-112-M2,Fuel optimization and sustainability modernization pilot,delivery,2026-12-28,2026-12-21,complete,pilot telemetry captured,SVP Crew Resources,,EVID-SHA-0008
SHA-INIT-112,SHA-INIT-112-M3,Fuel optimization and sustainability modernization control gate,gate,2026-01-28,,in_progress,risk/control evidence approved,SVP Crew Resources,Key dependency: mainframe interface,EVID-SHA-0001
SHA-INIT-112,SHA-INIT-112-M4,Fuel optimization and sustainability modernization scale gate,gate,2026-02-28,,not_started,scale economics approved,SVP Crew Resources,,EVID-SHA-0002
SHA-INIT-112,SHA-INIT-112-M5,Fuel optimization and sustainability modernization value realization,delivery,2026-03-28,,not_started,benefit attested,SVP Crew Resources,,EVID-SHA-0003
SHA-INIT-113,SHA-INIT-113-M1,Revenue accounting and settlement modernization case,business_case,2026-12-28,2026-12-21,complete,sponsor case approved,SVP Airport Operations,,EVID-SHA-0008
SHA-INIT-113,SHA-INIT-113-M2,Revenue accounting and settlement modernization pilot,delivery,2026-01-28,2026-01-21,complete,pilot telemetry captured,SVP Airport Operations,,EVID-SHA-0001
SHA-INIT-113,SHA-INIT-113-M3,Revenue accounting and settlement modernization control gate,gate,2026-02-28,,in_progress,risk/control evidence approved,SVP Airport Operations,Key dependency: data quality,EVID-SHA-0002
SHA-INIT-113,SHA-INIT-113-M4,Revenue accounting and settlement modernization scale gate,gate,2026-03-28,,not_started,scale economics approved,SVP Airport Operations,,EVID-SHA-0003
SHA-INIT-113,SHA-INIT-113-M5,Revenue accounting and settlement modernization value realization,delivery,2026-04-28,,not_started,benefit attested,SVP Airport Operations,,EVID-SHA-0004
SHA-INIT-114,SHA-INIT-114-M1,SAP finance close and procurement modernization case,business_case,2026-01-28,,complete,sponsor case approved,President TechOps,,EVID-SHA-0001
SHA-INIT-114,SHA-INIT-114-M2,SAP finance close and procurement modernization pilot,delivery,2026-02-28,,complete,pilot telemetry captured,President TechOps,,EVID-SHA-0002
SHA-INIT-114,SHA-INIT-114-M3,SAP finance close and procurement modernization control gate,gate,2026-03-28,,blocked,risk/control evidence approved,President TechOps,Key dependency: source evidence,EVID-SHA-0003
SHA-INIT-114,SHA-INIT-114-M4,SAP finance close and procurement modernization scale gate,gate,2026-04-28,,not_started,scale economics approved,President TechOps,,EVID-SHA-0004
SHA-INIT-114,SHA-INIT-114-M5,SAP finance close and procurement modernization value realization,delivery,2026-05-28,,not_started,benefit attested,President TechOps,,EVID-SHA-0005
SHA-INIT-115,SHA-INIT-115-M1,Mainframe transaction processing modernization case,business_case,2026-02-28,2026-02-21,complete,sponsor case approved,Chief Customer Experience Officer,,EVID-SHA-0002
SHA-INIT-115,SHA-INIT-115-M2,Mainframe transaction processing modernization pilot,delivery,2026-03-28,2026-03-21,complete,pilot telemetry captured,Chief Customer Experience Officer,,EVID-SHA-0003
SHA-INIT-115,SHA-INIT-115-M3,Mainframe transaction processing modernization control gate,gate,2026-04-28,,in_progress,risk/control evidence approved,Chief Customer Experience Officer,Key dependency: vendor renewal,EVID-SHA-0004
SHA-INIT-115,SHA-INIT-115-M4,Mainframe transaction processing modernization scale gate,gate,2026-05-28,,not_started,scale economics approved,Chief Customer Experience Officer,,EVID-SHA-0005
SHA-INIT-115,SHA-INIT-115-M5,Mainframe transaction processing modernization value realization,delivery,2026-06-28,,not_started,benefit attested,Chief Customer Experience Officer,,EVID-SHA-0006
SHA-INIT-116,SHA-INIT-116-M1,Cloud-native digital engineering modernization case,business_case,2026-03-28,2026-03-21,complete,sponsor case approved,SVP Digital Products,,EVID-SHA-0003
SHA-INIT-116,SHA-INIT-116-M2,Cloud-native digital engineering modernization pilot,delivery,2026-04-28,2026-04-21,complete,pilot telemetry captured,SVP Digital Products,,EVID-SHA-0004
SHA-INIT-116,SHA-INIT-116-M3,Cloud-native digital engineering modernization control gate,gate,2026-05-28,,in_progress,risk/control evidence approved,SVP Digital Products,Key dependency: security review,EVID-SHA-0005
SHA-INIT-116,SHA-INIT-116-M4,Cloud-native digital engineering modernization scale gate,gate,2026-06-28,,not_started,scale economics approved,SVP Digital Products,,EVID-SHA-0006
SHA-INIT-116,SHA-INIT-116-M5,Cloud-native digital engineering modernization value realization,delivery,2026-07-28,,not_started,benefit attested,SVP Digital Products,,EVID-SHA-0007
SHA-INIT-117,SHA-INIT-117-M1,Enterprise integration and eventing modernization case,business_case,2026-04-28,,complete,sponsor case approved,President Loyalty,,EVID-SHA-0004
SHA-INIT-117,SHA-INIT-117-M2,Enterprise integration and eventing modernization pilot,delivery,2026-05-28,,complete,pilot telemetry captured,President Loyalty,,EVID-SHA-0005
SHA-INIT-117,SHA-INIT-117-M3,Enterprise integration and eventing modernization control gate,gate,2026-06-28,,in_progress,risk/control evidence approved,President Loyalty,Key dependency: business adoption,EVID-SHA-0006
SHA-INIT-117,SHA-INIT-117-M4,Enterprise integration and eventing modernization scale gate,gate,2026-07-28,,not_started,scale economics approved,President Loyalty,,EVID-SHA-0007
SHA-INIT-117,SHA-INIT-117-M5,Enterprise integration and eventing modernization value realization,delivery,2026-08-28,,not_started,benefit attested,President Loyalty,,EVID-SHA-0008
SHA-INIT-118,SHA-INIT-118-M1,EDW and certified BI modernization case,business_case,2026-05-28,2026-05-21,complete,sponsor case approved,EVP Commercial,,EVID-SHA-0005
SHA-INIT-118,SHA-INIT-118-M2,EDW and certified BI modernization pilot,delivery,2026-06-28,2026-06-21,complete,pilot telemetry captured,EVP Commercial,,EVID-SHA-0006
SHA-INIT-118,SHA-INIT-118-M3,EDW and certified BI modernization control gate,gate,2026-07-28,,blocked,risk/control evidence approved,EVP Commercial,Key dependency: mainframe interface,EVID-SHA-0007
SHA-INIT-118,SHA-INIT-118-M4,EDW and certified BI modernization scale gate,gate,2026-08-28,,not_started,scale economics approved,EVP Commercial,,EVID-SHA-0008
SHA-INIT-118,SHA-INIT-118-M5,EDW and certified BI modernization value realization,delivery,2026-09-28,,not_started,benefit attested,EVP Commercial,,EVID-SHA-0001
SHA-INIT-119,SHA-INIT-119-M1,Data lake ingestion and lineage modernization case,business_case,2026-06-28,2026-06-21,complete,sponsor case approved,SVP Network,,EVID-SHA-0006
SHA-INIT-119,SHA-INIT-119-M2,Data lake ingestion and lineage modernization pilot,delivery,2026-07-28,2026-07-21,complete,pilot telemetry captured,SVP Network,,EVID-SHA-0007
SHA-INIT-119,SHA-INIT-119-M3,Data lake ingestion and lineage modernization control gate,gate,2026-08-28,,in_progress,risk/control evidence approved,SVP Network,Key dependency: data quality,EVID-SHA-0008
SHA-INIT-119,SHA-INIT-119-M4,Data lake ingestion and lineage modernization scale gate,gate,2026-09-28,,not_started,scale economics approved,SVP Network,,EVID-SHA-0001
SHA-INIT-119,SHA-INIT-119-M5,Data lake ingestion and lineage modernization value realization,delivery,2026-10-28,,not_started,benefit attested,SVP Network,,EVID-SHA-0002
