spend_id,initiative_id,vendor_or_internal,spend_category,fy26_budget_usd,actual_ytd_usd,renewal_or_gate_date,unit_economics,notes
SHA-SPEND-008-4,SHA-INIT-008,SITA,si_services,8500000,4340000,2026-11-28,SOW milestone,Spend line for MRO Predictive Maintenance Agent
SHA-SPEND-009-1,SHA-INIT-009,internal,labor,2300000,1180000,2026-09-28,FTE-month,Spend line for Contact Center Agent Assist
SHA-SPEND-009-2,SHA-INIT-009,Tableau,vendor_license,4600000,2360000,2026-10-28,seat/month,Spend line for Contact Center Agent Assist
SHA-SPEND-009-3,SHA-INIT-009,SITA,cloud_infra,6900000,3540000,2026-11-28,compute-hour,Spend line for Contact Center Agent Assist
SHA-SPEND-009-4,SHA-INIT-009,Sabre,si_services,9200000,4720000,2026-12-28,SOW milestone,Spend line for Contact Center Agent Assist
SHA-SPEND-010-1,SHA-INIT-010,internal,labor,2475000,1275000,2026-10-28,FTE-month,Spend line for Engineering Productivity AI
SHA-SPEND-010-2,SHA-INIT-010,SITA,vendor_license,4950000,2550000,2026-11-28,seat/month,Spend line for Engineering Productivity AI
SHA-SPEND-010-3,SHA-INIT-010,Sabre,cloud_infra,7425000,3825000,2026-12-28,compute-hour,Spend line for Engineering Productivity AI
SHA-SPEND-010-4,SHA-INIT-010,Amadeus,si_services,9900000,5100000,2026-01-28,SOW milestone,Spend line for Engineering Productivity AI
SHA-SPEND-011-1,SHA-INIT-100,internal,labor,2650000,1370000,2026-11-28,FTE-month,Spend line for IROPS recovery decisioning modernization
SHA-SPEND-011-2,SHA-INIT-100,Sabre,vendor_license,5300000,2740000,2026-12-28,seat/month,Spend line for IROPS recovery decisioning modernization
SHA-SPEND-011-3,SHA-INIT-100,Amadeus,cloud_infra,7950000,4110000,2026-01-28,compute-hour,Spend line for IROPS recovery decisioning modernization
SHA-SPEND-011-4,SHA-INIT-100,Jeppesen,si_services,10600000,5480000,2026-02-28,SOW milestone,Spend line for IROPS recovery decisioning modernization
SHA-SPEND-012-1,SHA-INIT-101,internal,labor,2825000,1465000,2026-12-28,FTE-month,Spend line for Crew recovery and legality modernization
SHA-SPEND-012-2,SHA-INIT-101,Amadeus,vendor_license,5650000,2930000,2026-01-28,seat/month,Spend line for Crew recovery and legality modernization
SHA-SPEND-012-3,SHA-INIT-101,Jeppesen,cloud_infra,8475000,4395000,2026-02-28,compute-hour,Spend line for Crew recovery and legality modernization
SHA-SPEND-012-4,SHA-INIT-101,GE Aerospace,si_services,11300000,5860000,2026-03-28,SOW milestone,Spend line for Crew recovery and legality modernization
SHA-SPEND-013-1,SHA-INIT-102,internal,labor,3000000,1560000,2026-01-28,FTE-month,Spend line for Flight planning and dispatch modernization
SHA-SPEND-013-2,SHA-INIT-102,Jeppesen,vendor_license,6000000,3120000,2026-02-28,seat/month,Spend line for Flight planning and dispatch modernization
SHA-SPEND-013-3,SHA-INIT-102,GE Aerospace,cloud_infra,9000000,4680000,2026-03-28,compute-hour,Spend line for Flight planning and dispatch modernization
SHA-SPEND-013-4,SHA-INIT-102,Honeywell,si_services,12000000,6240000,2026-04-28,SOW milestone,Spend line for Flight planning and dispatch modernization
SHA-SPEND-014-1,SHA-INIT-103,internal,labor,3175000,1655000,2026-02-28,FTE-month,Spend line for Airport turn management modernization
SHA-SPEND-014-2,SHA-INIT-103,GE Aerospace,vendor_license,6350000,3310000,2026-03-28,seat/month,Spend line for Airport turn management modernization
SHA-SPEND-014-3,SHA-INIT-103,Honeywell,cloud_infra,9525000,4965000,2026-04-28,compute-hour,Spend line for Airport turn management modernization
SHA-SPEND-014-4,SHA-INIT-103,Collins,si_services,12700000,6620000,2026-05-28,SOW milestone,Spend line for Airport turn management modernization
SHA-SPEND-015-1,SHA-INIT-104,internal,labor,3350000,1750000,2026-03-28,FTE-month,Spend line for Baggage tracking and recovery modernization
SHA-SPEND-015-2,SHA-INIT-104,Honeywell,vendor_license,6700000,3500000,2026-04-28,seat/month,Spend line for Baggage tracking and recovery modernization
SHA-SPEND-015-3,SHA-INIT-104,Collins,cloud_infra,10050000,5250000,2026-05-28,compute-hour,Spend line for Baggage tracking and recovery modernization
SHA-SPEND-015-4,SHA-INIT-104,Okta,si_services,13400000,7000000,2026-06-28,SOW milestone,Spend line for Baggage tracking and recovery modernization
SHA-SPEND-016-1,SHA-INIT-105,internal,labor,3525000,1845000,2026-04-28,FTE-month,Spend line for MRO predictive maintenance modernization
SHA-SPEND-016-2,SHA-INIT-105,Collins,vendor_license,7050000,3690000,2026-05-28,seat/month,Spend line for MRO predictive maintenance modernization
SHA-SPEND-016-3,SHA-INIT-105,Okta,cloud_infra,10575000,5535000,2026-06-28,compute-hour,Spend line for MRO predictive maintenance modernization
SHA-SPEND-016-4,SHA-INIT-105,Datadog,si_services,14100000,7380000,2026-07-28,SOW milestone,Spend line for MRO predictive maintenance modernization
SHA-SPEND-017-1,SHA-INIT-106,internal,labor,3700000,1940000,2026-05-28,FTE-month,Spend line for Revenue management and pricing modernization
SHA-SPEND-017-2,SHA-INIT-106,Okta,vendor_license,7400000,3880000,2026-06-28,seat/month,Spend line for Revenue management and pricing modernization
SHA-SPEND-017-3,SHA-INIT-106,Datadog,cloud_infra,11100000,5820000,2026-07-28,compute-hour,Spend line for Revenue management and pricing modernization
SHA-SPEND-017-4,SHA-INIT-106,Splunk,si_services,14800000,7760000,2026-08-28,SOW milestone,Spend line for Revenue management and pricing modernization
SHA-SPEND-018-1,SHA-INIT-107,internal,labor,3875000,2035000,2026-06-28,FTE-month,Spend line for NDC offer/order retailing modernization
SHA-SPEND-018-2,SHA-INIT-107,Datadog,vendor_license,7750000,4070000,2026-07-28,seat/month,Spend line for NDC offer/order retailing modernization
SHA-SPEND-018-3,SHA-INIT-107,Splunk,cloud_infra,11625000,6105000,2026-08-28,compute-hour,Spend line for NDC offer/order retailing modernization
SHA-SPEND-018-4,SHA-INIT-107,SITA,si_services,15500000,8140000,2026-09-28,SOW milestone,Spend line for NDC offer/order retailing modernization
SHA-SPEND-019-1,SHA-INIT-108,internal,labor,4050000,2130000,2026-07-28,FTE-month,Spend line for Loyalty personalization modernization
SHA-SPEND-019-2,SHA-INIT-108,Splunk,vendor_license,8100000,4260000,2026-08-28,seat/month,Spend line for Loyalty personalization modernization
SHA-SPEND-019-3,SHA-INIT-108,SITA,cloud_infra,12150000,6390000,2026-09-28,compute-hour,Spend line for Loyalty personalization modernization
SHA-SPEND-019-4,SHA-INIT-108,Sabre,si_services,16200000,8520000,2026-10-28,SOW milestone,Spend line for Loyalty personalization modernization
SHA-SPEND-020-1,SHA-INIT-109,internal,labor,4225000,2225000,2026-08-28,FTE-month,Spend line for Digital concierge and journey orchestration modernization
SHA-SPEND-020-2,SHA-INIT-109,SITA,vendor_license,8450000,4450000,2026-09-28,seat/month,Spend line for Digital concierge and journey orchestration modernization
SHA-SPEND-020-3,SHA-INIT-109,Sabre,cloud_infra,12675000,6675000,2026-10-28,compute-hour,Spend line for Digital concierge and journey orchestration modernization
SHA-SPEND-020-4,SHA-INIT-109,Amadeus,si_services,16900000,8900000,2026-11-28,SOW milestone,Spend line for Digital concierge and journey orchestration modernization
SHA-SPEND-021-1,SHA-INIT-110,internal,labor,4400000,2320000,2026-09-28,FTE-month,Spend line for Contact center service recovery modernization
SHA-SPEND-021-2,SHA-INIT-110,Sabre,vendor_license,8800000,4640000,2026-10-28,seat/month,Spend line for Contact center service recovery modernization
SHA-SPEND-021-3,SHA-INIT-110,Amadeus,cloud_infra,13200000,6960000,2026-11-28,compute-hour,Spend line for Contact center service recovery modernization
SHA-SPEND-021-4,SHA-INIT-110,Jeppesen,si_services,17600000,9280000,2026-12-28,SOW milestone,Spend line for Contact center service recovery modernization
SHA-SPEND-022-1,SHA-INIT-111,internal,labor,4575000,2415000,2026-10-28,FTE-month,Spend line for Cargo capacity optimization modernization
SHA-SPEND-022-2,SHA-INIT-111,Amadeus,vendor_license,9150000,4830000,2026-11-28,seat/month,Spend line for Cargo capacity optimization modernization
SHA-SPEND-022-3,SHA-INIT-111,Jeppesen,cloud_infra,13725000,7245000,2026-12-28,compute-hour,Spend line for Cargo capacity optimization modernization
SHA-SPEND-022-4,SHA-INIT-111,GE Aerospace,si_services,18300000,9660000,2026-01-28,SOW milestone,Spend line for Cargo capacity optimization modernization
SHA-SPEND-023-1,SHA-INIT-112,internal,labor,4750000,2510000,2026-11-28,FTE-month,Spend line for Fuel optimization and sustainability modernization
SHA-SPEND-023-2,SHA-INIT-112,Jeppesen,vendor_license,9500000,5020000,2026-12-28,seat/month,Spend line for Fuel optimization and sustainability modernization
SHA-SPEND-023-3,SHA-INIT-112,GE Aerospace,cloud_infra,14250000,7530000,2026-01-28,compute-hour,Spend line for Fuel optimization and sustainability modernization
SHA-SPEND-023-4,SHA-INIT-112,Honeywell,si_services,19000000,10040000,2026-02-28,SOW milestone,Spend line for Fuel optimization and sustainability modernization
SHA-SPEND-024-1,SHA-INIT-113,internal,labor,4925000,2605000,2026-12-28,FTE-month,Spend line for Revenue accounting and settlement modernization
SHA-SPEND-024-2,SHA-INIT-113,GE Aerospace,vendor_license,9850000,5210000,2026-01-28,seat/month,Spend line for Revenue accounting and settlement modernization
SHA-SPEND-024-3,SHA-INIT-113,Honeywell,cloud_infra,14775000,7815000,2026-02-28,compute-hour,Spend line for Revenue accounting and settlement modernization
SHA-SPEND-024-4,SHA-INIT-113,Collins,si_services,19700000,10420000,2026-03-28,SOW milestone,Spend line for Revenue accounting and settlement modernization
SHA-SPEND-025-1,SHA-INIT-114,internal,labor,5100000,2700000,2026-01-28,FTE-month,Spend line for SAP finance close and procurement modernization
SHA-SPEND-025-2,SHA-INIT-114,Honeywell,vendor_license,10200000,5400000,2026-02-28,seat/month,Spend line for SAP finance close and procurement modernization
SHA-SPEND-025-3,SHA-INIT-114,Collins,cloud_infra,15300000,8100000,2026-03-28,compute-hour,Spend line for SAP finance close and procurement modernization
SHA-SPEND-025-4,SHA-INIT-114,Okta,si_services,20400000,10800000,2026-04-28,SOW milestone,Spend line for SAP finance close and procurement modernization
SHA-SPEND-026-1,SHA-INIT-115,internal,labor,5275000,2795000,2026-02-28,FTE-month,Spend line for Mainframe transaction processing modernization
SHA-SPEND-026-2,SHA-INIT-115,Collins,vendor_license,10550000,5590000,2026-03-28,seat/month,Spend line for Mainframe transaction processing modernization
SHA-SPEND-026-3,SHA-INIT-115,Okta,cloud_infra,15825000,8385000,2026-04-28,compute-hour,Spend line for Mainframe transaction processing modernization
SHA-SPEND-026-4,SHA-INIT-115,Datadog,si_services,21100000,11180000,2026-05-28,SOW milestone,Spend line for Mainframe transaction processing modernization
SHA-SPEND-027-1,SHA-INIT-116,internal,labor,5450000,2890000,2026-03-28,FTE-month,Spend line for Cloud-native digital engineering modernization
SHA-SPEND-027-2,SHA-INIT-116,Okta,vendor_license,10900000,5780000,2026-04-28,seat/month,Spend line for Cloud-native digital engineering modernization
SHA-SPEND-027-3,SHA-INIT-116,Datadog,cloud_infra,16350000,8670000,2026-05-28,compute-hour,Spend line for Cloud-native digital engineering modernization
SHA-SPEND-027-4,SHA-INIT-116,Splunk,si_services,21800000,11560000,2026-06-28,SOW milestone,Spend line for Cloud-native digital engineering modernization
SHA-SPEND-028-1,SHA-INIT-117,internal,labor,5625000,2985000,2026-04-28,FTE-month,Spend line for Enterprise integration and eventing modernization
SHA-SPEND-028-2,SHA-INIT-117,Datadog,vendor_license,11250000,5970000,2026-05-28,seat/month,Spend line for Enterprise integration and eventing modernization
SHA-SPEND-028-3,SHA-INIT-117,Splunk,cloud_infra,16875000,8955000,2026-06-28,compute-hour,Spend line for Enterprise integration and eventing modernization
SHA-SPEND-028-4,SHA-INIT-117,SITA,si_services,22500000,11940000,2026-07-28,SOW milestone,Spend line for Enterprise integration and eventing modernization
SHA-SPEND-029-1,SHA-INIT-118,internal,labor,5800000,3080000,2026-05-28,FTE-month,Spend line for EDW and certified BI modernization
SHA-SPEND-029-2,SHA-INIT-118,Splunk,vendor_license,11600000,6160000,2026-06-28,seat/month,Spend line for EDW and certified BI modernization
SHA-SPEND-029-3,SHA-INIT-118,SITA,cloud_infra,17400000,9240000,2026-07-28,compute-hour,Spend line for EDW and certified BI modernization
SHA-SPEND-029-4,SHA-INIT-118,Sabre,si_services,23200000,12320000,2026-08-28,SOW milestone,Spend line for EDW and certified BI modernization
SHA-SPEND-030-1,SHA-INIT-119,internal,labor,5975000,3175000,2026-06-28,FTE-month,Spend line for Data lake ingestion and lineage modernization
SHA-SPEND-030-2,SHA-INIT-119,SITA,vendor_license,11950000,6350000,2026-07-28,seat/month,Spend line for Data lake ingestion and lineage modernization
SHA-SPEND-030-3,SHA-INIT-119,Sabre,cloud_infra,17925000,9525000,2026-08-28,compute-hour,Spend line for Data lake ingestion and lineage modernization
SHA-SPEND-030-4,SHA-INIT-119,Amadeus,si_services,23900000,12700000,2026-09-28,SOW milestone,Spend line for Data lake ingestion and lineage modernization
