vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id
FC-VEN-059,ACI Worldwide (Module 2),cards_payments,Chief Risk Officer,15600000,2026-08-22,low,per transaction,normal,FC-EVID-013
FC-VEN-060,Volante (BU 2),data_ai_platform,Head of Commercial Banking,6500000,2026-08-22,low,per user / per seat,price escalation,FC-EVID-025
FC-VEN-061,NICE Actimize (Module 2),core_platform,Head of Commercial Banking,22300000,2026-10-22,high,per transaction,price escalation,FC-EVID-012
FC-VEN-062,SAS (Region 2),finance_erp,Treasurer,27100000,2026-10-03,high,per user / per seat,normal,FC-EVID-020
FC-VEN-063,Feedzai (Region 2),data_ai_platform,Treasurer,24900000,2026-11-24,low,per user / per seat,normal,FC-EVID-028
FC-VEN-064,Featurespace (BU 2),finance_erp,Head of Wealth Management,13500000,2026-08-02,medium,enterprise subscription,normal,FC-EVID-002
FC-VEN-065,Moody's (Region 2),finance_erp,Head of Cards & Payments,26200000,2026-03-11,medium,per user / per seat,normal,FC-EVID-003
FC-VEN-066,Numerix (Region 2),data_ai_platform,Treasurer,14400000,2026-10-04,medium,consumption / usage,normal,FC-EVID-002
FC-VEN-067,Murex (BU 2),data_ai_platform,Treasurer,20900000,2026-02-26,high,consumption / usage,normal,FC-EVID-023
FC-VEN-068,Calypso (BU 2),risk_aml_ai,Head of Cards & Payments,7300000,2026-05-22,high,per transaction,concentration risk,FC-EVID-036
FC-VEN-069,Kyriba (Module 2),risk_aml_ai,Treasurer,6100000,2026-01-10,medium,per user / per seat,normal,FC-EVID-015
FC-VEN-070,Salesforce (BU 2),risk_aml_ai,Treasurer,11400000,2026-02-11,medium,per transaction,normal,FC-EVID-019
FC-VEN-071,Microsoft (BU 2),infra_security,Head of Consumer Banking,17200000,2026-01-10,high,per transaction,price escalation,FC-EVID-007
FC-VEN-072,Pega (BU 2),channels_crm,Chief Risk Officer,3700000,2026-02-22,low,enterprise subscription,normal,FC-EVID-018
FC-VEN-073,Backbase (Region 2),core_platform,Chief Financial Officer,10500000,2026-11-18,high,per transaction,normal,FC-EVID-005
FC-VEN-074,Databricks (Region 2),data_ai_platform,Head of Cards & Payments,19300000,2026-03-10,medium,per transaction,concentration risk,FC-EVID-039
FC-VEN-075,Snowflake (Region 2),channels_crm,Head of Consumer Banking,22100000,2026-12-05,low,per transaction,concentration risk,FC-EVID-040
FC-VEN-076,Collibra (Region 2),risk_aml_ai,Chief Financial Officer,24900000,2026-04-01,high,consumption / usage,price escalation,FC-EVID-016
FC-VEN-077,dbt Labs (Module 2),data_ai_platform,Head of Consumer Banking,6800000,2026-09-06,medium,per transaction,normal,FC-EVID-040
FC-VEN-078,Addepar (BU 2),core_platform,Head of Wealth Management,25700000,2026-07-04,high,per transaction,normal,FC-EVID-018
FC-VEN-079,BlackRock (BU 2),cards_payments,Chief Risk Officer,1000000,2026-03-19,medium,per user / per seat,normal,FC-EVID-018
FC-VEN-080,Envestnet (Module 2),data_ai_platform,Head of Cards & Payments,4100000,2026-06-04,high,per user / per seat,normal,FC-EVID-024
FC-VEN-081,Charles River (BU 2),core_platform,Head of Wealth Management,21700000,2026-12-15,low,per transaction,normal,FC-EVID-008
FC-VEN-082,nCino (BU 2),finance_erp,Chief Financial Officer,5400000,2026-04-20,high,enterprise subscription,normal,FC-EVID-019
FC-VEN-083,Blend (Module 2),infra_security,Chief Financial Officer,11800000,2026-11-27,medium,enterprise subscription,normal,FC-EVID-024
FC-VEN-084,Q2 (Region 2),finance_erp,Head of Wealth Management,13900000,2026-03-20,medium,consumption / usage,normal,FC-EVID-025
FC-VEN-085,Alkami (Module 2),infra_security,Head of Wealth Management,14400000,2026-10-16,high,consumption / usage,normal,FC-EVID-005
FC-VEN-086,SAP (BU 2),infra_security,Head of Consumer Banking,17300000,2026-09-05,medium,per user / per seat,normal,FC-EVID-024
FC-VEN-087,Oracle (Region 2),infra_security,Head of Commercial Banking,11600000,2026-10-13,high,per user / per seat,price escalation,FC-EVID-020
FC-VEN-088,Workday (Module 2),channels_crm,Treasurer,3000000,2026-05-20,low,enterprise subscription,normal,FC-EVID-028
FC-VEN-089,BlackLine (Module 2),finance_erp,Chief Risk Officer,19000000,2026-02-25,low,enterprise subscription,normal,FC-EVID-001
FC-VEN-090,ServiceNow (Region 2),data_ai_platform,Chief Financial Officer,25200000,2026-01-27,medium,per transaction,normal,FC-EVID-011
FC-VEN-091,Datadog (Module 2),infra_security,Chief Financial Officer,24000000,2026-11-18,medium,per transaction,normal,FC-EVID-039
FC-VEN-092,Splunk (Module 2),finance_erp,Chief Risk Officer,14300000,2026-08-05,high,per transaction,normal,FC-EVID-039
FC-VEN-093,PagerDuty (BU 2),channels_crm,Head of Wealth Management,9100000,2026-01-12,medium,enterprise subscription,normal,FC-EVID-039
FC-VEN-094,CrowdStrike (Module 2),infra_security,Head of Wealth Management,11400000,2026-12-02,high,enterprise subscription,normal,FC-EVID-027
FC-VEN-095,Genesys (Region 2),data_ai_platform,Chief Risk Officer,26300000,2026-05-02,high,per user / per seat,normal,FC-EVID-008
FC-VEN-096,Nuance (Module 2),channels_crm,Chief Risk Officer,11400000,2026-08-13,low,enterprise subscription,price escalation,FC-EVID-002
FC-VEN-097,OpenAI (BU 2),risk_aml_ai,Head of Consumer Banking,600000,2026-07-07,high,per transaction,normal,FC-EVID-036
FC-VEN-098,Anthropic (BU 2),cards_payments,Head of Wealth Management,11200000,2026-07-19,high,per user / per seat,normal,FC-EVID-012
FC-VEN-099,AWS (Module 2),finance_erp,Chief Risk Officer,25700000,2026-06-14,low,consumption / usage,normal,FC-EVID-031
FC-VEN-100,GitHub (BU 2),infra_security,Head of Consumer Banking,9800000,2026-12-13,low,enterprise subscription,normal,FC-EVID-026
FC-VEN-101,FIS (Region 3),infra_security,Head of Consumer Banking,22500000,2026-06-26,high,per transaction,normal,FC-EVID-037
FC-VEN-102,Fiserv (Module 3),channels_crm,Head of Cards & Payments,16200000,2026-03-14,low,enterprise subscription,normal,FC-EVID-029
FC-VEN-103,Temenos (Module 3),finance_erp,Chief Risk Officer,16100000,2026-04-04,low,per user / per seat,concentration risk,FC-EVID-031
FC-VEN-104,Thought Machine (BU 3),data_ai_platform,Head of Consumer Banking,14100000,2026-05-28,high,per transaction,normal,FC-EVID-030
FC-VEN-105,TSYS (Region 3),channels_crm,Treasurer,10500000,2026-02-20,high,per transaction,auto-renew exposure,FC-EVID-032
FC-VEN-106,Mastercard (Module 3),finance_erp,Chief Financial Officer,8300000,2026-12-18,high,per user / per seat,auto-renew exposure,FC-EVID-005
FC-VEN-107,Visa DPS (Module 3),channels_crm,Head of Wealth Management,7400000,2026-04-18,high,per transaction,renewal before evidence gate,FC-EVID-009
FC-VEN-108,Marqeta (Module 3),cards_payments,Head of Consumer Banking,6900000,2026-10-03,high,per transaction,normal,FC-EVID-038
FC-VEN-109,ACI Worldwide (Module 3),channels_crm,Head of Consumer Banking,5500000,2026-02-11,medium,per transaction,normal,FC-EVID-005
FC-VEN-110,Volante (Module 3),channels_crm,Treasurer,23300000,2026-05-12,high,per user / per seat,normal,FC-EVID-040
FC-VEN-111,NICE Actimize (BU 3),cards_payments,Treasurer,400000,2026-05-20,medium,consumption / usage,concentration risk,FC-EVID-030
FC-VEN-112,SAS (Module 3),data_ai_platform,Head of Consumer Banking,19700000,2026-02-12,medium,enterprise subscription,normal,FC-EVID-018
FC-VEN-113,Feedzai (Region 3),infra_security,Treasurer,23600000,2026-08-12,high,enterprise subscription,normal,FC-EVID-011
FC-VEN-114,Featurespace (BU 3),finance_erp,Head of Consumer Banking,13100000,2026-03-10,high,per transaction,normal,FC-EVID-022
FC-VEN-115,Moody's (Module 3),cards_payments,Head of Cards & Payments,27500000,2026-01-04,high,per transaction,concentration risk,FC-EVID-025
FC-VEN-116,Numerix (Module 3),risk_aml_ai,Head of Commercial Banking,18200000,2026-12-10,medium,per transaction,normal,FC-EVID-026
FC-VEN-117,Murex (Module 3),channels_crm,Head of Commercial Banking,15100000,2026-08-25,low,consumption / usage,normal,FC-EVID-034
FC-VEN-118,Calypso (BU 3),infra_security,Chief Financial Officer,16800000,2026-05-20,low,enterprise subscription,normal,FC-EVID-039
FC-VEN-119,Kyriba (BU 3),risk_aml_ai,Treasurer,14300000,2026-03-20,low,consumption / usage,normal,FC-EVID-021
FC-VEN-120,Salesforce (Module 3),cards_payments,Head of Wealth Management,5300000,2026-03-20,medium,per user / per seat,normal,FC-EVID-010
