agent_id,agent_name,business_process,work_items_resolved,deflection_pct,exception_rate_pct,human_escalation_pct,approval_status,risk_note,source_file,source_row,value_source
FC-AGENT-021,Document intelligence for commercial onboarding agent/workflow,Commercial Banking,46582,44,8.9,19.3,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,22,tenant_file
FC-AGENT-022,Sanctions screening tuning agent/workflow,Financial Crimes,17190,44,9.4,18.3,approved_pilot,Scope too broad; re-baseline against a single high-value workflow,ai-control-tower/T04_agent-outcomes.csv,23,tenant_file
FC-AGENT-023,Statement & disclosure generation copilot agent/workflow,Operations,43891,9,10.9,27.7,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,24,tenant_file
FC-AGENT-024,Card rewards personalization agent/workflow,Cards & Payments,85203,11,3.4,13.1,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,25,tenant_file
FC-AGENT-025,Voice biometrics authentication agent/workflow,Customer Care,15133,10,5.1,9.2,approved_pilot,Reported automation not reproducible in evidence; reclassify,ai-control-tower/T04_agent-outcomes.csv,26,tenant_file
FC-AGENT-026,Trade surveillance anomaly detection agent/workflow,Treasury & Capital Markets,62521,35,10.1,8.8,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,27,tenant_file
FC-AGENT-027,Loan servicing virtual agent agent/workflow,Operations,72927,31,10.0,13.9,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,28,tenant_file
FC-AGENT-028,ESG & climate risk data automation agent/workflow,Risk,57200,34,5.7,28.0,restricted,No measurable value after pilot; sunset and reallocate budget,ai-control-tower/T04_agent-outcomes.csv,29,tenant_file
FC-AGENT-029,Enterprise search over policy & procedures agent/workflow,Compliance,80850,7,6.8,21.0,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,30,tenant_file
FC-AGENT-030,Deposit pricing optimization agent/workflow,Consumer Banking,66968,23,6.9,28.2,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,31,tenant_file
FC-AGENT-031,Synthetic data for model development agent/workflow,"Data, Analytics & AI",81684,45,2.8,22.6,approved_pilot,Scope too broad; re-baseline against a single high-value workflow,ai-control-tower/T04_agent-outcomes.csv,32,tenant_file
FC-AGENT-032,Wire fraud interdiction agent/workflow,Financial Crimes,24453,44,10.9,29.9,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,33,tenant_file
FC-AGENT-033,Mortgage underwriting decision support agent/workflow,Consumer Banking,7854,8,6.2,20.7,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,34,tenant_file
FC-AGENT-034,Vendor contract intelligence agent/workflow,Finance,68895,27,5.7,17.8,approved_pilot,Reported automation not reproducible in evidence; reclassify,ai-control-tower/T04_agent-outcomes.csv,35,tenant_file
FC-AGENT-035,Branch staffing & demand forecasting agent/workflow,Consumer Banking,84414,10,4.5,29.2,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,36,tenant_file
FC-AGENT-036,IT incident root-cause copilot agent/workflow,Technology,12401,8,5.5,27.1,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,37,tenant_file
FC-AGENT-037,Regulatory change interpretation assist agent/workflow,Compliance,47525,26,5.2,11.8,restricted,No measurable value after pilot; sunset and reallocate budget,ai-control-tower/T04_agent-outcomes.csv,38,tenant_file
FC-AGENT-038,Small business cash-flow insights agent/workflow,Commercial Banking,27518,40,3.4,12.2,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,39,tenant_file
FC-AGENT-039,Anti-money-laundering network analytics agent/workflow,Financial Crimes,43911,30,9.7,23.1,approved_scale,Within governance threshold; expand under monitored rollout,ai-control-tower/T04_agent-outcomes.csv,40,tenant_file
FC-AGENT-040,Customer churn early-warning model agent/workflow,Consumer Banking,57887,20,10.7,10.9,approved_pilot,Scope too broad; re-baseline against a single high-value workflow,ai-control-tower/T04_agent-outcomes.csv,41,tenant_file
FC-AGENT-041,Capital markets research summarization agent/workflow,Treasury & Capital Markets,22420,40,7.3,13.7,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,42,tenant_file
FC-AGENT-042,Privacy & data-access governance automation agent/workflow,"Cyber, Privacy & Resilience",21276,16,4.8,20.8,approved_pilot,Awaiting model-risk validation and source evidence gate,ai-control-tower/T04_agent-outcomes.csv,43,tenant_file
