tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner
first-capital,FCF-V3-0033,FCF-BANK,"Boundary: Regulated use cases require lineage, auditability, explainability, access controls, and model-risk evidence before production claims.","Boundary: Regulated use cases require lineage, auditability, explainability, access controls, and model-risk evidence before production claims.",13_evidence_sources,FCF-V3-EVID-0283,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
first-capital,FCF-V3-0034,FCF-BANK,"Boundary: Do not generate RFPs, vendor responses, BAFO packs, negotiation memos, or Source decision briefs from this PR.","Boundary: Do not generate RFPs, vendor responses, BAFO packs, negotiation memos, or Source decision briefs from this PR.",13_evidence_sources,FCF-V3-EVID-0284,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0001,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Fraud copilot readiness is promising, but strategy is not decision-grade until Fraud detection and case platform evidence closes: alert lineage and feature provenance are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0001,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0002,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says AML/KYC operations assist is promising, but operating model is not decision-grade until Core banking platform evidence closes: watchlist and customer-master lineage are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0002,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0003,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Contact center banker assist is promising, but vendor is not decision-grade until Digital banking platform evidence closes: approved answer content ownership is not assigned. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0003,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0004,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Regulatory reporting modernization is promising, but platform is not decision-grade until Risk and regulatory reporting data mart evidence closes: data-quality exceptions are not owner-certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0004,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0005,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Customer 360 and identity resolution is promising, but data is not decision-grade until Core banking platform evidence closes: identity match rules and exception handling are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0005,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0006,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Loan operations automation is promising, but modernization is not decision-grade until Banker and contact center CRM evidence closes: human review and exception controls need evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0006,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0007,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Vendor and contract optimization is promising, but AI readiness is not decision-grade until Finance and procurement ERP evidence closes: third-party risk evidence is not linked to renewal decisions. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0007,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0008,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Fraud copilot readiness is promising, but risk is not decision-grade until Model risk management registry evidence closes: false-positive and loss baselines are not finance-approved. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0008,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0009,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says AML/KYC operations assist is promising, but metrics is not decision-grade until AML/KYC case management platform evidence closes: case narrative provenance and reviewer controls need validation. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0009,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0010,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Contact center banker assist is promising, but value is not decision-grade until Banker and contact center CRM evidence closes: real-time CRM/core integration evidence is missing. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0010,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0011,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Regulatory reporting modernization is promising, but sourcing is not decision-grade until Legacy banking data warehouse evidence closes: cloud lakehouse is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0011,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0012,FCF-BANK,CIO / Technology leadership team interview evidence,"CIO / Technology leadership team says Customer 360 and identity resolution is promising, but evidence is not decision-grade until Cloud lakehouse and customer 360 foundation evidence closes: customer 360 platform is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0012,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CIO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0013,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says AML/KYC operations assist is promising, but strategy is not decision-grade until AML/KYC case management platform evidence closes: case narrative provenance and reviewer controls need validation. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0013,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0014,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Contact center banker assist is promising, but operating model is not decision-grade until Core banking platform evidence closes: real-time CRM/core integration evidence is missing. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0014,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0015,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Regulatory reporting modernization is promising, but vendor is not decision-grade until Cloud lakehouse and customer 360 foundation evidence closes: cloud lakehouse is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0015,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0016,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Customer 360 and identity resolution is promising, but platform is not decision-grade until Cloud lakehouse and customer 360 foundation evidence closes: customer 360 platform is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0016,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0017,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Loan operations automation is promising, but data is not decision-grade until Core banking platform evidence closes: document lineage and classification accuracy are not approved. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0017,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0018,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Vendor and contract optimization is promising, but modernization is not decision-grade until Contract lifecycle repository evidence closes: invoice-to-SOW and rate-card variance are not reconciled. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0018,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0019,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Fraud copilot readiness is promising, but AI readiness is not decision-grade until Digital banking platform evidence closes: operator acceptance telemetry is not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0019,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0020,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says AML/KYC operations assist is promising, but risk is not decision-grade until Model risk management registry evidence closes: regulatory audit evidence is not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0020,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0021,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Contact center banker assist is promising, but metrics is not decision-grade until Digital banking platform evidence closes: PII handling and masking evidence is incomplete. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0021,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0022,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Regulatory reporting modernization is promising, but value is not decision-grade until Risk and regulatory reporting data mart evidence closes: control evidence and attestations are not linked to data products. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0022,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
first-capital,FCF-SA07-13_EVIDENCE_SOURCES-0023,FCF-BANK,CTO / Infrastructure and cloud team interview evidence,"CTO / Infrastructure and cloud team says Customer 360 and identity resolution is promising, but sourcing is not decision-grade until Banker and contact center CRM evidence closes: lineage across core, digital, and CRM is incomplete. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",13_evidence_sources,FCF-SA07-INT-EVID-0023,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,synthetic_executive_interview,datasets/tenant-inputs/first-capital/interviews/executive_interviews.csv,CTO
