tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,data_domain,systems,value_hypothesis,evidence_needed
first-capital,FCF-V3-0011,FCF-BANK,Regulatory reporting modernization: controls,Regulatory reporting modernization: controls,09_programs_initiatives,FCF-V3-EVID-0110,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Regulatory reporting modernization,controls,Risk and regulatory reporting data mart; Legacy banking data warehouse; Cloud lakehouse and customer 360 foundation,"Modernize regulatory reporting after lineage, controls, attestations, reconciliation, and data-quality ownership are governed; do not claim regulator-ready outputs until audit evidence is approved.",regulatory-report lineage is fragmented across marts and manual files; control evidence and attestations are not linked to data products; cloud lakehouse is target-state only; data-quality exceptions are not owner-certified
first-capital,FCF-V3-0012,FCF-BANK,Regulatory reporting modernization: attestations,Regulatory reporting modernization: attestations,09_programs_initiatives,FCF-V3-EVID-0111,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Regulatory reporting modernization,attestations,Risk and regulatory reporting data mart; Legacy banking data warehouse; Cloud lakehouse and customer 360 foundation,"Modernize regulatory reporting after lineage, controls, attestations, reconciliation, and data-quality ownership are governed; do not claim regulator-ready outputs until audit evidence is approved.",regulatory-report lineage is fragmented across marts and manual files; control evidence and attestations are not linked to data products; cloud lakehouse is target-state only; data-quality exceptions are not owner-certified
first-capital,FCF-V3-0013,FCF-BANK,Customer 360 and identity resolution: customer master,Customer 360 and identity resolution: customer master,09_programs_initiatives,FCF-V3-EVID-0112,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Customer 360 and identity resolution,customer master,Core banking platform; Digital banking platform; Banker and contact center CRM; Cloud lakehouse and customer 360 foundation,"Use customer 360 only after identity, consent, lineage, exception handling, and data-quality evidence are approved; treat personalization and risk use cases as gated until then.","identity match rules and exception handling are not certified; consent and permissible-use controls need evidence; lineage across core, digital, and CRM is incomplete; customer 360 platform is target-state only"
first-capital,FCF-V3-0014,FCF-BANK,Customer 360 and identity resolution: identity match rules,Customer 360 and identity resolution: identity match rules,09_programs_initiatives,FCF-V3-EVID-0113,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Customer 360 and identity resolution,identity match rules,Core banking platform; Digital banking platform; Banker and contact center CRM; Cloud lakehouse and customer 360 foundation,"Use customer 360 only after identity, consent, lineage, exception handling, and data-quality evidence are approved; treat personalization and risk use cases as gated until then.","identity match rules and exception handling are not certified; consent and permissible-use controls need evidence; lineage across core, digital, and CRM is incomplete; customer 360 platform is target-state only"
first-capital,FCF-V3-0015,FCF-BANK,Customer 360 and identity resolution: account relationships,Customer 360 and identity resolution: account relationships,09_programs_initiatives,FCF-V3-EVID-0114,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Customer 360 and identity resolution,account relationships,Core banking platform; Digital banking platform; Banker and contact center CRM; Cloud lakehouse and customer 360 foundation,"Use customer 360 only after identity, consent, lineage, exception handling, and data-quality evidence are approved; treat personalization and risk use cases as gated until then.","identity match rules and exception handling are not certified; consent and permissible-use controls need evidence; lineage across core, digital, and CRM is incomplete; customer 360 platform is target-state only"
first-capital,FCF-V3-0016,FCF-BANK,Loan operations automation: applications,Loan operations automation: applications,09_programs_initiatives,FCF-V3-EVID-0115,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Loan operations automation,applications,Loan origination and servicing platform; Core banking platform; Banker and contact center CRM,"Automate loan operations only after document, human-review, fair-lending, model-risk, and baseline evidence are validated; quantify productivity after operations and risk signoff.",document lineage and classification accuracy are not approved; human review and exception controls need evidence; fair-lending and model-risk review are incomplete; cycle-time and defect baselines are not owner-certified
first-capital,FCF-V3-0017,FCF-BANK,Loan operations automation: documents,Loan operations automation: documents,09_programs_initiatives,FCF-V3-EVID-0116,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Loan operations automation,documents,Loan origination and servicing platform; Core banking platform; Banker and contact center CRM,"Automate loan operations only after document, human-review, fair-lending, model-risk, and baseline evidence are validated; quantify productivity after operations and risk signoff.",document lineage and classification accuracy are not approved; human review and exception controls need evidence; fair-lending and model-risk review are incomplete; cycle-time and defect baselines are not owner-certified
first-capital,FCF-V3-0018,FCF-BANK,Loan operations automation: exceptions,Loan operations automation: exceptions,09_programs_initiatives,FCF-V3-EVID-0117,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Loan operations automation,exceptions,Loan origination and servicing platform; Core banking platform; Banker and contact center CRM,"Automate loan operations only after document, human-review, fair-lending, model-risk, and baseline evidence are validated; quantify productivity after operations and risk signoff.",document lineage and classification accuracy are not approved; human review and exception controls need evidence; fair-lending and model-risk review are incomplete; cycle-time and defect baselines are not owner-certified
first-capital,FCF-V3-0019,FCF-BANK,Vendor and contract optimization: contract terms,Vendor and contract optimization: contract terms,09_programs_initiatives,FCF-V3-EVID-0118,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Vendor and contract optimization,contract terms,Contract lifecycle repository; Finance and procurement ERP; Core banking platform; Digital banking platform; Fraud detection and case platform,"Support vendor optimization after contract, invoice, SLA, third-party risk, and legal-right evidence are reconciled; treat negotiation leverage as hypothesis until procurement, legal, and finance approve.","SLA obligations are not linked to business criticality; invoice-to-SOW and rate-card variance are not reconciled; third-party risk evidence is not linked to renewal decisions; exit, audit, and data-export rights need legal review"
first-capital,FCF-V3-0020,FCF-BANK,Vendor and contract optimization: SLAs,Vendor and contract optimization: SLAs,09_programs_initiatives,FCF-V3-EVID-0119,candidate,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Vendor and contract optimization,SLAs,Contract lifecycle repository; Finance and procurement ERP; Core banking platform; Digital banking platform; Fraud detection and case platform,"Support vendor optimization after contract, invoice, SLA, third-party risk, and legal-right evidence are reconciled; treat negotiation leverage as hypothesis until procurement, legal, and finance approve.","SLA obligations are not linked to business criticality; invoice-to-SOW and rate-card variance are not reconciled; third-party risk evidence is not linked to renewal decisions; exit, audit, and data-export rights need legal review"
first-capital,FCF-V3-0021,FCF-BANK,Vendor and contract optimization: renewal notices,Vendor and contract optimization: renewal notices,09_programs_initiatives,FCF-V3-EVID-0120,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Vendor and contract optimization,renewal notices,Contract lifecycle repository; Finance and procurement ERP; Core banking platform; Digital banking platform; Fraud detection and case platform,"Support vendor optimization after contract, invoice, SLA, third-party risk, and legal-right evidence are reconciled; treat negotiation leverage as hypothesis until procurement, legal, and finance approve.","SLA obligations are not linked to business criticality; invoice-to-SOW and rate-card variance are not reconciled; third-party risk evidence is not linked to renewal decisions; exit, audit, and data-export rights need legal review"
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0001,FCF-BANK,CIO / Technology leadership team: Fraud copilot readiness,"CIO / Technology leadership team says Fraud copilot readiness is promising, but strategy is not decision-grade until Fraud detection and case platform evidence closes: alert lineage and feature provenance are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0001,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,alert lineage and feature provenance are not certified; model-risk approval evidence is incomplete; operator acceptance telemetry is not loaded; false-positive and loss baselines are not finance-approved
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0002,FCF-BANK,CIO / Technology leadership team: AML/KYC operations assist,"CIO / Technology leadership team says AML/KYC operations assist is promising, but operating model is not decision-grade until Core banking platform evidence closes: watchlist and customer-master lineage are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0002,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,case narrative provenance and reviewer controls need validation; watchlist and customer-master lineage are not certified; explainability and human approval path are incomplete; regulatory audit evidence is not loaded
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0003,FCF-BANK,CIO / Technology leadership team: Contact center banker assist,"CIO / Technology leadership team says Contact center banker assist is promising, but vendor is not decision-grade until Digital banking platform evidence closes: approved answer content ownership is not assigned. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0003,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,PII handling and masking evidence is incomplete; real-time CRM/core integration evidence is missing; approved answer content ownership is not assigned; QA and acceptance telemetry are not loaded
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0004,FCF-BANK,CIO / Technology leadership team: Regulatory reporting modernization,"CIO / Technology leadership team says Regulatory reporting modernization is promising, but platform is not decision-grade until Risk and regulatory reporting data mart evidence closes: data-quality exceptions are not owner-certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0004,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,regulatory-report lineage is fragmented across marts and manual files; control evidence and attestations are not linked to data products; cloud lakehouse is target-state only; data-quality exceptions are not owner-certified
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0005,FCF-BANK,CIO / Technology leadership team: Customer 360 and identity resolution,"CIO / Technology leadership team says Customer 360 and identity resolution is promising, but data is not decision-grade until Core banking platform evidence closes: identity match rules and exception handling are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0005,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,"identity match rules and exception handling are not certified; consent and permissible-use controls need evidence; lineage across core, digital, and CRM is incomplete; customer 360 platform is target-state only"
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0006,FCF-BANK,CIO / Technology leadership team: Loan operations automation,"CIO / Technology leadership team says Loan operations automation is promising, but modernization is not decision-grade until Banker and contact center CRM evidence closes: human review and exception controls need evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0006,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,document lineage and classification accuracy are not approved; human review and exception controls need evidence; fair-lending and model-risk review are incomplete; cycle-time and defect baselines are not owner-certified
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0007,FCF-BANK,CIO / Technology leadership team: Vendor and contract optimization,"CIO / Technology leadership team says Vendor and contract optimization is promising, but AI readiness is not decision-grade until Finance and procurement ERP evidence closes: third-party risk evidence is not linked to renewal decisions. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0007,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,"SLA obligations are not linked to business criticality; invoice-to-SOW and rate-card variance are not reconciled; third-party risk evidence is not linked to renewal decisions; exit, audit, and data-export rights need legal review"
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0008,FCF-BANK,CIO / Technology leadership team: Fraud copilot readiness,"CIO / Technology leadership team says Fraud copilot readiness is promising, but risk is not decision-grade until Model risk management registry evidence closes: false-positive and loss baselines are not finance-approved. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0008,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,alert lineage and feature provenance are not certified; model-risk approval evidence is incomplete; operator acceptance telemetry is not loaded; false-positive and loss baselines are not finance-approved
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0009,FCF-BANK,CIO / Technology leadership team: AML/KYC operations assist,"CIO / Technology leadership team says AML/KYC operations assist is promising, but metrics is not decision-grade until AML/KYC case management platform evidence closes: case narrative provenance and reviewer controls need validation. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0009,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,case narrative provenance and reviewer controls need validation; watchlist and customer-master lineage are not certified; explainability and human approval path are incomplete; regulatory audit evidence is not loaded
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0010,FCF-BANK,CIO / Technology leadership team: Contact center banker assist,"CIO / Technology leadership team says Contact center banker assist is promising, but value is not decision-grade until Banker and contact center CRM evidence closes: real-time CRM/core integration evidence is missing. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0010,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,PII handling and masking evidence is incomplete; real-time CRM/core integration evidence is missing; approved answer content ownership is not assigned; QA and acceptance telemetry are not loaded
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0011,FCF-BANK,CIO / Technology leadership team: Regulatory reporting modernization,"CIO / Technology leadership team says Regulatory reporting modernization is promising, but sourcing is not decision-grade until Legacy banking data warehouse evidence closes: cloud lakehouse is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0011,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,regulatory-report lineage is fragmented across marts and manual files; control evidence and attestations are not linked to data products; cloud lakehouse is target-state only; data-quality exceptions are not owner-certified
first-capital,FCF-SA07-09_PROGRAMS_INITIATIVES-0012,FCF-BANK,CIO / Technology leadership team: Customer 360 and identity resolution,"CIO / Technology leadership team says Customer 360 and identity resolution is promising, but evidence is not decision-grade until Cloud lakehouse and customer 360 foundation evidence closes: customer 360 platform is target-state only. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",09_programs_initiatives,FCF-SA07-INT-EVID-0012,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,,"identity match rules and exception handling are not certified; consent and permissible-use controls need evidence; lineage across core, digital, and CRM is incomplete; customer 360 platform is target-state only"
