metric_id,function,owning_cxo,metric_name,definition,unit,current_value,target_value,value_stream_id,primary_capability_id,source_file,source_row,value_source
FIRSTCAPITAL-MET-0017,cycle_time,COO,First Capital Financial elapsed time for target process metric 17,Tracks elapsed time for target process for the priority transformation portfolio.,percent,56.0,74.0,VS-001,CAP-017,family-7-outcome-intelligence/O01_business-metrics.csv,18,tenant_file
FIRSTCAPITAL-MET-0018,risk_posture,CRO,First Capital Financial open control and governance pressure metric 18,Tracks open control and governance pressure for the priority transformation portfolio.,percent,57.0,75.0,VS-002,CAP-018,family-7-outcome-intelligence/O01_business-metrics.csv,19,tenant_file
FIRSTCAPITAL-MET-0019,adoption,CIO,First Capital Financial active usage of changed workflow metric 19,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,58.0,76.0,VS-003,CAP-019,family-7-outcome-intelligence/O01_business-metrics.csv,20,tenant_file
FIRSTCAPITAL-MET-0020,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 20,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,59.0,77.0,VS-004,CAP-020,family-7-outcome-intelligence/O01_business-metrics.csv,21,tenant_file
FIRSTCAPITAL-MET-0021,value_capture,CFO,First Capital Financial benefit realization against committed value metric 21,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,60.0,78.0,VS-005,CAP-021,family-7-outcome-intelligence/O01_business-metrics.csv,22,tenant_file
FIRSTCAPITAL-MET-0022,cycle_time,COO,First Capital Financial elapsed time for target process metric 22,Tracks elapsed time for target process for the priority transformation portfolio.,usd,61.0,79.0,VS-006,CAP-022,family-7-outcome-intelligence/O01_business-metrics.csv,23,tenant_file
FIRSTCAPITAL-MET-0023,risk_posture,CRO,First Capital Financial open control and governance pressure metric 23,Tracks open control and governance pressure for the priority transformation portfolio.,percent,62.0,80.0,VS-007,CAP-023,family-7-outcome-intelligence/O01_business-metrics.csv,24,tenant_file
FIRSTCAPITAL-MET-0024,adoption,CIO,First Capital Financial active usage of changed workflow metric 24,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,63.0,81.0,VS-008,CAP-024,family-7-outcome-intelligence/O01_business-metrics.csv,25,tenant_file
FIRSTCAPITAL-MET-0025,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 25,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,64.0,82.0,VS-009,CAP-025,family-7-outcome-intelligence/O01_business-metrics.csv,26,tenant_file
FIRSTCAPITAL-MET-0026,value_capture,CFO,First Capital Financial benefit realization against committed value metric 26,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,65.0,83.0,VS-010,CAP-026,family-7-outcome-intelligence/O01_business-metrics.csv,27,tenant_file
FIRSTCAPITAL-MET-0027,cycle_time,COO,First Capital Financial elapsed time for target process metric 27,Tracks elapsed time for target process for the priority transformation portfolio.,percent,66.0,84.0,VS-011,CAP-027,family-7-outcome-intelligence/O01_business-metrics.csv,28,tenant_file
FIRSTCAPITAL-MET-0028,risk_posture,CRO,First Capital Financial open control and governance pressure metric 28,Tracks open control and governance pressure for the priority transformation portfolio.,usd,67.0,85.0,VS-012,CAP-028,family-7-outcome-intelligence/O01_business-metrics.csv,29,tenant_file
FIRSTCAPITAL-MET-0029,adoption,CIO,First Capital Financial active usage of changed workflow metric 29,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,68.0,86.0,VS-013,CAP-029,family-7-outcome-intelligence/O01_business-metrics.csv,30,tenant_file
FIRSTCAPITAL-MET-0030,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 30,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,69.0,87.0,VS-014,CAP-030,family-7-outcome-intelligence/O01_business-metrics.csv,31,tenant_file
FIRSTCAPITAL-MET-0031,value_capture,CFO,First Capital Financial benefit realization against committed value metric 31,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,70.0,88.0,VS-015,CAP-031,family-7-outcome-intelligence/O01_business-metrics.csv,32,tenant_file
FIRSTCAPITAL-MET-0032,cycle_time,COO,First Capital Financial elapsed time for target process metric 32,Tracks elapsed time for target process for the priority transformation portfolio.,percent,71.0,89.0,VS-016,CAP-032,family-7-outcome-intelligence/O01_business-metrics.csv,33,tenant_file
FIRSTCAPITAL-MET-0033,risk_posture,CRO,First Capital Financial open control and governance pressure metric 33,Tracks open control and governance pressure for the priority transformation portfolio.,percent,72.0,90.0,VS-001,CAP-033,family-7-outcome-intelligence/O01_business-metrics.csv,34,tenant_file
FIRSTCAPITAL-MET-0034,adoption,CIO,First Capital Financial active usage of changed workflow metric 34,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,73.0,91.0,VS-002,CAP-034,family-7-outcome-intelligence/O01_business-metrics.csv,35,tenant_file
FIRSTCAPITAL-MET-0035,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 35,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,74.0,92.0,VS-003,CAP-035,family-7-outcome-intelligence/O01_business-metrics.csv,36,tenant_file
FIRSTCAPITAL-MET-0036,value_capture,CFO,First Capital Financial benefit realization against committed value metric 36,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,75.0,93.0,VS-004,CAP-036,family-7-outcome-intelligence/O01_business-metrics.csv,37,tenant_file
FIRSTCAPITAL-MET-0037,cycle_time,COO,First Capital Financial elapsed time for target process metric 37,Tracks elapsed time for target process for the priority transformation portfolio.,usd,76.0,94.0,VS-005,CAP-037,family-7-outcome-intelligence/O01_business-metrics.csv,38,tenant_file
FIRSTCAPITAL-MET-0038,risk_posture,CRO,First Capital Financial open control and governance pressure metric 38,Tracks open control and governance pressure for the priority transformation portfolio.,percent,40.0,95.0,VS-006,CAP-038,family-7-outcome-intelligence/O01_business-metrics.csv,39,tenant_file
FIRSTCAPITAL-MET-0039,adoption,CIO,First Capital Financial active usage of changed workflow metric 39,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,41.0,96.0,VS-007,CAP-039,family-7-outcome-intelligence/O01_business-metrics.csv,40,tenant_file
FIRSTCAPITAL-MET-0040,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 40,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,42.0,97.0,VS-008,CAP-040,family-7-outcome-intelligence/O01_business-metrics.csv,41,tenant_file
FIRSTCAPITAL-MET-0041,value_capture,CFO,First Capital Financial benefit realization against committed value metric 41,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,43.0,98.0,VS-009,CAP-001,family-7-outcome-intelligence/O01_business-metrics.csv,42,tenant_file
FIRSTCAPITAL-MET-0042,cycle_time,COO,First Capital Financial elapsed time for target process metric 42,Tracks elapsed time for target process for the priority transformation portfolio.,percent,44.0,58.0,VS-010,CAP-002,family-7-outcome-intelligence/O01_business-metrics.csv,43,tenant_file
FIRSTCAPITAL-MET-0043,risk_posture,CRO,First Capital Financial open control and governance pressure metric 43,Tracks open control and governance pressure for the priority transformation portfolio.,usd,45.0,59.0,VS-011,CAP-003,family-7-outcome-intelligence/O01_business-metrics.csv,44,tenant_file
FIRSTCAPITAL-MET-0044,adoption,CIO,First Capital Financial active usage of changed workflow metric 44,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,46.0,60.0,VS-012,CAP-004,family-7-outcome-intelligence/O01_business-metrics.csv,45,tenant_file
FIRSTCAPITAL-MET-0045,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 45,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,47.0,61.0,VS-013,CAP-005,family-7-outcome-intelligence/O01_business-metrics.csv,46,tenant_file
FIRSTCAPITAL-MET-0046,value_capture,CFO,First Capital Financial benefit realization against committed value metric 46,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,48.0,62.0,VS-014,CAP-006,family-7-outcome-intelligence/O01_business-metrics.csv,47,tenant_file
FIRSTCAPITAL-MET-0047,cycle_time,COO,First Capital Financial elapsed time for target process metric 47,Tracks elapsed time for target process for the priority transformation portfolio.,percent,49.0,63.0,VS-015,CAP-007,family-7-outcome-intelligence/O01_business-metrics.csv,48,tenant_file
FIRSTCAPITAL-MET-0048,risk_posture,CRO,First Capital Financial open control and governance pressure metric 48,Tracks open control and governance pressure for the priority transformation portfolio.,percent,50.0,64.0,VS-016,CAP-008,family-7-outcome-intelligence/O01_business-metrics.csv,49,tenant_file
FIRSTCAPITAL-MET-0049,adoption,CIO,First Capital Financial active usage of changed workflow metric 49,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,51.0,65.0,VS-001,CAP-009,family-7-outcome-intelligence/O01_business-metrics.csv,50,tenant_file
FIRSTCAPITAL-MET-0050,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 50,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,52.0,66.0,VS-002,CAP-010,family-7-outcome-intelligence/O01_business-metrics.csv,51,tenant_file
FIRSTCAPITAL-MET-0051,value_capture,CFO,First Capital Financial benefit realization against committed value metric 51,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,53.0,67.0,VS-003,CAP-011,family-7-outcome-intelligence/O01_business-metrics.csv,52,tenant_file
FIRSTCAPITAL-MET-0052,cycle_time,COO,First Capital Financial elapsed time for target process metric 52,Tracks elapsed time for target process for the priority transformation portfolio.,usd,54.0,68.0,VS-004,CAP-012,family-7-outcome-intelligence/O01_business-metrics.csv,53,tenant_file
FIRSTCAPITAL-MET-0053,risk_posture,CRO,First Capital Financial open control and governance pressure metric 53,Tracks open control and governance pressure for the priority transformation portfolio.,percent,55.0,69.0,VS-005,CAP-013,family-7-outcome-intelligence/O01_business-metrics.csv,54,tenant_file
FIRSTCAPITAL-MET-0054,adoption,CIO,First Capital Financial active usage of changed workflow metric 54,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,56.0,70.0,VS-006,CAP-014,family-7-outcome-intelligence/O01_business-metrics.csv,55,tenant_file
FIRSTCAPITAL-MET-0055,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 55,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,57.0,71.0,VS-007,CAP-015,family-7-outcome-intelligence/O01_business-metrics.csv,56,tenant_file
FIRSTCAPITAL-MET-0056,value_capture,CFO,First Capital Financial benefit realization against committed value metric 56,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,58.0,72.0,VS-008,CAP-016,family-7-outcome-intelligence/O01_business-metrics.csv,57,tenant_file
FIRSTCAPITAL-MET-0057,cycle_time,COO,First Capital Financial elapsed time for target process metric 57,Tracks elapsed time for target process for the priority transformation portfolio.,percent,59.0,73.0,VS-009,CAP-017,family-7-outcome-intelligence/O01_business-metrics.csv,58,tenant_file
FIRSTCAPITAL-MET-0058,risk_posture,CRO,First Capital Financial open control and governance pressure metric 58,Tracks open control and governance pressure for the priority transformation portfolio.,usd,60.0,74.0,VS-010,CAP-018,family-7-outcome-intelligence/O01_business-metrics.csv,59,tenant_file
FIRSTCAPITAL-MET-0059,adoption,CIO,First Capital Financial active usage of changed workflow metric 59,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,61.0,75.0,VS-011,CAP-019,family-7-outcome-intelligence/O01_business-metrics.csv,60,tenant_file
FIRSTCAPITAL-MET-0060,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 60,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,62.0,76.0,VS-012,CAP-020,family-7-outcome-intelligence/O01_business-metrics.csv,61,tenant_file
FIRSTCAPITAL-MET-0061,value_capture,CFO,First Capital Financial benefit realization against committed value metric 61,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,63.0,77.0,VS-013,CAP-021,family-7-outcome-intelligence/O01_business-metrics.csv,62,tenant_file
FIRSTCAPITAL-MET-0062,cycle_time,COO,First Capital Financial elapsed time for target process metric 62,Tracks elapsed time for target process for the priority transformation portfolio.,percent,64.0,78.0,VS-014,CAP-022,family-7-outcome-intelligence/O01_business-metrics.csv,63,tenant_file
FIRSTCAPITAL-MET-0063,risk_posture,CRO,First Capital Financial open control and governance pressure metric 63,Tracks open control and governance pressure for the priority transformation portfolio.,percent,65.0,79.0,VS-015,CAP-023,family-7-outcome-intelligence/O01_business-metrics.csv,64,tenant_file
FIRSTCAPITAL-MET-0064,adoption,CIO,First Capital Financial active usage of changed workflow metric 64,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,66.0,80.0,VS-016,CAP-024,family-7-outcome-intelligence/O01_business-metrics.csv,65,tenant_file
FIRSTCAPITAL-MET-0065,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 65,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,67.0,81.0,VS-001,CAP-025,family-7-outcome-intelligence/O01_business-metrics.csv,66,tenant_file
FIRSTCAPITAL-MET-0066,value_capture,CFO,First Capital Financial benefit realization against committed value metric 66,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,68.0,82.0,VS-002,CAP-026,family-7-outcome-intelligence/O01_business-metrics.csv,67,tenant_file
FIRSTCAPITAL-MET-0067,cycle_time,COO,First Capital Financial elapsed time for target process metric 67,Tracks elapsed time for target process for the priority transformation portfolio.,usd,69.0,83.0,VS-003,CAP-027,family-7-outcome-intelligence/O01_business-metrics.csv,68,tenant_file
FIRSTCAPITAL-MET-0068,risk_posture,CRO,First Capital Financial open control and governance pressure metric 68,Tracks open control and governance pressure for the priority transformation portfolio.,percent,70.0,84.0,VS-004,CAP-028,family-7-outcome-intelligence/O01_business-metrics.csv,69,tenant_file
FIRSTCAPITAL-MET-0069,adoption,CIO,First Capital Financial active usage of changed workflow metric 69,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,71.0,85.0,VS-005,CAP-029,family-7-outcome-intelligence/O01_business-metrics.csv,70,tenant_file
FIRSTCAPITAL-MET-0070,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 70,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,72.0,86.0,VS-006,CAP-030,family-7-outcome-intelligence/O01_business-metrics.csv,71,tenant_file
FIRSTCAPITAL-MET-0071,value_capture,CFO,First Capital Financial benefit realization against committed value metric 71,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,73.0,87.0,VS-007,CAP-031,family-7-outcome-intelligence/O01_business-metrics.csv,72,tenant_file
FIRSTCAPITAL-MET-0072,cycle_time,COO,First Capital Financial elapsed time for target process metric 72,Tracks elapsed time for target process for the priority transformation portfolio.,percent,74.0,88.0,VS-008,CAP-032,family-7-outcome-intelligence/O01_business-metrics.csv,73,tenant_file
FIRSTCAPITAL-MET-0073,risk_posture,CRO,First Capital Financial open control and governance pressure metric 73,Tracks open control and governance pressure for the priority transformation portfolio.,usd,75.0,89.0,VS-009,CAP-033,family-7-outcome-intelligence/O01_business-metrics.csv,74,tenant_file
FIRSTCAPITAL-MET-0074,adoption,CIO,First Capital Financial active usage of changed workflow metric 74,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,76.0,90.0,VS-010,CAP-034,family-7-outcome-intelligence/O01_business-metrics.csv,75,tenant_file
FIRSTCAPITAL-MET-0075,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 75,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,40.0,91.0,VS-011,CAP-035,family-7-outcome-intelligence/O01_business-metrics.csv,76,tenant_file
FIRSTCAPITAL-MET-0076,value_capture,CFO,First Capital Financial benefit realization against committed value metric 76,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,41.0,92.0,VS-012,CAP-036,family-7-outcome-intelligence/O01_business-metrics.csv,77,tenant_file
FIRSTCAPITAL-MET-0077,cycle_time,COO,First Capital Financial elapsed time for target process metric 77,Tracks elapsed time for target process for the priority transformation portfolio.,percent,42.0,93.0,VS-013,CAP-037,family-7-outcome-intelligence/O01_business-metrics.csv,78,tenant_file
FIRSTCAPITAL-MET-0078,risk_posture,CRO,First Capital Financial open control and governance pressure metric 78,Tracks open control and governance pressure for the priority transformation portfolio.,percent,43.0,94.0,VS-014,CAP-038,family-7-outcome-intelligence/O01_business-metrics.csv,79,tenant_file
FIRSTCAPITAL-MET-0079,adoption,CIO,First Capital Financial active usage of changed workflow metric 79,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,44.0,95.0,VS-015,CAP-039,family-7-outcome-intelligence/O01_business-metrics.csv,80,tenant_file
FIRSTCAPITAL-MET-0080,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 80,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,45.0,96.0,VS-016,CAP-040,family-7-outcome-intelligence/O01_business-metrics.csv,81,tenant_file
FIRSTCAPITAL-MET-0081,value_capture,CFO,First Capital Financial benefit realization against committed value metric 81,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,46.0,97.0,VS-001,CAP-001,family-7-outcome-intelligence/O01_business-metrics.csv,82,tenant_file
FIRSTCAPITAL-MET-0082,cycle_time,COO,First Capital Financial elapsed time for target process metric 82,Tracks elapsed time for target process for the priority transformation portfolio.,usd,47.0,98.0,VS-002,CAP-002,family-7-outcome-intelligence/O01_business-metrics.csv,83,tenant_file
FIRSTCAPITAL-MET-0083,risk_posture,CRO,First Capital Financial open control and governance pressure metric 83,Tracks open control and governance pressure for the priority transformation portfolio.,percent,48.0,58.0,VS-003,CAP-003,family-7-outcome-intelligence/O01_business-metrics.csv,84,tenant_file
FIRSTCAPITAL-MET-0084,adoption,CIO,First Capital Financial active usage of changed workflow metric 84,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,49.0,59.0,VS-004,CAP-004,family-7-outcome-intelligence/O01_business-metrics.csv,85,tenant_file
FIRSTCAPITAL-MET-0085,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 85,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,50.0,60.0,VS-005,CAP-005,family-7-outcome-intelligence/O01_business-metrics.csv,86,tenant_file
FIRSTCAPITAL-MET-0086,value_capture,CFO,First Capital Financial benefit realization against committed value metric 86,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,51.0,61.0,VS-006,CAP-006,family-7-outcome-intelligence/O01_business-metrics.csv,87,tenant_file
FIRSTCAPITAL-MET-0087,cycle_time,COO,First Capital Financial elapsed time for target process metric 87,Tracks elapsed time for target process for the priority transformation portfolio.,percent,52.0,62.0,VS-007,CAP-007,family-7-outcome-intelligence/O01_business-metrics.csv,88,tenant_file
FIRSTCAPITAL-MET-0088,risk_posture,CRO,First Capital Financial open control and governance pressure metric 88,Tracks open control and governance pressure for the priority transformation portfolio.,usd,53.0,63.0,VS-008,CAP-008,family-7-outcome-intelligence/O01_business-metrics.csv,89,tenant_file
FIRSTCAPITAL-MET-0089,adoption,CIO,First Capital Financial active usage of changed workflow metric 89,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,54.0,64.0,VS-009,CAP-009,family-7-outcome-intelligence/O01_business-metrics.csv,90,tenant_file
FIRSTCAPITAL-MET-0090,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 90,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,55.0,65.0,VS-010,CAP-010,family-7-outcome-intelligence/O01_business-metrics.csv,91,tenant_file
FIRSTCAPITAL-MET-0091,value_capture,CFO,First Capital Financial benefit realization against committed value metric 91,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,56.0,66.0,VS-011,CAP-011,family-7-outcome-intelligence/O01_business-metrics.csv,92,tenant_file
FIRSTCAPITAL-MET-0092,cycle_time,COO,First Capital Financial elapsed time for target process metric 92,Tracks elapsed time for target process for the priority transformation portfolio.,percent,57.0,67.0,VS-012,CAP-012,family-7-outcome-intelligence/O01_business-metrics.csv,93,tenant_file
FIRSTCAPITAL-MET-0093,risk_posture,CRO,First Capital Financial open control and governance pressure metric 93,Tracks open control and governance pressure for the priority transformation portfolio.,percent,58.0,68.0,VS-013,CAP-013,family-7-outcome-intelligence/O01_business-metrics.csv,94,tenant_file
FIRSTCAPITAL-MET-0094,adoption,CIO,First Capital Financial active usage of changed workflow metric 94,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,59.0,69.0,VS-014,CAP-014,family-7-outcome-intelligence/O01_business-metrics.csv,95,tenant_file
FIRSTCAPITAL-MET-0095,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 95,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,60.0,70.0,VS-015,CAP-015,family-7-outcome-intelligence/O01_business-metrics.csv,96,tenant_file
FIRSTCAPITAL-MET-0096,value_capture,CFO,First Capital Financial benefit realization against committed value metric 96,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,61.0,71.0,VS-016,CAP-016,family-7-outcome-intelligence/O01_business-metrics.csv,97,tenant_file
FIRSTCAPITAL-MET-0097,cycle_time,COO,First Capital Financial elapsed time for target process metric 97,Tracks elapsed time for target process for the priority transformation portfolio.,usd,62.0,72.0,VS-001,CAP-017,family-7-outcome-intelligence/O01_business-metrics.csv,98,tenant_file
FIRSTCAPITAL-MET-0098,risk_posture,CRO,First Capital Financial open control and governance pressure metric 98,Tracks open control and governance pressure for the priority transformation portfolio.,percent,63.0,73.0,VS-002,CAP-018,family-7-outcome-intelligence/O01_business-metrics.csv,99,tenant_file
FIRSTCAPITAL-MET-0099,adoption,CIO,First Capital Financial active usage of changed workflow metric 99,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,64.0,74.0,VS-003,CAP-019,family-7-outcome-intelligence/O01_business-metrics.csv,100,tenant_file
FIRSTCAPITAL-MET-0100,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 100,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,65.0,75.0,VS-004,CAP-020,family-7-outcome-intelligence/O01_business-metrics.csv,101,tenant_file
FIRSTCAPITAL-MET-0101,value_capture,CFO,First Capital Financial benefit realization against committed value metric 101,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,66.0,76.0,VS-005,CAP-021,family-7-outcome-intelligence/O01_business-metrics.csv,102,tenant_file
FIRSTCAPITAL-MET-0102,cycle_time,COO,First Capital Financial elapsed time for target process metric 102,Tracks elapsed time for target process for the priority transformation portfolio.,percent,67.0,77.0,VS-006,CAP-022,family-7-outcome-intelligence/O01_business-metrics.csv,103,tenant_file
FIRSTCAPITAL-MET-0103,risk_posture,CRO,First Capital Financial open control and governance pressure metric 103,Tracks open control and governance pressure for the priority transformation portfolio.,usd,68.0,78.0,VS-007,CAP-023,family-7-outcome-intelligence/O01_business-metrics.csv,104,tenant_file
FIRSTCAPITAL-MET-0104,adoption,CIO,First Capital Financial active usage of changed workflow metric 104,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,69.0,79.0,VS-008,CAP-024,family-7-outcome-intelligence/O01_business-metrics.csv,105,tenant_file
FIRSTCAPITAL-MET-0105,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 105,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,70.0,80.0,VS-009,CAP-025,family-7-outcome-intelligence/O01_business-metrics.csv,106,tenant_file
FIRSTCAPITAL-MET-0106,value_capture,CFO,First Capital Financial benefit realization against committed value metric 106,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,71.0,81.0,VS-010,CAP-026,family-7-outcome-intelligence/O01_business-metrics.csv,107,tenant_file
