tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
apex-retail,AI code productivity program,CIO,CIO,,,scale_candidate,scale,,measurement by product team incomplete,measurement by product team incomplete,22000000,22000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,15,APX-INIT-014,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Retail lakehouse and customer inventory graph / expansion 1,Chief Data Officer,Chief Data Officer,,,at_risk,mobilize,,identity and item-location data quality,identity and item-location data quality,95000000,95000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,16,APEXRETAIL-INIT-0015,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,AI demand forecasting and replenishment / expansion 2,Chief Merchandising Officer,Chief Merchandising Officer,,,scale_candidate,pilot,,forecast explainability by category,forecast explainability by category,72000000,72000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,17,APEXRETAIL-INIT-0016,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store labor scheduling optimization / expansion 3,COO,COO,,,hold_until_evidence,pilot,,labor-rule integration and manager adoption,labor-rule integration and manager adoption,51000000,51000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,18,APEXRETAIL-INIT-0017,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Shrink anomaly detection / expansion 4,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,camera/POS evidence linkage,camera/POS evidence linkage,68000000,68000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,19,APEXRETAIL-INIT-0018,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Search and personalization AI / expansion 5,Chief Digital Officer,Chief Digital Officer,,,scale_candidate,scale,,consent and customer identity gaps,consent and customer identity gaps,84000000,84000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,20,APEXRETAIL-INIT-0019,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Retail media measurement clean room / expansion 6,Chief Marketing Officer,Chief Marketing Officer,,,hold_until_evidence,design,,incrementality proof missing,incrementality proof missing,38000000,38000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,21,APEXRETAIL-INIT-0020,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,BOPIS exception prediction / expansion 7,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,pilot,,store inventory accuracy,store inventory accuracy,34000000,34000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,22,APEXRETAIL-INIT-0021,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Returns fraud triage / expansion 8,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,fairness and customer friction review,fairness and customer friction review,26000000,26000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,23,APEXRETAIL-INIT-0022,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Finance margin bridge automation / expansion 9,CFO,CFO,,,scale_candidate,pilot,,vendor funding lineage,vendor funding lineage,24000000,24000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,24,APEXRETAIL-INIT-0023,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,ServiceNow store support agent / expansion 10,VP IT Operations,VP IT Operations,,,hold_until_evidence,pilot,,knowledge base quality,knowledge base quality,18000000,18000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,25,APEXRETAIL-INIT-0024,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Assortment localization copilot / expansion 11,Chief Merchandising Officer,Chief Merchandising Officer,,,prove_value,design,,planner workflow fit,planner workflow fit,30000000,30000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,26,APEXRETAIL-INIT-0025,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store associate task assistant / expansion 12,COO,COO,,,prove_value,design,,mobile device and policy readiness,mobile device and policy readiness,43000000,43000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,27,APEXRETAIL-INIT-0026,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Supply chain ETA and carrier exception AI / expansion 13,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,build,,carrier API latency,carrier API latency,36000000,36000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,28,APEXRETAIL-INIT-0027,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,AI code productivity program / expansion 14,CIO,CIO,,,scale_candidate,scale,,measurement by product team incomplete,measurement by product team incomplete,22000000,22000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,29,APEXRETAIL-INIT-0028,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Retail lakehouse and customer inventory graph / expansion 15,Chief Data Officer,Chief Data Officer,,,at_risk,mobilize,,identity and item-location data quality,identity and item-location data quality,95000000,95000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,30,APEXRETAIL-INIT-0029,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,AI demand forecasting and replenishment / expansion 16,Chief Merchandising Officer,Chief Merchandising Officer,,,scale_candidate,pilot,,forecast explainability by category,forecast explainability by category,72000000,72000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,31,APEXRETAIL-INIT-0030,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store labor scheduling optimization / expansion 17,COO,COO,,,hold_until_evidence,pilot,,labor-rule integration and manager adoption,labor-rule integration and manager adoption,51000000,51000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,32,APEXRETAIL-INIT-0031,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Shrink anomaly detection / expansion 18,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,camera/POS evidence linkage,camera/POS evidence linkage,68000000,68000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,33,APEXRETAIL-INIT-0032,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Search and personalization AI / expansion 19,Chief Digital Officer,Chief Digital Officer,,,scale_candidate,scale,,consent and customer identity gaps,consent and customer identity gaps,84000000,84000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,34,APEXRETAIL-INIT-0033,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Retail media measurement clean room / expansion 20,Chief Marketing Officer,Chief Marketing Officer,,,hold_until_evidence,design,,incrementality proof missing,incrementality proof missing,38000000,38000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,35,APEXRETAIL-INIT-0034,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,BOPIS exception prediction / expansion 21,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,pilot,,store inventory accuracy,store inventory accuracy,34000000,34000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,36,APEXRETAIL-INIT-0035,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Returns fraud triage / expansion 22,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,fairness and customer friction review,fairness and customer friction review,26000000,26000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,37,APEXRETAIL-INIT-0036,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Finance margin bridge automation / expansion 23,CFO,CFO,,,scale_candidate,pilot,,vendor funding lineage,vendor funding lineage,24000000,24000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,38,APEXRETAIL-INIT-0037,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,ServiceNow store support agent / expansion 24,VP IT Operations,VP IT Operations,,,hold_until_evidence,pilot,,knowledge base quality,knowledge base quality,18000000,18000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,39,APEXRETAIL-INIT-0038,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Assortment localization copilot / expansion 25,Chief Merchandising Officer,Chief Merchandising Officer,,,prove_value,design,,planner workflow fit,planner workflow fit,30000000,30000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,40,APEXRETAIL-INIT-0039,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store associate task assistant / expansion 26,COO,COO,,,prove_value,design,,mobile device and policy readiness,mobile device and policy readiness,43000000,43000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,41,APEXRETAIL-INIT-0040,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Supply chain ETA and carrier exception AI / expansion 27,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,build,,carrier API latency,carrier API latency,36000000,36000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,42,APEXRETAIL-INIT-0041,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,AI code productivity program / expansion 28,CIO,CIO,,,scale_candidate,scale,,measurement by product team incomplete,measurement by product team incomplete,22000000,22000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,43,APEXRETAIL-INIT-0042,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Retail lakehouse and customer inventory graph / expansion 29,Chief Data Officer,Chief Data Officer,,,at_risk,mobilize,,identity and item-location data quality,identity and item-location data quality,95000000,95000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,44,APEXRETAIL-INIT-0043,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,AI demand forecasting and replenishment / expansion 30,Chief Merchandising Officer,Chief Merchandising Officer,,,scale_candidate,pilot,,forecast explainability by category,forecast explainability by category,72000000,72000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,45,APEXRETAIL-INIT-0044,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store labor scheduling optimization / expansion 31,COO,COO,,,hold_until_evidence,pilot,,labor-rule integration and manager adoption,labor-rule integration and manager adoption,51000000,51000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,46,APEXRETAIL-INIT-0045,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Shrink anomaly detection / expansion 32,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,camera/POS evidence linkage,camera/POS evidence linkage,68000000,68000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,47,APEXRETAIL-INIT-0046,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Search and personalization AI / expansion 33,Chief Digital Officer,Chief Digital Officer,,,scale_candidate,scale,,consent and customer identity gaps,consent and customer identity gaps,84000000,84000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,48,APEXRETAIL-INIT-0047,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Retail media measurement clean room / expansion 34,Chief Marketing Officer,Chief Marketing Officer,,,hold_until_evidence,design,,incrementality proof missing,incrementality proof missing,38000000,38000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,49,APEXRETAIL-INIT-0048,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,BOPIS exception prediction / expansion 35,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,pilot,,store inventory accuracy,store inventory accuracy,34000000,34000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,50,APEXRETAIL-INIT-0049,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Returns fraud triage / expansion 36,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,fairness and customer friction review,fairness and customer friction review,26000000,26000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,51,APEXRETAIL-INIT-0050,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Finance margin bridge automation / expansion 37,CFO,CFO,,,scale_candidate,pilot,,vendor funding lineage,vendor funding lineage,24000000,24000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,52,APEXRETAIL-INIT-0051,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,ServiceNow store support agent / expansion 38,VP IT Operations,VP IT Operations,,,hold_until_evidence,pilot,,knowledge base quality,knowledge base quality,18000000,18000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,53,APEXRETAIL-INIT-0052,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Assortment localization copilot / expansion 39,Chief Merchandising Officer,Chief Merchandising Officer,,,prove_value,design,,planner workflow fit,planner workflow fit,30000000,30000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,54,APEXRETAIL-INIT-0053,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
apex-retail,Store associate task assistant / expansion 40,COO,COO,,,prove_value,design,,mobile device and policy readiness,mobile device and policy readiness,43000000,43000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,55,APEXRETAIL-INIT-0054,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,none
