tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
apex-retail,Real Estate and Facilities,,Chief Real Estate Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,12,APX-BF-011,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Private Brands,,SVP Private Brands,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,13,APX-BF-012,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Store selling and clienteling,,APX-BF-001,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,14,apex-retail-business_function-2,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,POS checkout and payments,,APX-BF-002,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,15,apex-retail-business_function-3,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Omnichannel order management,,APX-BF-003,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,16,apex-retail-business_function-4,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Inventory availability and ATP,,APX-BF-004,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,17,apex-retail-business_function-5,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Demand forecasting and replenishment,,APX-BF-005,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,18,apex-retail-business_function-6,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Merchandise planning and allocation,,APX-BF-006,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,19,apex-retail-business_function-7,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Pricing and markdown optimization,,APX-BF-007,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,20,apex-retail-business_function-8,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Loyalty personalization,,APX-BF-008,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,21,apex-retail-business_function-9,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Retail media activation,,APX-BF-009,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,22,apex-retail-business_function-10,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Supply chain visibility,,APX-BF-010,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,23,apex-retail-business_function-11,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Labor scheduling,,APX-BF-011,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,24,apex-retail-business_function-12,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Shrink and fraud prevention,,APX-BF-012,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,25,apex-retail-business_function-13,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Returns and reverse logistics,,APX-BF-001,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,26,apex-retail-business_function-14,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Customer service and contact center,,APX-BF-002,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,27,apex-retail-business_function-15,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
