duplicate_item,duplicate_file,mode,classification,real_provider_target,composition_detail,notes
getDecisionReadinessSummary,governed-knowledge-provider.ts,Evidence & gaps,SUPPORTED_BY_COMPOSITION,"getEnterpriseBrief + getEvidenceAndGaps + getRelationships","This is exactly the job of the new 11-value component-readiness enum (Step 4): the assembler computes per-domain/per-decision readiness by combining domain evidenceCoverage, gap severityCounts, and authority/availability states across the three queries. Real contract has no 'decisions' object to summarize directly -- this becomes a readiness-state ROLLUP, not a literal decision count.","This is the single biggest reason the new 11-value enum exists; see VIEW_MODEL_ASSEMBLER_INTERFACES.md."
listDecisions,governed-knowledge-provider.ts,Evidence & gaps,MISSING_CONSUMPTION_PROJECTION,none,n/a,"Same governance.decision gap as listDecisionLanes (GAP-06)."
listDomainCoverage,governed-knowledge-provider.ts,Evidence & gaps,DIRECTLY_SUPPORTED,"getEnterpriseBrief or exploreEntities","DomainReadinessV1[] is returned directly by both getEnterpriseBrief().data.domains and exploreEntities().data.domains.",""
listContradictions,governed-knowledge-provider.ts,Evidence & gaps,MISSING_CONSUMPTION_PROJECTION,none,n/a,"Duplicate's own comment: 'governance.contradiction (GAP-06, not yet a ratified canonical object)'. Real contract signals conflict only coarsely (availabilityState:'conflicting' + ConsumptionWarning{code:'conflict_detected'}), never as a paired statementA/statementB object with sources. A coarse assembler approximation (list entities/metrics currently in 'conflicting' state) is possible but is not the rich two-sided structure the duplicate models; do not build the rich structure without a real projection."
listEvidenceGaps,governed-knowledge-provider.ts,Evidence & gaps,DIRECTLY_SUPPORTED,getEvidenceAndGaps,"EvidenceGapResultV1.gaps (EvidenceGapV1[]) is exactly this.",""
getModuleKnowledgePacket,ava behavior,aVa,UI_VIEW_MODEL_ONLY,"(local state, no new query)","Real aVa flow builds the AvaKnowledgePacket server-side from the UI's already-in-view refs (AvaContextRefs: evidenceRefs/acceptedFactRefs/knownGapRefs/blockedSourceRefs) at the moment `ava.ask()` is called -- there is no separate 'fetch me a packet to display' query in the real contract, by design (aVa is a separate, ephemeral path).","A packet-summary display (e.g. in AvaDock) can be assembled client-side from the same AvaContextRefs already held in shell state plus getEnterpriseBrief domain data -- no provider round-trip needed."
listAvaSuggestedQuestions,governed-knowledge-provider.ts,aVa,DIRECTLY_SUPPORTED,getSuggestedQuestions,"getSuggestedQuestions({mode, focalEntityRefs}) returns SuggestedQuestionV1[] directly.",""
askAva,governed-knowledge-provider.ts,aVa,SUPPORTED_BY_COMPOSITION,"AvaReasoningProvider.ask() + composition of the AvaKnowledgePacket","The .ask() call itself is direct (ava.ask(AvaRequest)); building the AvaKnowledgePacket it needs is composition across whichever of the 8 queries are in scope for the current mode/lens/filters (evidenceRefs, acceptedFactRefs, relationshipEdgeRefs, knownGapRefs, executivePerspectiveRefs, metricQueryHashes).",""
searchKnowledge,governed-knowledge-provider.ts,aVa,DIRECTLY_SUPPORTED,searchKnowledge,"KnowledgeSearchResultV1 returned directly.",""
getAvaProviderStatus,governed-knowledge-provider.ts,aVa,DIRECTLY_SUPPORTED,"ConsumptionRuntime.modelsEnabled / ava.isAvailable()","The real runtime already exposes this properly (factory.ts computes modelsEnabled from scenario/config server-side); no new query or env-var read needed in the assembler.","Duplicate implementation read process.env.ANTHROPIC_API_KEY directly in a client-reachable path, which the real factory-based approach avoids -- a genuine simplification, not just a rename."
getCurrentVsTargetComparison,governed-knowledge-provider.ts,Compare,SUPPORTED_BY_COMPOSITION,"getEntityDetail + getEnterpriseBrief.targets","Brief-level current/target pairs are DIRECTLY_SUPPORTED via TargetV1[] (target/current GovernedMetricValue). A fully general per-arbitrary-entity comparison additionally needs EntityDetailQuery to accept a currentTargetScope, which it does not today.",MISSING_PROVIDER_QUERY residual: "EntityDetailQuery has no currentTargetScope param; only Brief-level targets are guaranteed comparable today. Flagging as a future EntityDetailQuery extension, not building it in PR A."
getMetricTrajectory,governed-knowledge-provider.ts,Compare,MISSING_PROVIDER_QUERY,none,n/a,"GovernedMetricValue carries exactly one `period`, not a time series. consumption.metric_observation_v1 is registered but no UI-facing query exposes historical points. A real time-series query is data-plane/contract work, out of PR A scope."
listDecisionReadinessQuadrant,governed-knowledge-provider.ts,Compare,MISSING_PROVIDER_QUERY,none,n/a,"'valueAtStakePct' has no home in Knowledge's contract by design: per AGENTS.md, Tower read models/metric tables own spend/value/ROI calculations, and Knowledge/graph must never calculate them. This method should not be rebuilt as a native Knowledge query at all -- if needed, it belongs behind a Tower->Knowledge module handoff reference, not an assembler computation."
getModuleHandoffPreview,governed-knowledge-provider.ts,Handoff,DIRECTLY_SUPPORTED,previewModuleHandoff,"ModuleHandoffPreviewV1 returned directly; duplicate's businessProblem/scopeCarried/confirmEnabled/confirmDisabledReason map onto real scope/readinessState/readinessDetail with field renaming only.",""
ReadinessState (5-value enum),types.ts,cross-cutting,UI_VIEW_MODEL_ONLY,"(superseded)","decision_ready/directional/blocked_missing_input/blocked_sources_disagree/not_assessed is a UI/business concept, not a real contract enum.","Superseded by the new 11-value ComponentReadinessState enum defined in this PR's assembler (Step 4): ENABLED_AND_PROVEN | DATA_RECONCILED_BUT_UI_UNPROVEN | SOURCE_INCOMPLETE | PROJECTION_UNAVAILABLE | CUBE_UNPROVEN | WITHHELD | RESTRICTED | STALE | DISPUTED | NOT_MEASURED | NOT_ASSESSED."
AvailabilityState (7-value enum),types.ts,cross-cutting,DUPLICATE_AND_REMOVE,states.ts AvailabilityState (10-value),"Duplicate's 7 values (available/not_loaded/not_measured/withheld/conflicting/stale/not_applicable) are a strict subset of the real 10-value enum (adds candidate/accepted/superseded).","Real enum is authoritative; assembler must consume it directly, never re-declare a narrower local copy."
AuthorityState (5-value enum),types.ts,cross-cutting,DUPLICATE_AND_REMOVE,states.ts AuthorityState (5-value),"Values do NOT line up 1:1: duplicate has accepted/deferred/candidate/disputed/proposed; real has candidate/accepted/published/retired/superseded. 'deferred'/'disputed'/'proposed' have no direct real equivalent.","Assembler must derive UI-facing distinctions like 'disputed' or 'proposed target' from a COMBINATION of real authorityState + availabilityState + ConsumptionWarning + ContentClass ('proposed_target' vs 'approved_target'), never from a reused raw enum value."
FreshnessState (3-value enum),types.ts,cross-cutting,DUPLICATE_AND_REMOVE,states.ts FreshnessState (4-value),"Duplicate (current/stale/unknown) vs real (fresh/stale/not_loaded/not_applicable).",""
ConsumptionEnvelope<T> (local type),types.ts,cross-cutting,DUPLICATE_AND_REMOVE,core.ts ConsumptionEnvelope<T>,"Real envelope is a superset: adds tenantKey/knowledgeBaselineRef/domainPublicationVersions/projectionName/projectionContractVersion/asOf/contentHash on top of data/availabilityState/authorityState/freshnessState/evidence/knownGaps/warnings.",""
BaselineMetadata (local type),types.ts,cross-cutting,DUPLICATE_AND_REMOVE,core.ts BaselineMetadata,"Near-identical purpose; real version is canonical.",""
"EvidenceRef / KnownGapRef (local types)",types.ts,cross-cutting,DUPLICATE_AND_REMOVE,"core.ts EvidenceDescriptor / ConsumptionEnvelope.knownGapRefs","Real EvidenceDescriptor is richer (reviewState, accessRestriction, availabilityState, relatedConflicts, lineage) than the duplicate's EvidenceRef.",""
withheldEnvelope() helper,types.ts,cross-cutting,DUPLICATE_AND_REMOVE,"assembler buildWithheldViewModel() helper (new)","Same 'always construct the not-ready shape the same way' idea, but built against the real envelope + the new 11-value readiness enum instead of the duplicate's local shapes.",""
DesignHarnessProvider / assertDesignHarnessAllowed / createDesignHarnessProvider,design-harness-provider.ts,cross-cutting,DESIGN_HARNESS_ONLY,"fixtures/index.ts assertFixtureNamespace (already real and equivalent)","The real system already has an activation guard that does the same job: assertFixtureNamespace() fails closed for any tenant key not carrying the `fixture-` prefix, which airline-demo-new (the canonical key) never will.","createDesignHarnessProvider is an unimplemented stub (throws) on the duplicate branch, so no illustrative-data leak risk exists today. Recommend PR B drop this parallel guard entirely in favor of the real assertFixtureNamespace/isFoundationPreviewTenantKey pair rather than porting a second one."
createUnreconciledGovernedKnowledgeProvider(),governed-knowledge-provider.ts,cross-cutting,UI_VIEW_MODEL_ONLY,"assembler default withheld behavior (new)","The 'honest all-withheld stub, never fabricate' pattern is good and should be preserved as the assembler's DEFAULT behavior when a real envelope resolves to not_loaded/withheld/candidate, using the new 11-value enum -- not literally reused as a separate provider implementation.",""
