claim_id,claim_kind,label,gate_status,realized_value_language_allowed,reason,required_evidence,evidence_ids,source_fact_ids
tower-claim-meridian-health-08_spend_value-08_spend_value-row-11,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-11-evidence,meridian-health-08_spend_value-08_spend_value-row-11
tower-claim-meridian-health-08_spend_value-08_spend_value-row-12,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-12-evidence,meridian-health-08_spend_value-08_spend_value-row-12
tower-claim-meridian-health-08_spend_value-08_spend_value-row-13,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-13-evidence,meridian-health-08_spend_value-08_spend_value-row-13
tower-claim-meridian-health-08_spend_value-08_spend_value-row-14,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-14-evidence,meridian-health-08_spend_value-08_spend_value-row-14
tower-claim-meridian-health-08_spend_value-08_spend_value-row-15,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-15-evidence,meridian-health-08_spend_value-08_spend_value-row-15
tower-claim-meridian-health-08_spend_value-08_spend_value-row-16,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-16-evidence,meridian-health-08_spend_value-08_spend_value-row-16
tower-claim-meridian-health-08_spend_value-08_spend_value-row-17,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-17-evidence,meridian-health-08_spend_value-08_spend_value-row-17
tower-claim-meridian-health-08_spend_value-08_spend_value-row-18,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-18-evidence,meridian-health-08_spend_value-08_spend_value-row-18
tower-claim-meridian-health-08_spend_value-08_spend_value-row-19,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-19-evidence,meridian-health-08_spend_value-08_spend_value-row-19
tower-claim-meridian-health-08_spend_value-08_spend_value-row-20,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-20-evidence,meridian-health-08_spend_value-08_spend_value-row-20
tower-claim-meridian-health-08_spend_value-08_spend_value-row-21,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-21-evidence,meridian-health-08_spend_value-08_spend_value-row-21
tower-claim-meridian-health-08_spend_value-08_spend_value-row-22,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-22-evidence,meridian-health-08_spend_value-08_spend_value-row-22
tower-claim-meridian-health-08_spend_value-08_spend_value-row-23,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-23-evidence,meridian-health-08_spend_value-08_spend_value-row-23
tower-claim-meridian-health-08_spend_value-08_spend_value-row-24,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-24-evidence,meridian-health-08_spend_value-08_spend_value-row-24
tower-claim-meridian-health-08_spend_value-08_spend_value-row-25,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-25-evidence,meridian-health-08_spend_value-08_spend_value-row-25
tower-claim-meridian-health-08_spend_value-08_spend_value-row-26,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-26-evidence,meridian-health-08_spend_value-08_spend_value-row-26
tower-claim-meridian-health-08_spend_value-08_spend_value-row-27,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-27-evidence,meridian-health-08_spend_value-08_spend_value-row-27
tower-claim-meridian-health-08_spend_value-08_spend_value-row-28,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-28-evidence,meridian-health-08_spend_value-08_spend_value-row-28
tower-claim-meridian-health-08_spend_value-08_spend_value-row-29,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-29-evidence,meridian-health-08_spend_value-08_spend_value-row-29
tower-claim-meridian-health-08_spend_value-08_spend_value-row-30,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-30-evidence,meridian-health-08_spend_value-08_spend_value-row-30
tower-claim-meridian-health-08_spend_value-08_spend_value-row-31,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-31-evidence,meridian-health-08_spend_value-08_spend_value-row-31
tower-claim-meridian-health-08_spend_value-08_spend_value-row-32,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-32-evidence,meridian-health-08_spend_value-08_spend_value-row-32
tower-claim-meridian-health-08_spend_value-08_spend_value-row-33,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-33-evidence,meridian-health-08_spend_value-08_spend_value-row-33
tower-claim-meridian-health-08_spend_value-08_spend_value-row-34,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-34-evidence,meridian-health-08_spend_value-08_spend_value-row-34
tower-claim-meridian-health-08_spend_value-08_spend_value-row-35,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-35-evidence,meridian-health-08_spend_value-08_spend_value-row-35
tower-claim-meridian-health-08_spend_value-08_spend_value-row-36,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-36-evidence,meridian-health-08_spend_value-08_spend_value-row-36
tower-claim-meridian-health-08_spend_value-08_spend_value-row-37,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-37-evidence,meridian-health-08_spend_value-08_spend_value-row-37
tower-claim-meridian-health-08_spend_value-08_spend_value-row-38,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-38-evidence,meridian-health-08_spend_value-08_spend_value-row-38
tower-claim-meridian-health-08_spend_value-08_spend_value-row-39,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-39-evidence,meridian-health-08_spend_value-08_spend_value-row-39
tower-claim-meridian-health-08_spend_value-08_spend_value-row-40,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-40-evidence,meridian-health-08_spend_value-08_spend_value-row-40
tower-claim-meridian-health-08_spend_value-08_spend_value-row-41,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-41-evidence,meridian-health-08_spend_value-08_spend_value-row-41
tower-claim-meridian-health-08_spend_value-08_spend_value-row-42,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-42-evidence,meridian-health-08_spend_value-08_spend_value-row-42
tower-claim-meridian-health-08_spend_value-08_spend_value-row-43,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-43-evidence,meridian-health-08_spend_value-08_spend_value-row-43
tower-claim-meridian-health-08_spend_value-08_spend_value-row-44,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-44-evidence,meridian-health-08_spend_value-08_spend_value-row-44
tower-claim-meridian-health-08_spend_value-08_spend_value-row-45,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-45-evidence,meridian-health-08_spend_value-08_spend_value-row-45
tower-claim-meridian-health-08_spend_value-08_spend_value-row-46,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-46-evidence,meridian-health-08_spend_value-08_spend_value-row-46
tower-claim-meridian-health-08_spend_value-08_spend_value-row-47,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-47-evidence,meridian-health-08_spend_value-08_spend_value-row-47
tower-claim-meridian-health-08_spend_value-08_spend_value-row-48,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-48-evidence,meridian-health-08_spend_value-08_spend_value-row-48
tower-claim-meridian-health-08_spend_value-08_spend_value-row-49,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-49-evidence,meridian-health-08_spend_value-08_spend_value-row-49
tower-claim-meridian-health-08_spend_value-08_spend_value-row-50,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-50-evidence,meridian-health-08_spend_value-08_spend_value-row-50
tower-claim-meridian-health-08_spend_value-08_spend_value-row-51,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-51-evidence,meridian-health-08_spend_value-08_spend_value-row-51
tower-claim-meridian-health-08_spend_value-08_spend_value-row-52,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-52-evidence,meridian-health-08_spend_value-08_spend_value-row-52
tower-claim-meridian-health-08_spend_value-08_spend_value-row-53,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-53-evidence,meridian-health-08_spend_value-08_spend_value-row-53
tower-claim-meridian-health-08_spend_value-08_spend_value-row-54,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-54-evidence,meridian-health-08_spend_value-08_spend_value-row-54
tower-claim-meridian-health-08_spend_value-08_spend_value-row-55,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-55-evidence,meridian-health-08_spend_value-08_spend_value-row-55
tower-claim-meridian-health-08_spend_value-08_spend_value-row-56,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-56-evidence,meridian-health-08_spend_value-08_spend_value-row-56
tower-claim-meridian-health-08_spend_value-08_spend_value-row-57,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-57-evidence,meridian-health-08_spend_value-08_spend_value-row-57
tower-claim-meridian-health-08_spend_value-08_spend_value-row-58,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-58-evidence,meridian-health-08_spend_value-08_spend_value-row-58
tower-claim-meridian-health-08_spend_value-08_spend_value-row-59,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-59-evidence,meridian-health-08_spend_value-08_spend_value-row-59
tower-claim-meridian-health-08_spend_value-08_spend_value-row-60,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-60-evidence,meridian-health-08_spend_value-08_spend_value-row-60
tower-claim-meridian-health-08_spend_value-08_spend_value-row-61,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-61-evidence,meridian-health-08_spend_value-08_spend_value-row-61
tower-claim-meridian-health-08_spend_value-08_spend_value-row-62,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-62-evidence,meridian-health-08_spend_value-08_spend_value-row-62
tower-claim-meridian-health-08_spend_value-08_spend_value-row-63,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-63-evidence,meridian-health-08_spend_value-08_spend_value-row-63
tower-claim-meridian-health-08_spend_value-08_spend_value-row-64,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-64-evidence,meridian-health-08_spend_value-08_spend_value-row-64
tower-claim-meridian-health-08_spend_value-08_spend_value-row-65,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-65-evidence,meridian-health-08_spend_value-08_spend_value-row-65
tower-claim-meridian-health-08_spend_value-08_spend_value-row-66,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-66-evidence,meridian-health-08_spend_value-08_spend_value-row-66
tower-claim-meridian-health-08_spend_value-08_spend_value-row-67,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-67-evidence,meridian-health-08_spend_value-08_spend_value-row-67
tower-claim-meridian-health-08_spend_value-08_spend_value-row-68,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-68-evidence,meridian-health-08_spend_value-08_spend_value-row-68
tower-claim-meridian-health-08_spend_value-08_spend_value-row-69,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-69-evidence,meridian-health-08_spend_value-08_spend_value-row-69
tower-claim-meridian-health-08_spend_value-08_spend_value-row-70,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-70-evidence,meridian-health-08_spend_value-08_spend_value-row-70
tower-claim-meridian-health-08_spend_value-08_spend_value-row-71,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-71-evidence,meridian-health-08_spend_value-08_spend_value-row-71
tower-claim-meridian-health-08_spend_value-08_spend_value-row-72,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-72-evidence,meridian-health-08_spend_value-08_spend_value-row-72
tower-claim-meridian-health-08_spend_value-08_spend_value-row-73,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-73-evidence,meridian-health-08_spend_value-08_spend_value-row-73
tower-claim-meridian-health-08_spend_value-08_spend_value-row-74,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-74-evidence,meridian-health-08_spend_value-08_spend_value-row-74
tower-claim-meridian-health-08_spend_value-08_spend_value-row-75,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-75-evidence,meridian-health-08_spend_value-08_spend_value-row-75
tower-claim-meridian-health-08_spend_value-08_spend_value-row-76,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-76-evidence,meridian-health-08_spend_value-08_spend_value-row-76
tower-claim-meridian-health-08_spend_value-08_spend_value-row-77,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-77-evidence,meridian-health-08_spend_value-08_spend_value-row-77
tower-claim-meridian-health-08_spend_value-08_spend_value-row-78,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-78-evidence,meridian-health-08_spend_value-08_spend_value-row-78
tower-claim-meridian-health-08_spend_value-08_spend_value-row-79,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-79-evidence,meridian-health-08_spend_value-08_spend_value-row-79
tower-claim-meridian-health-08_spend_value-08_spend_value-row-80,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-80-evidence,meridian-health-08_spend_value-08_spend_value-row-80
tower-claim-meridian-health-08_spend_value-08_spend_value-row-81,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-81-evidence,meridian-health-08_spend_value-08_spend_value-row-81
tower-claim-meridian-health-08_spend_value-08_spend_value-row-82,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-82-evidence,meridian-health-08_spend_value-08_spend_value-row-82
tower-claim-meridian-health-08_spend_value-08_spend_value-row-83,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-83-evidence,meridian-health-08_spend_value-08_spend_value-row-83
tower-claim-meridian-health-08_spend_value-08_spend_value-row-84,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-84-evidence,meridian-health-08_spend_value-08_spend_value-row-84
tower-claim-meridian-health-08_spend_value-08_spend_value-row-85,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-85-evidence,meridian-health-08_spend_value-08_spend_value-row-85
tower-claim-meridian-health-08_spend_value-08_spend_value-row-86,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-86-evidence,meridian-health-08_spend_value-08_spend_value-row-86
