category,subcategory,fy2026_planned_usd,fy2025_actual_usd,fy2024_actual_usd,fy2023_actual_usd,run_change_transform,vendor_top,notes
Consulting,Line item 65,11950000,10955000,9960000,9290000,Transform,Microsoft,Budget line used for IT spend graph.
Headcount,Line item 66,12130000,11120000,10110000,9430000,Run,Workday,Budget line used for IT spend graph.
Plan IT,Line item 67,12310000,11285000,10260000,9570000,Change,Innovaccer,Budget line used for IT spend graph.
Provider IT,Line item 68,12490000,11450000,10410000,9710000,Transform,Snowflake,Estimated; chargeback methodology under review
Shared Infrastructure,Line item 69,12670000,11615000,10560000,9850000,Run,ServiceNow,Known unused license pool in 2025 audit
Run,Line item 70,12850000,11780000,10710000,9990000,Change,HealthEdge,Budget line used for IT spend graph.
Change,Line item 71,13030000,11945000,10860000,10130000,Transform,Cohere,Budget line used for IT spend graph.
Transform,Line item 72,13210000,12110000,11010000,10270000,Run,Epic,Budget line used for IT spend graph.
Vendor,Line item 73,13390000,12275000,11160000,10410000,Change,AWS,Budget line used for IT spend graph.
Cloud,Line item 74,13570000,12440000,11310000,10550000,Transform,Microsoft,Budget line used for IT spend graph.
Consulting,Line item 75,13750000,12605000,11460000,10690000,Run,Workday,Budget line used for IT spend graph.
Headcount,Line item 76,13930000,12770000,11610000,10830000,Change,Innovaccer,Budget line used for IT spend graph.
Plan IT,Line item 77,14110000,12935000,11760000,10970000,Transform,Snowflake,Budget line used for IT spend graph.
Provider IT,Line item 78,14290000,13100000,11910000,11110000,Run,ServiceNow,Budget line used for IT spend graph.
Shared Infrastructure,Line item 79,14470000,13265000,12060000,11250000,Change,HealthEdge,Budget line used for IT spend graph.
Run,Line item 80,14650000,13430000,12210000,11390000,Transform,Cohere,Budget line used for IT spend graph.
Change,Line item 81,14830000,13595000,12360000,11530000,Run,Epic,Budget line used for IT spend graph.
