Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
FIRSTCAPITAL-AIGOV-0019,FIRSTCAPITAL-INIT-0019,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0020,FIRSTCAPITAL-INIT-0020,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0021,FIRSTCAPITAL-INIT-0021,3,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0022,FIRSTCAPITAL-INIT-0022,4,medium,required,active,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0023,FIRSTCAPITAL-INIT-0023,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0024,FIRSTCAPITAL-INIT-0024,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0025,FIRSTCAPITAL-INIT-0025,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0026,FIRSTCAPITAL-INIT-0026,2,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0027,FIRSTCAPITAL-INIT-0027,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0028,FIRSTCAPITAL-INIT-0028,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0029,FIRSTCAPITAL-INIT-0029,5,medium,defined,needed,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0030,FIRSTCAPITAL-INIT-0030,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0031,FIRSTCAPITAL-INIT-0031,1,high,required,active,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0032,FIRSTCAPITAL-INIT-0032,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0033,FIRSTCAPITAL-INIT-0033,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0034,FIRSTCAPITAL-INIT-0034,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0035,FIRSTCAPITAL-INIT-0035,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0036,FIRSTCAPITAL-INIT-0036,6,high,defined,active,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0037,FIRSTCAPITAL-INIT-0037,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0038,FIRSTCAPITAL-INIT-0038,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0039,FIRSTCAPITAL-INIT-0039,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0040,FIRSTCAPITAL-INIT-0040,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0041,FIRSTCAPITAL-INIT-0041,5,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0042,FIRSTCAPITAL-INIT-0042,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0043,FIRSTCAPITAL-INIT-0043,1,medium,required,active,needed,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0044,FIRSTCAPITAL-INIT-0044,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0045,FIRSTCAPITAL-INIT-0045,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0046,FIRSTCAPITAL-INIT-0046,4,high,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0047,FIRSTCAPITAL-INIT-0047,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0048,FIRSTCAPITAL-INIT-0048,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0049,FIRSTCAPITAL-INIT-0049,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0050,FIRSTCAPITAL-INIT-0050,2,medium,defined,active,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0051,FIRSTCAPITAL-INIT-0051,3,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0052,FIRSTCAPITAL-INIT-0052,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0053,FIRSTCAPITAL-INIT-0053,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0054,FIRSTCAPITAL-INIT-0054,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0055,FIRSTCAPITAL-INIT-0055,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0056,FIRSTCAPITAL-INIT-0056,2,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0057,FIRSTCAPITAL-INIT-0057,3,medium,defined,needed,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0058,FIRSTCAPITAL-INIT-0058,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0059,FIRSTCAPITAL-INIT-0059,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0060,FIRSTCAPITAL-INIT-0060,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0061,FIRSTCAPITAL-INIT-0061,1,high,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0062,FIRSTCAPITAL-INIT-0062,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0063,FIRSTCAPITAL-INIT-0063,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
