initiative_id,quarter,committed_usd,projected_value_usd,basis
MR-14,2026Q2,650000,900000,portfolio finance workbook
MR-14,2026Q3,675000,900000,portfolio finance workbook
MR-14,2026Q4,700000,900000,portfolio finance workbook
MR-15,2026Q1,993750,1900000,portfolio finance workbook
MR-15,2026Q2,1018750,1900000,portfolio finance workbook
MR-15,2026Q3,1043750,1900000,portfolio finance workbook
MR-15,2026Q4,1068750,1900000,portfolio finance workbook
MR-16,2026Q1,1040000,1980000,portfolio finance workbook
MR-16,2026Q2,1065000,1980000,portfolio finance workbook
MR-16,2026Q3,1090000,1980000,portfolio finance workbook
MR-16,2026Q4,1115000,1980000,portfolio finance workbook
MR-17,2026Q1,1086250,2060000,portfolio finance workbook
MR-17,2026Q2,1111250,2060000,portfolio finance workbook
MR-17,2026Q3,1136250,2060000,portfolio finance workbook
MR-17,2026Q4,1161250,2060000,portfolio finance workbook
MR-18,2026Q1,1132500,2140000,portfolio finance workbook
MR-18,2026Q2,1157500,2140000,portfolio finance workbook
MR-18,2026Q3,1182500,2140000,portfolio finance workbook
MR-18,2026Q4,1207500,2140000,portfolio finance workbook
MR-19,2026Q1,1178750,2220000,portfolio finance workbook
MR-19,2026Q2,1203750,2220000,portfolio finance workbook
MR-19,2026Q3,1228750,2220000,portfolio finance workbook
MR-19,2026Q4,1253750,2220000,portfolio finance workbook
MR-20,2026Q1,1225000,2300000,portfolio finance workbook
MR-20,2026Q2,1250000,2300000,portfolio finance workbook
MR-20,2026Q3,1275000,2300000,portfolio finance workbook
MR-20,2026Q4,1300000,2300000,portfolio finance workbook
MR-21,2026Q1,1271250,2380000,portfolio finance workbook
MR-21,2026Q2,1296250,2380000,portfolio finance workbook
MR-21,2026Q3,1321250,2380000,portfolio finance workbook
MR-21,2026Q4,1346250,2380000,portfolio finance workbook
MR-22,2026Q1,1317500,2460000,portfolio finance workbook
MR-22,2026Q2,1342500,2460000,portfolio finance workbook
MR-22,2026Q3,1367500,2460000,portfolio finance workbook
MR-22,2026Q4,1392500,2460000,portfolio finance workbook
MR-23,2026Q1,1363750,2540000,portfolio finance workbook
MR-23,2026Q2,1388750,2540000,portfolio finance workbook
MR-23,2026Q3,1413750,2540000,portfolio finance workbook
MR-23,2026Q4,1438750,2540000,portfolio finance workbook
MR-24,2026Q1,1410000,2620000,portfolio finance workbook
MR-24,2026Q2,1435000,2620000,portfolio finance workbook
MR-24,2026Q3,1460000,2620000,portfolio finance workbook
MR-24,2026Q4,1485000,2620000,portfolio finance workbook
MR-25,2026Q1,1456250,2700000,portfolio finance workbook
MR-25,2026Q2,1481250,2700000,portfolio finance workbook
MR-25,2026Q3,1506250,2700000,portfolio finance workbook
MR-25,2026Q4,1531250,2700000,portfolio finance workbook
MR-26,2026Q1,1502500,2780000,portfolio finance workbook
MR-26,2026Q2,1527500,2780000,portfolio finance workbook
MR-26,2026Q3,1552500,2780000,portfolio finance workbook
MR-26,2026Q4,1577500,2780000,portfolio finance workbook
MR-27,2026Q1,1548750,2860000,portfolio finance workbook
MR-27,2026Q2,1573750,2860000,portfolio finance workbook
MR-27,2026Q3,1598750,2860000,portfolio finance workbook
MR-27,2026Q4,1623750,2860000,portfolio finance workbook
MR-28,2026Q1,1595000,2940000,portfolio finance workbook
MR-28,2026Q2,1620000,2940000,portfolio finance workbook
MR-28,2026Q3,1645000,2940000,portfolio finance workbook
MR-28,2026Q4,1670000,2940000,portfolio finance workbook
