app_id,fy25_actual_usd,fy26_budget_usd,cost_basis,owner
MR-APP-CITRIX,5600000,5796000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-VMWARE,4400000,4554000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-PURE,3600000,3726000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-AZURE,4100000,4346000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-CONFLUENT,1200000,1242000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-SPLUNK,4800000,4968000,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-CROWDSTRIKE,3900000,4036500,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-ZSCALER,1800000,1863000,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-OKTA,1900000,1966500,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-EPIC-ROVER,1265000,1309275,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-EPIC-HAIKU,895000,926325,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-EPIC-CANTO,-380000,-393300,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-EPIC-SECURE-CHAT,-210000,-217350,finance workbook allocation plus vendor contract mapping,COO
MR-APP-EPIC-BED-PLANNING,-40000,-42400,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-EPIC-TRANSFER-CENTER,130000,137800,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-CLINICAL-DECISION-SUPPORT-LIBRARY,840000,890400,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-NURSING-CARE-PLAN-TOOLKIT,470000,486450,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-EPIC-ROVER-2,640000,662400,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-PHILIPS-INTELLISPACE-CV,415000,429525,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-CASSLING-DR-CONSOLE,45000,46575,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-ROCHE-COBAS-IT,215000,222525,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-NUANCE-POWERSCRIBE,385000,398475,finance workbook allocation plus vendor contract mapping,COO
MR-APP-MMODAL-FLUENCY-DIRECT,555000,574425,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-SECTRA-EDUCATION-PORTAL,725000,750375,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-PHILIPS-INTELLISPACE-CV-2,1435000,1485225,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-CASSLING-DR-CONSOLE-2,-380000,-393300,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-ROCHE-COBAS-IT-2,-210000,-217350,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-WAYSTAR-DENIALS,585000,605475,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-EXPERIAN-HEALTH-ELIGIBILITY,215000,222525,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-FINTHRIVE-CONTRACT-MANAGER,385000,398475,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-REVSPRING-STATEMENTS,555000,574425,finance workbook allocation plus vendor contract mapping,COO
MR-APP-CEDAR-PAY,725000,768500,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-CODING-AUDIT-WORKBENCH,895000,948700,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-WAYSTAR-DENIALS-2,160000,169600,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-EXPERIAN-HEALTH-ELIGIBILITY-2,-210000,-217350,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-FINTHRIVE-CONTRACT-MANAGER-2,-40000,-41400,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-ARCADIA-LEGACY-ANALYTICS,330000,341550,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-STELLAR-HEALTH,-40000,-41400,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-SIGNIFY-INTEGRATION,130000,134550,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-NAVIHEALTH-INTEGRATION,300000,310500,finance workbook allocation plus vendor contract mapping,COO
MR-APP-ACO-ATTRIBUTION-HUB,470000,498200,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-ARCADIA-LEGACY-ANALYTICS-2,640000,678400,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-CONCUR-EXPENSE,500000,517500,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-DOCUSIGN-CLM,130000,134550,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-COUPA-PROCUREMENT-PILOT,300000,310500,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-POWER-BI-ENTERPRISE,470000,486450,finance workbook allocation plus vendor contract mapping,COO
MR-APP-SHAREPOINT-GOVERNANCE-HUB,640000,662400,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-SMARTSHEET-PMO,810000,838350,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-CONCUR-EXPENSE-2,1520000,1573200,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-DOCUSIGN-CLM-2,-295000,-305325,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-COUPA-PROCUREMENT-PILOT-2,-125000,-129375,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-POWER-BI-ENTERPRISE-2,45000,46575,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-SHAREPOINT-GOVERNANCE-HUB-2,215000,222525,finance workbook allocation plus vendor contract mapping,COO
MR-APP-SMARTSHEET-PMO-2,385000,398475,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-CONCUR-EXPENSE-3,1095000,1133325,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-DOCUSIGN-CLM-3,725000,750375,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-ADP-TAX-SERVICES,585000,605475,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-NURSE-FLOAT-POOL-PLANNER,215000,222525,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-TRAVEL-NURSE-AGENCY-PORTAL,385000,398475,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-EMPLOYEE-WELLNESS-PORTAL,555000,574425,finance workbook allocation plus vendor contract mapping,COO
MR-APP-PROVIDER-ONBOARDING-TRACKER,725000,750375,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-TWILIO-NOTIFY,415000,429525,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-GET-WELL-NETWORK,45000,46575,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-RELATECARE-CONTACT-CENTER,215000,222525,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-WAYFINDING-KIOSK-MANAGER,385000,398475,finance workbook allocation plus vendor contract mapping,COO
MR-APP-PATIENT-PORTAL-ANALYTICS,555000,574425,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-IRB-MANAGER,415000,429525,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-COHORT-BUILDER,45000,46575,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-EPIC-RESEARCH-MODULE,215000,222525,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-CISCO-UCS-MANAGER,925000,957375,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-CRIBL-STREAM,555000,574425,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-KAFKA-MSK-BRIDGE,725000,750375,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-SOLARWINDS-NETWORK-MONITOR,895000,926325,finance workbook allocation plus vendor contract mapping,COO
MR-APP-RUBRIK-BACKUP,-380000,-393300,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-PALO-ALTO-FIREWALL-MANAGER,-210000,-217350,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-AZURE-AI-SEARCH,500000,517500,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-SERVICE-MESH-GATEWAY,130000,134550,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-CISCO-UCS-MANAGER-2,300000,310500,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-ACCESS-DB-INVENTORY,45000,46575,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-HOMEGROWN-BED-BOARD,215000,222525,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-LEGACY-FAX-ROUTING,385000,398475,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-COLDFUSION-PHYSICIAN-DIRECTORY,555000,574425,finance workbook allocation plus vendor contract mapping,COO
MR-APP-LEGACY-CLAIMS-ARCHIVE,725000,750375,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-LEGACY-INTERFACE-MAPPER,895000,926325,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-RADIOLOGY-CD-BURNER,-380000,-393300,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-OLD-BADGE-PROVISIONING,-210000,-217350,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-ACCESS-DB-INVENTORY-2,-40000,-41400,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-VISICU-EICU,160000,165600,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-SPOK-SMARTPHONE-ALERTS,-210000,-217350,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-STRYKER-MAKO-PLANNING,-40000,-41400,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-AIDOC-STROKE-TRIAGE,130000,134550,finance workbook allocation plus vendor contract mapping,COO
MR-APP-RAD-AI-IMPRESSIONS,300000,310500,finance workbook allocation plus vendor contract mapping,CISO
MR-APP-HIPPOCRATIC-OUTREACH-SANDBOX,470000,486450,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-VISICU-EICU-2,1180000,1221300,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-SPOK-SMARTPHONE-ALERTS-2,810000,838350,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-STRYKER-MAKO-PLANNING-2,980000,1014300,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-AIDOC-STROKE-TRIAGE-2,-295000,-305325,finance workbook allocation plus vendor contract mapping,CFO
