spend_id,system_id,domain,spend_category,amount_usd,fiscal_year,attestation_status
spend:golden:080,system:golden:provider_network-080,provider_network,Run,3439000,FY2026,Planning estimate
spend:golden:081,system:golden:actuarial-081,actuarial,Run,3480000,FY2026,Finance-attested
spend:golden:082,system:golden:digital_front_door-082,digital_front_door,Transform,3521000,FY2026,Planning estimate
spend:golden:083,system:golden:ai_ml_platform-083,ai_ml_platform,Run,3562000,FY2026,Planning estimate
spend:golden:084,system:golden:clinical_ehr-084,clinical_ehr,Run,3603000,FY2026,Planning estimate
spend:golden:085,system:golden:clinical_reporting-085,clinical_reporting,Transform,3644000,FY2026,Finance-attested
spend:golden:086,system:golden:revenue_cycle-086,revenue_cycle,Run,3685000,FY2026,Planning estimate
spend:golden:087,system:golden:claims_admin-087,claims_admin,Run,3726000,FY2026,Planning estimate
spend:golden:088,system:golden:member_services-088,member_services,Transform,3767000,FY2026,Planning estimate
spend:golden:089,system:golden:population_health-089,population_health,Run,3808000,FY2026,Finance-attested
spend:golden:090,system:golden:data_platform-090,data_platform,Run,3849000,FY2026,Planning estimate
spend:golden:091,system:golden:security-091,security,Transform,3890000,FY2026,Planning estimate
spend:golden:092,system:golden:infrastructure-092,infrastructure,Run,3931000,FY2026,Planning estimate
spend:golden:093,system:golden:hr_workforce-093,hr_workforce,Run,3972000,FY2026,Finance-attested
spend:golden:094,system:golden:finance_erp-094,finance_erp,Transform,4013000,FY2026,Planning estimate
spend:golden:095,system:golden:supply_chain-095,supply_chain,Run,4054000,FY2026,Planning estimate
spend:golden:096,system:golden:telehealth-096,telehealth,Run,4095000,FY2026,Planning estimate
spend:golden:097,system:golden:pharmacy-097,pharmacy,Transform,4136000,FY2026,Finance-attested
spend:golden:098,system:golden:imaging-098,imaging,Run,4177000,FY2026,Planning estimate
spend:golden:099,system:golden:lab-099,lab,Run,218000,FY2026,Planning estimate
spend:golden:100,system:golden:care_management-100,care_management,Transform,259000,FY2026,Planning estimate
spend:golden:101,system:golden:provider_network-101,provider_network,Run,300000,FY2026,Finance-attested
spend:golden:102,system:golden:actuarial-102,actuarial,Run,341000,FY2026,Planning estimate
spend:golden:103,system:golden:digital_front_door-103,digital_front_door,Transform,382000,FY2026,Planning estimate
spend:golden:104,system:golden:ai_ml_platform-104,ai_ml_platform,Run,423000,FY2026,Planning estimate
spend:golden:105,system:golden:clinical_ehr-105,clinical_ehr,Run,464000,FY2026,Finance-attested
spend:golden:106,system:golden:clinical_reporting-106,clinical_reporting,Transform,505000,FY2026,Planning estimate
spend:golden:107,system:golden:revenue_cycle-107,revenue_cycle,Run,546000,FY2026,Planning estimate
spend:golden:108,system:golden:claims_admin-108,claims_admin,Run,587000,FY2026,Planning estimate
spend:golden:109,system:golden:member_services-109,member_services,Transform,628000,FY2026,Finance-attested
spend:golden:110,system:golden:population_health-110,population_health,Run,669000,FY2026,Planning estimate
spend:golden:111,system:golden:data_platform-111,data_platform,Run,710000,FY2026,Planning estimate
spend:golden:112,system:golden:security-112,security,Transform,751000,FY2026,Planning estimate
spend:golden:113,system:golden:infrastructure-113,infrastructure,Run,792000,FY2026,Finance-attested
spend:golden:114,system:golden:hr_workforce-114,hr_workforce,Run,833000,FY2026,Planning estimate
spend:golden:115,system:golden:finance_erp-115,finance_erp,Transform,874000,FY2026,Planning estimate
spend:golden:116,system:golden:supply_chain-116,supply_chain,Run,915000,FY2026,Planning estimate
spend:golden:117,system:golden:telehealth-117,telehealth,Run,956000,FY2026,Finance-attested
spend:golden:118,system:golden:pharmacy-118,pharmacy,Transform,997000,FY2026,Planning estimate
spend:golden:119,system:golden:imaging-119,imaging,Run,1038000,FY2026,Planning estimate
spend:golden:120,system:golden:lab-120,lab,Run,1079000,FY2026,Planning estimate
