dimension_key,dimension_name,column_ordinal,column_name,client_field,required_level,allowed_format,client_instruction,example_value,module_use
v7_00_portfolio_entity_registry,Portfolio Entity Registry,25,validation_status,Validation Status,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,26,data_provider_name,Data Provider Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa synthetic data steward,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,27,data_provider_role,Data Provider Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Synthetic data generation,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,28,source_artifact_type,Source Artifact Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,uploaded_template,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,29,source_artifact_name,Source Artifact Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-holdco-v7-client-template.xlsx,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,30,capture_method,Capture Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,31,extraction_method,Extraction Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,deterministic_generator,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,32,generated_by,Generated By,Recommended,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,scripts/v7/build-lakeshore-holdco-v7.mjs,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,33,validated_by,Validated By,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa QA,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,34,source_validation_status,Source Validation Status,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,35,source_as_of_date,Source As Of Date,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,2026-07-06,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,36,known_gaps,Known Gaps,Required,Text,"State missing client validation, data, or caveats in plain English.","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.","Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,1,client_display_name,Client Display Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore Holdings,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,2,company_name,Company Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore Holdings,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,3,entity_id,Entity Id,Required for holdco clients,Text,Use the stable ID from V7_00_portfolio_entity_registry. Do not type a display name in this field.,LSH-HOLDCO,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,4,entity_name,Entity Name,Required for holdco clients,Text,Use the exact portfolio company or holdco name from the entity registry.,Lakeshore Holdings,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,5,entity_short_name,Entity Short Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,6,entity_scope,Entity Scope,Required for holdco clients,Text,"Classify as holdco, portfolio_company, shared_services, business_unit, region, or site.",holdco,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,7,parent_entity_id,Parent Entity Id,Required for holdco clients,Text,Use the parent entity ID. For operating companies this should be the holdco ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,8,parent_entity_name,Parent Entity Name,Required for holdco clients,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_01_enterprise_profile,Enterprise Profile,9,legal_entity_type,Legal Entity Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,holding_company,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,10,industry,Industry,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Industrial holding company,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,11,sub_industry,Sub Industry,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Diversified industrial, supply chain, foodservice, packaging, field services","Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,12,revenue_usd,Revenue Usd,Required,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",7120000000,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,13,revenue_basis,Revenue Basis,Required,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",portfolio_rollup,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,14,revenue_period_label,Revenue Period Label,Required,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",FY2025,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,15,employee_count,Employee Count,Required,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,11800,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,16,employee_count_basis,Employee Count Basis,Required,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,headcount,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,17,operating_company_breakdown,Operating Company Breakdown,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Northline=1500000000; Brightmark=720000000; Forge & Field=800000000; Great Lakes Pantry=540000000; HarborPoint=1050000000; Riverton=1180000000; Keystone=1330000000,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,18,business_segments,Business Segments,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Diversified industrial, supply chain, foodservice, packaging, field services","Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,19,corporate_it_budget_usd,Corporate It Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",36500000,"Home, Tower, Source"
v7_01_enterprise_profile,Enterprise Profile,20,opco_local_technology_budget_usd,Opco Local Technology Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",154100000,"Home, Tower, Source"
v7_01_enterprise_profile,Enterprise Profile,21,total_direct_technology_budget_usd,Total Direct Technology Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",190600000,"Home, Tower, Source"
v7_01_enterprise_profile,Enterprise Profile,22,technology_budget_basis,Technology Budget Basis,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",total_direct_it,"Home, Tower, Source"
v7_01_enterprise_profile,Enterprise Profile,23,ai_data_budget_usd,Ai Data Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",11800000,"Home, Tower, Source"
v7_01_enterprise_profile,Enterprise Profile,24,primary_cloud,Primary Cloud,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Microsoft Azure; AWS pockets at OpCos,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,25,enterprise_cdp_status,Enterprise Cdp Status,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,planned,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,26,strategic_priorities,Strategic Priorities,Recommended,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,shared services modernization; finance automation; AI-enabled operating model; ERP rationalization; data foundation,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,27,headquarters,Headquarters,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Chicago, IL","Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,28,business_model,Business Model,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Portfolio company rollup with corporate shared services and OpCo-led operations,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,29,cxo_sponsor,Cxo Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Corporate CIO,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,30,finance_sponsor,Finance Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,CFO,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,31,innovation_sponsor,Innovation Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,VP Innovation,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,32,data_provider_name,Data Provider Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa synthetic data steward,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,33,data_provider_role,Data Provider Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Synthetic data generation,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,34,source_artifact_type,Source Artifact Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,uploaded_template,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,35,source_artifact_name,Source Artifact Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-holdco-v7-client-template.xlsx,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,36,capture_method,Capture Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,37,extraction_method,Extraction Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,deterministic_generator,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,38,generated_by,Generated By,Recommended,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,scripts/v7/build-lakeshore-holdco-v7.mjs,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,39,validated_by,Validated By,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa QA,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,40,source_validation_status,Source Validation Status,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,41,source_as_of_date,Source As Of Date,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,2026-07-06,"Home, Intelligence"
v7_01_enterprise_profile,Enterprise Profile,42,known_gaps,Known Gaps,Required,Text,"State missing client validation, data, or caveats in plain English.","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.","Home, Intelligence"
v7_02_business_functions,Business Functions,1,tenant_key,Tenant Key,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-industries,"Home, Intelligence"
v7_02_business_functions,Business Functions,2,entity_id,Entity Id,Required for holdco clients,Text,Use the stable ID from V7_00_portfolio_entity_registry. Do not type a display name in this field.,LSH-HOLDCO,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,3,entity_name,Entity Name,Required for holdco clients,Text,Use the exact portfolio company or holdco name from the entity registry.,Lakeshore Holdings,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,4,entity_short_name,Entity Short Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,5,entity_scope,Entity Scope,Required for holdco clients,Text,"Classify as holdco, portfolio_company, shared_services, business_unit, region, or site.",holdco,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,6,parent_entity_id,Parent Entity Id,Required for holdco clients,Text,Use the parent entity ID. For operating companies this should be the holdco ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,7,parent_entity_name,Parent Entity Name,Required for holdco clients,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_02_business_functions,Business Functions,8,function_id,Function Id,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,FUNC-HOLDCO-001-corporate-treasury,"Home, Intelligence"
v7_02_business_functions,Business Functions,9,function_name,Function Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Corporate Treasury,"Home, Intelligence"
v7_02_business_functions,Business Functions,10,function_category,Function Category,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,finance,"Home, Intelligence"
v7_02_business_functions,Business Functions,11,parent_function_name,Parent Function Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Corporate shared services,"Home, Intelligence"
v7_02_business_functions,Business Functions,12,business_capability,Business Capability,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Corporate Treasury strategy; service delivery; controls; performance management,"Home, Intelligence"
v7_02_business_functions,Business Functions,13,executive_owner,Executive Owner,Required,Text,Use a business-readable role or title that an executive would recognize.,CFO,"Home, Intelligence"
v7_02_business_functions,Business Functions,14,operating_model,Operating Model,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Centralized corporate shared service with OpCo service consumers,"Home, Intelligence"
v7_02_business_functions,Business Functions,15,critical_processes_structured,Critical Processes Structured,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,cash forecasting; liquidity planning; bank connectivity; payment controls,"Home, Intelligence"
v7_02_business_functions,Business Functions,16,primary_kpis_structured,Primary Kpis Structured,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,cycle time; cost per transaction; control exceptions; service satisfaction; automation rate,"Home, Intelligence"
v7_02_business_functions,Business Functions,17,kpi_source_ref,Kpi Source Ref,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,shared-services-kpi-pack.xlsx,"Home, Intelligence"
v7_02_business_functions,Business Functions,18,function_criticality,Function Criticality,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,critical,"Home, Intelligence"
v7_02_business_functions,Business Functions,19,stakeholder_facing_type,Stakeholder Facing Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,internal,"Home, Intelligence"
v7_02_business_functions,Business Functions,20,supporting_system_refs,Supporting System Refs,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Workday HCM; ServiceNow ITSM; Snowflake Enterprise Lake; Microsoft 365 Copilot,"Home, Intelligence, Tower"
v7_02_business_functions,Business Functions,21,supporting_data_asset_refs,Supporting Data Asset Refs,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,enterprise KPI catalog; workforce data; finance data products,"Home, Intelligence"
v7_02_business_functions,Business Functions,22,supporting_vendor_refs,Supporting Vendor Refs,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Microsoft; ServiceNow; Snowflake; Accenture,"Home, Intelligence"
v7_02_business_functions,Business Functions,23,known_business_pain_points,Known Business Pain Points,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Fragmented service ownership, inconsistent OpCo data definitions, manual exception handling","Home, Intelligence"
v7_02_business_functions,Business Functions,24,ai_opportunity_areas,Ai Opportunity Areas,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AI service desk; close automation; cash forecasting; contract review; HR knowledge assistant,"Home, Intelligence"
v7_02_business_functions,Business Functions,25,data_provider_name,Data Provider Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa synthetic data steward,"Home, Intelligence"
v7_02_business_functions,Business Functions,26,data_provider_role,Data Provider Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Synthetic data generation,"Home, Intelligence"
v7_02_business_functions,Business Functions,27,source_artifact_type,Source Artifact Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,uploaded_template,"Home, Intelligence"
v7_02_business_functions,Business Functions,28,source_artifact_name,Source Artifact Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-holdco-v7-client-template.xlsx,"Home, Intelligence"
v7_02_business_functions,Business Functions,29,capture_method,Capture Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_02_business_functions,Business Functions,30,extraction_method,Extraction Method,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,deterministic_generator,"Home, Intelligence"
v7_02_business_functions,Business Functions,31,generated_by,Generated By,Recommended,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,scripts/v7/build-lakeshore-holdco-v7.mjs,"Home, Intelligence"
v7_02_business_functions,Business Functions,32,validated_by,Validated By,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa QA,"Home, Intelligence"
v7_02_business_functions,Business Functions,33,source_validation_status,Source Validation Status,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,synthetic_demo,"Home, Intelligence"
v7_02_business_functions,Business Functions,34,source_as_of_date,Source As Of Date,Required,YYYY-MM-DD,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,2026-07-06,"Home, Intelligence"
v7_02_business_functions,Business Functions,35,known_gaps,Known Gaps,Required,Text,"State missing client validation, data, or caveats in plain English.","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.","Home, Intelligence"
v7_03_org_ownership,Org Ownership,1,tenant_key,Tenant Key,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-industries,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,2,entity_id,Entity Id,Required for holdco clients,Text,Use the stable ID from V7_00_portfolio_entity_registry. Do not type a display name in this field.,LSH-HOLDCO,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,3,entity_name,Entity Name,Required for holdco clients,Text,Use the exact portfolio company or holdco name from the entity registry.,Lakeshore Holdings,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,4,entity_short_name,Entity Short Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,5,entity_scope,Entity Scope,Required for holdco clients,Text,"Classify as holdco, portfolio_company, shared_services, business_unit, region, or site.",holdco,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,6,parent_entity_id,Parent Entity Id,Required for holdco clients,Text,Use the parent entity ID. For operating companies this should be the holdco ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,7,parent_entity_name,Parent Entity Name,Required for holdco clients,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_03_org_ownership,Org Ownership,8,ownership_id,Ownership Id,Required,Text,Use a business-readable role or title that an executive would recognize.,OWN-HOLDCO-001-corporate-cio,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,9,org_unit,Org Unit,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Corporate shared services,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,10,leader_role,Leader Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Corporate CIO,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,11,leader_name,Leader Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Maya Okafor,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,12,reports_to_role,Reports To Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,CEO,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,13,decision_rights,Decision Rights,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Technology strategy, platform standards, AI/data governance","Home, Intelligence"
v7_03_org_ownership,Org Ownership,14,budget_authority,Budget Authority,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",$190.6M direct technology budget influence,"Home, Tower, Source"
v7_03_org_ownership,Org Ownership,15,business_or_it_org,Business Or It Org,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,IT,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,16,escalation_path,Escalation Path,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Corporate CIO -> CEO,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,17,accountable_budget_usd,Accountable Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",190600000,"Home, Tower, Source"
v7_03_org_ownership,Org Ownership,18,team_size_fte,Team Size Fte,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,28,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,19,key_initiatives_owned,Key Initiatives Owned,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,entity-spine data foundation; ERP rationalization; shared-services platform standardization,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,20,data_provider_name,Data Provider Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,AbarVa synthetic data steward,"Home, Intelligence"
v7_03_org_ownership,Org Ownership,21,data_provider_role,Data Provider Role,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Synthetic data generation,"Home, Intelligence"
