tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,data_asset_id,data_asset_name,data_owner,system_of_record,lineage,consumers,quality_score,governance_status
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-001,POS transaction lake,v4_synthetic_pack,APX-IT-007,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-001,POS transaction lake,APX-IT-007,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,partial_lineage
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0012,Customer 360 / loyalty graph / expansion 2,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0012,Customer 360 / loyalty graph / expansion 2,APX-IT-005,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,identity_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0013,Inventory availability product / expansion 3,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,14,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0013,Inventory availability product / expansion 3,APX-IT-004,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,store_accuracy_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0014,Clickstream and search telemetry / expansion 4,v4_synthetic_pack,APX-IT-002,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,15,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0014,Clickstream and search telemetry / expansion 4,APX-IT-002,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,consent_review
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0015,Shrink and exception analytics / expansion 5,v4_synthetic_pack,APX-IT-009,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,16,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0015,Shrink and exception analytics / expansion 5,APX-IT-009,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,camera_pos_link_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0016,Supply chain visibility mart / expansion 6,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,17,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0016,Supply chain visibility mart / expansion 6,APX-IT-004,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,carrier_api_variance
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0017,Merchandise planning cube / expansion 7,v4_synthetic_pack,APX-IT-003,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,18,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0017,Merchandise planning cube / expansion 7,APX-IT-003,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,gold,manual_overrides
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0018,Labor productivity mart / expansion 8,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,19,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0018,Labor productivity mart / expansion 8,APX-IT-006,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,workday_ukg_join
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0019,Vendor funding and margin mart / expansion 9,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,20,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0019,Vendor funding and margin mart / expansion 9,APX-IT-006,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,rebate_lineage_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0020,Retail media performance mart / expansion 10,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,21,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0020,Retail media performance mart / expansion 10,APX-IT-005,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,clean_room_dependency
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0021,POS transaction lake / expansion 11,v4_synthetic_pack,APX-IT-007,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,22,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0021,POS transaction lake / expansion 11,APX-IT-007,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,partial_lineage
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0022,Customer 360 / loyalty graph / expansion 12,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,23,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0022,Customer 360 / loyalty graph / expansion 12,APX-IT-005,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,identity_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0023,Inventory availability product / expansion 13,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,24,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0023,Inventory availability product / expansion 13,APX-IT-004,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,store_accuracy_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0024,Clickstream and search telemetry / expansion 14,v4_synthetic_pack,APX-IT-002,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,25,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0024,Clickstream and search telemetry / expansion 14,APX-IT-002,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,consent_review
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0025,Shrink and exception analytics / expansion 15,v4_synthetic_pack,APX-IT-009,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,26,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0025,Shrink and exception analytics / expansion 15,APX-IT-009,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,camera_pos_link_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0026,Supply chain visibility mart / expansion 16,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,27,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0026,Supply chain visibility mart / expansion 16,APX-IT-004,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,carrier_api_variance
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0027,Merchandise planning cube / expansion 17,v4_synthetic_pack,APX-IT-003,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,28,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0027,Merchandise planning cube / expansion 17,APX-IT-003,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,gold,manual_overrides
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0028,Labor productivity mart / expansion 18,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,29,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0028,Labor productivity mart / expansion 18,APX-IT-006,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,workday_ukg_join
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0029,Vendor funding and margin mart / expansion 19,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,30,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0029,Vendor funding and margin mart / expansion 19,APX-IT-006,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,rebate_lineage_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0030,Retail media performance mart / expansion 20,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,31,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0030,Retail media performance mart / expansion 20,APX-IT-005,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,clean_room_dependency
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0031,POS transaction lake / expansion 21,v4_synthetic_pack,APX-IT-007,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,32,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0031,POS transaction lake / expansion 21,APX-IT-007,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,partial_lineage
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0032,Customer 360 / loyalty graph / expansion 22,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,33,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0032,Customer 360 / loyalty graph / expansion 22,APX-IT-005,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,identity_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0033,Inventory availability product / expansion 23,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,34,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0033,Inventory availability product / expansion 23,APX-IT-004,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,store_accuracy_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0034,Clickstream and search telemetry / expansion 24,v4_synthetic_pack,APX-IT-002,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,35,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0034,Clickstream and search telemetry / expansion 24,APX-IT-002,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,consent_review
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0035,Shrink and exception analytics / expansion 25,v4_synthetic_pack,APX-IT-009,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,36,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0035,Shrink and exception analytics / expansion 25,APX-IT-009,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,camera_pos_link_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0036,Supply chain visibility mart / expansion 26,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,37,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0036,Supply chain visibility mart / expansion 26,APX-IT-004,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,carrier_api_variance
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0037,Merchandise planning cube / expansion 27,v4_synthetic_pack,APX-IT-003,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,38,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0037,Merchandise planning cube / expansion 27,APX-IT-003,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,gold,manual_overrides
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0038,Labor productivity mart / expansion 28,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,39,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0038,Labor productivity mart / expansion 28,APX-IT-006,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,workday_ukg_join
