data_product_id,name,platform,domain,status,trust_score,notes
DP-00001,Cargo Revenue Data Product 0001,Azure Synapse,Commercial,Pilot,88.4,sources=26; consumers=106; volume_tb=716.2; sensitivity=Restricted
DP-00033,Legal & Compliance Data Product 0033,Teradata,Corporate,Deprecated,88.1,sources=12; consumers=95; volume_tb=324.1; sensitivity=Public
DP-00034,Customer 360 Data Product 0034,Snowflake,Customer,Deprecated,84.6,sources=30; consumers=56; volume_tb=667.6; sensitivity=Confidential
DP-00035,Tax Data Product 0035,Snowflake,Corporate,Deprecated,89.5,sources=16; consumers=82; volume_tb=517.3; sensitivity=Confidential
DP-00036,Sales & Agency Data Product 0036,Azure Synapse,Commercial,Beta,63.4,sources=26; consumers=217; volume_tb=1089.9; sensitivity=Restricted
DP-00037,Identity & Access Data Product 0037,Databricks,Security,Production,68.2,sources=16; consumers=102; volume_tb=633.8; sensitivity=Confidential
DP-00038,Crew Tracking Data Product 0038,BigQuery,Operations,Certified,92.2,sources=38; consumers=124; volume_tb=212.1; sensitivity=PII
DP-00039,Airworthiness Data Product 0039,BigQuery,Maintenance,Deprecated,84.5,sources=15; consumers=125; volume_tb=601.8; sensitivity=Public
DP-00040,Security Operations Data Product 0040,Databricks,Security,Deprecated,81.2,sources=26; consumers=162; volume_tb=730.6; sensitivity=Confidential
DP-00041,Treasury Data Product 0041,Fabric,Corporate,Certified,70.9,sources=10; consumers=99; volume_tb=121.9; sensitivity=Public
DP-00042,Reliability Engineering Data Product 0042,Databricks,Maintenance,Production,91.8,sources=25; consumers=18; volume_tb=58.1; sensitivity=Internal
DP-00043,HR & Workforce Data Product 0043,Azure Synapse,Corporate,Production,95.6,sources=16; consumers=188; volume_tb=496.3; sensitivity=Restricted
DP-00044,Fare Filing Data Product 0044,Databricks,Commercial,Certified,85.2,sources=15; consumers=61; volume_tb=587.6; sensitivity=Public
DP-00045,Crew Tracking Data Product 0045,Snowflake,Operations,Beta,71.8,sources=16; consumers=71; volume_tb=1058.7; sensitivity=Confidential
DP-00046,Contact Center Data Product 0046,BigQuery,Customer,Deprecated,85.2,sources=18; consumers=205; volume_tb=20.2; sensitivity=Restricted
DP-00047,Inventory Control Data Product 0047,Fabric,Commercial,Deprecated,94.3,sources=36; consumers=161; volume_tb=1162.5; sensitivity=Restricted
DP-00048,Metadata & Catalog Data Product 0048,Azure Synapse,Data,Certified,88,sources=21; consumers=40; volume_tb=131.9; sensitivity=PII
DP-00049,Flight Dispatch Data Product 0049,BigQuery,Operations,Deprecated,63.7,sources=14; consumers=74; volume_tb=790.9; sensitivity=Confidential
DP-00050,Finance Close Data Product 0050,Databricks,Corporate,Production,71.9,sources=27; consumers=167; volume_tb=662.5; sensitivity=Confidential
DP-00051,Container Platform Data Product 0051,Azure Synapse,Infrastructure,Beta,76.7,sources=28; consumers=16; volume_tb=59.7; sensitivity=PII
DP-00052,Loyalty & FFP Data Product 0052,Databricks,Customer,Pilot,98.7,sources=30; consumers=194; volume_tb=389.8; sensitivity=Internal
DP-00053,Investor Relations Data Product 0053,BigQuery,Corporate,Pilot,97.7,sources=19; consumers=41; volume_tb=94.1; sensitivity=Public
DP-00054,Cloud Landing Zones Data Product 0054,Fabric,Infrastructure,Beta,62.8,sources=2; consumers=64; volume_tb=1188.3; sensitivity=Public
DP-00055,Cargo Revenue Data Product 0055,Snowflake,Commercial,Pilot,64.5,sources=27; consumers=122; volume_tb=1032.9; sensitivity=PII
DP-00056,Investor Relations Data Product 0056,Teradata,Corporate,Pilot,79.4,sources=18; consumers=80; volume_tb=93.9; sensitivity=PII
DP-00057,Ground Operations Data Product 0057,Fabric,Operations,Certified,83.5,sources=38; consumers=162; volume_tb=840.7; sensitivity=Confidential
DP-00058,Network Planning Data Product 0058,Teradata,Commercial,Production,67.6,sources=14; consumers=14; volume_tb=721.8; sensitivity=Confidential
DP-00059,Customer 360 Data Product 0059,Databricks,Customer,Certified,64.1,sources=35; consumers=68; volume_tb=285.9; sensitivity=Restricted
DP-00060,Fuel Management Data Product 0060,Teradata,Operations,Deprecated,94.8,sources=29; consumers=140; volume_tb=634.4; sensitivity=PII
DP-00061,Cargo Revenue Data Product 0061,Databricks,Commercial,Pilot,99,sources=20; consumers=61; volume_tb=611.5; sensitivity=Confidential
DP-00062,Weight & Balance Data Product 0062,Azure Synapse,Operations,Production,79.7,sources=19; consumers=120; volume_tb=825.5; sensitivity=PII
DP-00063,Fare Filing Data Product 0063,Azure Synapse,Commercial,Deprecated,98.2,sources=31; consumers=182; volume_tb=734.4; sensitivity=Restricted
DP-00064,Disruption Communication Data Product 0064,Teradata,Customer,Deprecated,79.3,sources=17; consumers=144; volume_tb=81.3; sensitivity=Confidential
DP-00065,Parts & Inventory Data Product 0065,BigQuery,Maintenance,Certified,70.2,sources=12; consumers=32; volume_tb=68.9; sensitivity=Restricted
DP-00066,Irregular Operations Data Product 0066,Databricks,Operations,Deprecated,69,sources=12; consumers=61; volume_tb=1180; sensitivity=Internal
DP-00067,Payroll Data Product 0067,Snowflake,Corporate,Pilot,70.3,sources=24; consumers=214; volume_tb=51.4; sensitivity=Internal
DP-00068,Ground Operations Data Product 0068,Databricks,Operations,Pilot,80.8,sources=21; consumers=63; volume_tb=251.4; sensitivity=Public
DP-00069,Investor Relations Data Product 0069,Snowflake,Corporate,Deprecated,68.9,sources=37; consumers=138; volume_tb=558; sensitivity=Internal
DP-00070,Line Maintenance Data Product 0070,BigQuery,Maintenance,Certified,95.1,sources=23; consumers=210; volume_tb=304.2; sensitivity=Public
DP-00071,Irregular Operations Data Product 0071,Teradata,Operations,Certified,83.2,sources=27; consumers=187; volume_tb=632.4; sensitivity=Confidential
DP-00072,Threat Detection Data Product 0072,Snowflake,Security,Pilot,88.6,sources=38; consumers=56; volume_tb=1106; sensitivity=PII
DP-00073,Digital Booking Data Product 0073,Snowflake,Customer,Beta,79,sources=39; consumers=108; volume_tb=462.8; sensitivity=Public
DP-00074,Tax Data Product 0074,Snowflake,Corporate,Production,73.8,sources=1; consumers=109; volume_tb=488.5; sensitivity=Restricted
DP-00075,Self-Service Kiosk Data Product 0075,Fabric,Customer,Pilot,97.1,sources=9; consumers=75; volume_tb=466.5; sensitivity=Public
DP-00076,Loyalty & FFP Data Product 0076,Teradata,Customer,Pilot,83.6,sources=38; consumers=91; volume_tb=660.1; sensitivity=PII
DP-00077,Ground Operations Data Product 0077,Teradata,Operations,Beta,84.2,sources=4; consumers=152; volume_tb=258.3; sensitivity=Confidential
DP-00078,HR & Workforce Data Product 0078,Databricks,Corporate,Beta,93.7,sources=18; consumers=20; volume_tb=735.9; sensitivity=PII
DP-00079,Network Planning Data Product 0079,Fabric,Commercial,Beta,75.3,sources=30; consumers=37; volume_tb=136.8; sensitivity=Confidential
DP-00080,ML Platform Data Product 0080,Fabric,Data,Pilot,85.5,sources=25; consumers=33; volume_tb=112; sensitivity=Public
DP-00081,Customer 360 Data Product 0081,Teradata,Customer,Beta,75.1,sources=38; consumers=27; volume_tb=911.8; sensitivity=Public
DP-00082,Loyalty & FFP Data Product 0082,BigQuery,Customer,Certified,79.1,sources=9; consumers=169; volume_tb=1189.5; sensitivity=Public
DP-00083,Lounge Management Data Product 0083,Databricks,Customer,Production,97.4,sources=12; consumers=152; volume_tb=861.7; sensitivity=Internal
DP-00084,Network Planning Data Product 0084,Snowflake,Commercial,Beta,90.5,sources=17; consumers=132; volume_tb=365.7; sensitivity=PII
DP-00085,Disruption Communication Data Product 0085,Azure Synapse,Customer,Certified,79.1,sources=9; consumers=158; volume_tb=541.2; sensitivity=Restricted
DP-00086,Inventory Control Data Product 0086,BigQuery,Commercial,Certified,87.9,sources=27; consumers=138; volume_tb=1071.1; sensitivity=Restricted
DP-00087,Ground Operations Data Product 0087,Fabric,Operations,Production,88,sources=16; consumers=5; volume_tb=677.9; sensitivity=Restricted
DP-00088,Tax Data Product 0088,Azure Synapse,Corporate,Certified,73.4,sources=22; consumers=56; volume_tb=600.8; sensitivity=Public
DP-00089,Mobile Experience Data Product 0089,Databricks,Customer,Deprecated,75.8,sources=17; consumers=210; volume_tb=16.1; sensitivity=Confidential
DP-00090,Finance Close Data Product 0090,Teradata,Corporate,Certified,83.2,sources=10; consumers=40; volume_tb=182.9; sensitivity=PII
DP-00091,Security Operations Data Product 0091,Fabric,Security,Production,94.4,sources=3; consumers=51; volume_tb=97; sensitivity=Public
DP-00092,Maintenance Planning Data Product 0092,Azure Synapse,Maintenance,Production,65.5,sources=33; consumers=131; volume_tb=477; sensitivity=Restricted
DP-00093,Metadata & Catalog Data Product 0093,BigQuery,Data,Beta,70.3,sources=1; consumers=82; volume_tb=373.1; sensitivity=Restricted
DP-00094,HR & Workforce Data Product 0094,Fabric,Corporate,Beta,76.9,sources=29; consumers=13; volume_tb=506.4; sensitivity=Public
DP-00095,Contact Center Data Product 0095,Teradata,Customer,Deprecated,95.7,sources=26; consumers=12; volume_tb=920.3; sensitivity=Internal
DP-00096,Sales & Agency Data Product 0096,BigQuery,Commercial,Certified,66.5,sources=25; consumers=9; volume_tb=818.1; sensitivity=Public
DP-00097,Finance Close Data Product 0097,Teradata,Corporate,Pilot,91.8,sources=27; consumers=43; volume_tb=79.7; sensitivity=Confidential
DP-00098,Heavy Maintenance Data Product 0098,Snowflake,Maintenance,Certified,77.1,sources=27; consumers=85; volume_tb=847.2; sensitivity=Internal
DP-00099,Disaster Recovery Data Product 0099,Snowflake,Infrastructure,Beta,69.6,sources=29; consumers=142; volume_tb=1062.2; sensitivity=Internal
DP-00100,Finance Close Data Product 0100,Databricks,Corporate,Certified,75.7,sources=32; consumers=72; volume_tb=563.3; sensitivity=Confidential
DP-00101,Sales & Agency Data Product 0101,Fabric,Commercial,Production,73.8,sources=14; consumers=122; volume_tb=768.5; sensitivity=Confidential
DP-00102,Mainframe Platform Data Product 0102,Fabric,Infrastructure,Certified,84.3,sources=40; consumers=172; volume_tb=941.7; sensitivity=Public
DP-00103,Inventory Control Data Product 0103,BigQuery,Commercial,Deprecated,85,sources=8; consumers=174; volume_tb=162; sensitivity=Public
DP-00104,Data Quality Data Product 0104,Fabric,Data,Certified,66.8,sources=38; consumers=174; volume_tb=592.1; sensitivity=PII
DP-00105,Data Engineering Data Product 0105,BigQuery,Data,Deprecated,85.9,sources=23; consumers=71; volume_tb=1036.4; sensitivity=Internal
DP-00106,Security Operations Data Product 0106,Fabric,Security,Certified,67.4,sources=34; consumers=74; volume_tb=936.1; sensitivity=Public
DP-00107,Sales & Agency Data Product 0107,BigQuery,Commercial,Beta,77.5,sources=22; consumers=189; volume_tb=4; sensitivity=PII
DP-00108,Slot Management Data Product 0108,Fabric,Operations,Deprecated,84.7,sources=33; consumers=197; volume_tb=289.1; sensitivity=Restricted
DP-00109,Engine Overhaul Data Product 0109,Azure Synapse,Maintenance,Deprecated,88.4,sources=17; consumers=135; volume_tb=986.3; sensitivity=Restricted
DP-00110,Codeshare Management Data Product 0110,Databricks,Commercial,Certified,68.9,sources=39; consumers=15; volume_tb=1153.2; sensitivity=Internal
DP-00111,Data Sharing Data Product 0111,BigQuery,Data,Certified,70.5,sources=33; consumers=56; volume_tb=170; sensitivity=Confidential
DP-00112,Cloud Security Data Product 0112,BigQuery,Security,Production,90.5,sources=29; consumers=218; volume_tb=211.7; sensitivity=Public
DP-00113,Metadata & Catalog Data Product 0113,BigQuery,Data,Deprecated,94.1,sources=20; consumers=124; volume_tb=653.4; sensitivity=Public
DP-00114,Endpoint Security Data Product 0114,Teradata,Security,Beta,66.6,sources=17; consumers=8; volume_tb=935; sensitivity=PII
DP-00115,Weight & Balance Data Product 0115,Databricks,Operations,Deprecated,91.6,sources=33; consumers=134; volume_tb=754.4; sensitivity=Confidential
DP-00116,Weight & Balance Data Product 0116,BigQuery,Operations,Pilot,61.8,sources=17; consumers=195; volume_tb=1064.4; sensitivity=Internal
DP-00117,Digital Booking Data Product 0117,Azure Synapse,Customer,Production,77.3,sources=5; consumers=47; volume_tb=941.4; sensitivity=PII
DP-00118,Procurement Data Product 0118,Fabric,Corporate,Pilot,68.7,sources=35; consumers=85; volume_tb=384.5; sensitivity=PII
DP-00119,Parts & Inventory Data Product 0119,Databricks,Maintenance,Beta,77,sources=27; consumers=104; volume_tb=200.8; sensitivity=Restricted
DP-00120,Ancillary Revenue Data Product 0120,Databricks,Commercial,Production,60.7,sources=11; consumers=63; volume_tb=672.4; sensitivity=PII
DP-00121,Mobile Experience Data Product 0121,Databricks,Customer,Pilot,79.2,sources=3; consumers=110; volume_tb=1099.5; sensitivity=Public
DP-00122,Ground Operations Data Product 0122,Teradata,Operations,Certified,76.1,sources=18; consumers=103; volume_tb=1012.3; sensitivity=Public
DP-00123,HR & Workforce Data Product 0123,Azure Synapse,Corporate,Deprecated,61.2,sources=36; consumers=72; volume_tb=748.3; sensitivity=Confidential
DP-00124,Tax Data Product 0124,BigQuery,Corporate,Beta,65.6,sources=11; consumers=188; volume_tb=597.2; sensitivity=Restricted
DP-00125,Finance Close Data Product 0125,Snowflake,Corporate,Certified,83,sources=40; consumers=203; volume_tb=467.9; sensitivity=Public
DP-00126,Crew Scheduling Data Product 0126,Fabric,Operations,Beta,92.9,sources=19; consumers=74; volume_tb=579.7; sensitivity=PII
DP-00127,Disruption Communication Data Product 0127,Fabric,Customer,Pilot,79.7,sources=27; consumers=106; volume_tb=990.4; sensitivity=Internal
DP-00128,Container Platform Data Product 0128,Fabric,Infrastructure,Beta,95.3,sources=29; consumers=18; volume_tb=1049.9; sensitivity=Confidential
DP-00129,Master Data Management Data Product 0129,BigQuery,Data,Pilot,83.7,sources=6; consumers=206; volume_tb=55.4; sensitivity=Internal
DP-00130,Master Data Management Data Product 0130,BigQuery,Data,Certified,60.4,sources=7; consumers=120; volume_tb=671.9; sensitivity=Confidential
DP-00131,Mobile Experience Data Product 0131,Databricks,Customer,Pilot,60.9,sources=16; consumers=68; volume_tb=266.3; sensitivity=PII
DP-00132,Cargo Revenue Data Product 0132,Fabric,Commercial,Pilot,97.5,sources=13; consumers=210; volume_tb=986.1; sensitivity=PII
DP-00133,Cargo Revenue Data Product 0133,BigQuery,Commercial,Pilot,65.4,sources=9; consumers=5; volume_tb=751; sensitivity=Confidential
DP-00134,Maintenance Planning Data Product 0134,Fabric,Maintenance,Deprecated,86.5,sources=36; consumers=118; volume_tb=118.9; sensitivity=Internal
DP-00135,Slot Management Data Product 0135,Snowflake,Operations,Beta,73,sources=21; consumers=65; volume_tb=366.5; sensitivity=PII
DP-00136,Maintenance Planning Data Product 0136,Teradata,Maintenance,Beta,91.5,sources=34; consumers=54; volume_tb=283.3; sensitivity=PII
DP-00137,Master Data Management Data Product 0137,Teradata,Data,Pilot,88.3,sources=8; consumers=17; volume_tb=84.7; sensitivity=Public
DP-00138,Compute Platform Data Product 0138,Teradata,Infrastructure,Pilot,97.5,sources=21; consumers=39; volume_tb=33.6; sensitivity=Restricted
DP-00139,Disruption Recovery Data Product 0139,Snowflake,Operations,Beta,88.1,sources=12; consumers=26; volume_tb=19.7; sensitivity=PII
DP-00140,Inventory Control Data Product 0140,Fabric,Commercial,Certified,85.1,sources=37; consumers=31; volume_tb=27.1; sensitivity=Internal
DP-00141,Business Intelligence Data Product 0141,Fabric,Data,Production,72,sources=1; consumers=49; volume_tb=340.8; sensitivity=PII
DP-00142,Reliability Engineering Data Product 0142,Databricks,Maintenance,Certified,67.4,sources=22; consumers=14; volume_tb=1169.2; sensitivity=Internal
DP-00143,Ground Operations Data Product 0143,Fabric,Operations,Production,63.5,sources=25; consumers=96; volume_tb=302.6; sensitivity=PII
DP-00144,Reliability Engineering Data Product 0144,Teradata,Maintenance,Production,60.2,sources=28; consumers=132; volume_tb=188.6; sensitivity=Restricted
DP-00145,Slot Management Data Product 0145,Snowflake,Operations,Production,68.4,sources=33; consumers=14; volume_tb=910.2; sensitivity=PII
DP-00146,Fuel Management Data Product 0146,Databricks,Operations,Beta,93.2,sources=14; consumers=12; volume_tb=991.3; sensitivity=Confidential
DP-00147,Fuel Management Data Product 0147,Azure Synapse,Operations,Production,80.6,sources=37; consumers=125; volume_tb=657.2; sensitivity=Internal
DP-00148,Loyalty & FFP Data Product 0148,Fabric,Customer,Pilot,71.7,sources=38; consumers=132; volume_tb=1133.1; sensitivity=PII
DP-00149,Endpoint Security Data Product 0149,BigQuery,Security,Pilot,81.4,sources=17; consumers=92; volume_tb=886.6; sensitivity=Public
DP-00150,Lounge Management Data Product 0150,Azure Synapse,Customer,Production,81.3,sources=25; consumers=162; volume_tb=704.1; sensitivity=Internal
DP-00151,Tax Data Product 0151,Databricks,Corporate,Certified,75.3,sources=23; consumers=168; volume_tb=1153.5; sensitivity=Restricted
DP-00152,Reliability Engineering Data Product 0152,BigQuery,Maintenance,Production,66.1,sources=24; consumers=25; volume_tb=728.6; sensitivity=PII
DP-00153,Loyalty & FFP Data Product 0153,Teradata,Customer,Beta,67.9,sources=20; consumers=60; volume_tb=1008.6; sensitivity=Internal
DP-00154,Treasury Data Product 0154,Databricks,Corporate,Production,64.9,sources=23; consumers=195; volume_tb=89.7; sensitivity=Restricted
DP-00155,Maintenance Planning Data Product 0155,BigQuery,Maintenance,Production,72.2,sources=11; consumers=167; volume_tb=365.6; sensitivity=Internal
DP-00156,Self-Service Kiosk Data Product 0156,BigQuery,Customer,Certified,61.6,sources=20; consumers=215; volume_tb=1127.9; sensitivity=Restricted
DP-00157,Vulnerability Management Data Product 0157,BigQuery,Security,Production,79.3,sources=20; consumers=56; volume_tb=316.7; sensitivity=Internal
DP-00158,Cargo Revenue Data Product 0158,BigQuery,Commercial,Production,64.3,sources=31; consumers=164; volume_tb=256.7; sensitivity=Internal
DP-00159,HR & Workforce Data Product 0159,Fabric,Corporate,Certified,90,sources=22; consumers=138; volume_tb=843.6; sensitivity=Confidential
DP-00160,ML Platform Data Product 0160,Fabric,Data,Deprecated,78.9,sources=21; consumers=1; volume_tb=601.6; sensitivity=Restricted
DP-00161,Airworthiness Data Product 0161,Teradata,Maintenance,Beta,75.2,sources=3; consumers=101; volume_tb=39.2; sensitivity=Restricted
DP-00162,Self-Service Kiosk Data Product 0162,Fabric,Customer,Deprecated,65.6,sources=28; consumers=205; volume_tb=335.3; sensitivity=Public
DP-00163,Reliability Engineering Data Product 0163,Snowflake,Maintenance,Beta,69.4,sources=39; consumers=114; volume_tb=919.2; sensitivity=PII
DP-00164,Threat Detection Data Product 0164,Azure Synapse,Security,Certified,92.3,sources=23; consumers=194; volume_tb=294.3; sensitivity=Public
DP-00165,Inventory Control Data Product 0165,Snowflake,Commercial,Pilot,86.1,sources=12; consumers=164; volume_tb=766.5; sensitivity=Restricted
DP-00166,Observability Data Product 0166,Databricks,Infrastructure,Deprecated,68.6,sources=2; consumers=93; volume_tb=174.2; sensitivity=Restricted
DP-00167,Master Data Management Data Product 0167,BigQuery,Data,Certified,85.6,sources=34; consumers=98; volume_tb=3.7; sensitivity=Restricted
DP-00168,Crew Tracking Data Product 0168,Databricks,Operations,Certified,82.5,sources=36; consumers=206; volume_tb=112.6; sensitivity=PII
DP-00169,Ground Operations Data Product 0169,Databricks,Operations,Beta,78,sources=4; consumers=28; volume_tb=149.4; sensitivity=Confidential
DP-00170,Irregular Operations Data Product 0170,BigQuery,Operations,Certified,95.9,sources=14; consumers=164; volume_tb=763.7; sensitivity=Public
DP-00171,Reliability Engineering Data Product 0171,Fabric,Maintenance,Pilot,72.7,sources=37; consumers=95; volume_tb=615.3; sensitivity=Restricted
DP-00172,Customer 360 Data Product 0172,Teradata,Customer,Beta,90.7,sources=18; consumers=165; volume_tb=864.3; sensitivity=PII
DP-00173,Data Quality Data Product 0173,Databricks,Data,Production,96.3,sources=13; consumers=115; volume_tb=854.6; sensitivity=Confidential
DP-00174,Gate Management Data Product 0174,Azure Synapse,Operations,Beta,80.6,sources=5; consumers=69; volume_tb=675.9; sensitivity=Confidential
DP-00175,Network Planning Data Product 0175,Teradata,Commercial,Certified,61.1,sources=16; consumers=11; volume_tb=255.7; sensitivity=PII
DP-00176,Investor Relations Data Product 0176,Azure Synapse,Corporate,Pilot,76.2,sources=5; consumers=26; volume_tb=195.2; sensitivity=Confidential
DP-00177,Metadata & Catalog Data Product 0177,Teradata,Data,Pilot,81.9,sources=34; consumers=196; volume_tb=7.3; sensitivity=Confidential
DP-00178,Customer 360 Data Product 0178,Snowflake,Customer,Deprecated,96.8,sources=18; consumers=78; volume_tb=743.9; sensitivity=Public
DP-00179,End User Computing Data Product 0179,Azure Synapse,Infrastructure,Beta,65.7,sources=16; consumers=36; volume_tb=1192; sensitivity=Restricted
DP-00180,Security Operations Data Product 0180,Azure Synapse,Security,Beta,72.1,sources=6; consumers=15; volume_tb=339.7; sensitivity=Public
DP-00181,Data Engineering Data Product 0181,Teradata,Data,Production,68.3,sources=40; consumers=111; volume_tb=572; sensitivity=Internal
DP-00182,Treasury Data Product 0182,Azure Synapse,Corporate,Production,64.3,sources=33; consumers=96; volume_tb=53.9; sensitivity=Confidential
DP-00183,Irregular Operations Data Product 0183,BigQuery,Operations,Certified,72.3,sources=18; consumers=43; volume_tb=420.2; sensitivity=Public
DP-00184,Crew Scheduling Data Product 0184,Azure Synapse,Operations,Beta,76,sources=3; consumers=183; volume_tb=172.3; sensitivity=Restricted
DP-00185,Container Platform Data Product 0185,Teradata,Infrastructure,Pilot,77,sources=31; consumers=93; volume_tb=226; sensitivity=Restricted
DP-00186,Legal & Compliance Data Product 0186,Azure Synapse,Corporate,Pilot,70,sources=26; consumers=78; volume_tb=226.2; sensitivity=Public
DP-00187,Contact Center Data Product 0187,Databricks,Customer,Production,70.1,sources=15; consumers=58; volume_tb=233.9; sensitivity=Confidential
DP-00188,Procurement Data Product 0188,BigQuery,Corporate,Beta,68.4,sources=14; consumers=95; volume_tb=898.1; sensitivity=Confidential
DP-00189,MRO Procurement Data Product 0189,Databricks,Maintenance,Certified,76.9,sources=12; consumers=107; volume_tb=479.4; sensitivity=Confidential
DP-00190,Engine Overhaul Data Product 0190,Azure Synapse,Maintenance,Certified,86.6,sources=3; consumers=193; volume_tb=945.1; sensitivity=Internal
DP-00191,Revenue Management Data Product 0191,Azure Synapse,Commercial,Deprecated,70.6,sources=9; consumers=16; volume_tb=957.7; sensitivity=Confidential
DP-00192,Crew Scheduling Data Product 0192,BigQuery,Operations,Certified,71,sources=27; consumers=68; volume_tb=915.6; sensitivity=Confidential
DP-00193,Customer 360 Data Product 0193,Databricks,Customer,Production,85.8,sources=40; consumers=197; volume_tb=264.7; sensitivity=Internal
DP-00194,Heavy Maintenance Data Product 0194,Teradata,Maintenance,Deprecated,65.9,sources=30; consumers=210; volume_tb=1176.7; sensitivity=PII
DP-00195,Real-time Streaming Data Product 0195,Teradata,Data,Beta,73.8,sources=28; consumers=181; volume_tb=462.1; sensitivity=PII
DP-00196,Digital Booking Data Product 0196,Snowflake,Customer,Production,85.4,sources=18; consumers=110; volume_tb=122.2; sensitivity=Public
DP-00197,Customer 360 Data Product 0197,Teradata,Customer,Pilot,64.1,sources=37; consumers=166; volume_tb=692.7; sensitivity=Confidential
