incident_id,opened_at,severity,affected_app_id,mttr_hours,root_cause,notes
MR-INC-049,2026-02-21,sev1,MR-APP-SPLUNK,1.5,capacity,90-day incident sample.
MR-INC-050,2026-02-22,sev2,MR-APP-CROWDSTRIKE,2.25,workflow_config,90-day incident sample.
MR-INC-051,2026-02-23,sev3,MR-APP-ZSCALER,3,interface_error,90-day incident sample.
MR-INC-052,2026-02-24,sev3,MR-APP-OKTA,3.75,vendor_change,90-day incident sample.
MR-INC-053,2026-02-25,sev1,MR-APP-EPIC-ROVER,4.5,certificate_expiry,90-day incident sample.
MR-INC-054,2026-02-26,sev2,MR-APP-EPIC-HAIKU,5.25,capacity,90-day incident sample.
MR-INC-055,2026-02-27,sev3,MR-APP-EPIC-CANTO,6,workflow_config,90-day incident sample.
MR-INC-056,2026-02-28,sev3,MR-APP-EPIC-SECURE-CHAT,6.75,interface_error,90-day incident sample.
MR-INC-057,2026-02-01,sev1,MR-APP-EPIC-BED-PLANNING,7.5,vendor_change,90-day incident sample.
MR-INC-058,2026-02-02,sev2,MR-APP-EPIC-TRANSFER-CENTER,8.25,certificate_expiry,90-day incident sample.
MR-INC-059,2026-02-03,sev3,MR-APP-CLINICAL-DECISION-SUPPORT-LIBRARY,9,capacity,90-day incident sample.
MR-INC-060,2026-02-04,sev3,MR-APP-NURSING-CARE-PLAN-TOOLKIT,9.75,workflow_config,90-day incident sample.
MR-INC-061,2026-02-05,sev1,MR-APP-EPIC-ROVER-2,1.5,interface_error,90-day incident sample.
MR-INC-062,2026-02-06,sev2,MR-APP-PHILIPS-INTELLISPACE-CV,2.25,vendor_change,90-day incident sample.
MR-INC-063,2026-02-07,sev3,MR-APP-CASSLING-DR-CONSOLE,3,certificate_expiry,90-day incident sample.
MR-INC-064,2026-02-08,sev3,MR-APP-ROCHE-COBAS-IT,3.75,capacity,90-day incident sample.
MR-INC-065,2026-02-09,sev1,MR-APP-NUANCE-POWERSCRIBE,4.5,workflow_config,90-day incident sample.
MR-INC-066,2026-02-10,sev2,MR-APP-MMODAL-FLUENCY-DIRECT,5.25,interface_error,90-day incident sample.
MR-INC-067,2026-02-11,sev3,MR-APP-SECTRA-EDUCATION-PORTAL,6,vendor_change,90-day incident sample.
MR-INC-068,2026-02-12,sev3,MR-APP-PHILIPS-INTELLISPACE-CV-2,6.75,certificate_expiry,90-day incident sample.
MR-INC-069,2026-02-13,sev1,MR-APP-CASSLING-DR-CONSOLE-2,7.5,capacity,90-day incident sample.
MR-INC-070,2026-02-14,sev2,MR-APP-ROCHE-COBAS-IT-2,8.25,workflow_config,90-day incident sample.
MR-INC-071,2026-02-15,sev3,MR-APP-WAYSTAR-DENIALS,9,interface_error,90-day incident sample.
MR-INC-072,2026-02-16,sev3,MR-APP-EXPERIAN-HEALTH-ELIGIBILITY,9.75,vendor_change,90-day incident sample.
MR-INC-073,2026-02-17,sev1,MR-APP-FINTHRIVE-CONTRACT-MANAGER,1.5,certificate_expiry,90-day incident sample.
MR-INC-074,2026-02-18,sev2,MR-APP-REVSPRING-STATEMENTS,2.25,capacity,90-day incident sample.
MR-INC-075,2026-02-19,sev3,MR-APP-CEDAR-PAY,3,workflow_config,90-day incident sample.
MR-INC-076,2026-02-20,sev3,MR-APP-CODING-AUDIT-WORKBENCH,3.75,interface_error,90-day incident sample.
MR-INC-077,2026-02-21,sev1,MR-APP-WAYSTAR-DENIALS-2,4.5,vendor_change,90-day incident sample.
MR-INC-078,2026-02-22,sev2,MR-APP-EXPERIAN-HEALTH-ELIGIBILITY-2,5.25,certificate_expiry,90-day incident sample.
MR-INC-079,2026-02-23,sev3,MR-APP-FINTHRIVE-CONTRACT-MANAGER-2,6,capacity,90-day incident sample.
MR-INC-080,2026-02-24,sev3,MR-APP-ARCADIA-LEGACY-ANALYTICS,6.75,workflow_config,90-day incident sample.
MR-INC-081,2026-02-25,sev1,MR-APP-STELLAR-HEALTH,7.5,interface_error,90-day incident sample.
MR-INC-082,2026-02-26,sev2,MR-APP-SIGNIFY-INTEGRATION,8.25,vendor_change,90-day incident sample.
MR-INC-083,2026-02-27,sev3,MR-APP-NAVIHEALTH-INTEGRATION,9,certificate_expiry,90-day incident sample.
MR-INC-084,2026-02-28,sev3,MR-APP-ACO-ATTRIBUTION-HUB,9.75,capacity,90-day incident sample.
MR-INC-085,2026-02-01,sev1,MR-APP-ARCADIA-LEGACY-ANALYTICS-2,1.5,workflow_config,90-day incident sample.
MR-INC-086,2026-02-02,sev2,MR-APP-CONCUR-EXPENSE,2.25,interface_error,90-day incident sample.
MR-INC-087,2026-02-03,sev3,MR-APP-DOCUSIGN-CLM,3,vendor_change,90-day incident sample.
MR-INC-088,2026-02-04,sev3,MR-APP-COUPA-PROCUREMENT-PILOT,3.75,certificate_expiry,90-day incident sample.
MR-INC-089,2026-02-05,sev1,MR-APP-POWER-BI-ENTERPRISE,4.5,capacity,90-day incident sample.
MR-INC-090,2026-02-06,sev2,MR-APP-SHAREPOINT-GOVERNANCE-HUB,5.25,workflow_config,90-day incident sample.
