tenant_key,canonical_evidence_id,evidence_id,related_object_type,related_object_id,evidence_type,evidence_name,owner_role,freshness_state,confidence,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,EVIDENCE:EVID-PRJ-028,EVID-PRJ-028,project,PRJ-MER-028,portfolio_record,prior authorization clinical policy assistant 1 portfolio approval record,VP Claims Operations,current,medium,26_evidence_register.csv,29,PMO / IT portfolio tracker,PRJ-MER-028,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-029,EVID-PRJ-029,project,PRJ-MER-029,portfolio_record,contact center agent assist rollout 1 portfolio approval record,SVP Member Services,current,medium,26_evidence_register.csv,30,PMO / IT portfolio tracker,PRJ-MER-029,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-030,EVID-PRJ-030,project,PRJ-MER-030,portfolio_record,quality measure performance analytics 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,31,PMO / IT portfolio tracker,PRJ-MER-030,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-031,EVID-PRJ-031,project,PRJ-MER-031,portfolio_record,ambulatory access waitlist optimization 1 portfolio approval record,"President, Medical Group",current,medium,26_evidence_register.csv,32,PMO / IT portfolio tracker,PRJ-MER-031,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-032,EVID-PRJ-032,project,PRJ-MER-032,portfolio_record,enterprise AI evaluation harness 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,33,PMO / IT portfolio tracker,PRJ-MER-032,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-033,EVID-PRJ-033,project,PRJ-MER-033,portfolio_record,provider data matching remediation 1 portfolio approval record,VP Provider Operations,current,medium,26_evidence_register.csv,34,PMO / IT portfolio tracker,PRJ-MER-033,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-034,EVID-PRJ-034,project,PRJ-MER-034,portfolio_record,digital front door personalization wave 1 portfolio approval record,Chief Digital Officer,current,medium,26_evidence_register.csv,35,PMO / IT portfolio tracker,PRJ-MER-034,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-035,EVID-PRJ-035,project,PRJ-MER-035,portfolio_record,engineering Copilot controlled rollout 1 portfolio approval record,Chief Architect,current,medium,26_evidence_register.csv,36,PMO / IT portfolio tracker,PRJ-MER-035,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-036,EVID-PRJ-036,project,PRJ-MER-036,portfolio_record,HR workforce analytics modernization 1 portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,37,PMO / IT portfolio tracker,PRJ-MER-036,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-037,EVID-PRJ-037,project,PRJ-MER-037,portfolio_record,claims appeal response assistant 1 portfolio approval record,VP Claims Operations,current,medium,26_evidence_register.csv,38,PMO / IT portfolio tracker,PRJ-MER-037,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-038,EVID-PRJ-038,project,PRJ-MER-038,portfolio_record,regulated AI sandbox foundation 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,39,PMO / IT portfolio tracker,PRJ-MER-038,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-039,EVID-PRJ-039,project,PRJ-MER-039,portfolio_record,business glossary and value lineage cleanup 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,40,PMO / IT portfolio tracker,PRJ-MER-039,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-040,EVID-PRJ-040,project,PRJ-MER-040,portfolio_record,clinical inbox summarization pilot 1 portfolio approval record,CMIO,current,medium,26_evidence_register.csv,41,PMO / IT portfolio tracker,PRJ-MER-040,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-041,EVID-PRJ-041,project,PRJ-MER-041,portfolio_record,Workday finance close assistant expansion 1 portfolio approval record,VP Controller,current,medium,26_evidence_register.csv,42,PMO / IT portfolio tracker,PRJ-MER-041,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-042,EVID-PRJ-042,project,PRJ-MER-042,portfolio_record,enterprise KPI semantic model 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,43,PMO / IT portfolio tracker,PRJ-MER-042,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-043,EVID-PRJ-043,project,PRJ-MER-043,portfolio_record,security incident narrative assistant 1 portfolio approval record,CISO,current,medium,26_evidence_register.csv,44,PMO / IT portfolio tracker,PRJ-MER-043,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-044,EVID-PRJ-044,project,PRJ-MER-044,portfolio_record,AI model registry foundation 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,45,PMO / IT portfolio tracker,PRJ-MER-044,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-045,EVID-PRJ-045,project,PRJ-MER-045,portfolio_record,contract and policy corpus normalization 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,46,PMO / IT portfolio tracker,PRJ-MER-045,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-046,EVID-PRJ-046,project,PRJ-MER-046,portfolio_record,member service intent detection pilot 1 portfolio approval record,SVP Member Services,current,medium,26_evidence_register.csv,47,PMO / IT portfolio tracker,PRJ-MER-046,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-047,EVID-PRJ-047,project,PRJ-MER-047,portfolio_record,ServiceNow virtual agent expansion 1 portfolio approval record,VP Enterprise Platforms,current,medium,26_evidence_register.csv,48,PMO / IT portfolio tracker,PRJ-MER-047,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-048,EVID-PRJ-048,project,PRJ-MER-048,portfolio_record,monthly close dashboard refresh 1 portfolio approval record,VP Controller,current,medium,26_evidence_register.csv,49,PMO / IT portfolio tracker,PRJ-MER-048,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-049,EVID-PRJ-049,project,PRJ-MER-049,portfolio_record,clinical referral triage assistant 1 portfolio approval record,CMIO,current,medium,26_evidence_register.csv,50,PMO / IT portfolio tracker,PRJ-MER-049,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-050,EVID-PRJ-050,project,PRJ-MER-050,portfolio_record,enterprise AI access management foundation 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,51,PMO / IT portfolio tracker,PRJ-MER-050,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-051,EVID-PRJ-051,project,PRJ-MER-051,portfolio_record,measurement baseline data product 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,52,PMO / IT portfolio tracker,PRJ-MER-051,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-052,EVID-PRJ-052,project,PRJ-MER-052,portfolio_record,provider service request classification 1 portfolio approval record,VP Provider Operations,current,medium,26_evidence_register.csv,53,PMO / IT portfolio tracker,PRJ-MER-052,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-053,EVID-PRJ-053,project,PRJ-MER-053,portfolio_record,Corporate IT denials workflow redesign wave 2 portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,54,PMO / IT portfolio tracker,PRJ-MER-053,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-054,EVID-PRJ-054,project,PRJ-MER-054,portfolio_record,Clinical / Epic HR case management upgrade wave 2 portfolio approval record,Chief Medical Information Officer,current,medium,26_evidence_register.csv,55,PMO / IT portfolio tracker,PRJ-MER-054,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-055,EVID-PRJ-055,project,PRJ-MER-055,portfolio_record,Infrastructure & Cloud finance planning integration wave 2 portfolio approval record,CTO,current,medium,26_evidence_register.csv,56,PMO / IT portfolio tracker,PRJ-MER-055,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-056,EVID-PRJ-056,project,PRJ-MER-056,portfolio_record,Enterprise Applications care management workflow upgrade wave 3 portfolio approval record,VP Enterprise Applications,current,medium,26_evidence_register.csv,57,PMO / IT portfolio tracker,PRJ-MER-056,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-057,EVID-PRJ-057,project,PRJ-MER-057,portfolio_record,Data & AI claims intake modernization wave 3 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,58,PMO / IT portfolio tracker,PRJ-MER-057,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-058,EVID-PRJ-058,project,PRJ-MER-058,portfolio_record,Digital & Member Experience population health data mart wave 3 portfolio approval record,Chief Digital Officer,current,medium,26_evidence_register.csv,59,PMO / IT portfolio tracker,PRJ-MER-058,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-059,EVID-PRJ-059,project,PRJ-MER-059,portfolio_record,Cybersecurity & Risk interoperability interface refresh wave 3 portfolio approval record,CISO,current,medium,26_evidence_register.csv,60,PMO / IT portfolio tracker,PRJ-MER-059,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-060,EVID-PRJ-060,project,PRJ-MER-060,portfolio_record,Enterprise Architecture clinical device integration wave 3 portfolio approval record,Chief Architect,current,medium,26_evidence_register.csv,61,PMO / IT portfolio tracker,PRJ-MER-060,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-061,EVID-PRJ-061,project,PRJ-MER-061,portfolio_record,Corporate IT member mobile servicing wave 3 portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,62,PMO / IT portfolio tracker,PRJ-MER-061,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-062,EVID-PRJ-062,project,PRJ-MER-062,portfolio_record,Clinical / Epic provider portal remediation wave 3 portfolio approval record,Chief Medical Information Officer,current,medium,26_evidence_register.csv,63,PMO / IT portfolio tracker,PRJ-MER-062,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-063,EVID-PRJ-063,project,PRJ-MER-063,portfolio_record,Infrastructure & Cloud pharmacy benefit rules cleanup wave 3 portfolio approval record,CTO,current,medium,26_evidence_register.csv,64,PMO / IT portfolio tracker,PRJ-MER-063,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-064,EVID-PRJ-064,project,PRJ-MER-064,portfolio_record,Enterprise Applications quality measure reporting upgrade wave 3 portfolio approval record,VP Enterprise Applications,current,medium,26_evidence_register.csv,65,PMO / IT portfolio tracker,PRJ-MER-064,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-065,EVID-PRJ-065,project,PRJ-MER-065,portfolio_record,Data & AI enterprise observability rollout wave 3 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,66,PMO / IT portfolio tracker,PRJ-MER-065,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-066,EVID-PRJ-066,project,PRJ-MER-066,portfolio_record,Digital & Member Experience data warehouse cost optimization wave 3 portfolio approval record,Chief Digital Officer,current,medium,26_evidence_register.csv,67,PMO / IT portfolio tracker,PRJ-MER-066,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-067,EVID-PRJ-067,project,PRJ-MER-067,portfolio_record,Cybersecurity & Risk contact center routing cleanup wave 3 portfolio approval record,CISO,current,medium,26_evidence_register.csv,68,PMO / IT portfolio tracker,PRJ-MER-067,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-068,EVID-PRJ-068,project,PRJ-MER-068,portfolio_record,Enterprise Architecture scheduling template optimization wave 3 portfolio approval record,Chief Architect,current,medium,26_evidence_register.csv,69,PMO / IT portfolio tracker,PRJ-MER-068,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-069,EVID-PRJ-069,project,PRJ-MER-069,portfolio_record,Corporate IT desktop virtualization refresh wave 3 portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,70,PMO / IT portfolio tracker,PRJ-MER-069,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-070,EVID-PRJ-070,project,PRJ-MER-070,portfolio_record,Clinical / Epic backup and recovery modernization wave 3 portfolio approval record,Chief Medical Information Officer,current,medium,26_evidence_register.csv,71,PMO / IT portfolio tracker,PRJ-MER-070,2026-08-24
meridian-health,EVIDENCE:EVID-BC-001,EVID-BC-001,business_case,BC-MER-001,business_case_workbook,Enterprise AI platform foundation business case,Chief Data and AI Officer,current,low,26_evidence_register.csv,72,AI Portfolio and Business Case Tracker,BC-MER-001,2026-08-24
meridian-health,EVIDENCE:EVID-BC-002,EVID-BC-002,business_case,BC-MER-002,business_case_workbook,Digital front door personalization business case,Chief Digital Officer,current,medium,26_evidence_register.csv,73,AI Portfolio and Business Case Tracker,BC-MER-002,2026-08-24
meridian-health,EVIDENCE:EVID-BC-003,EVID-BC-003,business_case,BC-MER-003,business_case_workbook,ServiceNow operations AI rollout business case,VP Enterprise Platforms,current,medium,26_evidence_register.csv,74,AI Portfolio and Business Case Tracker,BC-MER-003,2026-08-24
meridian-health,EVIDENCE:EVID-BC-004,EVID-BC-004,business_case,BC-MER-004,business_case_workbook,Epic ambulatory access optimization business case,"President, Medical Group",current,high,26_evidence_register.csv,75,AI Portfolio and Business Case Tracker,BC-MER-004,2026-08-24
meridian-health,EVIDENCE:EVID-BC-005,EVID-BC-005,business_case,BC-MER-005,business_case_workbook,Data quality and interoperability foundation business case,Chief Data and AI Officer,current,low,26_evidence_register.csv,76,AI Portfolio and Business Case Tracker,BC-MER-005,2026-08-24
meridian-health,EVIDENCE:EVID-BC-006,EVID-BC-006,business_case,BC-MER-006,business_case_workbook,Contact center AI assist business case,SVP Member Services,current,medium,26_evidence_register.csv,77,AI Portfolio and Business Case Tracker,BC-MER-006,2026-08-24
meridian-health,EVIDENCE:EVID-BC-007,EVID-BC-007,business_case,BC-MER-007,business_case_workbook,Workday finance close AI assistant business case,VP Controller,current,medium,26_evidence_register.csv,78,AI Portfolio and Business Case Tracker,BC-MER-007,2026-08-24
meridian-health,EVIDENCE:EVID-BC-008,EVID-BC-008,business_case,BC-MER-008,business_case_workbook,Clinical documentation ambient pilot business case,CMIO,current,high,26_evidence_register.csv,79,AI Portfolio and Business Case Tracker,BC-MER-008,2026-08-24
meridian-health,EVIDENCE:EVID-BC-009,EVID-BC-009,business_case,BC-MER-009,business_case_workbook,Copilot secure productivity rollout business case,VP Corporate IT,current,low,26_evidence_register.csv,80,AI Portfolio and Business Case Tracker,BC-MER-009,2026-08-24
meridian-health,EVIDENCE:EVID-BC-010,EVID-BC-010,business_case,BC-MER-010,business_case_workbook,Prior authorization automation business case,VP Claims Operations,current,medium,26_evidence_register.csv,81,AI Portfolio and Business Case Tracker,BC-MER-010,2026-08-24
meridian-health,EVIDENCE:EVID-BC-011,EVID-BC-011,business_case,BC-MER-011,business_case_workbook,Security operations automation business case,CISO,current,medium,26_evidence_register.csv,82,AI Portfolio and Business Case Tracker,BC-MER-011,2026-08-24
meridian-health,EVIDENCE:EVID-BC-012,EVID-BC-012,business_case,BC-MER-012,business_case_workbook,ServiceNow knowledge article generation 1 business case,VP Enterprise Platforms,current,high,26_evidence_register.csv,83,AI Portfolio and Business Case Tracker,BC-MER-012,2026-08-24
meridian-health,EVIDENCE:EVID-BC-013,EVID-BC-013,business_case,BC-MER-013,business_case_workbook,claims intake document AI 1 business case,Chief Data and AI Officer,current,low,26_evidence_register.csv,84,AI Portfolio and Business Case Tracker,BC-MER-013,2026-08-24
meridian-health,EVIDENCE:EVID-BC-014,EVID-BC-014,business_case,BC-MER-014,business_case_workbook,clinical documentation queue summarization 1 business case,CMIO,current,medium,26_evidence_register.csv,85,AI Portfolio and Business Case Tracker,BC-MER-014,2026-08-24
meridian-health,EVIDENCE:EVID-BC-015,EVID-BC-015,business_case,BC-MER-015,business_case_workbook,model monitoring and prompt-risk controls 1 business case,Chief Data and AI Officer,current,medium,26_evidence_register.csv,86,AI Portfolio and Business Case Tracker,BC-MER-015,2026-08-24
meridian-health,EVIDENCE:EVID-BC-016,EVID-BC-016,business_case,BC-MER-016,business_case_workbook,member identity resolution data product 1 business case,Chief Data and AI Officer,current,high,26_evidence_register.csv,87,AI Portfolio and Business Case Tracker,BC-MER-016,2026-08-24
meridian-health,EVIDENCE:EVID-BC-017,EVID-BC-017,business_case,BC-MER-017,business_case_workbook,member mobile next-best-action pilot 1 business case,Chief Digital Officer,current,low,26_evidence_register.csv,88,AI Portfolio and Business Case Tracker,BC-MER-017,2026-08-24
meridian-health,EVIDENCE:EVID-BC-018,EVID-BC-018,business_case,BC-MER-018,business_case_workbook,Microsoft 365 Copilot productivity wave 1 business case,VP Corporate IT,current,medium,26_evidence_register.csv,89,AI Portfolio and Business Case Tracker,BC-MER-018,2026-08-24
meridian-health,EVIDENCE:EVID-BC-019,EVID-BC-019,business_case,BC-MER-019,business_case_workbook,SOC alert summarization assistant 1 business case,CISO,current,medium,26_evidence_register.csv,90,AI Portfolio and Business Case Tracker,BC-MER-019,2026-08-24
meridian-health,EVIDENCE:EVID-BC-020,EVID-BC-020,business_case,BC-MER-020,business_case_workbook,AI service management controls foundation 1 business case,VP Enterprise Platforms,current,high,26_evidence_register.csv,91,AI Portfolio and Business Case Tracker,BC-MER-020,2026-08-24
meridian-health,EVIDENCE:EVID-BC-021,EVID-BC-021,business_case,BC-MER-021,business_case_workbook,AI feature store governance uplift 1 business case,Chief Data and AI Officer,current,low,26_evidence_register.csv,92,AI Portfolio and Business Case Tracker,BC-MER-021,2026-08-24
meridian-health,EVIDENCE:EVID-BC-022,EVID-BC-022,business_case,BC-MER-022,business_case_workbook,prior authorization clinical policy assistant 1 business case,VP Claims Operations,current,medium,26_evidence_register.csv,93,AI Portfolio and Business Case Tracker,BC-MER-022,2026-08-24
meridian-health,EVIDENCE:EVID-BC-023,EVID-BC-023,business_case,BC-MER-023,business_case_workbook,contact center agent assist rollout 1 business case,SVP Member Services,current,medium,26_evidence_register.csv,94,AI Portfolio and Business Case Tracker,BC-MER-023,2026-08-24
meridian-health,EVIDENCE:EVID-BC-024,EVID-BC-024,business_case,BC-MER-024,business_case_workbook,ambulatory access waitlist optimization 1 business case,"President, Medical Group",current,high,26_evidence_register.csv,95,AI Portfolio and Business Case Tracker,BC-MER-024,2026-08-24
meridian-health,EVIDENCE:EVID-BC-025,EVID-BC-025,business_case,BC-MER-025,business_case_workbook,enterprise AI evaluation harness 1 business case,Chief Data and AI Officer,current,low,26_evidence_register.csv,96,AI Portfolio and Business Case Tracker,BC-MER-025,2026-08-24
meridian-health,EVIDENCE:EVID-BC-026,EVID-BC-026,business_case,BC-MER-026,business_case_workbook,provider data matching remediation 1 business case,VP Provider Operations,current,medium,26_evidence_register.csv,97,AI Portfolio and Business Case Tracker,BC-MER-026,2026-08-24
meridian-health,EVIDENCE:EVID-BC-027,EVID-BC-027,business_case,BC-MER-027,business_case_workbook,digital front door personalization wave 1 business case,Chief Digital Officer,current,medium,26_evidence_register.csv,98,AI Portfolio and Business Case Tracker,BC-MER-027,2026-08-24
meridian-health,EVIDENCE:EVID-BC-028,EVID-BC-028,business_case,BC-MER-028,business_case_workbook,engineering Copilot controlled rollout 1 business case,Chief Architect,current,high,26_evidence_register.csv,99,AI Portfolio and Business Case Tracker,BC-MER-028,2026-08-24
meridian-health,EVIDENCE:EVID-BC-029,EVID-BC-029,business_case,BC-MER-029,business_case_workbook,claims appeal response assistant 1 business case,VP Claims Operations,current,low,26_evidence_register.csv,100,AI Portfolio and Business Case Tracker,BC-MER-029,2026-08-24
meridian-health,EVIDENCE:EVID-BC-030,EVID-BC-030,business_case,BC-MER-030,business_case_workbook,regulated AI sandbox foundation 1 business case,Chief Data and AI Officer,current,medium,26_evidence_register.csv,101,AI Portfolio and Business Case Tracker,BC-MER-030,2026-08-24
meridian-health,EVIDENCE:EVID-BC-031,EVID-BC-031,business_case,BC-MER-031,business_case_workbook,business glossary and value lineage cleanup 1 business case,Chief Data and AI Officer,current,medium,26_evidence_register.csv,102,AI Portfolio and Business Case Tracker,BC-MER-031,2026-08-24
meridian-health,EVIDENCE:EVID-BC-032,EVID-BC-032,business_case,BC-MER-032,business_case_workbook,clinical inbox summarization pilot 1 business case,CMIO,current,high,26_evidence_register.csv,103,AI Portfolio and Business Case Tracker,BC-MER-032,2026-08-24
meridian-health,EVIDENCE:EVID-BC-033,EVID-BC-033,business_case,BC-MER-033,business_case_workbook,Workday finance close assistant expansion 1 business case,VP Controller,current,low,26_evidence_register.csv,104,AI Portfolio and Business Case Tracker,BC-MER-033,2026-08-24
