tenant_key,canonical_ai_use_case_id,business_case_id,project_id,initiative_name,domain_key,business_value_type,primary_tool_or_platform,projected_annual_value_low_usd,projected_annual_value_high_usd,roi_low_multiple,roi_high_multiple,payback_months_target,success_metric,proof_needed,finance_status,readiness_score,confidence_level,gating_constraint,cost_to_build_low_usd,cost_to_build_high_usd,business_sponsor_role,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,AI_USE_CASE:BC-MER-012,BC-MER-012,PRJ-MER-016,ServiceNow knowledge article generation 1,apps,Reduce cost,ServiceNow Now Assist,10071492,13590117,4,5.4,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",finance_challenged,65,high,data quality,1847881,2523936,VP Enterprise Platforms,22_ai_business_cases.csv,13,AI Portfolio and Business Case Tracker,BC-MER-012,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-013,BC-MER-013,PRJ-MER-017,claims intake document AI 1,data_ai,Reduce cost,Enterprise AI platform,18852930,21596106,4.4,5,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",cfo_approved_target,76,low,workflow adoption,3141399,4290691,Chief Data and AI Officer,22_ai_business_cases.csv,14,AI Portfolio and Business Case Tracker,BC-MER-013,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-014,BC-MER-014,PRJ-MER-019,clinical documentation queue summarization 1,clinical_epic,Create capacity,Epic clinical AI assist,21795161,26447504,4.8,5.8,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",not_submitted,87,medium,control review,3326187,4543084,CMIO,22_ai_business_cases.csv,15,AI Portfolio and Business Case Tracker,BC-MER-014,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-015,BC-MER-015,PRJ-MER-020,model monitoring and prompt-risk controls 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,49,medium,Finance value treatment,2217458,3028723,Chief Data and AI Officer,22_ai_business_cases.csv,16,AI Portfolio and Business Case Tracker,BC-MER-015,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-016,BC-MER-016,PRJ-MER-021,member identity resolution data product 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,60,high,baseline definition,3510975,4795478,Chief Data and AI Officer,22_ai_business_cases.csv,17,AI Portfolio and Business Case Tracker,BC-MER-016,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-017,BC-MER-017,PRJ-MER-022,member mobile next-best-action pilot 1,digital,Grow revenue,Digital front door AI decisioning,13092940,14998014,4,4.6,3,digital conversion lift,"Show conversion, retention, channel shift, and net financial impact against baseline.",finance_challenged,71,low,data quality,2402246,3281116,Chief Digital Officer,22_ai_business_cases.csv,18,AI Portfolio and Business Case Tracker,BC-MER-017,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-018,BC-MER-018,PRJ-MER-023,Microsoft 365 Copilot productivity wave 1,corporate_it,Reduce cost,Microsoft 365 Copilot,22179916,26914387,4.4,5.3,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",cfo_approved_target,82,medium,workflow adoption,3695763,5047871,VP Corporate IT,22_ai_business_cases.csv,19,AI Portfolio and Business Case Tracker,BC-MER-018,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-019,BC-MER-019,PRJ-MER-025,SOC alert summarization assistant 1,security,Reduce cost,Security operations assistant,25427692,32583331,4.8,6.1,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",not_submitted,44,medium,control review,3880552,5300266,CISO,22_ai_business_cases.csv,20,AI Portfolio and Business Case Tracker,BC-MER-019,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-020,BC-MER-020,PRJ-MER-026,AI service management controls foundation 1,apps,Foundation,ServiceNow Now Assist,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,55,high,Finance value treatment,2771822,3785904,VP Enterprise Platforms,22_ai_business_cases.csv,21,AI Portfolio and Business Case Tracker,BC-MER-020,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-021,BC-MER-021,PRJ-MER-027,AI feature store governance uplift 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,66,low,baseline definition,4065339,5552659,Chief Data and AI Officer,22_ai_business_cases.csv,22,AI Portfolio and Business Case Tracker,BC-MER-021,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-022,BC-MER-022,PRJ-MER-028,prior authorization clinical policy assistant 1,apps,Reduce cost,Prior auth document AI,16114386,19554125,4,4.8,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",finance_challenged,77,medium,data quality,2956610,4038297,VP Claims Operations,22_ai_business_cases.csv,23,AI Portfolio and Business Case Tracker,BC-MER-022,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-023,BC-MER-023,PRJ-MER-029,contact center agent assist rollout 1,digital,Reduce cost,Contact center agent assist,11089958,14210797,4.4,5.6,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",cfo_approved_target,88,medium,workflow adoption,1847881,2523936,SVP Member Services,22_ai_business_cases.csv,24,AI Portfolio and Business Case Tracker,BC-MER-023,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-024,BC-MER-024,PRJ-MER-031,ambulatory access waitlist optimization 1,clinical_epic,Create capacity,Epic clinical AI assist,13319264,17972547,4.8,6.5,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",not_submitted,50,high,control review,2032669,2776329,"President, Medical Group",22_ai_business_cases.csv,25,AI Portfolio and Business Case Tracker,BC-MER-024,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-025,BC-MER-025,PRJ-MER-032,enterprise AI evaluation harness 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,61,low,Finance value treatment,3326187,4543084,Chief Data and AI Officer,22_ai_business_cases.csv,26,AI Portfolio and Business Case Tracker,BC-MER-025,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-026,BC-MER-026,PRJ-MER-033,provider data matching remediation 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,72,medium,baseline definition,2217458,3028723,VP Provider Operations,22_ai_business_cases.csv,27,AI Portfolio and Business Case Tracker,BC-MER-026,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-027,BC-MER-027,PRJ-MER-034,digital front door personalization wave 1,digital,Grow revenue,Digital front door AI decisioning,19135838,24520877,4,5.1,3,digital conversion lift,"Show conversion, retention, channel shift, and net financial impact against baseline.",finance_challenged,83,medium,data quality,3510975,4795478,Chief Digital Officer,22_ai_business_cases.csv,28,AI Portfolio and Business Case Tracker,BC-MER-027,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-028,BC-MER-028,PRJ-MER-035,engineering Copilot controlled rollout 1,architecture,Build faster,AI coding agents,14416944,19453717,4.4,5.9,3,software delivery capex avoided,"Compare delivery cost, cycle time, defects, and release volume before and after rollout.",cfo_approved_target,45,high,workflow adoption,2402246,3281116,Chief Architect,22_ai_business_cases.csv,29,AI Portfolio and Business Case Tracker,BC-MER-028,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-029,BC-MER-029,PRJ-MER-037,claims appeal response assistant 1,apps,Reduce cost,Prior auth document AI,16951795,19418348,4.8,5.5,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",not_submitted,56,low,control review,2587034,3533510,VP Claims Operations,22_ai_business_cases.csv,30,AI Portfolio and Business Case Tracker,BC-MER-029,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-030,BC-MER-030,PRJ-MER-038,regulated AI sandbox foundation 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,67,medium,Finance value treatment,3880552,5300266,Chief Data and AI Officer,22_ai_business_cases.csv,31,AI Portfolio and Business Case Tracker,BC-MER-030,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-031,BC-MER-031,PRJ-MER-039,business glossary and value lineage cleanup 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,78,medium,baseline definition,2771822,3785904,Chief Data and AI Officer,22_ai_business_cases.csv,32,AI Portfolio and Business Case Tracker,BC-MER-031,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-032,BC-MER-032,PRJ-MER-040,clinical inbox summarization pilot 1,clinical_epic,Create capacity,Epic clinical AI assist,22157284,29898260,4,5.4,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",finance_challenged,89,high,data quality,4065339,5552659,CMIO,22_ai_business_cases.csv,33,AI Portfolio and Business Case Tracker,BC-MER-032,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-033,BC-MER-033,PRJ-MER-041,Workday finance close assistant expansion 1,corporate_it,Reduce cost,Workday AI,17743931,20325744,4.4,5,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",cfo_approved_target,51,low,workflow adoption,2956610,4038297,VP Controller,22_ai_business_cases.csv,34,AI Portfolio and Business Case Tracker,BC-MER-033,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-034,BC-MER-034,PRJ-MER-043,security incident narrative assistant 1,security,Reduce cost,Security operations assistant,20584321,24978201,4.8,5.8,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",not_submitted,62,medium,control review,3141399,4290691,CISO,22_ai_business_cases.csv,35,AI Portfolio and Business Case Tracker,BC-MER-034,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-035,BC-MER-035,PRJ-MER-044,AI model registry foundation 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,73,medium,Finance value treatment,2032669,2776329,Chief Data and AI Officer,22_ai_business_cases.csv,36,AI Portfolio and Business Case Tracker,BC-MER-035,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-036,BC-MER-036,PRJ-MER-045,contract and policy corpus normalization 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,84,high,baseline definition,3326187,4543084,Chief Data and AI Officer,22_ai_business_cases.csv,37,AI Portfolio and Business Case Tracker,BC-MER-036,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-037,BC-MER-037,PRJ-MER-046,member service intent detection pilot 1,digital,Reduce cost,Contact center agent assist,12085792,13844323,4,4.6,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",finance_challenged,46,low,data quality,2217458,3028723,SVP Member Services,22_ai_business_cases.csv,38,AI Portfolio and Business Case Tracker,BC-MER-037,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-038,BC-MER-038,PRJ-MER-047,ServiceNow virtual agent expansion 1,apps,Reduce cost,ServiceNow Now Assist,21070922,25568670,4.4,5.3,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",cfo_approved_target,57,medium,workflow adoption,3510975,4795478,VP Enterprise Platforms,22_ai_business_cases.csv,39,AI Portfolio and Business Case Tracker,BC-MER-038,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-039,BC-MER-039,PRJ-MER-049,clinical referral triage assistant 1,clinical_epic,Create capacity,Epic clinical AI assist,24216847,31031740,4.8,6.1,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",not_submitted,68,medium,control review,3695763,5047871,CMIO,22_ai_business_cases.csv,40,AI Portfolio and Business Case Tracker,BC-MER-039,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-040,BC-MER-040,PRJ-MER-050,enterprise AI access management foundation 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,79,high,Finance value treatment,2587034,3533510,Chief Data and AI Officer,22_ai_business_cases.csv,41,AI Portfolio and Business Case Tracker,BC-MER-040,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-041,BC-MER-041,PRJ-MER-051,measurement baseline data product 1,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,90,low,baseline definition,3880552,5300266,Chief Data and AI Officer,22_ai_business_cases.csv,42,AI Portfolio and Business Case Tracker,BC-MER-041,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-042,BC-MER-042,PRJ-MER-052,provider service request classification 1,apps,Reduce cost,ServiceNow Now Assist,15107238,18331994,4,4.8,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",finance_challenged,52,medium,data quality,2771822,3785904,VP Provider Operations,22_ai_business_cases.csv,43,AI Portfolio and Business Case Tracker,BC-MER-042,2026-08-24
