tenant_key,canonical_approval_event_id,business_case_id,project_id,event_type,approval_state,approver_role,event_date,amount_usd,amount_basis,notes,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,APPROVAL:FIN-BC-MER-010-SPONSOR,BC-MER-010,PRJ-MER-013,sponsor_claim,sponsor_claimed,VP Claims Operations,2026-06-15,55841008,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,20,AI Portfolio and Business Case Tracker,FIN-BC-MER-010-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-010-FINANCE,BC-MER-010,PRJ-MER-013,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,17486876,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,21,Finance approval ledger,FIN-BC-MER-010-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-011-SPONSOR,BC-MER-011,PRJ-MER-015,sponsor_claim,sponsor_claimed,CISO,2026-06-15,29342487,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,22,AI Portfolio and Business Case Tracker,FIN-BC-MER-011-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-011-FINANCE,BC-MER-011,PRJ-MER-015,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,22898572,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,23,Finance approval ledger,FIN-BC-MER-011-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-012-SPONSOR,BC-MER-012,PRJ-MER-016,sponsor_claim,sponsor_claimed,VP Enterprise Platforms,2026-06-15,13590117,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,24,AI Portfolio and Business Case Tracker,FIN-BC-MER-012-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-012-FINANCE,BC-MER-012,PRJ-MER-016,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,10071492,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,25,Finance approval ledger,FIN-BC-MER-012-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-013-SPONSOR,BC-MER-013,PRJ-MER-017,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,21596106,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,26,AI Portfolio and Business Case Tracker,FIN-BC-MER-013-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-013-FINANCE,BC-MER-013,PRJ-MER-017,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,18852930,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,27,Finance approval ledger,FIN-BC-MER-013-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-014-SPONSOR,BC-MER-014,PRJ-MER-019,sponsor_claim,sponsor_claimed,CMIO,2026-06-15,26447504,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,28,AI Portfolio and Business Case Tracker,FIN-BC-MER-014-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-014-FINANCE,BC-MER-014,PRJ-MER-019,target_review,not_submitted,IT Finance Business Partner,2026-08-01,21795161,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,29,Finance approval ledger,FIN-BC-MER-014-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-015-SPONSOR,BC-MER-015,PRJ-MER-020,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,30,AI Portfolio and Business Case Tracker,FIN-BC-MER-015-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-015-FINANCE,BC-MER-015,PRJ-MER-020,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,31,Finance approval ledger,FIN-BC-MER-015-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-016-SPONSOR,BC-MER-016,PRJ-MER-021,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,32,AI Portfolio and Business Case Tracker,FIN-BC-MER-016-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-016-FINANCE,BC-MER-016,PRJ-MER-021,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,33,Finance approval ledger,FIN-BC-MER-016-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-017-SPONSOR,BC-MER-017,PRJ-MER-022,sponsor_claim,sponsor_claimed,Chief Digital Officer,2026-06-15,14998014,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,34,AI Portfolio and Business Case Tracker,FIN-BC-MER-017-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-017-FINANCE,BC-MER-017,PRJ-MER-022,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,13092940,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,35,Finance approval ledger,FIN-BC-MER-017-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-018-SPONSOR,BC-MER-018,PRJ-MER-023,sponsor_claim,sponsor_claimed,VP Corporate IT,2026-06-15,26914387,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,36,AI Portfolio and Business Case Tracker,FIN-BC-MER-018-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-018-FINANCE,BC-MER-018,PRJ-MER-023,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,22179916,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,37,Finance approval ledger,FIN-BC-MER-018-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-019-SPONSOR,BC-MER-019,PRJ-MER-025,sponsor_claim,sponsor_claimed,CISO,2026-06-15,32583331,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,38,AI Portfolio and Business Case Tracker,FIN-BC-MER-019-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-019-FINANCE,BC-MER-019,PRJ-MER-025,target_review,not_submitted,IT Finance Business Partner,2026-08-01,25427692,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,39,Finance approval ledger,FIN-BC-MER-019-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-020-SPONSOR,BC-MER-020,PRJ-MER-026,sponsor_claim,sponsor_claimed,VP Enterprise Platforms,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,40,AI Portfolio and Business Case Tracker,FIN-BC-MER-020-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-020-FINANCE,BC-MER-020,PRJ-MER-026,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,41,Finance approval ledger,FIN-BC-MER-020-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-021-SPONSOR,BC-MER-021,PRJ-MER-027,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,42,AI Portfolio and Business Case Tracker,FIN-BC-MER-021-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-021-FINANCE,BC-MER-021,PRJ-MER-027,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,43,Finance approval ledger,FIN-BC-MER-021-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-022-SPONSOR,BC-MER-022,PRJ-MER-028,sponsor_claim,sponsor_claimed,VP Claims Operations,2026-06-15,19554125,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,44,AI Portfolio and Business Case Tracker,FIN-BC-MER-022-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-022-FINANCE,BC-MER-022,PRJ-MER-028,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,16114386,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,45,Finance approval ledger,FIN-BC-MER-022-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-023-SPONSOR,BC-MER-023,PRJ-MER-029,sponsor_claim,sponsor_claimed,SVP Member Services,2026-06-15,14210797,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,46,AI Portfolio and Business Case Tracker,FIN-BC-MER-023-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-023-FINANCE,BC-MER-023,PRJ-MER-029,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,11089958,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,47,Finance approval ledger,FIN-BC-MER-023-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-024-SPONSOR,BC-MER-024,PRJ-MER-031,sponsor_claim,sponsor_claimed,"President, Medical Group",2026-06-15,17972547,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,48,AI Portfolio and Business Case Tracker,FIN-BC-MER-024-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-024-FINANCE,BC-MER-024,PRJ-MER-031,target_review,not_submitted,IT Finance Business Partner,2026-08-01,13319264,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,49,Finance approval ledger,FIN-BC-MER-024-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-025-SPONSOR,BC-MER-025,PRJ-MER-032,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,50,AI Portfolio and Business Case Tracker,FIN-BC-MER-025-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-025-FINANCE,BC-MER-025,PRJ-MER-032,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,51,Finance approval ledger,FIN-BC-MER-025-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-026-SPONSOR,BC-MER-026,PRJ-MER-033,sponsor_claim,sponsor_claimed,VP Provider Operations,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,52,AI Portfolio and Business Case Tracker,FIN-BC-MER-026-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-026-FINANCE,BC-MER-026,PRJ-MER-033,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,53,Finance approval ledger,FIN-BC-MER-026-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-027-SPONSOR,BC-MER-027,PRJ-MER-034,sponsor_claim,sponsor_claimed,Chief Digital Officer,2026-06-15,24520877,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,54,AI Portfolio and Business Case Tracker,FIN-BC-MER-027-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-027-FINANCE,BC-MER-027,PRJ-MER-034,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,19135838,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,55,Finance approval ledger,FIN-BC-MER-027-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-028-SPONSOR,BC-MER-028,PRJ-MER-035,sponsor_claim,sponsor_claimed,Chief Architect,2026-06-15,19453717,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,56,AI Portfolio and Business Case Tracker,FIN-BC-MER-028-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-028-FINANCE,BC-MER-028,PRJ-MER-035,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,14416944,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,57,Finance approval ledger,FIN-BC-MER-028-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-029-SPONSOR,BC-MER-029,PRJ-MER-037,sponsor_claim,sponsor_claimed,VP Claims Operations,2026-06-15,19418348,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,58,AI Portfolio and Business Case Tracker,FIN-BC-MER-029-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-029-FINANCE,BC-MER-029,PRJ-MER-037,target_review,not_submitted,IT Finance Business Partner,2026-08-01,16951795,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,59,Finance approval ledger,FIN-BC-MER-029-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-030-SPONSOR,BC-MER-030,PRJ-MER-038,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,60,AI Portfolio and Business Case Tracker,FIN-BC-MER-030-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-030-FINANCE,BC-MER-030,PRJ-MER-038,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,61,Finance approval ledger,FIN-BC-MER-030-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-031-SPONSOR,BC-MER-031,PRJ-MER-039,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,62,AI Portfolio and Business Case Tracker,FIN-BC-MER-031-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-031-FINANCE,BC-MER-031,PRJ-MER-039,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,63,Finance approval ledger,FIN-BC-MER-031-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-032-SPONSOR,BC-MER-032,PRJ-MER-040,sponsor_claim,sponsor_claimed,CMIO,2026-06-15,29898260,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,64,AI Portfolio and Business Case Tracker,FIN-BC-MER-032-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-032-FINANCE,BC-MER-032,PRJ-MER-040,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,22157284,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,65,Finance approval ledger,FIN-BC-MER-032-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-033-SPONSOR,BC-MER-033,PRJ-MER-041,sponsor_claim,sponsor_claimed,VP Controller,2026-06-15,20325744,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,66,AI Portfolio and Business Case Tracker,FIN-BC-MER-033-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-033-FINANCE,BC-MER-033,PRJ-MER-041,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,17743931,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,67,Finance approval ledger,FIN-BC-MER-033-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-034-SPONSOR,BC-MER-034,PRJ-MER-043,sponsor_claim,sponsor_claimed,CISO,2026-06-15,24978201,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,68,AI Portfolio and Business Case Tracker,FIN-BC-MER-034-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-034-FINANCE,BC-MER-034,PRJ-MER-043,target_review,not_submitted,IT Finance Business Partner,2026-08-01,20584321,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,69,Finance approval ledger,FIN-BC-MER-034-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-035-SPONSOR,BC-MER-035,PRJ-MER-044,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,70,AI Portfolio and Business Case Tracker,FIN-BC-MER-035-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-035-FINANCE,BC-MER-035,PRJ-MER-044,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,71,Finance approval ledger,FIN-BC-MER-035-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-036-SPONSOR,BC-MER-036,PRJ-MER-045,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,72,AI Portfolio and Business Case Tracker,FIN-BC-MER-036-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-036-FINANCE,BC-MER-036,PRJ-MER-045,target_review,sponsor_claimed,IT Finance Business Partner,2026-08-01,0,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,73,Finance approval ledger,FIN-BC-MER-036-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-037-SPONSOR,BC-MER-037,PRJ-MER-046,sponsor_claim,sponsor_claimed,SVP Member Services,2026-06-15,13844323,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,74,AI Portfolio and Business Case Tracker,FIN-BC-MER-037-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-037-FINANCE,BC-MER-037,PRJ-MER-046,target_review,finance_challenged,IT Finance Business Partner,2026-08-01,12085792,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,75,Finance approval ledger,FIN-BC-MER-037-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-038-SPONSOR,BC-MER-038,PRJ-MER-047,sponsor_claim,sponsor_claimed,VP Enterprise Platforms,2026-06-15,25568670,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,76,AI Portfolio and Business Case Tracker,FIN-BC-MER-038-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-038-FINANCE,BC-MER-038,PRJ-MER-047,target_review,cfo_approved_target,IT Finance Business Partner,2026-08-15,21070922,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,77,Finance approval ledger,FIN-BC-MER-038-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-039-SPONSOR,BC-MER-039,PRJ-MER-049,sponsor_claim,sponsor_claimed,CMIO,2026-06-15,31031740,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,78,AI Portfolio and Business Case Tracker,FIN-BC-MER-039-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-039-FINANCE,BC-MER-039,PRJ-MER-049,target_review,not_submitted,IT Finance Business Partner,2026-08-01,24216847,projected_annual_value_low,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,79,Finance approval ledger,FIN-BC-MER-039-FINANCE,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-040-SPONSOR,BC-MER-040,PRJ-MER-050,sponsor_claim,sponsor_claimed,Chief Data and AI Officer,2026-06-15,0,projected_annual_value_high,Sponsor-projected value; not Finance validated.,25_finance_approval_ledger.csv,80,AI Portfolio and Business Case Tracker,FIN-BC-MER-040-SPONSOR,2026-08-24
meridian-health,APPROVAL:FIN-BC-MER-040-FINANCE,BC-MER-040,PRJ-MER-050,actual_validation,finance_validated_actual,IT Finance Business Partner,2026-08-01,0,finance_validated_actual_ytd,Finance state captured separately from sponsor claim and refreshed monthly.,25_finance_approval_ledger.csv,81,Finance approval ledger,FIN-BC-MER-040-FINANCE,2026-08-24
