tenant_key,canonical_project_id,project_id,project_name,domain_key,domain_name,project_classification,is_ai_related,approved_budget_usd,projected_annual_value_low_usd,lifecycle_stage,committee_decision,sponsor_role,finance_partner_role,technology_owner_role,actual_spend_ytd_usd,forecast_spend_usd,start_date,target_go_live_date,realization_start_month,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,PROJECT:PRJ-MER-012,PRJ-MER-012,Copilot secure productivity rollout,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,4800000,25791024,business_case,shape,VP Corporate IT,IT Finance Business Partner,CTO delegate,1248000,4968000,2026-06-01,2027-03-28,2027-07,21_it_project_portfolio.csv,13,PMO / IT portfolio tracker,PRJ-MER-012,2026-08-24
meridian-health,PROJECT:PRJ-MER-013,PRJ-MER-013,Prior authorization automation,apps,Enterprise Applications,ai_use_case,true,7900000,46018096,business_case,fund,VP Claims Operations,IT Finance Business Partner,CTO delegate,2686000,7347000,2026-01-01,2027-04-28,2027-08,21_it_project_portfolio.csv,14,PMO / IT portfolio tracker,PRJ-MER-013,2026-08-24
meridian-health,PROJECT:PRJ-MER-014,PRJ-MER-014,Provider data quality remediation,apps,Enterprise Applications,ordinary_it_project,false,11300000,0,business_case,continue,VP Provider Operations,IT Finance Business Partner,CTO delegate,4746000,10904500,2026-02-01,2027-05-28,,21_it_project_portfolio.csv,15,PMO / IT portfolio tracker,PRJ-MER-014,2026-08-24
meridian-health,PROJECT:PRJ-MER-015,PRJ-MER-015,Security operations automation,security,Cybersecurity & Risk,ai_assisted_automation,true,5700000,22898572,business_case,challenge,CISO,IT Finance Business Partner,CISO,2850000,5700000,2026-03-01,2027-06-28,2027-01,21_it_project_portfolio.csv,16,PMO / IT portfolio tracker,PRJ-MER-015,2026-08-24
meridian-health,PROJECT:PRJ-MER-016,PRJ-MER-016,ServiceNow knowledge article generation 1,apps,Enterprise Applications,ai_enabled_tool_rollout,true,2253514,10071492,intake,challenge,VP Enterprise Platforms,IT Finance Business Partner,VP Enterprise Applications,270422,2028163,2026-01-01,2027-01-28,2027-06,21_it_project_portfolio.csv,17,PMO / IT portfolio tracker,PRJ-MER-016,2026-08-24
meridian-health,PROJECT:PRJ-MER-017,PRJ-MER-017,claims intake document AI 1,data_ai,Data & AI,ai_assisted_automation,true,3830974,18852930,business_case,fund,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,727885,3543651,2026-02-01,2027-02-28,2027-07,21_it_project_portfolio.csv,18,PMO / IT portfolio tracker,PRJ-MER-017,2026-08-24
meridian-health,PROJECT:PRJ-MER-018,PRJ-MER-018,population health analytics workspace 1,data_ai,Data & AI,analytics_bi,false,2478865,0,funded,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,644505,2354922,2026-03-01,2027-03-28,,21_it_project_portfolio.csv,19,PMO / IT portfolio tracker,PRJ-MER-018,2026-08-24
meridian-health,PROJECT:PRJ-MER-019,PRJ-MER-019,clinical documentation queue summarization 1,clinical_epic,Clinical / Epic,ai_use_case,true,4056325,21795161,build,fund,CMIO,IT Finance Business Partner,Chief Medical Information Officer,1338587,3954917,2026-04-01,2027-04-28,2027-09,21_it_project_portfolio.csv,20,PMO / IT portfolio tracker,PRJ-MER-019,2026-08-24
meridian-health,PROJECT:PRJ-MER-020,PRJ-MER-020,model monitoring and prompt-risk controls 1,data_ai,Data & AI,platform_foundation,true,2704217,0,pilot,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1081687,2704217,2026-05-01,2027-05-28,,21_it_project_portfolio.csv,21,PMO / IT portfolio tracker,PRJ-MER-020,2026-08-24
meridian-health,PROJECT:PRJ-MER-021,PRJ-MER-021,member identity resolution data product 1,data_ai,Data & AI,data_readiness,true,4281677,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,2012388,3853509,2026-06-01,2027-06-28,,21_it_project_portfolio.csv,22,PMO / IT portfolio tracker,PRJ-MER-021,2026-08-24
meridian-health,PROJECT:PRJ-MER-022,PRJ-MER-022,member mobile next-best-action pilot 1,digital,Digital & Member Experience,ai_use_case,true,2929568,13092940,intake,challenge,Chief Digital Officer,IT Finance Business Partner,Chief Digital Officer,1581967,2709850,2026-07-01,2027-07-28,2027-02,21_it_project_portfolio.csv,23,PMO / IT portfolio tracker,PRJ-MER-022,2026-08-24
meridian-health,PROJECT:PRJ-MER-023,PRJ-MER-023,Microsoft 365 Copilot productivity wave 1,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,4507028,22179916,business_case,fund,VP Corporate IT,IT Finance Business Partner,VP Corporate IT,540843,4281677,2026-08-01,2027-08-28,2027-03,21_it_project_portfolio.csv,24,PMO / IT portfolio tracker,PRJ-MER-023,2026-08-24
meridian-health,PROJECT:PRJ-MER-024,PRJ-MER-024,finance planning analytics workspace 1,corporate_it,Corporate IT,analytics_bi,false,3154920,0,funded,defer,VP Controller,IT Finance Business Partner,VP Corporate IT,599435,3076047,2026-09-01,2027-09-28,,21_it_project_portfolio.csv,25,PMO / IT portfolio tracker,PRJ-MER-024,2026-08-24
meridian-health,PROJECT:PRJ-MER-025,PRJ-MER-025,SOC alert summarization assistant 1,security,Cybersecurity & Risk,ai_assisted_automation,true,4732380,25427692,build,fund,CISO,IT Finance Business Partner,CISO,1230419,4732380,2026-01-01,2027-10-28,2027-05,21_it_project_portfolio.csv,26,PMO / IT portfolio tracker,PRJ-MER-025,2026-08-24
meridian-health,PROJECT:PRJ-MER-026,PRJ-MER-026,AI service management controls foundation 1,apps,Enterprise Applications,platform_foundation,true,3380271,0,pilot,continue,VP Enterprise Platforms,IT Finance Business Partner,VP Enterprise Applications,1115489,3042244,2026-02-01,2027-01-28,,21_it_project_portfolio.csv,27,PMO / IT portfolio tracker,PRJ-MER-026,2026-08-24
meridian-health,PROJECT:PRJ-MER-027,PRJ-MER-027,AI feature store governance uplift 1,data_ai,Data & AI,data_readiness,true,4957731,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1983092,4585901,2026-03-01,2027-02-28,,21_it_project_portfolio.csv,28,PMO / IT portfolio tracker,PRJ-MER-027,2026-08-24
meridian-health,PROJECT:PRJ-MER-028,PRJ-MER-028,prior authorization clinical policy assistant 1,apps,Enterprise Applications,ai_use_case,true,3605622,16114386,intake,challenge,VP Claims Operations,IT Finance Business Partner,VP Enterprise Applications,1694642,3425341,2026-04-01,2027-03-28,2027-08,21_it_project_portfolio.csv,29,PMO / IT portfolio tracker,PRJ-MER-028,2026-08-24
meridian-health,PROJECT:PRJ-MER-029,PRJ-MER-029,contact center agent assist rollout 1,digital,Digital & Member Experience,ai_enabled_tool_rollout,true,2253514,11089958,business_case,fund,SVP Member Services,IT Finance Business Partner,Chief Digital Officer,1216898,2197176,2026-05-01,2027-04-28,2027-09,21_it_project_portfolio.csv,30,PMO / IT portfolio tracker,PRJ-MER-029,2026-08-24
meridian-health,PROJECT:PRJ-MER-030,PRJ-MER-030,quality measure performance analytics 1,data_ai,Data & AI,analytics_bi,false,3830974,0,funded,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,459717,3830974,2026-06-01,2027-05-28,,21_it_project_portfolio.csv,31,PMO / IT portfolio tracker,PRJ-MER-030,2026-08-24
meridian-health,PROJECT:PRJ-MER-031,PRJ-MER-031,ambulatory access waitlist optimization 1,clinical_epic,Clinical / Epic,ai_assisted_automation,true,2478865,13319264,build,fund,"President, Medical Group",IT Finance Business Partner,Chief Medical Information Officer,470984,2230979,2026-07-01,2027-06-28,2027-01,21_it_project_portfolio.csv,32,PMO / IT portfolio tracker,PRJ-MER-031,2026-08-24
meridian-health,PROJECT:PRJ-MER-032,PRJ-MER-032,enterprise AI evaluation harness 1,data_ai,Data & AI,platform_foundation,true,4056325,0,pilot,defer,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1054645,3752101,2026-08-01,2027-07-28,,21_it_project_portfolio.csv,33,PMO / IT portfolio tracker,PRJ-MER-032,2026-08-24
meridian-health,PROJECT:PRJ-MER-033,PRJ-MER-033,provider data matching remediation 1,data_ai,Data & AI,data_readiness,true,2704217,0,scale,continue,VP Provider Operations,IT Finance Business Partner,Chief Data and AI Officer,892392,2569006,2026-09-01,2027-08-28,,21_it_project_portfolio.csv,34,PMO / IT portfolio tracker,PRJ-MER-033,2026-08-24
meridian-health,PROJECT:PRJ-MER-034,PRJ-MER-034,digital front door personalization wave 1,digital,Digital & Member Experience,ai_use_case,true,4281677,19135838,intake,challenge,Chief Digital Officer,IT Finance Business Partner,Chief Digital Officer,1712671,4174635,2026-01-01,2027-09-28,2027-04,21_it_project_portfolio.csv,35,PMO / IT portfolio tracker,PRJ-MER-034,2026-08-24
meridian-health,PROJECT:PRJ-MER-035,PRJ-MER-035,engineering Copilot controlled rollout 1,architecture,Enterprise Architecture,ai_enabled_tool_rollout,true,2929568,14416944,business_case,fund,Chief Architect,IT Finance Business Partner,Chief Architect,1376897,2929568,2026-02-01,2027-10-28,2027-05,21_it_project_portfolio.csv,36,PMO / IT portfolio tracker,PRJ-MER-035,2026-08-24
meridian-health,PROJECT:PRJ-MER-036,PRJ-MER-036,HR workforce analytics modernization 1,corporate_it,Corporate IT,analytics_bi,false,4507028,0,funded,continue,VP Corporate IT,IT Finance Business Partner,VP Corporate IT,2433795,4056325,2026-03-01,2027-01-28,,21_it_project_portfolio.csv,37,PMO / IT portfolio tracker,PRJ-MER-036,2026-08-24
meridian-health,PROJECT:PRJ-MER-037,PRJ-MER-037,claims appeal response assistant 1,apps,Enterprise Applications,ai_assisted_automation,true,3154920,16951795,build,fund,VP Claims Operations,IT Finance Business Partner,VP Enterprise Applications,378590,2918301,2026-04-01,2027-02-28,2027-07,21_it_project_portfolio.csv,38,PMO / IT portfolio tracker,PRJ-MER-037,2026-08-24
meridian-health,PROJECT:PRJ-MER-038,PRJ-MER-038,regulated AI sandbox foundation 1,data_ai,Data & AI,platform_foundation,true,4732380,0,pilot,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,899152,4495761,2026-05-01,2027-03-28,,21_it_project_portfolio.csv,39,PMO / IT portfolio tracker,PRJ-MER-038,2026-08-24
meridian-health,PROJECT:PRJ-MER-039,PRJ-MER-039,business glossary and value lineage cleanup 1,data_ai,Data & AI,data_readiness,true,3380271,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,878870,3295764,2026-06-01,2027-04-28,,21_it_project_portfolio.csv,40,PMO / IT portfolio tracker,PRJ-MER-039,2026-08-24
meridian-health,PROJECT:PRJ-MER-040,PRJ-MER-040,clinical inbox summarization pilot 1,clinical_epic,Clinical / Epic,ai_use_case,true,4957731,22157284,intake,challenge,CMIO,IT Finance Business Partner,Chief Medical Information Officer,1636051,4957731,2026-07-01,2027-05-28,2027-10,21_it_project_portfolio.csv,41,PMO / IT portfolio tracker,PRJ-MER-040,2026-08-24
meridian-health,PROJECT:PRJ-MER-041,PRJ-MER-041,Workday finance close assistant expansion 1,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,3605622,17743931,business_case,fund,VP Controller,IT Finance Business Partner,VP Corporate IT,1442249,3245060,2026-08-01,2027-06-28,2027-01,21_it_project_portfolio.csv,42,PMO / IT portfolio tracker,PRJ-MER-041,2026-08-24
meridian-health,PROJECT:PRJ-MER-042,PRJ-MER-042,enterprise KPI semantic model 1,data_ai,Data & AI,analytics_bi,false,2253514,0,funded,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1059152,2084500,2026-09-01,2027-07-28,,21_it_project_portfolio.csv,43,PMO / IT portfolio tracker,PRJ-MER-042,2026-08-24
meridian-health,PROJECT:PRJ-MER-043,PRJ-MER-043,security incident narrative assistant 1,security,Cybersecurity & Risk,ai_assisted_automation,true,3830974,20584321,build,fund,CISO,IT Finance Business Partner,CISO,2068726,3639425,2026-01-01,2027-08-28,2027-03,21_it_project_portfolio.csv,44,PMO / IT portfolio tracker,PRJ-MER-043,2026-08-24
meridian-health,PROJECT:PRJ-MER-044,PRJ-MER-044,AI model registry foundation 1,data_ai,Data & AI,platform_foundation,true,2478865,0,pilot,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,297464,2416893,2026-02-01,2027-09-28,,21_it_project_portfolio.csv,45,PMO / IT portfolio tracker,PRJ-MER-044,2026-08-24
meridian-health,PROJECT:PRJ-MER-045,PRJ-MER-045,contract and policy corpus normalization 1,data_ai,Data & AI,data_readiness,true,4056325,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,770702,4056325,2026-03-01,2027-10-28,,21_it_project_portfolio.csv,46,PMO / IT portfolio tracker,PRJ-MER-045,2026-08-24
meridian-health,PROJECT:PRJ-MER-046,PRJ-MER-046,member service intent detection pilot 1,digital,Digital & Member Experience,ai_use_case,true,2704217,12085792,intake,challenge,SVP Member Services,IT Finance Business Partner,Chief Digital Officer,703096,2433795,2026-04-01,2027-01-28,2027-06,21_it_project_portfolio.csv,47,PMO / IT portfolio tracker,PRJ-MER-046,2026-08-24
meridian-health,PROJECT:PRJ-MER-047,PRJ-MER-047,ServiceNow virtual agent expansion 1,apps,Enterprise Applications,ai_enabled_tool_rollout,true,4281677,21070922,business_case,fund,VP Enterprise Platforms,IT Finance Business Partner,VP Enterprise Applications,1412953,3960551,2026-05-01,2027-02-28,2027-07,21_it_project_portfolio.csv,48,PMO / IT portfolio tracker,PRJ-MER-047,2026-08-24
meridian-health,PROJECT:PRJ-MER-048,PRJ-MER-048,monthly close dashboard refresh 1,corporate_it,Corporate IT,analytics_bi,false,2929568,0,funded,defer,VP Controller,IT Finance Business Partner,VP Corporate IT,1171827,2783090,2026-06-01,2027-03-28,,21_it_project_portfolio.csv,49,PMO / IT portfolio tracker,PRJ-MER-048,2026-08-24
meridian-health,PROJECT:PRJ-MER-049,PRJ-MER-049,clinical referral triage assistant 1,clinical_epic,Clinical / Epic,ai_assisted_automation,true,4507028,24216847,build,fund,CMIO,IT Finance Business Partner,Chief Medical Information Officer,2118303,4394352,2026-07-01,2027-04-28,2027-09,21_it_project_portfolio.csv,50,PMO / IT portfolio tracker,PRJ-MER-049,2026-08-24
meridian-health,PROJECT:PRJ-MER-050,PRJ-MER-050,enterprise AI access management foundation 1,data_ai,Data & AI,platform_foundation,true,3154920,0,pilot,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1703657,3154920,2026-08-01,2027-05-28,,21_it_project_portfolio.csv,51,PMO / IT portfolio tracker,PRJ-MER-050,2026-08-24
meridian-health,PROJECT:PRJ-MER-051,PRJ-MER-051,measurement baseline data product 1,data_ai,Data & AI,data_readiness,true,4732380,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,567886,4259142,2026-09-01,2027-06-28,,21_it_project_portfolio.csv,52,PMO / IT portfolio tracker,PRJ-MER-051,2026-08-24
meridian-health,PROJECT:PRJ-MER-052,PRJ-MER-052,provider service request classification 1,apps,Enterprise Applications,ai_use_case,true,3380271,15107238,intake,challenge,VP Provider Operations,IT Finance Business Partner,VP Enterprise Applications,642251,3126751,2026-01-01,2027-07-28,2027-02,21_it_project_portfolio.csv,53,PMO / IT portfolio tracker,PRJ-MER-052,2026-08-24
meridian-health,PROJECT:PRJ-MER-053,PRJ-MER-053,Corporate IT denials workflow redesign wave 2,corporate_it,Corporate IT,infrastructure,false,4957731,0,business_case,continue,VP Corporate IT,IT Finance Business Partner,VP Corporate IT,1289010,4709844,2026-02-01,2027-08-28,,21_it_project_portfolio.csv,54,PMO / IT portfolio tracker,PRJ-MER-053,2026-08-24
meridian-health,PROJECT:PRJ-MER-054,PRJ-MER-054,Clinical / Epic HR case management upgrade wave 2,clinical_epic,Clinical / Epic,security,false,3605622,0,funded,continue,Chief Medical Information Officer,IT Finance Business Partner,Chief Medical Information Officer,1189855,3515481,2026-03-01,2027-09-28,,21_it_project_portfolio.csv,55,PMO / IT portfolio tracker,PRJ-MER-054,2026-08-24
meridian-health,PROJECT:PRJ-MER-055,PRJ-MER-055,Infrastructure & Cloud finance planning integration wave 2,infrastructure,Infrastructure & Cloud,mandatory_compliance,false,2253514,0,build,continue,CTO,IT Finance Business Partner,CTO,901406,2253514,2026-04-01,2027-10-28,,21_it_project_portfolio.csv,56,PMO / IT portfolio tracker,PRJ-MER-055,2026-08-24
meridian-health,PROJECT:PRJ-MER-056,PRJ-MER-056,Enterprise Applications care management workflow upgrade wave 3,apps,Enterprise Applications,ordinary_it_project,false,3830974,0,pilot,defer,VP Enterprise Applications,IT Finance Business Partner,VP Enterprise Applications,1800558,3447877,2026-05-01,2027-01-28,,21_it_project_portfolio.csv,57,PMO / IT portfolio tracker,PRJ-MER-056,2026-08-24
meridian-health,PROJECT:PRJ-MER-057,PRJ-MER-057,Data & AI claims intake modernization wave 3,data_ai,Data & AI,clinical_epic,false,2478865,0,scale,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,1338587,2292950,2026-06-01,2027-02-28,,21_it_project_portfolio.csv,58,PMO / IT portfolio tracker,PRJ-MER-057,2026-08-24
meridian-health,PROJECT:PRJ-MER-058,PRJ-MER-058,Digital & Member Experience population health data mart wave 3,digital,Digital & Member Experience,infrastructure,false,4056325,0,intake,continue,Chief Digital Officer,IT Finance Business Partner,Chief Digital Officer,486759,3853509,2026-07-01,2027-03-28,,21_it_project_portfolio.csv,59,PMO / IT portfolio tracker,PRJ-MER-058,2026-08-24
meridian-health,PROJECT:PRJ-MER-059,PRJ-MER-059,Cybersecurity & Risk interoperability interface refresh wave 3,security,Cybersecurity & Risk,security,false,2704217,0,business_case,continue,CISO,IT Finance Business Partner,CISO,513801,2636612,2026-08-01,2027-04-28,,21_it_project_portfolio.csv,60,PMO / IT portfolio tracker,PRJ-MER-059,2026-08-24
meridian-health,PROJECT:PRJ-MER-060,PRJ-MER-060,Enterprise Architecture clinical device integration wave 3,architecture,Enterprise Architecture,mandatory_compliance,false,4281677,0,funded,continue,Chief Architect,IT Finance Business Partner,Chief Architect,1113236,4281677,2026-09-01,2027-05-28,,21_it_project_portfolio.csv,61,PMO / IT portfolio tracker,PRJ-MER-060,2026-08-24
meridian-health,PROJECT:PRJ-MER-061,PRJ-MER-061,Corporate IT member mobile servicing wave 3,corporate_it,Corporate IT,ordinary_it_project,false,2929568,0,build,continue,VP Corporate IT,IT Finance Business Partner,VP Corporate IT,966757,2636611,2026-01-01,2027-06-28,,21_it_project_portfolio.csv,62,PMO / IT portfolio tracker,PRJ-MER-061,2026-08-24
meridian-health,PROJECT:PRJ-MER-062,PRJ-MER-062,Clinical / Epic provider portal remediation wave 3,clinical_epic,Clinical / Epic,clinical_epic,false,4507028,0,pilot,continue,Chief Medical Information Officer,IT Finance Business Partner,Chief Medical Information Officer,1802811,4169001,2026-02-01,2027-07-28,,21_it_project_portfolio.csv,63,PMO / IT portfolio tracker,PRJ-MER-062,2026-08-24
meridian-health,PROJECT:PRJ-MER-063,PRJ-MER-063,Infrastructure & Cloud pharmacy benefit rules cleanup wave 3,infrastructure,Infrastructure & Cloud,infrastructure,false,3154920,0,scale,continue,CTO,IT Finance Business Partner,CTO,1482812,2997174,2026-03-01,2027-08-28,,21_it_project_portfolio.csv,64,PMO / IT portfolio tracker,PRJ-MER-063,2026-08-24
meridian-health,PROJECT:PRJ-MER-064,PRJ-MER-064,Enterprise Applications quality measure reporting upgrade wave 3,apps,Enterprise Applications,security,false,4732380,0,intake,defer,VP Enterprise Applications,IT Finance Business Partner,VP Enterprise Applications,2555485,4614071,2026-04-01,2027-09-28,,21_it_project_portfolio.csv,65,PMO / IT portfolio tracker,PRJ-MER-064,2026-08-24
meridian-health,PROJECT:PRJ-MER-065,PRJ-MER-065,Data & AI enterprise observability rollout wave 3,data_ai,Data & AI,mandatory_compliance,false,3380271,0,business_case,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,405633,3380271,2026-05-01,2027-10-28,,21_it_project_portfolio.csv,66,PMO / IT portfolio tracker,PRJ-MER-065,2026-08-24
meridian-health,PROJECT:PRJ-MER-066,PRJ-MER-066,Digital & Member Experience data warehouse cost optimization wave 3,digital,Digital & Member Experience,ordinary_it_project,false,4957731,0,funded,continue,Chief Digital Officer,IT Finance Business Partner,Chief Digital Officer,941969,4461958,2026-06-01,2027-01-28,,21_it_project_portfolio.csv,67,PMO / IT portfolio tracker,PRJ-MER-066,2026-08-24
meridian-health,PROJECT:PRJ-MER-067,PRJ-MER-067,Cybersecurity & Risk contact center routing cleanup wave 3,security,Cybersecurity & Risk,clinical_epic,false,3605622,0,build,continue,CISO,IT Finance Business Partner,CISO,937462,3335200,2026-07-01,2027-02-28,,21_it_project_portfolio.csv,68,PMO / IT portfolio tracker,PRJ-MER-067,2026-08-24
meridian-health,PROJECT:PRJ-MER-068,PRJ-MER-068,Enterprise Architecture scheduling template optimization wave 3,architecture,Enterprise Architecture,infrastructure,false,2253514,0,pilot,continue,Chief Architect,IT Finance Business Partner,Chief Architect,743660,2140838,2026-08-01,2027-03-28,,21_it_project_portfolio.csv,69,PMO / IT portfolio tracker,PRJ-MER-068,2026-08-24
meridian-health,PROJECT:PRJ-MER-069,PRJ-MER-069,Corporate IT desktop virtualization refresh wave 3,corporate_it,Corporate IT,security,false,3830974,0,scale,continue,VP Corporate IT,IT Finance Business Partner,VP Corporate IT,1532390,3735200,2026-09-01,2027-04-28,,21_it_project_portfolio.csv,70,PMO / IT portfolio tracker,PRJ-MER-069,2026-08-24
meridian-health,PROJECT:PRJ-MER-070,PRJ-MER-070,Clinical / Epic backup and recovery modernization wave 3,clinical_epic,Clinical / Epic,mandatory_compliance,false,2478865,0,intake,continue,Chief Medical Information Officer,IT Finance Business Partner,Chief Medical Information Officer,1165067,2478865,2026-01-01,2027-05-28,,21_it_project_portfolio.csv,71,PMO / IT portfolio tracker,PRJ-MER-070,2026-08-24
meridian-health,PROJECT:PRJ-MER-071,PRJ-MER-071,Infrastructure & Cloud API gateway hardening wave 3,infrastructure,Infrastructure & Cloud,ordinary_it_project,false,4056325,0,business_case,continue,CTO,IT Finance Business Partner,CTO,2190416,3650693,2026-02-01,2027-06-28,,21_it_project_portfolio.csv,72,PMO / IT portfolio tracker,PRJ-MER-071,2026-08-24
meridian-health,PROJECT:PRJ-MER-072,PRJ-MER-072,Enterprise Applications Epic reporting workbench cleanup wave 3,apps,Enterprise Applications,clinical_epic,false,2704217,0,funded,defer,VP Enterprise Applications,IT Finance Business Partner,VP Enterprise Applications,324506,2501401,2026-03-01,2027-07-28,,21_it_project_portfolio.csv,73,PMO / IT portfolio tracker,PRJ-MER-072,2026-08-24
meridian-health,PROJECT:PRJ-MER-073,PRJ-MER-073,Data & AI denials workflow redesign wave 3,data_ai,Data & AI,infrastructure,false,4281677,0,build,continue,Chief Data and AI Officer,IT Finance Business Partner,Chief Data and AI Officer,813519,4067593,2026-04-01,2027-08-28,,21_it_project_portfolio.csv,74,PMO / IT portfolio tracker,PRJ-MER-073,2026-08-24
meridian-health,PROJECT:PRJ-MER-074,PRJ-MER-074,Digital & Member Experience HR case management upgrade wave 3,digital,Digital & Member Experience,security,false,2929568,0,pilot,continue,Chief Digital Officer,IT Finance Business Partner,Chief Digital Officer,761688,2856329,2026-05-01,2027-09-28,,21_it_project_portfolio.csv,75,PMO / IT portfolio tracker,PRJ-MER-074,2026-08-24
