person_key,team_id,role_family,employment_type,level,location
ROLE-0044,TEAM-SAP-CORE,scrum_master,fte,L5,Store field
ROLE-0045,TEAM-ORDER-LEGACY,qa,fte,L6,US
ROLE-0046,TEAM-STORE-TECH,security,fte,L2,India
ROLE-0047,TEAM-COMMERCE,data,fte,L3,Nearshore
ROLE-0048,TEAM-ORDER-MODERN,ops,fte,L4,Store field
ROLE-0049,TEAM-CHECKOUT-DTC,si_consultant,SI/contractor,L5,US
ROLE-0050,TEAM-DTC-WEB,contractor,SI/contractor,L6,India
ROLE-0051,TEAM-MOBILE,engineer,fte,L2,Nearshore
ROLE-0052,TEAM-ML-COMMERCE,architect,fte,L3,Store field
ROLE-0053,TEAM-DEMAND-PLANNING,product,fte,L4,US
ROLE-0054,TEAM-DATA-PLATFORM,scrum_master,fte,L5,India
ROLE-0055,TEAM-PLATFORM-OBS,qa,fte,L6,Nearshore
ROLE-0056,TEAM-HRIS,security,fte,L2,Store field
ROLE-0057,TEAM-MAINFRAME-LEGACY,data,fte,L3,US
ROLE-0058,TEAM-SAP-CORE,ops,fte,L4,India
ROLE-0059,TEAM-ORDER-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0060,TEAM-STORE-TECH,contractor,SI/contractor,L6,Store field
ROLE-0061,TEAM-COMMERCE,engineer,fte,L2,US
ROLE-0062,TEAM-ORDER-MODERN,architect,fte,L3,India
ROLE-0063,TEAM-CHECKOUT-DTC,product,fte,L4,Nearshore
ROLE-0064,TEAM-DTC-WEB,scrum_master,fte,L5,Store field
ROLE-0065,TEAM-MOBILE,qa,fte,L6,US
ROLE-0066,TEAM-ML-COMMERCE,security,fte,L2,India
ROLE-0067,TEAM-DEMAND-PLANNING,data,fte,L3,Nearshore
ROLE-0068,TEAM-DATA-PLATFORM,ops,fte,L4,Store field
ROLE-0069,TEAM-PLATFORM-OBS,si_consultant,SI/contractor,L5,US
ROLE-0070,TEAM-HRIS,contractor,SI/contractor,L6,India
ROLE-0071,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,Nearshore
ROLE-0072,TEAM-SAP-CORE,architect,fte,L3,Store field
ROLE-0073,TEAM-ORDER-LEGACY,product,fte,L4,US
ROLE-0074,TEAM-STORE-TECH,scrum_master,fte,L5,India
ROLE-0075,TEAM-COMMERCE,qa,fte,L6,Nearshore
ROLE-0076,TEAM-ORDER-MODERN,security,fte,L2,Store field
ROLE-0077,TEAM-CHECKOUT-DTC,data,fte,L3,US
ROLE-0078,TEAM-DTC-WEB,ops,fte,L4,India
ROLE-0079,TEAM-MOBILE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0080,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,Store field
ROLE-0081,TEAM-DEMAND-PLANNING,engineer,fte,L2,US
ROLE-0082,TEAM-DATA-PLATFORM,architect,fte,L3,India
ROLE-0083,TEAM-PLATFORM-OBS,product,fte,L4,Nearshore
ROLE-0084,TEAM-HRIS,scrum_master,fte,L5,Store field
ROLE-0085,TEAM-MAINFRAME-LEGACY,qa,fte,L6,US
ROLE-0086,TEAM-SAP-CORE,security,fte,L2,India
ROLE-0087,TEAM-ORDER-LEGACY,data,fte,L3,Nearshore
ROLE-0088,TEAM-STORE-TECH,ops,fte,L4,Store field
ROLE-0089,TEAM-COMMERCE,si_consultant,SI/contractor,L5,US
ROLE-0090,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,India
ROLE-0091,TEAM-CHECKOUT-DTC,engineer,fte,L2,Nearshore
ROLE-0092,TEAM-DTC-WEB,architect,fte,L3,Store field
ROLE-0093,TEAM-MOBILE,product,fte,L4,US
ROLE-0094,TEAM-ML-COMMERCE,scrum_master,fte,L5,India
ROLE-0095,TEAM-DEMAND-PLANNING,qa,fte,L6,Nearshore
ROLE-0096,TEAM-DATA-PLATFORM,security,fte,L2,Store field
ROLE-0097,TEAM-PLATFORM-OBS,data,fte,L3,US
ROLE-0098,TEAM-HRIS,ops,fte,L4,India
ROLE-0099,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0100,TEAM-SAP-CORE,contractor,SI/contractor,L6,Store field
ROLE-0101,TEAM-ORDER-LEGACY,engineer,fte,L2,US
ROLE-0102,TEAM-STORE-TECH,architect,fte,L3,India
ROLE-0103,TEAM-COMMERCE,product,fte,L4,Nearshore
ROLE-0104,TEAM-ORDER-MODERN,scrum_master,fte,L5,Store field
ROLE-0105,TEAM-CHECKOUT-DTC,qa,fte,L6,US
ROLE-0106,TEAM-DTC-WEB,security,fte,L2,India
ROLE-0107,TEAM-MOBILE,data,fte,L3,Nearshore
ROLE-0108,TEAM-ML-COMMERCE,ops,fte,L4,Store field
ROLE-0109,TEAM-DEMAND-PLANNING,si_consultant,SI/contractor,L5,US
ROLE-0110,TEAM-DATA-PLATFORM,contractor,SI/contractor,L6,India
ROLE-0111,TEAM-PLATFORM-OBS,engineer,fte,L2,Nearshore
ROLE-0112,TEAM-HRIS,architect,fte,L3,Store field
ROLE-0113,TEAM-MAINFRAME-LEGACY,product,fte,L4,US
ROLE-0114,TEAM-SAP-CORE,scrum_master,fte,L5,India
ROLE-0115,TEAM-ORDER-LEGACY,qa,fte,L6,Nearshore
ROLE-0116,TEAM-STORE-TECH,security,fte,L2,Store field
ROLE-0117,TEAM-COMMERCE,data,fte,L3,US
ROLE-0118,TEAM-ORDER-MODERN,ops,fte,L4,India
ROLE-0119,TEAM-CHECKOUT-DTC,si_consultant,SI/contractor,L5,Nearshore
ROLE-0120,TEAM-DTC-WEB,contractor,SI/contractor,L6,Store field
ROLE-0121,TEAM-MOBILE,engineer,fte,L2,US
ROLE-0122,TEAM-ML-COMMERCE,architect,fte,L3,India
ROLE-0123,TEAM-DEMAND-PLANNING,product,fte,L4,Nearshore
ROLE-0124,TEAM-DATA-PLATFORM,scrum_master,fte,L5,Store field
ROLE-0125,TEAM-PLATFORM-OBS,qa,fte,L6,US
ROLE-0126,TEAM-HRIS,security,fte,L2,India
ROLE-0127,TEAM-MAINFRAME-LEGACY,data,fte,L3,Nearshore
ROLE-0128,TEAM-SAP-CORE,ops,fte,L4,Store field
ROLE-0129,TEAM-ORDER-LEGACY,si_consultant,SI/contractor,L5,US
ROLE-0130,TEAM-STORE-TECH,contractor,SI/contractor,L6,India
ROLE-0131,TEAM-COMMERCE,engineer,fte,L2,Nearshore
ROLE-0132,TEAM-ORDER-MODERN,architect,fte,L3,Store field
ROLE-0133,TEAM-CHECKOUT-DTC,product,fte,L4,US
ROLE-0134,TEAM-DTC-WEB,scrum_master,fte,L5,India
ROLE-0135,TEAM-MOBILE,qa,fte,L6,Nearshore
ROLE-0136,TEAM-ML-COMMERCE,security,fte,L2,Store field
ROLE-0137,TEAM-DEMAND-PLANNING,data,fte,L3,US
ROLE-0138,TEAM-DATA-PLATFORM,ops,fte,L4,India
ROLE-0139,TEAM-PLATFORM-OBS,si_consultant,SI/contractor,L5,Nearshore
ROLE-0140,TEAM-HRIS,contractor,SI/contractor,L6,Store field
ROLE-0141,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,US
ROLE-0142,TEAM-SAP-CORE,architect,fte,L3,India
ROLE-0143,TEAM-ORDER-LEGACY,product,fte,L4,Nearshore
ROLE-0144,TEAM-STORE-TECH,scrum_master,fte,L5,Store field
ROLE-0145,TEAM-COMMERCE,qa,fte,L6,US
ROLE-0146,TEAM-ORDER-MODERN,security,fte,L2,India
ROLE-0147,TEAM-CHECKOUT-DTC,data,fte,L3,Nearshore
ROLE-0148,TEAM-DTC-WEB,ops,fte,L4,Store field
ROLE-0149,TEAM-MOBILE,si_consultant,SI/contractor,L5,US
ROLE-0150,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,India
ROLE-0151,TEAM-DEMAND-PLANNING,engineer,fte,L2,Nearshore
ROLE-0152,TEAM-DATA-PLATFORM,architect,fte,L3,Store field
ROLE-0153,TEAM-PLATFORM-OBS,product,fte,L4,US
ROLE-0154,TEAM-HRIS,scrum_master,fte,L5,India
ROLE-0155,TEAM-MAINFRAME-LEGACY,qa,fte,L6,Nearshore
ROLE-0156,TEAM-SAP-CORE,security,fte,L2,Store field
ROLE-0157,TEAM-ORDER-LEGACY,data,fte,L3,US
ROLE-0158,TEAM-STORE-TECH,ops,fte,L4,India
ROLE-0159,TEAM-COMMERCE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0160,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,Store field
ROLE-0161,TEAM-CHECKOUT-DTC,engineer,fte,L2,US
ROLE-0162,TEAM-DTC-WEB,architect,fte,L3,India
ROLE-0163,TEAM-MOBILE,product,fte,L4,Nearshore
ROLE-0164,TEAM-ML-COMMERCE,scrum_master,fte,L5,Store field
ROLE-0165,TEAM-DEMAND-PLANNING,qa,fte,L6,US
ROLE-0166,TEAM-DATA-PLATFORM,security,fte,L2,India
ROLE-0167,TEAM-PLATFORM-OBS,data,fte,L3,Nearshore
ROLE-0168,TEAM-HRIS,ops,fte,L4,Store field
ROLE-0169,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,US
ROLE-0170,TEAM-SAP-CORE,contractor,SI/contractor,L6,India
ROLE-0171,TEAM-ORDER-LEGACY,engineer,fte,L2,Nearshore
ROLE-0172,TEAM-STORE-TECH,architect,fte,L3,Store field
ROLE-0173,TEAM-COMMERCE,product,fte,L4,US
ROLE-0174,TEAM-ORDER-MODERN,scrum_master,fte,L5,India
ROLE-0175,TEAM-CHECKOUT-DTC,qa,fte,L6,Nearshore
ROLE-0176,TEAM-DTC-WEB,security,fte,L2,Store field
ROLE-0177,TEAM-MOBILE,data,fte,L3,US
ROLE-0178,TEAM-ML-COMMERCE,ops,fte,L4,India
ROLE-0179,TEAM-DEMAND-PLANNING,si_consultant,SI/contractor,L5,Nearshore
ROLE-0180,TEAM-DATA-PLATFORM,contractor,SI/contractor,L6,Store field
ROLE-0181,TEAM-PLATFORM-OBS,engineer,fte,L2,US
ROLE-0182,TEAM-HRIS,architect,fte,L3,India
ROLE-0183,TEAM-MAINFRAME-LEGACY,product,fte,L4,Nearshore
ROLE-0184,TEAM-SAP-CORE,scrum_master,fte,L5,Store field
ROLE-0185,TEAM-ORDER-LEGACY,qa,fte,L6,US
ROLE-0186,TEAM-STORE-TECH,security,fte,L2,India
ROLE-0187,TEAM-COMMERCE,data,fte,L3,Nearshore
ROLE-0188,TEAM-ORDER-MODERN,ops,fte,L4,Store field
ROLE-0189,TEAM-CHECKOUT-DTC,si_consultant,SI/contractor,L5,US
ROLE-0190,TEAM-DTC-WEB,contractor,SI/contractor,L6,India
ROLE-0191,TEAM-MOBILE,engineer,fte,L2,Nearshore
ROLE-0192,TEAM-ML-COMMERCE,architect,fte,L3,Store field
ROLE-0193,TEAM-DEMAND-PLANNING,product,fte,L4,US
ROLE-0194,TEAM-DATA-PLATFORM,scrum_master,fte,L5,India
ROLE-0195,TEAM-PLATFORM-OBS,qa,fte,L6,Nearshore
ROLE-0196,TEAM-HRIS,security,fte,L2,Store field
ROLE-0197,TEAM-MAINFRAME-LEGACY,data,fte,L3,US
ROLE-0198,TEAM-SAP-CORE,ops,fte,L4,India
ROLE-0199,TEAM-ORDER-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0200,TEAM-STORE-TECH,contractor,SI/contractor,L6,Store field
ROLE-0201,TEAM-COMMERCE,engineer,fte,L2,US
ROLE-0202,TEAM-ORDER-MODERN,architect,fte,L3,India
ROLE-0203,TEAM-CHECKOUT-DTC,product,fte,L4,Nearshore
ROLE-0204,TEAM-DTC-WEB,scrum_master,fte,L5,Store field
ROLE-0205,TEAM-MOBILE,qa,fte,L6,US
ROLE-0206,TEAM-ML-COMMERCE,security,fte,L2,India
ROLE-0207,TEAM-DEMAND-PLANNING,data,fte,L3,Nearshore
ROLE-0208,TEAM-DATA-PLATFORM,ops,fte,L4,Store field
ROLE-0209,TEAM-PLATFORM-OBS,si_consultant,SI/contractor,L5,US
ROLE-0210,TEAM-HRIS,contractor,SI/contractor,L6,India
ROLE-0211,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,Nearshore
ROLE-0212,TEAM-SAP-CORE,architect,fte,L3,Store field
ROLE-0213,TEAM-ORDER-LEGACY,product,fte,L4,US
ROLE-0214,TEAM-STORE-TECH,scrum_master,fte,L5,India
ROLE-0215,TEAM-COMMERCE,qa,fte,L6,Nearshore
ROLE-0216,TEAM-ORDER-MODERN,security,fte,L2,Store field
ROLE-0217,TEAM-CHECKOUT-DTC,data,fte,L3,US
ROLE-0218,TEAM-DTC-WEB,ops,fte,L4,India
ROLE-0219,TEAM-MOBILE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0220,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,Store field
ROLE-0221,TEAM-DEMAND-PLANNING,engineer,fte,L2,US
ROLE-0222,TEAM-DATA-PLATFORM,architect,fte,L3,India
ROLE-0223,TEAM-PLATFORM-OBS,product,fte,L4,Nearshore
ROLE-0224,TEAM-HRIS,scrum_master,fte,L5,Store field
ROLE-0225,TEAM-MAINFRAME-LEGACY,qa,fte,L6,US
ROLE-0226,TEAM-SAP-CORE,security,fte,L2,India
ROLE-0227,TEAM-ORDER-LEGACY,data,fte,L3,Nearshore
ROLE-0228,TEAM-STORE-TECH,ops,fte,L4,Store field
ROLE-0229,TEAM-COMMERCE,si_consultant,SI/contractor,L5,US
ROLE-0230,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,India
ROLE-0231,TEAM-CHECKOUT-DTC,engineer,fte,L2,Nearshore
ROLE-0232,TEAM-DTC-WEB,architect,fte,L3,Store field
ROLE-0233,TEAM-MOBILE,product,fte,L4,US
ROLE-0234,TEAM-ML-COMMERCE,scrum_master,fte,L5,India
ROLE-0235,TEAM-DEMAND-PLANNING,qa,fte,L6,Nearshore
ROLE-0236,TEAM-DATA-PLATFORM,security,fte,L2,Store field
ROLE-0237,TEAM-PLATFORM-OBS,data,fte,L3,US
ROLE-0238,TEAM-HRIS,ops,fte,L4,India
ROLE-0239,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0240,TEAM-SAP-CORE,contractor,SI/contractor,L6,Store field
ROLE-0241,TEAM-ORDER-LEGACY,engineer,fte,L2,US
ROLE-0242,TEAM-STORE-TECH,architect,fte,L3,India
ROLE-0243,TEAM-COMMERCE,product,fte,L4,Nearshore
ROLE-0244,TEAM-ORDER-MODERN,scrum_master,fte,L5,Store field
ROLE-0245,TEAM-CHECKOUT-DTC,qa,fte,L6,US
ROLE-0246,TEAM-DTC-WEB,security,fte,L2,India
ROLE-0247,TEAM-MOBILE,data,fte,L3,Nearshore
ROLE-0248,TEAM-ML-COMMERCE,ops,fte,L4,Store field
ROLE-0249,TEAM-DEMAND-PLANNING,si_consultant,SI/contractor,L5,US
ROLE-0250,TEAM-DATA-PLATFORM,contractor,SI/contractor,L6,India
ROLE-0251,TEAM-PLATFORM-OBS,engineer,fte,L2,Nearshore
ROLE-0252,TEAM-HRIS,architect,fte,L3,Store field
ROLE-0253,TEAM-MAINFRAME-LEGACY,product,fte,L4,US
ROLE-0254,TEAM-SAP-CORE,scrum_master,fte,L5,India
ROLE-0255,TEAM-ORDER-LEGACY,qa,fte,L6,Nearshore
ROLE-0256,TEAM-STORE-TECH,security,fte,L2,Store field
ROLE-0257,TEAM-COMMERCE,data,fte,L3,US
ROLE-0258,TEAM-ORDER-MODERN,ops,fte,L4,India
ROLE-0259,TEAM-CHECKOUT-DTC,si_consultant,SI/contractor,L5,Nearshore
ROLE-0260,TEAM-DTC-WEB,contractor,SI/contractor,L6,Store field
ROLE-0261,TEAM-MOBILE,engineer,fte,L2,US
ROLE-0262,TEAM-ML-COMMERCE,architect,fte,L3,India
ROLE-0263,TEAM-DEMAND-PLANNING,product,fte,L4,Nearshore
ROLE-0264,TEAM-DATA-PLATFORM,scrum_master,fte,L5,Store field
ROLE-0265,TEAM-PLATFORM-OBS,qa,fte,L6,US
ROLE-0266,TEAM-HRIS,security,fte,L2,India
ROLE-0267,TEAM-MAINFRAME-LEGACY,data,fte,L3,Nearshore
ROLE-0268,TEAM-SAP-CORE,ops,fte,L4,Store field
ROLE-0269,TEAM-ORDER-LEGACY,si_consultant,SI/contractor,L5,US
ROLE-0270,TEAM-STORE-TECH,contractor,SI/contractor,L6,India
ROLE-0271,TEAM-COMMERCE,engineer,fte,L2,Nearshore
ROLE-0272,TEAM-ORDER-MODERN,architect,fte,L3,Store field
ROLE-0273,TEAM-CHECKOUT-DTC,product,fte,L4,US
ROLE-0274,TEAM-DTC-WEB,scrum_master,fte,L5,India
ROLE-0275,TEAM-MOBILE,qa,fte,L6,Nearshore
ROLE-0276,TEAM-ML-COMMERCE,security,fte,L2,Store field
ROLE-0277,TEAM-DEMAND-PLANNING,data,fte,L3,US
ROLE-0278,TEAM-DATA-PLATFORM,ops,fte,L4,India
ROLE-0279,TEAM-PLATFORM-OBS,si_consultant,SI/contractor,L5,Nearshore
ROLE-0280,TEAM-HRIS,contractor,SI/contractor,L6,Store field
ROLE-0281,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,US
ROLE-0282,TEAM-SAP-CORE,architect,fte,L3,India
ROLE-0283,TEAM-ORDER-LEGACY,product,fte,L4,Nearshore
ROLE-0284,TEAM-STORE-TECH,scrum_master,fte,L5,Store field
ROLE-0285,TEAM-COMMERCE,qa,fte,L6,US
ROLE-0286,TEAM-ORDER-MODERN,security,fte,L2,India
ROLE-0287,TEAM-CHECKOUT-DTC,data,fte,L3,Nearshore
ROLE-0288,TEAM-DTC-WEB,ops,fte,L4,Store field
ROLE-0289,TEAM-MOBILE,si_consultant,SI/contractor,L5,US
ROLE-0290,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,India
ROLE-0291,TEAM-DEMAND-PLANNING,engineer,fte,L2,Nearshore
ROLE-0292,TEAM-DATA-PLATFORM,architect,fte,L3,Store field
ROLE-0293,TEAM-PLATFORM-OBS,product,fte,L4,US
ROLE-0294,TEAM-HRIS,scrum_master,fte,L5,India
ROLE-0295,TEAM-MAINFRAME-LEGACY,qa,fte,L6,Nearshore
ROLE-0296,TEAM-SAP-CORE,security,fte,L2,Store field
ROLE-0297,TEAM-ORDER-LEGACY,data,fte,L3,US
ROLE-0298,TEAM-STORE-TECH,ops,fte,L4,India
ROLE-0299,TEAM-COMMERCE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0300,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,Store field
ROLE-0301,TEAM-CHECKOUT-DTC,engineer,fte,L2,US
ROLE-0302,TEAM-DTC-WEB,architect,fte,L3,India
ROLE-0303,TEAM-MOBILE,product,fte,L4,Nearshore
ROLE-0304,TEAM-ML-COMMERCE,scrum_master,fte,L5,Store field
ROLE-0305,TEAM-DEMAND-PLANNING,qa,fte,L6,US
ROLE-0306,TEAM-DATA-PLATFORM,security,fte,L2,India
ROLE-0307,TEAM-PLATFORM-OBS,data,fte,L3,Nearshore
ROLE-0308,TEAM-HRIS,ops,fte,L4,Store field
ROLE-0309,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,US
ROLE-0310,TEAM-SAP-CORE,contractor,SI/contractor,L6,India
ROLE-0311,TEAM-ORDER-LEGACY,engineer,fte,L2,Nearshore
ROLE-0312,TEAM-STORE-TECH,architect,fte,L3,Store field
ROLE-0313,TEAM-COMMERCE,product,fte,L4,US
ROLE-0314,TEAM-ORDER-MODERN,scrum_master,fte,L5,India
ROLE-0315,TEAM-CHECKOUT-DTC,qa,fte,L6,Nearshore
ROLE-0316,TEAM-DTC-WEB,security,fte,L2,Store field
ROLE-0317,TEAM-MOBILE,data,fte,L3,US
ROLE-0318,TEAM-ML-COMMERCE,ops,fte,L4,India
ROLE-0319,TEAM-DEMAND-PLANNING,si_consultant,SI/contractor,L5,Nearshore
ROLE-0320,TEAM-DATA-PLATFORM,contractor,SI/contractor,L6,Store field
ROLE-0321,TEAM-PLATFORM-OBS,engineer,fte,L2,US
ROLE-0322,TEAM-HRIS,architect,fte,L3,India
ROLE-0323,TEAM-MAINFRAME-LEGACY,product,fte,L4,Nearshore
ROLE-0324,TEAM-SAP-CORE,scrum_master,fte,L5,Store field
ROLE-0325,TEAM-ORDER-LEGACY,qa,fte,L6,US
ROLE-0326,TEAM-STORE-TECH,security,fte,L2,India
ROLE-0327,TEAM-COMMERCE,data,fte,L3,Nearshore
ROLE-0328,TEAM-ORDER-MODERN,ops,fte,L4,Store field
ROLE-0329,TEAM-CHECKOUT-DTC,si_consultant,SI/contractor,L5,US
ROLE-0330,TEAM-DTC-WEB,contractor,SI/contractor,L6,India
ROLE-0331,TEAM-MOBILE,engineer,fte,L2,Nearshore
ROLE-0332,TEAM-ML-COMMERCE,architect,fte,L3,Store field
ROLE-0333,TEAM-DEMAND-PLANNING,product,fte,L4,US
ROLE-0334,TEAM-DATA-PLATFORM,scrum_master,fte,L5,India
ROLE-0335,TEAM-PLATFORM-OBS,qa,fte,L6,Nearshore
ROLE-0336,TEAM-HRIS,security,fte,L2,Store field
ROLE-0337,TEAM-MAINFRAME-LEGACY,data,fte,L3,US
ROLE-0338,TEAM-SAP-CORE,ops,fte,L4,India
ROLE-0339,TEAM-ORDER-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0340,TEAM-STORE-TECH,contractor,SI/contractor,L6,Store field
ROLE-0341,TEAM-COMMERCE,engineer,fte,L2,US
ROLE-0342,TEAM-ORDER-MODERN,architect,fte,L3,India
ROLE-0343,TEAM-CHECKOUT-DTC,product,fte,L4,Nearshore
ROLE-0344,TEAM-DTC-WEB,scrum_master,fte,L5,Store field
ROLE-0345,TEAM-MOBILE,qa,fte,L6,US
ROLE-0346,TEAM-ML-COMMERCE,security,fte,L2,India
ROLE-0347,TEAM-DEMAND-PLANNING,data,fte,L3,Nearshore
ROLE-0348,TEAM-DATA-PLATFORM,ops,fte,L4,Store field
ROLE-0349,TEAM-PLATFORM-OBS,si_consultant,SI/contractor,L5,US
ROLE-0350,TEAM-HRIS,contractor,SI/contractor,L6,India
ROLE-0351,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,Nearshore
ROLE-0352,TEAM-SAP-CORE,architect,fte,L3,Store field
ROLE-0353,TEAM-ORDER-LEGACY,product,fte,L4,US
ROLE-0354,TEAM-STORE-TECH,scrum_master,fte,L5,India
ROLE-0355,TEAM-COMMERCE,qa,fte,L6,Nearshore
ROLE-0356,TEAM-ORDER-MODERN,security,fte,L2,Store field
ROLE-0357,TEAM-CHECKOUT-DTC,data,fte,L3,US
ROLE-0358,TEAM-DTC-WEB,ops,fte,L4,India
ROLE-0359,TEAM-MOBILE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0360,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,Store field
ROLE-0361,TEAM-DEMAND-PLANNING,engineer,fte,L2,US
ROLE-0362,TEAM-DATA-PLATFORM,architect,fte,L3,India
ROLE-0363,TEAM-PLATFORM-OBS,product,fte,L4,Nearshore
ROLE-0364,TEAM-HRIS,scrum_master,fte,L5,Store field
ROLE-0365,TEAM-MAINFRAME-LEGACY,qa,fte,L6,US
ROLE-0366,TEAM-SAP-CORE,security,fte,L2,India
ROLE-0367,TEAM-ORDER-LEGACY,data,fte,L3,Nearshore
ROLE-0368,TEAM-STORE-TECH,ops,fte,L4,Store field
ROLE-0369,TEAM-COMMERCE,si_consultant,SI/contractor,L5,US
ROLE-0370,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,India
ROLE-0371,TEAM-CHECKOUT-DTC,engineer,fte,L2,Nearshore
ROLE-0372,TEAM-DTC-WEB,architect,fte,L3,Store field
ROLE-0373,TEAM-MOBILE,product,fte,L4,US
ROLE-0374,TEAM-ML-COMMERCE,scrum_master,fte,L5,India
ROLE-0375,TEAM-DEMAND-PLANNING,qa,fte,L6,Nearshore
ROLE-0376,TEAM-DATA-PLATFORM,security,fte,L2,Store field
ROLE-0377,TEAM-PLATFORM-OBS,data,fte,L3,US
ROLE-0378,TEAM-HRIS,ops,fte,L4,India
ROLE-0379,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,Nearshore
ROLE-0380,TEAM-SAP-CORE,contractor,SI/contractor,L6,Store field
ROLE-0381,TEAM-ORDER-LEGACY,engineer,fte,L2,US
ROLE-0382,TEAM-STORE-TECH,architect,fte,L3,India
ROLE-0383,TEAM-COMMERCE,product,fte,L4,Nearshore
ROLE-0384,TEAM-ORDER-MODERN,scrum_master,fte,L5,Store field
