module,schema_table,provisional_canonical_object_family,mapping_confidence,current_authority,identity_map_required,publication_trigger,required_evidence,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,status
Tower,public.ai_control_dora_metrics,knowledge.metric_observation,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_evidence_items,knowledge.evidence,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,evidence_key; evidence_type; citation_label; citation_locator; evidence_pointer; evidence_state; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_initiatives,knowledge.program,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_persona_productivity,knowledge.metric_observation,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; confidence; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_risk_governance,knowledge.risk_control,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_spend_contracts,knowledge.contract,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_tool_usage_monthly,knowledge.metric_observation,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.application_portfolio,knowledge.application,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,No parsed lineage fields; inspect write path before promotion,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.enterprise_context_records,to_be_mapped_after_live_profile,unresolved,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; source_file_id; source_system; source_record_id; source_file; source_sheet; source_row_number; confidence; evidence_pointer,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.tower_cmdb_cis,knowledge.application,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_system,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.tower_read_model_vendors,knowledge.vendor,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,evidence_ids; citations; lineage,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.use_cases,knowledge.program,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source; source_engagement_id; source_file_id,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
