wave,module,current_object_or_path,current_authority,current_writers,current_readers,target_operational_owner,provisional_canonical_object_family,mapping_confidence,target_consumption_projection,migration_method,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,read_only_observation_period,archive_requirement,drop_authorization,status
Module-specific workflow preservation,Moves,public.move_template_versions,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.move_templates,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Moves,public.program_evidence_reviews,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/moves-evidence-lifecycle.mjs,Moves,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.ai_control_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.data_inventory_records,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/adapters/apex-retail-adapter.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.data_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.enterprise_context_chunks,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/demo-question-readiness.mjs; src/lib/source/adapters/apex-retail-adapter.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.enterprise_context_source_files,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.enterprise_context_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.evidence,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/audit/build-data-intelligence-redesign-report.mjs; scripts/audit/meridian-data-state-reconciliation.mjs; scripts/tower/tower-data-trust-gate.mjs; src/lib/source/__tests__/gate-auto-assessment.test.ts; src/lib/source/agent-generation/prompt-registry.ts; src/lib/source/archetypes/registry.ts; src/lib/source/gate-auto-assessment-persist.ts; src/lib/source/gate-auto-assessment.ts,Source until publication,knowledge.evidence,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.external_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.home_knowledge_evidence_sources,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source until publication,knowledge.evidence,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.knowledge_sources,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.person_client_memberships,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.persons,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_artifact_acceptances,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/artifact-acceptances.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_artifact_chunks,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/text-parser.ts,Source until publication,knowledge.evidence_chunk,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_artifact_facts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/text-parser.ts,Source until publication,knowledge.fact,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_artifacts,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/knowledge-layer-inventory.sql; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/accept/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/client-final/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/render/route.ts; src/app/api/v1/source/[eventId]/nexus/ask/route.ts; src/lib/source/agent-generation/context-binder.ts; src/lib/source/artifact-registry/index.ts; src/lib/source/contracts/upstream-satisfaction.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_commercial_exceptions,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_context_receipts,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_evidence_manifests,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,Source until publication,knowledge.evidence_manifest,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_evidence_metrics,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,Source until publication,knowledge.metric_observation,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_evidence_rows,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/contract-evidence/persistence.ts; src/lib/source/contract-evidence/read-model.ts,Source until publication,knowledge.evidence_fragment_or_contract_fact_assertion,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_optimization_findings,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source until publication,knowledge.contract_finding,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_optimization_levers,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source until publication,knowledge.value_driver_or_commercial_lever,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_contract_optimization_profiles,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source until publication,knowledge.contract_profile,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_activity,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/activity-log.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_approvals,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/__tests__/approval-ledger.test.ts; src/lib/source/approval-ledger-model.ts; src/lib/source/approval-ledger.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_artifact_states,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/qa/lakeshore-ams-artifact-audit.mjs; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/accept/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/body/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/client-final/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/enqueue-worker/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/generate/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/safe-repair/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/status/route.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_code_backfill_audit,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_evidence_states,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/app/api/v1/source/[eventId]/evidence/[requirementId]/answer/route.ts; src/app/api/v1/source/[eventId]/gate-criteria/[criterionId]/state/route.ts; src/app/api/v1/source/[eventId]/stage/route.ts; src/app/api/v1/source/[eventId]/test-reset/route.ts; src/lib/source/canvas-substrate/upload-sync.ts; src/lib/source/queries.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_event_facts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/door1/facts-reader.ts; src/lib/source/facts/evaluators/orchestrator.ts; src/lib/source/facts/event-facts-reader.ts,Source until publication,knowledge.fact,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_gate_criterion_states,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/app/api/v1/source/[eventId]/artifacts/upload/route.ts; src/app/api/v1/source/[eventId]/gate-criteria/[criterionId]/state/route.ts; src/app/api/v1/source/[eventId]/stage/route.ts; src/app/api/v1/source/[eventId]/test-reset/route.ts; src/lib/source/approvals-inbox.ts; src/lib/source/canvas-substrate/upload-sync.ts; src/lib/source/queries.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_participants,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/source/load-skyharbor-contract-optimization.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_event_pricing_submissions,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/source/pricing-submissions/__tests__/dao.azure-read.test.ts; src/lib/source/pricing-submissions/dao.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_events,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/live-tenant-population-audit.mjs; scripts/qa/lakeshore-ams-artifact-audit.mjs; scripts/source/load-skyharbor-contract-optimization.ts; src/app/(maestro)/source/events/[eventId]/approval/page.tsx; src/app/(maestro)/source/events/[eventId]/page.tsx; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/accept/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/body/route.ts; src/app/api/v1/source/[eventId]/artifacts/[artifactCode]/client-final/route.ts,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Source,public.source_graph_edges,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Source,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Source,public.source_meeting_outcomes,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/source/artifact-registry/text-parser.ts,Source until publication,to_be_mapped_after_live_profile,unresolved,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
