app_id,name,stack_era,criticality,owner_role,system_of_record,business_unit_id,ams_vendor,time_classification,annual_run_cost_usd,regulatory_scope,notes
NST-APP-081,Modern microservice Capability 81,Modern microservice,P0,VP HIS,false,BU-STERILE,Accenture,invest,6282000,standard,
NST-APP-082,Python ML Capability 82,Python ML,P2,VP Commercial,false,BU-MONITOR,Infosys,invest,6354000,standard,
NST-APP-083,Plant edge Capability 83,Plant edge,P2,VP Security,false,BU-FILTER,Siemens,invest,6426000,standard,
NST-APP-084,SAP Capability 84,SAP,P1,VP ERP,false,BU-AWC,PTC,migrate,6498000,GxP,
NST-APP-085,Oracle Capability 85,Oracle,P2,VP Quality,true,BU-DENTAL,Veeva,tolerate,6570000,standard,
NST-APP-086,JD Edwards Capability 86,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Salesforce,invest,6642000,standard,
NST-APP-087,Infor Capability 87,Infor,P2,VP HIS,false,BU-STERILE,ServiceNow,invest,6714000,standard,
NST-APP-088,AS/400 Capability 88,AS/400,P1,VP Commercial,false,BU-MONITOR,Microsoft,invest,6786000,SOX,RESTRUCTURE CANDIDATE: JD Edwards Dental Sunset
NST-APP-089,Mainframe Capability 89,Mainframe,P2,VP Security,false,BU-FILTER,AWS,invest,6858000,standard,
NST-APP-090,Java legacy Capability 90,Java legacy,P0,,true,BU-AWC,Azure,tolerate,6930000,GxP,
NST-APP-091,.NET Framework Capability 91,.NET Framework,P2,VP Quality,false,BU-DENTAL,SAP,migrate,7002000,standard,
NST-APP-092,SaaS Capability 92,SaaS,P1,VP Manufacturing,false,BU-HIS,Oracle,invest,7074000,SOX,
NST-APP-093,Modern microservice Capability 93,Modern microservice,P2,VP HIS,false,BU-STERILE,Cognizant,invest,7146000,standard,
NST-APP-094,Python ML Capability 94,Python ML,P2,VP Commercial,false,BU-MONITOR,Accenture,invest,7218000,standard,
NST-APP-095,Plant edge Capability 95,Plant edge,P2,VP Security,true,BU-FILTER,Infosys,retire,7290000,standard,
NST-APP-096,SAP Capability 96,SAP,P1,VP ERP,false,BU-AWC,Siemens,invest,7362000,GxP,
NST-APP-097,Oracle Capability 97,Oracle,P2,VP Quality,false,BU-DENTAL,PTC,invest,7434000,standard,
NST-APP-098,JD Edwards Capability 98,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Veeva,migrate,7506000,standard,
NST-APP-099,Infor Capability 99,Infor,P0,VP HIS,false,BU-STERILE,Salesforce,invest,7578000,standard,
NST-APP-100,AS/400 Capability 100,AS/400,P1,VP Commercial,true,BU-MONITOR,ServiceNow,tolerate,7650000,SOX,
NST-APP-101,Mainframe Capability 101,Mainframe,P2,VP Security,false,BU-FILTER,Microsoft,invest,7722000,standard,
NST-APP-102,Java legacy Capability 102,Java legacy,P2,VP ERP,false,BU-AWC,AWS,invest,7794000,GxP,
NST-APP-103,.NET Framework Capability 103,.NET Framework,P2,VP Quality,false,BU-DENTAL,Azure,invest,7866000,standard,
NST-APP-104,SaaS Capability 104,SaaS,P1,VP Manufacturing,false,BU-HIS,SAP,invest,7938000,SOX,
NST-APP-105,Modern microservice Capability 105,Modern microservice,P2,VP HIS,true,BU-STERILE,Oracle,migrate,8010000,standard,
NST-APP-106,Python ML Capability 106,Python ML,P2,VP Commercial,false,BU-MONITOR,Cognizant,invest,8082000,standard,
NST-APP-107,Plant edge Capability 107,Plant edge,P2,VP Security,false,BU-FILTER,Accenture,invest,8154000,standard,
NST-APP-108,SAP Capability 108,SAP,P0,,false,BU-AWC,Infosys,invest,8226000,GxP,
NST-APP-109,Oracle Capability 109,Oracle,P2,VP Quality,false,BU-DENTAL,Siemens,invest,8298000,standard,
NST-APP-110,JD Edwards Capability 110,JD Edwards,P2,VP Manufacturing,true,BU-HIS,PTC,tolerate,8370000,standard,
NST-APP-111,Infor Capability 111,Infor,P2,VP HIS,false,BU-STERILE,Veeva,invest,8442000,standard,
NST-APP-112,AS/400 Capability 112,AS/400,P1,VP Commercial,false,BU-MONITOR,Salesforce,migrate,8514000,SOX,
NST-APP-113,Mainframe Capability 113,Mainframe,P2,VP Security,false,BU-FILTER,ServiceNow,invest,8586000,standard,
NST-APP-114,Java legacy Capability 114,Java legacy,P2,VP ERP,false,BU-AWC,Microsoft,retire,8658000,GxP,
NST-APP-115,.NET Framework Capability 115,.NET Framework,P2,VP Quality,true,BU-DENTAL,AWS,tolerate,8730000,standard,
NST-APP-116,SaaS Capability 116,SaaS,P1,VP Manufacturing,false,BU-HIS,Azure,invest,8802000,SOX,
NST-APP-117,Modern microservice Capability 117,Modern microservice,P0,VP HIS,false,BU-STERILE,SAP,invest,8874000,standard,
NST-APP-118,Python ML Capability 118,Python ML,P2,VP Commercial,false,BU-MONITOR,Oracle,invest,8946000,standard,
NST-APP-119,Plant edge Capability 119,Plant edge,P2,VP Security,false,BU-FILTER,Cognizant,migrate,9018000,standard,
NST-APP-120,SAP Capability 120,SAP,P1,VP ERP,true,BU-AWC,Accenture,tolerate,9090000,GxP,
NST-APP-121,Oracle Capability 121,Oracle,P2,VP Quality,false,BU-DENTAL,Infosys,invest,9162000,standard,
NST-APP-122,JD Edwards Capability 122,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Siemens,invest,9234000,standard,
NST-APP-123,Infor Capability 123,Infor,P2,VP HIS,false,BU-STERILE,PTC,invest,9306000,standard,
NST-APP-124,AS/400 Capability 124,AS/400,P1,VP Commercial,false,BU-MONITOR,Veeva,invest,9378000,SOX,
NST-APP-125,Mainframe Capability 125,Mainframe,P2,VP Security,true,BU-FILTER,Salesforce,tolerate,9450000,standard,
NST-APP-126,Java legacy Capability 126,Java legacy,P0,,false,BU-AWC,ServiceNow,migrate,9522000,GxP,
NST-APP-127,.NET Framework Capability 127,.NET Framework,P2,VP Quality,false,BU-DENTAL,Microsoft,invest,9594000,standard,
NST-APP-128,SaaS Capability 128,SaaS,P1,VP Manufacturing,false,BU-HIS,AWS,invest,9666000,SOX,
NST-APP-129,Modern microservice Capability 129,Modern microservice,P2,VP HIS,false,BU-STERILE,Azure,invest,9738000,standard,
NST-APP-130,Python ML Capability 130,Python ML,P2,VP Commercial,true,BU-MONITOR,SAP,tolerate,9810000,standard,
NST-APP-131,Plant edge Capability 131,Plant edge,P2,VP Security,false,BU-FILTER,Oracle,invest,9882000,standard,
NST-APP-132,SAP Capability 132,SAP,P1,VP ERP,false,BU-AWC,Cognizant,invest,9954000,GxP,
NST-APP-133,Oracle Capability 133,Oracle,P2,VP Quality,false,BU-DENTAL,Accenture,retire,10026000,standard,
NST-APP-134,JD Edwards Capability 134,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Infosys,invest,10098000,standard,
NST-APP-135,Infor Capability 135,Infor,P0,VP HIS,true,BU-STERILE,Siemens,tolerate,10170000,standard,
NST-APP-136,AS/400 Capability 136,AS/400,P1,VP Commercial,false,BU-MONITOR,PTC,invest,10242000,SOX,
NST-APP-137,Mainframe Capability 137,Mainframe,P2,VP Security,false,BU-FILTER,Veeva,invest,10314000,standard,
NST-APP-138,Java legacy Capability 138,Java legacy,P2,VP ERP,false,BU-AWC,Salesforce,invest,10386000,GxP,
NST-APP-139,.NET Framework Capability 139,.NET Framework,P2,VP Quality,false,BU-DENTAL,ServiceNow,invest,10458000,standard,
NST-APP-140,SaaS Capability 140,SaaS,P1,VP Manufacturing,true,BU-HIS,Microsoft,migrate,10530000,SOX,
NST-APP-141,Modern microservice Capability 141,Modern microservice,P2,VP HIS,false,BU-STERILE,AWS,invest,10602000,standard,
NST-APP-142,Python ML Capability 142,Python ML,P2,VP Commercial,false,BU-MONITOR,Azure,invest,10674000,standard,
NST-APP-143,Plant edge Capability 143,Plant edge,P2,VP Security,false,BU-FILTER,SAP,invest,10746000,standard,
NST-APP-144,SAP Capability 144,SAP,P0,,false,BU-AWC,Oracle,invest,10818000,GxP,
NST-APP-145,Oracle Capability 145,Oracle,P2,VP Quality,true,BU-DENTAL,Cognizant,tolerate,10890000,standard,
NST-APP-146,JD Edwards Capability 146,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Accenture,invest,10962000,standard,
NST-APP-147,Infor Capability 147,Infor,P2,VP HIS,false,BU-STERILE,Infosys,migrate,11034000,standard,
NST-APP-148,AS/400 Capability 148,AS/400,P1,VP Commercial,false,BU-MONITOR,Siemens,invest,11106000,SOX,
NST-APP-149,Mainframe Capability 149,Mainframe,P2,VP Security,false,BU-FILTER,PTC,invest,11178000,standard,
NST-APP-150,Java legacy Capability 150,Java legacy,P2,VP ERP,true,BU-AWC,Veeva,tolerate,11250000,GxP,
NST-APP-151,.NET Framework Capability 151,.NET Framework,P2,VP Quality,false,BU-DENTAL,Salesforce,invest,11322000,standard,
NST-APP-152,SaaS Capability 152,SaaS,P1,VP Manufacturing,false,BU-HIS,ServiceNow,retire,11394000,SOX,
NST-APP-153,Modern microservice Capability 153,Modern microservice,P0,VP HIS,false,BU-STERILE,Microsoft,invest,11466000,standard,
NST-APP-154,Python ML Capability 154,Python ML,P2,VP Commercial,false,BU-MONITOR,AWS,migrate,11538000,standard,
NST-APP-155,Plant edge Capability 155,Plant edge,P2,VP Security,true,BU-FILTER,Azure,tolerate,11610000,standard,
NST-APP-156,SAP Capability 156,SAP,P1,VP ERP,false,BU-AWC,SAP,invest,11682000,GxP,
NST-APP-157,Oracle Capability 157,Oracle,P2,VP Quality,false,BU-DENTAL,Oracle,invest,11754000,standard,
NST-APP-158,JD Edwards Capability 158,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Cognizant,invest,11826000,standard,
NST-APP-159,Infor Capability 159,Infor,P2,VP HIS,false,BU-STERILE,Accenture,invest,11898000,standard,
NST-APP-160,AS/400 Capability 160,AS/400,P1,VP Commercial,true,BU-MONITOR,Infosys,tolerate,11970000,SOX,
NST-APP-161,Mainframe Capability 161,Mainframe,P2,VP Security,false,BU-FILTER,Siemens,migrate,12042000,standard,
NST-APP-162,Java legacy Capability 162,Java legacy,P0,,false,BU-AWC,PTC,invest,12114000,GxP,
NST-APP-163,.NET Framework Capability 163,.NET Framework,P2,VP Quality,false,BU-DENTAL,Veeva,invest,12186000,standard,
NST-APP-164,SaaS Capability 164,SaaS,P1,VP Manufacturing,false,BU-HIS,Salesforce,invest,12258000,SOX,
NST-APP-165,Modern microservice Capability 165,Modern microservice,P2,VP HIS,true,BU-STERILE,ServiceNow,tolerate,12330000,standard,
NST-APP-166,Python ML Capability 166,Python ML,P2,VP Commercial,false,BU-MONITOR,Microsoft,invest,12402000,standard,
NST-APP-167,Plant edge Capability 167,Plant edge,P2,VP Security,false,BU-FILTER,AWS,invest,12474000,standard,
NST-APP-168,SAP Capability 168,SAP,P1,VP ERP,false,BU-AWC,Azure,migrate,12546000,GxP,
NST-APP-169,Oracle Capability 169,Oracle,P2,VP Quality,false,BU-DENTAL,SAP,invest,12618000,standard,
NST-APP-170,JD Edwards Capability 170,JD Edwards,P2,VP Manufacturing,true,BU-HIS,Oracle,tolerate,12690000,standard,
NST-APP-171,Infor Capability 171,Infor,P0,VP HIS,false,BU-STERILE,Cognizant,retire,12762000,standard,
NST-APP-172,AS/400 Capability 172,AS/400,P1,VP Commercial,false,BU-MONITOR,Accenture,invest,12834000,SOX,
NST-APP-173,Mainframe Capability 173,Mainframe,P2,VP Security,false,BU-FILTER,Infosys,invest,12906000,standard,
NST-APP-174,Java legacy Capability 174,Java legacy,P2,VP ERP,false,BU-AWC,Siemens,invest,12978000,GxP,
NST-APP-175,.NET Framework Capability 175,.NET Framework,P2,VP Quality,true,BU-DENTAL,PTC,migrate,13050000,standard,
NST-APP-176,SaaS Capability 176,SaaS,P1,VP Manufacturing,false,BU-HIS,Veeva,invest,13122000,SOX,
NST-APP-177,Modern microservice Capability 177,Modern microservice,P2,VP HIS,false,BU-STERILE,Salesforce,invest,13194000,standard,
NST-APP-178,Python ML Capability 178,Python ML,P2,VP Commercial,false,BU-MONITOR,ServiceNow,invest,13266000,standard,
NST-APP-179,Plant edge Capability 179,Plant edge,P2,VP Security,false,BU-FILTER,Microsoft,invest,13338000,standard,
NST-APP-180,SAP Capability 180,SAP,P0,,true,BU-AWC,AWS,tolerate,13410000,GxP,
NST-APP-181,Oracle Capability 181,Oracle,P2,VP Quality,false,BU-DENTAL,Azure,invest,13482000,standard,
NST-APP-182,JD Edwards Capability 182,JD Edwards,P2,VP Manufacturing,false,BU-HIS,SAP,migrate,13554000,standard,
NST-APP-183,Infor Capability 183,Infor,P2,VP HIS,false,BU-STERILE,Oracle,invest,13626000,standard,
NST-APP-184,AS/400 Capability 184,AS/400,P1,VP Commercial,false,BU-MONITOR,Cognizant,invest,13698000,SOX,
NST-APP-185,Mainframe Capability 185,Mainframe,P2,VP Security,true,BU-FILTER,Accenture,tolerate,13770000,standard,
NST-APP-186,Java legacy Capability 186,Java legacy,P2,VP ERP,false,BU-AWC,Infosys,invest,13842000,GxP,
NST-APP-187,.NET Framework Capability 187,.NET Framework,P2,VP Quality,false,BU-DENTAL,Siemens,invest,13914000,standard,
NST-APP-188,SaaS Capability 188,SaaS,P1,VP Manufacturing,false,BU-HIS,PTC,invest,13986000,SOX,
NST-APP-189,Modern microservice Capability 189,Modern microservice,P0,VP HIS,false,BU-STERILE,Veeva,migrate,14058000,standard,
NST-APP-190,Python ML Capability 190,Python ML,P2,VP Commercial,true,BU-MONITOR,Salesforce,retire,14130000,standard,
NST-APP-191,Plant edge Capability 191,Plant edge,P2,VP Security,false,BU-FILTER,ServiceNow,invest,14202000,standard,
NST-APP-192,SAP Capability 192,SAP,P1,VP ERP,false,BU-AWC,Microsoft,invest,14274000,GxP,
NST-APP-193,Oracle Capability 193,Oracle,P2,VP Quality,false,BU-DENTAL,AWS,invest,14346000,standard,
NST-APP-194,JD Edwards Capability 194,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Azure,invest,14418000,standard,
NST-APP-195,Infor Capability 195,Infor,P2,VP HIS,true,BU-STERILE,SAP,tolerate,14490000,standard,
NST-APP-196,AS/400 Capability 196,AS/400,P1,VP Commercial,false,BU-MONITOR,Oracle,migrate,14562000,SOX,
NST-APP-197,Mainframe Capability 197,Mainframe,P2,VP Security,false,BU-FILTER,Cognizant,invest,14634000,standard,
NST-APP-198,Java legacy Capability 198,Java legacy,P0,,false,BU-AWC,Accenture,invest,14706000,GxP,
NST-APP-199,.NET Framework Capability 199,.NET Framework,P2,VP Quality,false,BU-DENTAL,Infosys,invest,14778000,standard,
NST-APP-200,SaaS Capability 200,SaaS,P1,VP Manufacturing,true,BU-HIS,Siemens,tolerate,14850000,SOX,
NST-APP-201,Modern microservice Capability 201,Modern microservice,P2,VP HIS,false,BU-STERILE,PTC,invest,14922000,standard,
NST-APP-202,Python ML Capability 202,Python ML,P2,VP Commercial,false,BU-MONITOR,Veeva,invest,14994000,standard,
NST-APP-203,Plant edge Capability 203,Plant edge,P2,VP Security,false,BU-FILTER,Salesforce,migrate,15066000,standard,
NST-APP-204,SAP Capability 204,SAP,P1,VP ERP,false,BU-AWC,ServiceNow,invest,15138000,GxP,
NST-APP-205,Oracle Capability 205,Oracle,P2,VP Quality,true,BU-DENTAL,Microsoft,tolerate,15210000,standard,
NST-APP-206,JD Edwards Capability 206,JD Edwards,P2,VP Manufacturing,false,BU-HIS,AWS,invest,15282000,standard,
NST-APP-207,Infor Capability 207,Infor,P0,VP HIS,false,BU-STERILE,Azure,invest,15354000,standard,
NST-APP-208,AS/400 Capability 208,AS/400,P1,VP Commercial,false,BU-MONITOR,SAP,invest,15426000,SOX,
NST-APP-209,Mainframe Capability 209,Mainframe,P2,VP Security,false,BU-FILTER,Oracle,retire,15498000,standard,
NST-APP-210,Java legacy Capability 210,Java legacy,P2,VP ERP,true,BU-AWC,Cognizant,migrate,15570000,GxP,
NST-APP-211,.NET Framework Capability 211,.NET Framework,P2,VP Quality,false,BU-DENTAL,Accenture,invest,15642000,standard,
NST-APP-212,SaaS Capability 212,SaaS,P1,VP Manufacturing,false,BU-HIS,Infosys,invest,15714000,SOX,
NST-APP-213,Modern microservice Capability 213,Modern microservice,P2,VP HIS,false,BU-STERILE,Siemens,invest,15786000,standard,
NST-APP-214,Python ML Capability 214,Python ML,P2,VP Commercial,false,BU-MONITOR,PTC,invest,15858000,standard,
NST-APP-215,Plant edge Capability 215,Plant edge,P2,VP Security,true,BU-FILTER,Veeva,tolerate,15930000,standard,
NST-APP-216,SAP Capability 216,SAP,P0,,false,BU-AWC,Salesforce,invest,16002000,GxP,
NST-APP-217,Oracle Capability 217,Oracle,P2,VP Quality,false,BU-DENTAL,ServiceNow,migrate,16074000,standard,
NST-APP-218,JD Edwards Capability 218,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Microsoft,invest,16146000,standard,
NST-APP-219,Infor Capability 219,Infor,P2,VP HIS,false,BU-STERILE,AWS,invest,16218000,standard,
NST-APP-220,AS/400 Capability 220,AS/400,P1,VP Commercial,true,BU-MONITOR,Azure,tolerate,16290000,SOX,
NST-APP-221,Mainframe Capability 221,Mainframe,P2,VP Security,false,BU-FILTER,SAP,invest,16362000,standard,
NST-APP-222,Java legacy Capability 222,Java legacy,P2,VP ERP,false,BU-AWC,Oracle,invest,16434000,GxP,
NST-APP-223,.NET Framework Capability 223,.NET Framework,P2,VP Quality,false,BU-DENTAL,Cognizant,invest,16506000,standard,
NST-APP-224,SaaS Capability 224,SaaS,P1,VP Manufacturing,false,BU-HIS,Accenture,migrate,16578000,SOX,
NST-APP-225,Modern microservice Capability 225,Modern microservice,P0,VP HIS,true,BU-STERILE,Infosys,tolerate,16650000,standard,
NST-APP-226,Python ML Capability 226,Python ML,P2,VP Commercial,false,BU-MONITOR,Siemens,invest,16722000,standard,
NST-APP-227,Plant edge Capability 227,Plant edge,P2,VP Security,false,BU-FILTER,PTC,invest,16794000,standard,
NST-APP-228,SAP Capability 228,SAP,P1,VP ERP,false,BU-AWC,Veeva,retire,16866000,GxP,
