tenant_key,application_id,application_name,business_domain,business_owner_role,owning_team_id,owning_team_name,executive_owner_role,technical_owner_role,source_basis,source_files,confidence,caveat,source_file,source_row,value_source
meridian-health,MER-APP-001,Epic Hyperspace,clinical_ehr,Chief Medical Officer,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,2,tenant_file
meridian-health,MER-APP-012,Epic Willow,clinical_ehr,CFO,MER-IT-002,Epic and Clinical Systems,VP Clinical Platforms,Epic and Clinical Systems,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,13,tenant_file
meridian-health,MER-APP-013,HealthRules Payor,payer_claims,Chief Operating Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,14,tenant_file
meridian-health,MER-APP-014,Facets legacy claims,payer_claims,Chief Nursing Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,15,tenant_file
meridian-health,MER-APP-015,QNXT Medicare Advantage,payer_claims,Chief Compliance Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,16,tenant_file
meridian-health,MER-APP-016,TriZetto provider pricing,payer_claims,Chief Customer Experience Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,17,tenant_file
meridian-health,MER-APP-017,Evolent care management,payer_claims,Chief Medical Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,18,tenant_file
meridian-health,MER-APP-018,InterQual authorization,payer_claims,Chief Health Plan Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,19,tenant_file
meridian-health,MER-APP-019,MHK quality platform,payer_claims,Chief Digital & Information Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,20,tenant_file
meridian-health,MER-APP-020,Optum payment integrity,payer_claims,CFO,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,21,tenant_file
meridian-health,MER-APP-021,Change Healthcare EDI gateway,payer_claims,Chief Operating Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,22,tenant_file
meridian-health,MER-APP-022,Availity provider portal,payer_claims,Chief Nursing Officer,MER-IT-003,Health Plan Core and Claims Platforms,VP Health Plan Technology,Health Plan Core and Claims Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,23,tenant_file
meridian-health,MER-APP-023,Genesys Cloud CX,contact_center_crm,Chief Compliance Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,24,tenant_file
meridian-health,MER-APP-024,Salesforce Health Cloud,contact_center_crm,Chief Customer Experience Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,25,tenant_file
meridian-health,MER-APP-025,Twilio Flex SMS,contact_center_crm,Chief Medical Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,26,tenant_file
meridian-health,MER-APP-026,Verint workforce management,contact_center_crm,Chief Health Plan Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,27,tenant_file
meridian-health,MER-APP-027,NICE call recording,contact_center_crm,Chief Digital & Information Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,28,tenant_file
meridian-health,MER-APP-028,Sprinklr digital service,contact_center_crm,CFO,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,29,tenant_file
meridian-health,MER-APP-029,Medallia experience signals,contact_center_crm,Chief Operating Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,30,tenant_file
meridian-health,MER-APP-030,Luma Health scheduling,contact_center_crm,Chief Nursing Officer,MER-IT-006,Contact Center and CRM Platforms,VP Patient Experience Tech,Contact Center and CRM Platforms,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,31,tenant_file
meridian-health,MER-APP-031,Oracle EDW clinical mart,data_analytics,Chief Compliance Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,32,tenant_file
meridian-health,MER-APP-032,Teradata claims mart,data_analytics,Chief Customer Experience Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,33,tenant_file
meridian-health,MER-APP-033,Hadoop raw zone,data_analytics,Chief Medical Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,34,tenant_file
meridian-health,MER-APP-034,Informatica PowerCenter,data_analytics,Chief Health Plan Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,35,tenant_file
meridian-health,MER-APP-035,Tableau Server,data_analytics,Chief Digital & Information Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,36,tenant_file
meridian-health,MER-APP-036,BusinessObjects,data_analytics,CFO,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,37,tenant_file
meridian-health,MER-APP-037,SAS Grid,data_analytics,Chief Operating Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,38,tenant_file
meridian-health,MER-APP-038,Databricks AWS Lakehouse,data_analytics,Chief Nursing Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,39,tenant_file
meridian-health,MER-APP-039,Unity Catalog,data_analytics,Chief Compliance Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,40,tenant_file
meridian-health,MER-APP-040,dbt semantic layer,data_analytics,Chief Customer Experience Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,41,tenant_file
meridian-health,MER-APP-041,Collibra catalog,data_analytics,Chief Medical Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,42,tenant_file
meridian-health,MER-APP-042,MuleSoft API analytics,data_analytics,Chief Health Plan Officer,MER-IT-004,Data Platform Migration Office,Chief Data Officer,Data Platform Migration Office,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,43,tenant_file
meridian-health,MER-APP-043,Workday Financials,finance_corporate,Chief Digital & Information Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,44,tenant_file
meridian-health,MER-APP-044,Workday HCM,finance_corporate,CFO,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,45,tenant_file
meridian-health,MER-APP-045,Oracle Hyperion Planning,finance_corporate,Chief Operating Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,46,tenant_file
meridian-health,MER-APP-046,BlackLine close,finance_corporate,Chief Nursing Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,47,tenant_file
meridian-health,MER-APP-047,Coupa procurement,finance_corporate,Chief Compliance Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,48,tenant_file
meridian-health,MER-APP-048,Kyriba treasury,finance_corporate,Chief Customer Experience Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,49,tenant_file
meridian-health,MER-APP-049,ServiceNow SPM,finance_corporate,Chief Medical Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,50,tenant_file
meridian-health,MER-APP-050,Adaptive planning,finance_corporate,Chief Health Plan Officer,MER-IT-007,"Finance, ERP and Reporting",VP Corporate Systems,"Finance, ERP and Reporting",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,51,tenant_file
meridian-health,MER-APP-051,Okta IAM,security_operations,Chief Digital & Information Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,52,tenant_file
meridian-health,MER-APP-052,CrowdStrike Falcon,security_operations,CFO,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,53,tenant_file
meridian-health,MER-APP-053,Zscaler ZIA/ZPA,security_operations,Chief Operating Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,54,tenant_file
meridian-health,MER-APP-054,Palo Alto Prisma,security_operations,Chief Nursing Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,55,tenant_file
meridian-health,MER-APP-055,Splunk Cloud,security_operations,Chief Compliance Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,56,tenant_file
meridian-health,MER-APP-056,Proofpoint,security_operations,Chief Customer Experience Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,57,tenant_file
meridian-health,MER-APP-057,ServiceNow IRM,security_operations,Chief Medical Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,58,tenant_file
meridian-health,MER-APP-058,BigID discovery,security_operations,Chief Health Plan Officer,MER-IT-008,"Security, Privacy and Resilience",CISO,"Security, Privacy and Resilience",direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,59,tenant_file
meridian-health,MER-APP-059,Meridian regional workflow app 59,regional_operations,Chief Digital & Information Officer,Meridian platform services,Meridian platform services,Chief Digital & Information Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,60,tenant_file
meridian-health,MER-APP-060,Meridian regional workflow app 60,regional_operations,CFO,Meridian platform services,Meridian platform services,CFO,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,61,tenant_file
meridian-health,MER-APP-061,Meridian regional workflow app 61,regional_operations,Chief Operating Officer,Meridian platform services,Meridian platform services,Chief Operating Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,62,tenant_file
meridian-health,MER-APP-062,Meridian regional workflow app 62,regional_operations,Chief Nursing Officer,Meridian platform services,Meridian platform services,Chief Nursing Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,63,tenant_file
meridian-health,MER-APP-063,Meridian regional workflow app 63,regional_operations,Chief Compliance Officer,Meridian platform services,Meridian platform services,Chief Compliance Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,64,tenant_file
meridian-health,MER-APP-064,Meridian regional workflow app 64,regional_operations,Chief Customer Experience Officer,Meridian platform services,Meridian platform services,Chief Customer Experience Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,65,tenant_file
meridian-health,MER-APP-065,Meridian regional workflow app 65,regional_operations,Chief Medical Officer,Meridian platform services,Meridian platform services,Chief Medical Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,66,tenant_file
meridian-health,MER-APP-066,Meridian regional workflow app 66,regional_operations,Chief Health Plan Officer,Meridian platform services,Meridian platform services,Chief Health Plan Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,67,tenant_file
meridian-health,MER-APP-067,Meridian regional workflow app 67,regional_operations,Chief Digital & Information Officer,Meridian platform services,Meridian platform services,Chief Digital & Information Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,68,tenant_file
meridian-health,MER-APP-068,Meridian regional workflow app 68,regional_operations,CFO,Meridian platform services,Meridian platform services,CFO,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,69,tenant_file
meridian-health,MER-APP-069,Meridian regional workflow app 69,regional_operations,Chief Operating Officer,Meridian platform services,Meridian platform services,Chief Operating Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,70,tenant_file
meridian-health,MER-APP-070,Meridian regional workflow app 70,regional_operations,Chief Nursing Officer,Meridian platform services,Meridian platform services,Chief Nursing Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,71,tenant_file
meridian-health,MER-APP-071,Meridian regional workflow app 71,regional_operations,Chief Compliance Officer,Meridian platform services,Meridian platform services,Chief Compliance Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,72,tenant_file
meridian-health,MER-APP-072,Meridian regional workflow app 72,regional_operations,Chief Customer Experience Officer,Meridian platform services,Meridian platform services,Chief Customer Experience Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,73,tenant_file
meridian-health,MER-APP-073,Meridian regional workflow app 73,regional_operations,Chief Medical Officer,Meridian platform services,Meridian platform services,Chief Medical Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,74,tenant_file
meridian-health,MER-APP-074,Meridian regional workflow app 74,regional_operations,Chief Health Plan Officer,Meridian platform services,Meridian platform services,Chief Health Plan Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,75,tenant_file
meridian-health,MER-APP-075,Meridian regional workflow app 75,regional_operations,Chief Digital & Information Officer,Meridian platform services,Meridian platform services,Chief Digital & Information Officer,Meridian platform services,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,76,tenant_file
