vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id,source_file,source_row,value_source
FC-VEN-017,Murex,channels_crm,Treasurer,7200000,2026-12-10,high,per user / per seat,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,18,tenant_file
FC-VEN-018,Calypso,data_ai_platform,Chief Financial Officer,27800000,2026-07-16,low,consumption / usage,normal,FC-EVID-016,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,19,tenant_file
FC-VEN-019,Kyriba,infra_security,Head of Cards & Payments,19800000,2026-09-22,high,consumption / usage,auto-renew exposure,FC-EVID-022,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,20,tenant_file
FC-VEN-020,Salesforce,cards_payments,Head of Wealth Management,2100000,2026-09-13,low,consumption / usage,normal,FC-EVID-036,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,21,tenant_file
FC-VEN-021,Microsoft,risk_aml_ai,Head of Wealth Management,17800000,2026-10-23,high,consumption / usage,normal,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,22,tenant_file
FC-VEN-022,Pega,core_platform,Head of Wealth Management,11400000,2026-08-01,low,consumption / usage,normal,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,23,tenant_file
FC-VEN-023,Backbase,data_ai_platform,Head of Consumer Banking,11000000,2026-02-20,low,consumption / usage,normal,FC-EVID-015,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,24,tenant_file
FC-VEN-024,Databricks,risk_aml_ai,Chief Financial Officer,12300000,2026-05-11,high,enterprise subscription,normal,FC-EVID-035,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,25,tenant_file
FC-VEN-025,Snowflake,core_platform,Head of Consumer Banking,300000,2026-08-15,low,consumption / usage,normal,FC-EVID-024,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,26,tenant_file
FC-VEN-026,Collibra,risk_aml_ai,Head of Consumer Banking,21700000,2026-08-16,medium,enterprise subscription,normal,FC-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,27,tenant_file
FC-VEN-027,dbt Labs,channels_crm,Treasurer,27300000,2026-05-25,low,per transaction,normal,FC-EVID-029,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,28,tenant_file
FC-VEN-028,Addepar,data_ai_platform,Chief Financial Officer,6900000,2026-04-15,high,consumption / usage,normal,FC-EVID-040,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,29,tenant_file
FC-VEN-029,BlackRock,data_ai_platform,Treasurer,25400000,2026-11-20,high,per transaction,normal,FC-EVID-013,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,30,tenant_file
FC-VEN-030,Envestnet,finance_erp,Head of Consumer Banking,15100000,2026-01-19,low,per transaction,normal,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,31,tenant_file
FC-VEN-031,Charles River,finance_erp,Head of Cards & Payments,11600000,2026-08-03,low,consumption / usage,normal,FC-EVID-036,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,32,tenant_file
FC-VEN-032,nCino,finance_erp,Head of Wealth Management,15900000,2026-08-04,high,enterprise subscription,normal,FC-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,33,tenant_file
FC-VEN-033,Blend,risk_aml_ai,Chief Risk Officer,20000000,2026-12-15,low,enterprise subscription,normal,FC-EVID-021,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,34,tenant_file
FC-VEN-034,Q2,infra_security,Head of Consumer Banking,4200000,2026-03-24,high,per user / per seat,concentration risk,FC-EVID-032,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,35,tenant_file
FC-VEN-035,Alkami,finance_erp,Chief Risk Officer,1900000,2026-09-13,high,enterprise subscription,normal,FC-EVID-032,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,36,tenant_file
FC-VEN-036,SAP,finance_erp,Head of Wealth Management,26700000,2026-11-18,high,enterprise subscription,normal,FC-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,37,tenant_file
FC-VEN-037,Oracle,finance_erp,Treasurer,4600000,2026-03-18,low,per user / per seat,normal,FC-EVID-028,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,38,tenant_file
FC-VEN-038,Workday,core_platform,Head of Consumer Banking,16500000,2026-01-14,high,per transaction,normal,FC-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,39,tenant_file
FC-VEN-039,BlackLine,infra_security,Chief Financial Officer,13300000,2026-05-13,high,consumption / usage,normal,FC-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,40,tenant_file
FC-VEN-040,ServiceNow,data_ai_platform,Treasurer,13300000,2026-10-27,high,consumption / usage,normal,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,41,tenant_file
FC-VEN-041,Datadog,data_ai_platform,Treasurer,12800000,2026-06-17,medium,per transaction,normal,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,42,tenant_file
FC-VEN-042,Splunk,channels_crm,Head of Cards & Payments,22300000,2026-03-25,high,consumption / usage,normal,FC-EVID-016,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,43,tenant_file
FC-VEN-043,PagerDuty,infra_security,Head of Cards & Payments,9300000,2026-07-14,medium,enterprise subscription,price escalation,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,44,tenant_file
FC-VEN-044,CrowdStrike,data_ai_platform,Treasurer,3900000,2026-01-11,low,per user / per seat,normal,FC-EVID-034,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,45,tenant_file
FC-VEN-045,Genesys,infra_security,Head of Cards & Payments,18400000,2026-05-28,high,enterprise subscription,price escalation,FC-EVID-018,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,46,tenant_file
FC-VEN-046,Nuance,finance_erp,Head of Consumer Banking,12000000,2026-05-27,low,enterprise subscription,normal,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,47,tenant_file
FC-VEN-047,OpenAI,cards_payments,Head of Consumer Banking,27200000,2026-10-21,low,enterprise subscription,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,48,tenant_file
FC-VEN-048,Anthropic,channels_crm,Chief Financial Officer,6600000,2026-07-28,medium,enterprise subscription,normal,FC-EVID-038,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,49,tenant_file
FC-VEN-049,AWS,data_ai_platform,Head of Commercial Banking,14400000,2026-07-04,high,per transaction,normal,FC-EVID-025,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,50,tenant_file
FC-VEN-050,GitHub,finance_erp,Head of Consumer Banking,4100000,2026-08-27,low,per transaction,normal,FC-EVID-016,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,51,tenant_file
FC-VEN-051,FIS (Module 2),cards_payments,Treasurer,21800000,2026-09-22,high,consumption / usage,normal,FC-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,52,tenant_file
FC-VEN-052,Fiserv (BU 2),channels_crm,Head of Cards & Payments,11000000,2026-12-01,high,per transaction,concentration risk,FC-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,53,tenant_file
FC-VEN-053,Temenos (Region 2),channels_crm,Treasurer,11400000,2026-11-01,medium,enterprise subscription,normal,FC-EVID-015,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,54,tenant_file
FC-VEN-054,Thought Machine (Region 2),data_ai_platform,Head of Consumer Banking,27100000,2026-03-22,high,per transaction,price escalation,FC-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,55,tenant_file
FC-VEN-055,TSYS (Module 2),cards_payments,Head of Consumer Banking,15000000,2026-07-20,high,per user / per seat,normal,FC-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,56,tenant_file
FC-VEN-056,Mastercard (Module 2),cards_payments,Chief Risk Officer,10100000,2026-03-01,high,per transaction,normal,FC-EVID-027,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,57,tenant_file
FC-VEN-057,Visa DPS (BU 2),core_platform,Treasurer,15200000,2026-07-03,high,per transaction,normal,FC-EVID-017,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,58,tenant_file
FC-VEN-058,Marqeta (Module 2),cards_payments,Chief Risk Officer,4200000,2026-07-05,medium,per transaction,normal,FC-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,59,tenant_file
FC-VEN-059,ACI Worldwide (Module 2),cards_payments,Chief Risk Officer,15600000,2026-08-22,low,per transaction,normal,FC-EVID-013,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,60,tenant_file
FC-VEN-060,Volante (BU 2),data_ai_platform,Head of Commercial Banking,6500000,2026-08-22,low,per user / per seat,price escalation,FC-EVID-025,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,61,tenant_file
FC-VEN-061,NICE Actimize (Module 2),core_platform,Head of Commercial Banking,22300000,2026-10-22,high,per transaction,price escalation,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,62,tenant_file
FC-VEN-062,SAS (Region 2),finance_erp,Treasurer,27100000,2026-10-03,high,per user / per seat,normal,FC-EVID-020,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,63,tenant_file
FC-VEN-063,Feedzai (Region 2),data_ai_platform,Treasurer,24900000,2026-11-24,low,per user / per seat,normal,FC-EVID-028,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,64,tenant_file
FC-VEN-064,Featurespace (BU 2),finance_erp,Head of Wealth Management,13500000,2026-08-02,medium,enterprise subscription,normal,FC-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,65,tenant_file
FC-VEN-065,Moody's (Region 2),finance_erp,Head of Cards & Payments,26200000,2026-03-11,medium,per user / per seat,normal,FC-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,66,tenant_file
FC-VEN-066,Numerix (Region 2),data_ai_platform,Treasurer,14400000,2026-10-04,medium,consumption / usage,normal,FC-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,67,tenant_file
FC-VEN-067,Murex (BU 2),data_ai_platform,Treasurer,20900000,2026-02-26,high,consumption / usage,normal,FC-EVID-023,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,68,tenant_file
FC-VEN-068,Calypso (BU 2),risk_aml_ai,Head of Cards & Payments,7300000,2026-05-22,high,per transaction,concentration risk,FC-EVID-036,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,69,tenant_file
FC-VEN-069,Kyriba (Module 2),risk_aml_ai,Treasurer,6100000,2026-01-10,medium,per user / per seat,normal,FC-EVID-015,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,70,tenant_file
FC-VEN-070,Salesforce (BU 2),risk_aml_ai,Treasurer,11400000,2026-02-11,medium,per transaction,normal,FC-EVID-019,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,71,tenant_file
FC-VEN-071,Microsoft (BU 2),infra_security,Head of Consumer Banking,17200000,2026-01-10,high,per transaction,price escalation,FC-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,72,tenant_file
FC-VEN-072,Pega (BU 2),channels_crm,Chief Risk Officer,3700000,2026-02-22,low,enterprise subscription,normal,FC-EVID-018,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,73,tenant_file
FC-VEN-073,Backbase (Region 2),core_platform,Chief Financial Officer,10500000,2026-11-18,high,per transaction,normal,FC-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,74,tenant_file
FC-VEN-074,Databricks (Region 2),data_ai_platform,Head of Cards & Payments,19300000,2026-03-10,medium,per transaction,concentration risk,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,75,tenant_file
FC-VEN-075,Snowflake (Region 2),channels_crm,Head of Consumer Banking,22100000,2026-12-05,low,per transaction,concentration risk,FC-EVID-040,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,76,tenant_file
FC-VEN-076,Collibra (Region 2),risk_aml_ai,Chief Financial Officer,24900000,2026-04-01,high,consumption / usage,price escalation,FC-EVID-016,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,77,tenant_file
FC-VEN-077,dbt Labs (Module 2),data_ai_platform,Head of Consumer Banking,6800000,2026-09-06,medium,per transaction,normal,FC-EVID-040,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,78,tenant_file
FC-VEN-078,Addepar (BU 2),core_platform,Head of Wealth Management,25700000,2026-07-04,high,per transaction,normal,FC-EVID-018,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,79,tenant_file
FC-VEN-079,BlackRock (BU 2),cards_payments,Chief Risk Officer,1000000,2026-03-19,medium,per user / per seat,normal,FC-EVID-018,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,80,tenant_file
FC-VEN-080,Envestnet (Module 2),data_ai_platform,Head of Cards & Payments,4100000,2026-06-04,high,per user / per seat,normal,FC-EVID-024,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,81,tenant_file
FC-VEN-081,Charles River (BU 2),core_platform,Head of Wealth Management,21700000,2026-12-15,low,per transaction,normal,FC-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,82,tenant_file
FC-VEN-082,nCino (BU 2),finance_erp,Chief Financial Officer,5400000,2026-04-20,high,enterprise subscription,normal,FC-EVID-019,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,83,tenant_file
FC-VEN-083,Blend (Module 2),infra_security,Chief Financial Officer,11800000,2026-11-27,medium,enterprise subscription,normal,FC-EVID-024,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,84,tenant_file
FC-VEN-084,Q2 (Region 2),finance_erp,Head of Wealth Management,13900000,2026-03-20,medium,consumption / usage,normal,FC-EVID-025,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,85,tenant_file
FC-VEN-085,Alkami (Module 2),infra_security,Head of Wealth Management,14400000,2026-10-16,high,consumption / usage,normal,FC-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,86,tenant_file
FC-VEN-086,SAP (BU 2),infra_security,Head of Consumer Banking,17300000,2026-09-05,medium,per user / per seat,normal,FC-EVID-024,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,87,tenant_file
FC-VEN-087,Oracle (Region 2),infra_security,Head of Commercial Banking,11600000,2026-10-13,high,per user / per seat,price escalation,FC-EVID-020,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,88,tenant_file
FC-VEN-088,Workday (Module 2),channels_crm,Treasurer,3000000,2026-05-20,low,enterprise subscription,normal,FC-EVID-028,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,89,tenant_file
FC-VEN-089,BlackLine (Module 2),finance_erp,Chief Risk Officer,19000000,2026-02-25,low,enterprise subscription,normal,FC-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,90,tenant_file
FC-VEN-090,ServiceNow (Region 2),data_ai_platform,Chief Financial Officer,25200000,2026-01-27,medium,per transaction,normal,FC-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,91,tenant_file
FC-VEN-091,Datadog (Module 2),infra_security,Chief Financial Officer,24000000,2026-11-18,medium,per transaction,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,92,tenant_file
FC-VEN-092,Splunk (Module 2),finance_erp,Chief Risk Officer,14300000,2026-08-05,high,per transaction,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,93,tenant_file
FC-VEN-093,PagerDuty (BU 2),channels_crm,Head of Wealth Management,9100000,2026-01-12,medium,enterprise subscription,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,94,tenant_file
FC-VEN-094,CrowdStrike (Module 2),infra_security,Head of Wealth Management,11400000,2026-12-02,high,enterprise subscription,normal,FC-EVID-027,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,95,tenant_file
FC-VEN-095,Genesys (Region 2),data_ai_platform,Chief Risk Officer,26300000,2026-05-02,high,per user / per seat,normal,FC-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,96,tenant_file
FC-VEN-096,Nuance (Module 2),channels_crm,Chief Risk Officer,11400000,2026-08-13,low,enterprise subscription,price escalation,FC-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,97,tenant_file
FC-VEN-097,OpenAI (BU 2),risk_aml_ai,Head of Consumer Banking,600000,2026-07-07,high,per transaction,normal,FC-EVID-036,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,98,tenant_file
FC-VEN-098,Anthropic (BU 2),cards_payments,Head of Wealth Management,11200000,2026-07-19,high,per user / per seat,normal,FC-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,99,tenant_file
FC-VEN-099,AWS (Module 2),finance_erp,Chief Risk Officer,25700000,2026-06-14,low,consumption / usage,normal,FC-EVID-031,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,100,tenant_file
FC-VEN-100,GitHub (BU 2),infra_security,Head of Consumer Banking,9800000,2026-12-13,low,enterprise subscription,normal,FC-EVID-026,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,101,tenant_file
FC-VEN-101,FIS (Region 3),infra_security,Head of Consumer Banking,22500000,2026-06-26,high,per transaction,normal,FC-EVID-037,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,102,tenant_file
FC-VEN-102,Fiserv (Module 3),channels_crm,Head of Cards & Payments,16200000,2026-03-14,low,enterprise subscription,normal,FC-EVID-029,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,103,tenant_file
FC-VEN-103,Temenos (Module 3),finance_erp,Chief Risk Officer,16100000,2026-04-04,low,per user / per seat,concentration risk,FC-EVID-031,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,104,tenant_file
FC-VEN-104,Thought Machine (BU 3),data_ai_platform,Head of Consumer Banking,14100000,2026-05-28,high,per transaction,normal,FC-EVID-030,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,105,tenant_file
FC-VEN-105,TSYS (Region 3),channels_crm,Treasurer,10500000,2026-02-20,high,per transaction,auto-renew exposure,FC-EVID-032,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,106,tenant_file
FC-VEN-106,Mastercard (Module 3),finance_erp,Chief Financial Officer,8300000,2026-12-18,high,per user / per seat,auto-renew exposure,FC-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,107,tenant_file
FC-VEN-107,Visa DPS (Module 3),channels_crm,Head of Wealth Management,7400000,2026-04-18,high,per transaction,renewal before evidence gate,FC-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,108,tenant_file
FC-VEN-108,Marqeta (Module 3),cards_payments,Head of Consumer Banking,6900000,2026-10-03,high,per transaction,normal,FC-EVID-038,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,109,tenant_file
FC-VEN-109,ACI Worldwide (Module 3),channels_crm,Head of Consumer Banking,5500000,2026-02-11,medium,per transaction,normal,FC-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,110,tenant_file
FC-VEN-110,Volante (Module 3),channels_crm,Treasurer,23300000,2026-05-12,high,per user / per seat,normal,FC-EVID-040,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,111,tenant_file
FC-VEN-111,NICE Actimize (BU 3),cards_payments,Treasurer,400000,2026-05-20,medium,consumption / usage,concentration risk,FC-EVID-030,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,112,tenant_file
FC-VEN-112,SAS (Module 3),data_ai_platform,Head of Consumer Banking,19700000,2026-02-12,medium,enterprise subscription,normal,FC-EVID-018,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,113,tenant_file
FC-VEN-113,Feedzai (Region 3),infra_security,Treasurer,23600000,2026-08-12,high,enterprise subscription,normal,FC-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,114,tenant_file
FC-VEN-114,Featurespace (BU 3),finance_erp,Head of Consumer Banking,13100000,2026-03-10,high,per transaction,normal,FC-EVID-022,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,115,tenant_file
FC-VEN-115,Moody's (Module 3),cards_payments,Head of Cards & Payments,27500000,2026-01-04,high,per transaction,concentration risk,FC-EVID-025,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,116,tenant_file
FC-VEN-116,Numerix (Module 3),risk_aml_ai,Head of Commercial Banking,18200000,2026-12-10,medium,per transaction,normal,FC-EVID-026,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,117,tenant_file
FC-VEN-117,Murex (Module 3),channels_crm,Head of Commercial Banking,15100000,2026-08-25,low,consumption / usage,normal,FC-EVID-034,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,118,tenant_file
FC-VEN-118,Calypso (BU 3),infra_security,Chief Financial Officer,16800000,2026-05-20,low,enterprise subscription,normal,FC-EVID-039,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,119,tenant_file
FC-VEN-119,Kyriba (BU 3),risk_aml_ai,Treasurer,14300000,2026-03-20,low,consumption / usage,normal,FC-EVID-021,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,120,tenant_file
FC-VEN-120,Salesforce (Module 3),cards_payments,Head of Wealth Management,5300000,2026-03-20,medium,per user / per seat,normal,FC-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,121,tenant_file
