tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,service_tower_id,event_date,sla_name,target_value,actual_value,breach_state,fee_base_usd,credit_formula,vendor_responsibility_state,service_credits_earned_usd,service_credits_claimed_usd,review_state
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-08-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,2026-08-15,quality,0.98,0.989,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-08-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,2026-08-15,backlog_age,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-09-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-1,2026-09-15,cycle_time,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-09-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,2026-09-15,quality,0.98,0.989,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-09-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,2026-09-15,backlog_age,5,7.4,breached,344444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4305.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-10-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-1,2026-10-15,cycle_time,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-10-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,2026-10-15,quality,0.98,0.955,breached,344444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4305.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-10-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,2026-10-15,backlog_age,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-11-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-1,2026-11-15,cycle_time,5,7.4,breached,344444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4305.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-11-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,2026-11-15,quality,0.98,0.989,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-11-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,2026-11-15,backlog_age,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-12-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-1,2026-12-15,cycle_time,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-12-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-2,2026-12-15,quality,0.98,0.989,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-HR-BPO-001-2026-12-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,SVC-MER-CTR-HR-BPO-001-3,2026-12-15,backlog_age,5,4.2,met,344444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-07-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-07-15,cycle_time,5,7.4,breached,394444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4930.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-07-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-07-15,quality,0.98,0.989,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-07-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-07-15,backlog_age,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-08-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-08-15,cycle_time,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-08-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-08-15,quality,0.98,0.989,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-08-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-08-15,backlog_age,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-09-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-09-15,cycle_time,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-09-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-09-15,quality,0.98,0.989,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-09-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-09-15,backlog_age,5,7.4,breached,394444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4930.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-10-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-10-15,cycle_time,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-10-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-10-15,quality,0.98,0.955,breached,394444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4930.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-10-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-10-15,backlog_age,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-11-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-11-15,cycle_time,5,7.4,breached,394444.44,1.25 percent of eligible monthly fee base,supplier_disputed,4930.56,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-11-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-11-15,quality,0.98,0.989,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-11-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-11-15,backlog_age,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-12-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-1,2026-12-15,cycle_time,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-12-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-2,2026-12-15,quality,0.98,0.989,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-FIN-BPO-001-2026-12-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,SVC-MER-CTR-FIN-BPO-001-3,2026-12-15,backlog_age,5,4.2,met,394444.44,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-07-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-07-15,cycle_time,5,7.4,breached,275000,1.25 percent of eligible monthly fee base,supplier_disputed,3437.5,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-07-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,2026-07-15,quality,0.98,0.989,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-07-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,2026-07-15,backlog_age,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-08-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-08-15,cycle_time,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-08-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,2026-08-15,quality,0.98,0.989,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-08-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,2026-08-15,backlog_age,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-09-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-09-15,cycle_time,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-09-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,2026-09-15,quality,0.98,0.989,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-09-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,2026-09-15,backlog_age,5,7.4,breached,275000,1.25 percent of eligible monthly fee base,supplier_disputed,3437.5,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-10-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-10-15,cycle_time,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-10-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,2026-10-15,quality,0.98,0.955,breached,275000,1.25 percent of eligible monthly fee base,supplier_disputed,3437.5,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-10-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,2026-10-15,backlog_age,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-11-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-11-15,cycle_time,5,7.4,breached,275000,1.25 percent of eligible monthly fee base,supplier_disputed,3437.5,0,disputed_blocks_action
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-11-quality,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-2,2026-11-15,quality,0.98,0.989,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-11-backlog_age,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-3,2026-11-15,backlog_age,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
meridian-health,ServiceNow / operational KPI export companion extract,sla_kpi_event,SLA-MER-CTR-SC-BPO-001-2026-12-cycle_time,extract-meridian-sla-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,SVC-MER-CTR-SC-BPO-001-1,2026-12-15,cycle_time,5,4.2,met,275000,1.25 percent of eligible monthly fee base,,0,0,accepted_synthetic_fixture
