tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,document_id,pricing_line_id,service_tower_id,line_item_description,quantity_or_commitment,unit_of_measure,unit_price_usd,annual_value_usd,effective_from,effective_to,operative_state,uplift_cap_pct,synthetic_formula_note,review_state,row_hash
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-FIN-BPO-001-1,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-FIN-BPO-001-1,SVC-MER-CTR-FIN-BPO-001-1,accounts payable fte_month pricing,85,fte_month,5847.06,5964000,2026-11-01,2029-10-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.42,accepted_synthetic_fixture,266af12ecac0c7249dbb2bbe9a6b184d670f1f7f34b52276c7df07ef9ae159d8
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-FIN-BPO-001-2,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-FIN-BPO-001-2,SVC-MER-CTR-FIN-BPO-001-2,month-end close transaction pricing,42000,transaction,94.67,3976000,2026-11-01,2029-10-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.28,accepted_synthetic_fixture,96d48479c2186e7c7d0852c0a1a1b34a9c99d011b984378fe6e9a83a6302798f
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-FIN-BPO-001-3,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-FIN-BPO-001-3,SVC-MER-CTR-FIN-BPO-001-3,reconciliations outcome pricing,1200,outcome,1420,1704000,2026-11-01,2029-10-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.12,accepted_synthetic_fixture,6c68fe3d17ae9ddd56e6405bcba7a9fe4590d9e4a7677862d990cac817bee790
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-FIN-BPO-001-4,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,DOC-MER-CTR-FIN-BPO-001-AMEND-001,PL-MER-CTR-FIN-BPO-001-4,SVC-MER-CTR-FIN-BPO-001-4,management reporting transition_fee pricing,1,transition_fee,1420000,1420000,2027-01-01,2029-10-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.1,accepted_synthetic_fixture,4e63041d1d992cc179348025c7c3cee2d0ff7d32a2730b33d0e524ea5cec3049
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-FIN-BPO-001-5,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,DOC-MER-CTR-FIN-BPO-001-AMEND-001,PL-MER-CTR-FIN-BPO-001-5,SVC-MER-CTR-FIN-BPO-001-1,accounts payable retained_cost_offset pricing,1,retained_cost_offset,1136000,1136000,2027-01-01,2029-10-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.08,accepted_synthetic_fixture,93ab9dbf80bcdcfa95cc24be2b165ebae47e0f868e5747da70f9194366685201
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SC-BPO-001-1,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SC-BPO-001-1,SVC-MER-CTR-SC-BPO-001-1,requisitions fte_month pricing,85,fte_month,4076.47,4158000,2027-01-01,2029-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.42,accepted_synthetic_fixture,f596678372212444c3948a640f4068721a71960e1d40f861cd08fd7cd952df82
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SC-BPO-001-2,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SC-BPO-001-2,SVC-MER-CTR-SC-BPO-001-2,PO conversion transaction pricing,42000,transaction,66,2772000,2027-01-01,2029-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.28,accepted_synthetic_fixture,3fec60e86ad73a11f9b799b00b01283e3b8f1d22e40c7114f1973c89f443f6b5
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SC-BPO-001-3,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SC-BPO-001-3,SVC-MER-CTR-SC-BPO-001-3,invoice exceptions outcome pricing,1200,outcome,990,1188000,2027-01-01,2029-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.12,accepted_synthetic_fixture,3bf07f98c3608c79108b903132ea2b575ab6dcb28c018d032f255aaaa684df4b
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SC-BPO-001-4,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,DOC-MER-CTR-SC-BPO-001-AMEND-001,PL-MER-CTR-SC-BPO-001-4,SVC-MER-CTR-SC-BPO-001-4,vendor master transition_fee pricing,1,transition_fee,990000,990000,2027-01-01,2029-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.1,accepted_synthetic_fixture,1cca6860516793e7c69e034f56ec2b26ac3bebfdcd709e2b6a0cb4b60591549e
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SC-BPO-001-5,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,DOC-MER-CTR-SC-BPO-001-AMEND-001,PL-MER-CTR-SC-BPO-001-5,SVC-MER-CTR-SC-BPO-001-1,requisitions retained_cost_offset pricing,1,retained_cost_offset,792000,792000,2027-01-01,2029-12-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.08,accepted_synthetic_fixture,3f6681a7bd539ab5d43f6562a0c981d0d066ff876446bd3cba92d2a96874c7d1
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SSO-BPO-001-1,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SSO-BPO-001-1,SVC-MER-CTR-SSO-BPO-001-1,cross-process governance fte_month pricing,85,fte_month,10211.76,10416000,2027-02-01,2030-01-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.42,accepted_synthetic_fixture,4c9f2d1586ee12db13ea4c23362e63c183cbf36a7736340856ef8add44b1a824
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SSO-BPO-001-2,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SSO-BPO-001-2,SVC-MER-CTR-SSO-BPO-001-2,labor transition transaction pricing,42000,transaction,165.33,6944000,2027-02-01,2030-01-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.28,accepted_synthetic_fixture,8b6b43945d8cde64e9bc975d7c4f4f5efd0bb0f98f0e52bc9c9204909daf3a3b
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SSO-BPO-001-3,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,PL-MER-CTR-SSO-BPO-001-3,SVC-MER-CTR-SSO-BPO-001-3,knowledge transfer outcome pricing,1200,outcome,2480,2976000,2027-02-01,2030-01-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.12,accepted_synthetic_fixture,fb6b3976a512d6e48230d56eb3f62fe711e97e0858fc77901a94757842ad0297
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SSO-BPO-001-4,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,DOC-MER-CTR-SSO-BPO-001-AMEND-001,PL-MER-CTR-SSO-BPO-001-4,SVC-MER-CTR-SSO-BPO-001-4,exit readiness transition_fee pricing,1,transition_fee,2480000,2480000,2027-01-01,2030-01-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.1,accepted_synthetic_fixture,f2867bb096040da8f382caaa71b9e2c644403d5fdb6825b599b6fc8d912aec4d
meridian-health,CLM pricing exhibit / FP&A pricing workbook companion extract,pricing_rate_card_line,PRICE-MER-CTR-SSO-BPO-001-5,extract-meridian-pricing-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,DOC-MER-CTR-SSO-BPO-001-AMEND-001,PL-MER-CTR-SSO-BPO-001-5,SVC-MER-CTR-SSO-BPO-001-1,cross-process governance retained_cost_offset pricing,1,retained_cost_offset,1984000,1984000,2027-01-01,2030-01-31,current,3.5,annual_value_usd = contract annual value * allocation factor 0.08,accepted_synthetic_fixture,880c63383cfb233930c05bd43da2aecb0598faf7f9e45f22859052f474f7d932
