tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,transition_wave_id,wave_name,planned_date,actual_or_forecast_date,acceptance_criteria,acceptance_state,open_issue_count,reviewer_role,review_state
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-FIN-BPO-001-2,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,WAVE-MER-CTR-FIN-BPO-001-2,design,2026-09-20,2026-09-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,1,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-FIN-BPO-001-3,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,WAVE-MER-CTR-FIN-BPO-001-3,knowledge_transfer,2026-10-20,2026-10-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,2,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-FIN-BPO-001-4,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,WAVE-MER-CTR-FIN-BPO-001-4,pilot_cutover,2026-11-20,2026-12-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,6,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-FIN-BPO-001-5,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,WAVE-MER-CTR-FIN-BPO-001-5,stabilization,2026-12-20,2027-01-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,7,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SC-BPO-001-1,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,WAVE-MER-CTR-SC-BPO-001-1,discovery,2026-08-20,2026-08-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,0,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SC-BPO-001-2,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,WAVE-MER-CTR-SC-BPO-001-2,design,2026-09-20,2026-09-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,1,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SC-BPO-001-3,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,WAVE-MER-CTR-SC-BPO-001-3,knowledge_transfer,2026-10-20,2026-10-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,2,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SC-BPO-001-4,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,WAVE-MER-CTR-SC-BPO-001-4,pilot_cutover,2026-11-20,2026-12-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,6,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SC-BPO-001-5,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,WAVE-MER-CTR-SC-BPO-001-5,stabilization,2026-12-20,2027-01-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,7,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SSO-BPO-001-1,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,WAVE-MER-CTR-SSO-BPO-001-1,discovery,2026-08-20,2026-08-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,0,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SSO-BPO-001-2,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,WAVE-MER-CTR-SSO-BPO-001-2,design,2026-09-20,2026-09-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,1,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SSO-BPO-001-3,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,WAVE-MER-CTR-SSO-BPO-001-3,knowledge_transfer,2026-10-20,2026-10-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",accepted,2,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SSO-BPO-001-4,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,WAVE-MER-CTR-SSO-BPO-001-4,pilot_cutover,2026-11-20,2026-12-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,6,Transition governance lead,diagnosis_only_transition_gate
meridian-health,PMO transition tracker companion extract,transition_milestone,TRANS-MER-CTR-SSO-BPO-001-5,extract-meridian-transition-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,WAVE-MER-CTR-SSO-BPO-001-5,stabilization,2026-12-20,2027-01-25,"Runbook, owner, access, KPI, issue, retained-role, and invoice-control evidence accepted.",pending_or_blocked,7,Transition governance lead,diagnosis_only_transition_gate
