data_product_id,data_product_name,domain,owner_team,refresh_cadence,data_classification,maturity,known_gap
APEXRETAIL-DATA-0097,Merchandise planning cube / expansion 87,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0098,Labor productivity mart / expansion 88,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0099,Vendor funding and margin mart / expansion 89,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0100,Retail media performance mart / expansion 90,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0101,POS transaction lake / expansion 91,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0102,Customer 360 / loyalty graph / expansion 92,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0103,Inventory availability product / expansion 93,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0104,Clickstream and search telemetry / expansion 94,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0105,Shrink and exception analytics / expansion 95,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0106,Supply chain visibility mart / expansion 96,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0107,Merchandise planning cube / expansion 97,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0108,Labor productivity mart / expansion 98,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0109,Vendor funding and margin mart / expansion 99,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0110,Retail media performance mart / expansion 100,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0111,POS transaction lake / expansion 101,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0112,Customer 360 / loyalty graph / expansion 102,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0113,Inventory availability product / expansion 103,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0114,Clickstream and search telemetry / expansion 104,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0115,Shrink and exception analytics / expansion 105,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
APEXRETAIL-DATA-0116,Supply chain visibility mart / expansion 106,supply_chain,APX-IT-004,hourly,internal,silver,carrier_api_variance
APEXRETAIL-DATA-0117,Merchandise planning cube / expansion 107,merchandising,APX-IT-003,weekly,confidential,gold,manual_overrides
APEXRETAIL-DATA-0118,Labor productivity mart / expansion 108,workforce,APX-IT-006,daily,pii,silver,workday_ukg_join
APEXRETAIL-DATA-0119,Vendor funding and margin mart / expansion 109,finance,APX-IT-006,monthly,confidential,silver,rebate_lineage_gap
APEXRETAIL-DATA-0120,Retail media performance mart / expansion 110,marketing,APX-IT-005,daily,pii,silver,clean_room_dependency
APEXRETAIL-DATA-0121,POS transaction lake / expansion 111,sales,APX-IT-007,daily,pci_pii,silver,partial_lineage
APEXRETAIL-DATA-0122,Customer 360 / loyalty graph / expansion 112,customer,APX-IT-005,near_real_time,pii,bronze,identity_gaps
APEXRETAIL-DATA-0123,Inventory availability product / expansion 113,inventory,APX-IT-004,hourly,internal,silver,store_accuracy_gaps
APEXRETAIL-DATA-0124,Clickstream and search telemetry / expansion 114,digital,APX-IT-002,streaming,pii,bronze,consent_review
APEXRETAIL-DATA-0125,Shrink and exception analytics / expansion 115,loss_prevention,APX-IT-009,daily,restricted,silver,camera_pos_link_gap
