vendor_id,vendor_name,scope,category,annual_spend_bucket,performance_score,risk_score,financial_health_rating,strategic_alignment_rating,recent_issues_summary,escalation_path,owner_person_id
vendor:firstcapital:fiserv,Fiserv,system,Wires + Specialty Payments,Tier 4 ($1-5M),3.4,3.0,A-,Medium,Wire transfer system + specialty payments.,person:firstcapital:kira-tanaka-riveras,person:firstcapital:ethan-brooks
vendor:firstcapital:volante,Volante Technologies,system,Payments Gateway,Tier 4 ($1-5M),4.0,2.6,A-,High,FedNow gateway connector; build phase.,person:firstcapital:kira-tanaka-riveras,person:firstcapital:lena-ortiz
vendor:firstcapital:the-clearing-house,The Clearing House,system,Payments Network,Tier 4 ($1-5M),4.4,2.0,A+,High,TCH RTP network; parallel real-time rail to FedNow.,person:firstcapital:kira-tanaka-riveras,person:firstcapital:ethan-brooks
vendor:firstcapital:swift,SWIFT,system,Cross-Border Payments,Tier 4 ($1-5M),4.2,2.0,A+,High,Cross-border messaging; sanction screening.,person:firstcapital:kira-tanaka-riveras,person:firstcapital:ethan-brooks
vendor:firstcapital:black-knight,Black Knight (ICE Mortgage),system,Mortgage Tech,Tier 3 ($5-10M),3.8,2.8,A-,Medium,Mortgage origination + default servicing.,person:firstcapital:penelope-iglesias,person:firstcapital:ethan-brooks
vendor:firstcapital:ice-mortgage,ICE Mortgage Technology,system,Loan Origination,Tier 4 ($1-5M),3.6,2.8,A-,Medium,Encompass for auto + consumer loans.,person:firstcapital:wesley-mtawali,person:firstcapital:ethan-brooks
vendor:firstcapital:linedata,Linedata,system,Commercial Lending,Tier 4 ($1-5M),3.4,3.0,A-,Medium,Commercial loan origination + portfolio.,person:firstcapital:heinrich-aldridge,person:firstcapital:ethan-brooks
vendor:firstcapital:bny-pershing,BNY Pershing,system,Wealth Clearing,Tier 3 ($5-10M),4.0,2.4,A+,High,Brokerage clearing platform.,person:firstcapital:cassius-wojcik-park,person:firstcapital:ethan-brooks
vendor:firstcapital:blackrock,BlackRock,system,Wealth Analytics,Tier 3 ($5-10M),4.2,2.0,A+,High,Aladdin Wealth for advisor risk + portfolio analytics.,person:firstcapital:imogen-ferraro-bjornsson,person:firstcapital:ethan-brooks
vendor:firstcapital:envestnet,Envestnet,system,Wealth Reporting,Tier 4 ($1-5M),3.6,2.6,A-,Medium,Tamarac reporting + rebalancing.,person:firstcapital:cassius-wojcik-park,person:firstcapital:ethan-brooks
vendor:firstcapital:refinitiv,Refinitiv (LSEG),system,Market Data + Wealth,Tier 3 ($5-10M),3.7,2.4,A,Medium,Eikon market data + Fundamentals portfolio mgmt.,person:firstcapital:persephone-quinn-aboagye,person:firstcapital:ethan-brooks
vendor:firstcapital:bloomberg,Bloomberg,system,Market Data,Tier 3 ($5-10M),4.6,1.8,A+,High,126 terminals + AIM + market data.,person:firstcapital:persephone-quinn-aboagye,person:firstcapital:ethan-brooks
vendor:firstcapital:adenza,Adenza (Nasdaq),system,Risk + Reg Reporting,Tier 3 ($10-20M),3.4,3.6,A,High,AxiomSL ControllerView + Calypso treasury + Bonds risk; consolidation under Nasdaq.,person:firstcapital:eleanora-ouellette-park,person:firstcapital:ethan-brooks
vendor:firstcapital:wolters-kluwer,Wolters Kluwer,system,Reg Reporting,Tier 4 ($1-5M),3.6,2.8,A,Medium,OneSumX secondary regulatory platform.,person:firstcapital:eleanora-ouellette-park,person:firstcapital:ethan-brooks
vendor:firstcapital:murex,Murex,system,Trading Platform,Tier 3 ($5-10M),3.7,3.4,A-,High,MX.3 trading + risk for FI/FX/derivs.,person:firstcapital:persephone-quinn-aboagye,person:firstcapital:ethan-brooks
vendor:firstcapital:sas-institute,SAS Institute,system,Risk Analytics,Tier 3 ($5-10M),3.8,2.8,A,Medium,Risk engine for credit + economic capital + CCAR.,person:firstcapital:quentin-olabode-reyes,person:firstcapital:ethan-brooks
vendor:firstcapital:moodys-analytics,Moodys Analytics,system,Risk Data,Tier 4 ($1-5M),4.0,2.2,A+,High,RiskFrontier for credit portfolio analytics.,person:firstcapital:quentin-olabode-reyes,person:firstcapital:ethan-brooks
vendor:firstcapital:nice-actimize,NICE Actimize,system,Fraud + AML,Tier 3 ($5-10M),3.6,3.0,A-,High,Fraud + AML; expanding under OCC findings.,person:firstcapital:saoirse-quintero,person:firstcapital:ethan-brooks
vendor:firstcapital:nasdaq-verafin,Nasdaq Verafin,system,AML,Tier 4 ($1-5M),4.2,2.2,A+,High,Cloud-native AML; pilot/secondary.,person:firstcapital:saoirse-quintero,person:firstcapital:ethan-brooks
vendor:firstcapital:lexisnexis-risk,LexisNexis Risk Solutions,system,KYC + Identity,Tier 4 ($1-5M),4.0,2.4,A+,High,KYC + sanctions + due diligence.,person:firstcapital:saoirse-quintero,person:firstcapital:ethan-brooks
vendor:firstcapital:crowdstrike,CrowdStrike,system,Cybersecurity,Tier 3 ($5-10M),4.5,2.0,A+,High,Endpoint detection + response.,person:firstcapital:estela-pellegrini-bjornsdottir,person:firstcapital:ethan-brooks
vendor:firstcapital:palo-alto,Palo Alto Networks,system,Cybersecurity,Tier 3 ($5-10M),4.4,2.0,A+,High,Firewalls + Prisma SASE.,person:firstcapital:felicity-marsh-aldea,person:firstcapital:ethan-brooks
vendor:firstcapital:cisco,Cisco Systems (incl. Splunk),system,Network + SIEM,Tier 3 ($10-20M),3.9,2.6,A+,High,Cisco network + Splunk Cloud SIEM.,person:firstcapital:antoine-quartararo,person:firstcapital:ethan-brooks
vendor:firstcapital:okta,Okta,system,Identity,Tier 4 ($1-5M),4.0,2.4,A,High,Workforce identity + MFA.,person:firstcapital:bilal-quintero-park,person:firstcapital:ethan-brooks
vendor:firstcapital:cyberark,CyberArk,system,Privileged Access,Tier 4 ($1-5M),4.2,2.2,A+,High,Privileged access management.,person:firstcapital:bilal-quintero-park,person:firstcapital:ethan-brooks
vendor:firstcapital:zscaler,Zscaler,system,Cloud Security,Tier 4 ($1-5M),4.0,2.4,A,High,Cloud secure web gateway.,person:firstcapital:felicity-marsh-aldea,person:firstcapital:ethan-brooks
vendor:firstcapital:equifax,Equifax,system,Credit Bureau,Tier 4 ($1-5M),3.6,3.4,A,High,Primary consumer credit decisioning bureau.,person:firstcapital:wesley-mtawali,person:firstcapital:ethan-brooks
vendor:firstcapital:transunion,TransUnion,system,Credit Bureau,Tier 4 ($1-5M),3.8,3.0,A,Medium,Secondary consumer credit bureau.,person:firstcapital:wesley-mtawali,person:firstcapital:ethan-brooks
vendor:firstcapital:dun-bradstreet,Dun & Bradstreet,system,Commercial Data,Tier 4 ($1-5M),3.4,2.8,A-,Medium,Commercial credit data.,person:firstcapital:heinrich-aldridge,person:firstcapital:ethan-brooks
vendor:firstcapital:databricks,Databricks,system,ML Platform,Tier 4 ($1-5M),4.2,2.4,A+,High,Lakehouse for MLOps; AI program-aligned.,person:firstcapital:ramses-mwakikagile,person:firstcapital:ethan-brooks
vendor:firstcapital:anthropic,Anthropic (via AWS Bedrock),system,Foundation Model,Tier 5 (<$1M),4.0,2.6,B+,Medium,Claude foundation models via Bedrock; under MRM gating.,person:firstcapital:ramses-mwakikagile,person:firstcapital:ethan-brooks
vendor:firstcapital:metricstream,MetricStream,system,GRC,Tier 4 ($1-5M),3.6,3.0,B+,Medium,Enterprise GRC; RSA Archer migration in progress.,person:firstcapital:reginald-atherton,person:firstcapital:ethan-brooks
vendor:firstcapital:docusign,DocuSign,system,Contract Lifecycle,Tier 5 (<$1M),4.0,2.4,A,Medium,Contract execution + CLM.,person:firstcapital:nadia-rahman,person:firstcapital:nadia-rahman
vendor:firstcapital:hyland,Hyland (Alfresco),system,Document Mgmt,Tier 4 ($1-5M),3.4,3.0,A-,Medium,Enterprise content management.,person:firstcapital:reginald-hawthorne-bjornsson,person:firstcapital:ethan-brooks
vendor:firstcapital:opentext,OpenText,system,Document Mgmt,Tier 4 ($1-5M),3.5,2.8,A-,Medium,Banking image suite; check imaging.,person:firstcapital:donovan-marsh-yamaguchi,person:firstcapital:ethan-brooks
vendor:firstcapital:verizon-business,Verizon Business,system,Network,Tier 3 ($5-10M),3.6,2.6,A,Medium,WAN MPLS + branch connectivity.,person:firstcapital:antoine-quartararo,person:firstcapital:ethan-brooks
vendor:firstcapital:zoom,Zoom Communications,system,Collaboration,Tier 4 ($1-5M),4.2,2.2,A+,High,Video + phone for hybrid workforce.,person:firstcapital:antoine-quartararo,person:firstcapital:ethan-brooks
vendor:firstcapital:personetics,Personetics,system,Digital Banking AI,Tier 5 (<$1M),3.8,2.8,B+,Medium,Consumer banking insights AI; under MRM.,person:firstcapital:priya-mehta,person:firstcapital:ethan-brooks
vendor:firstcapital:collibra,Collibra,system,Data Governance,Tier 5 (<$1M),4.0,2.2,A,High,Data catalog + lineage; central to MRM data attestation.,person:firstcapital:caspian-mwale-andersen,person:firstcapital:ethan-brooks
vendor:firstcapital:alteryx,Alteryx,system,Analytics,Tier 5 (<$1M),3.6,2.4,A-,Medium,Analytics workflow + data prep.,person:firstcapital:bjorn-ngangole,person:firstcapital:ethan-brooks
vendor:firstcapital:fenergo,Fenergo,system,Onboarding,Tier 4 ($1-5M),3.8,2.6,A,High,Wealth + commercial client lifecycle management.,person:firstcapital:verity-nakamura-reid,person:firstcapital:ethan-brooks
