module,file,classification,replacement_required,blocking_condition
generated CXO/story-block pipeline,scripts/knowledge/build-context-data-flow-report.mjs,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/generate-cxo-story-blocks.mjs,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/generate-home-knowledge-claude-narratives.ts,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/generate-module-cxo-content.mjs,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/proof-gate-cxo-context.mjs,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,scripts/knowledge/runtime-proof-cxo-context.ts,bridge/read-model dependency,"Generator inputs repointed to standard-2026-07-v3 and approved content store; current physical V3 dataset is Meridian only, with SkyHarbor Air and First Capital still WIP/planned.",V3 replacement not live-proven
generated CXO/story-block pipeline,src/lib/ava-answer/__tests__/cxo-quality-gate.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/app/(maestro)/home/__tests__/home-admin-boundary-contract.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/app/(maestro)/home/page.tsx,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/app/api/home/know/ask/route.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/app/api/home/summary-snapshot/route.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/components/home/__tests__/HomeSurface.test.tsx,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/components/home/HomeSurface.tsx,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/__tests__/home-summary-runtime.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/__tests__/home-summary-snapshot.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/__tests__/v6-context-browser.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/__tests__/v7-context-browser.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/home-data-quality.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/home-summary-claude-render.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/home-summary-runtime.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/home-summary-snapshot.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/__tests__/home-v6-executive-synthesis.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/know/__tests__/v6-home-know-response.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/know/__tests__/v7-home-ask.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/know/home-know-agent-answer.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/home-know-claude-synthesis.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/home-v6-executive-synthesis.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/v6-home-ask.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/v6-home-know-response.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/v7-home-ask.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/know/v7-home-know-response.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/local-cxo-runtime.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/v6-context-browser.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/v6/__tests__/home-v6-context-findings.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Home,src/lib/home/v6/home-v6-context-findings.ts,blocked-delete candidate,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Home,src/lib/home/v7-context-browser.ts,active runtime dependency,"V3 Home/Knowledge reader backed by explicit active context pointer, governed V3 source/fact rows, safe fallback, signed-in browser proof, and no V6/V7 fallback.",V3 replacement not live-proven
Intelligence,scripts/audit/build-data-intelligence-redesign-report.mjs,bridge/read-model dependency,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,scripts/audit/intelligence-ava-stream-polish.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,scripts/intelligence/enrich-skyharbor-v6-cto-readiness.mjs,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,scripts/intelligence/prove-industrial-cio-backoffice-readiness.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,scripts/intelligence/prove-skyharbor-v6-cto-readiness.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,scripts/qa/intelligence-extensive-api-audit.mjs,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,src/app/api/intelligence/ask/__tests__/route.telemetry.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/__tests__/industrial-cio-backoffice-readiness.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/__tests__/skyharbor-cto-readiness.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/answer/__tests__/answer-safety.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/ask/__tests__/retired-fact-gate.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/ask/index.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/ask/retrievers/v7-dossier.test.ts,test-only dependency,"Keep until the V3 replacement has equivalent regression coverage, then update tests from V6/V7 fixtures to V3 active-context fixtures.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/ask/retrievers/v7-dossier.ts,active runtime dependency,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/industrial-cio-backoffice-readiness.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/intelligence-consultant-text-synthesis.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,src/lib/intelligence/skyharbor-cto-readiness.ts,blocked-delete candidate,"V3 dossier/retrieval path using governed context bundle with tenant-scoped citations, answer-quality gates, and signed-in Intelligence proof.",V3 replacement not live-proven
Intelligence,supabase/migrations/20260702190000_intelligence_v6_graph_physical.sql,historical migration,None for deletion now. Preserve historical migration; any schema retirement requires explicit approval and a forward-only migration after runtime replacement is live-proven.,forward schema retirement requires explicit approval
Intelligence,supabase/migrations/20260709203000_intelligence_v7_moat_foundation.sql,historical migration,None for deletion now. Preserve historical migration; any schema retirement requires explicit approval and a forward-only migration after runtime replacement is live-proven.,forward schema retirement requires explicit approval
Moves,src/lib/enterprise-data/moves-shadow-proof/moves-shadow-proof.ts,bridge/read-model dependency,"V3 Moves readiness context view generated from governed V3 facts and approved advisory blocks, with tenant isolation proof.",V3 replacement not live-proven
shared/platform,docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,blocked-delete candidate,Replace v6_label in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,blocked-delete candidate,Replace v6_v7_dataset in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json,blocked-delete candidate,Replace v7_label in docs/governance/dataset-manifests/meridian-health-v6-v7-current-state-v1.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,package.json,bridge/read-model dependency,Replace scripts_v7 in package.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,package.json,bridge/read-model dependency,Replace tenant_v6 in package.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,package.json,bridge/read-model dependency,Replace v6_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,package.json,bridge/read-model dependency,Replace v6_v7_dataset in package.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,package.json,bridge/read-model dependency,Replace v7_label in package.json with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace intelligence_v6 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace intelligence_v7 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace scripts_v7 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace tenant_pack_runs in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace tenant_v6 in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace v6_label in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace v6_v7_dataset in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-end-to-end-data-flow-report.mjs,bridge/read-model dependency,Replace v7_label in scripts/audit/build-end-to-end-data-flow-report.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-home-knowledge-pressure-proof.ts,blocked-delete candidate,Replace v6_label in scripts/audit/build-home-knowledge-pressure-proof.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-home-knowledge-pressure-proof.ts,blocked-delete candidate,Replace v7_label in scripts/audit/build-home-knowledge-pressure-proof.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-home-summary-snapshot.ts,blocked-delete candidate,Replace v6_label in scripts/audit/build-home-summary-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-skyharbor-compatibility-snapshot.ts,blocked-delete candidate,Replace v6_label in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-skyharbor-compatibility-snapshot.ts,blocked-delete candidate,Replace v6_v7_dataset in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/build-skyharbor-compatibility-snapshot.ts,blocked-delete candidate,Replace v7_label in scripts/audit/build-skyharbor-compatibility-snapshot.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/check-no-legacy-tenant-inputs.mjs,blocked-delete candidate,Replace scripts_v7 in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/check-no-legacy-tenant-inputs.mjs,blocked-delete candidate,Replace tenant_v6 in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/check-no-legacy-tenant-inputs.mjs,blocked-delete candidate,Replace v6_label in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/check-no-legacy-tenant-inputs.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/check-no-legacy-tenant-inputs.mjs,blocked-delete candidate,Replace v7_label in scripts/audit/check-no-legacy-tenant-inputs.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/home-data-quality.ts,blocked-delete candidate,Replace v6_label in scripts/audit/home-data-quality.ts with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace intelligence_v7 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace latest_loaded_validated in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace scripts_v7 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace tenant_v6 in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace v6_label in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-context-retirement.mjs,bridge/read-model dependency,Replace v7_label in scripts/audit/legacy-context-retirement.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-dataset-sunset.mjs,blocked-delete candidate,Replace tenant_v6 in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-dataset-sunset.mjs,blocked-delete candidate,Replace v6_label in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-dataset-sunset.mjs,blocked-delete candidate,Replace v6_v7_dataset in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/legacy-dataset-sunset.mjs,blocked-delete candidate,Replace v7_label in scripts/audit/legacy-dataset-sunset.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/meridian-data-state-reconciliation.mjs,bridge/read-model dependency,Replace v6_label in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/meridian-data-state-reconciliation.mjs,bridge/read-model dependency,Replace v6_v7_dataset in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/meridian-data-state-reconciliation.mjs,bridge/read-model dependency,Replace v7_label in scripts/audit/meridian-data-state-reconciliation.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace intelligence_v6 in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace intelligence_v7 in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace latest_loaded_validated in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace scripts_v7 in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace tenant_pack_runs in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace tenant_v6 in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace v6_label in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace v6_v7_dataset in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/audit/v6-v7-sunset-deletion-readiness.mjs,bridge/read-model dependency,Replace v7_label in scripts/audit/v6-v7-sunset-deletion-readiness.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/lakeshore/generate-lakeshore-v6-holdco-pack.mjs,blocked-delete candidate,Replace v6_csv in scripts/lakeshore/generate-lakeshore-v6-holdco-pack.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/lakeshore/generate-lakeshore-v6-holdco-pack.mjs,blocked-delete candidate,Replace v6_label in scripts/lakeshore/generate-lakeshore-v6-holdco-pack.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
shared/platform,scripts/lakeshore/validate-lakeshore-v6-holdco-pack.mjs,blocked-delete candidate,Replace v6_csv in scripts/lakeshore/validate-lakeshore-v6-holdco-pack.mjs with governed V3 active-context naming and source/fact lineage before deletion.,V3 replacement not live-proven
