vendor_id,vendor_name,category,annual_value_usd,renewal_date,exit_terms,ai_clauses,data_rights
NST-VEND-077,Siemens Program 77,SI,26780000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-078,PTC Program 78,Security,27120000,2026-07-15,annual renewal window,not negotiated,tenant owns derived models
NST-VEND-079,Veeva Program 79,Clinical software,27460000,2027-08-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-080,Salesforce Program 80,ERP,27800000,2028-09-15,90-day per-app removal clause,AI-generated work product indemnity required,standard confidentiality
NST-VEND-081,ServiceNow Program 81,QMS,28140000,2026-10-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-082,Microsoft Program 82,PLM,28480000,2027-11-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-083,AWS Program 83,Cloud,28820000,2028-12-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-084,Azure Program 84,AMS,29160000,2026-01-15,90-day per-app removal clause,not negotiated,tenant owns derived models
NST-VEND-085,Cognizant Program 85,SI,29500000,2027-02-15,annual renewal window,AI-generated work product indemnity required,standard confidentiality
NST-VEND-086,Accenture Program 86,Security,29840000,2028-03-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-087,Infosys Program 87,Clinical software,30180000,2026-04-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-088,Deloitte Program 88,ERP,30520000,2027-05-15,90-day per-app removal clause,not negotiated,standard confidentiality
NST-VEND-089,KPMG Program 89,QMS,30860000,2028-06-15,annual renewal window,not negotiated,standard confidentiality
NST-VEND-090,SAP Program 90,PLM,31200000,2026-07-15,annual renewal window,AI-generated work product indemnity required,tenant owns derived models
